,Method,Clustering,Gini_Marker_Genes,Gini_Housekeeping_Genes,Difference,KS_statistics,p-value
0,ChromVAR_motifs,louvain,0.32979437611199386,0.20291677131279215,0.1268776047992017,0.5357142857142857,0.0011012608985997434
1,ChromVAR_motifs,kmeans,0.3437447809765452,0.23739934019535372,0.10634544078119149,0.4642857142857143,0.0071294147031368835
2,ChromVAR_motifs,hc,0.3811677061657274,0.29004110655133414,0.09112659961439329,0.5,0.002897057550796698
3,ChromVAR_kmers,louvain,0.3091640538874091,0.1788495073235249,0.1303145465638842,0.5357142857142857,0.0011012608985997434
4,ChromVAR_kmers,kmeans,0.34008798380443167,0.2631696540437591,0.07691832976067259,0.488095238095238,0.003940411838529281
5,ChromVAR_kmers,hc,0.31920226807712815,0.24108921211666565,0.0781130559604625,0.5238095238095237,0.0015315508627272852
6,cisTopic,louvain,0.36911897406132393,0.2546875831379295,0.11443139092339444,0.5714285714285714,0.00039160946836733207
7,cisTopic,kmeans,0.4173191468901852,0.31605995127248926,0.10125919561769592,0.5,0.002897057550796698
8,cisTopic,hc,0.4685341299564925,0.36249268848506216,0.10604144147143035,0.5,0.002897057550796698
9,SnapATAC,louvain,0.3324779097800604,0.19579762663205263,0.1366802831480078,0.45238095238095233,0.009483783581749885
10,SnapATAC,kmeans,0.3615056628187516,0.21786828303900205,0.14363737977974958,0.5714285714285714,0.00039160946836733207
11,SnapATAC,hc,0.3714384383322344,0.23142922504480185,0.14000921328743254,0.5238095238095237,0.0015315508627272852
12,BROCKMAN,louvain,0.3469987554678887,0.23412461324349595,0.11287414222439277,0.4761904761904762,0.0053199457227097
13,BROCKMAN,kmeans,0.3277885969547896,0.2628198769727791,0.06496871998201054,0.3928571428571429,0.035345542528700175
14,BROCKMAN,hc,0.32406135855056517,0.25587800726962895,0.06818335128093622,0.4642857142857143,0.0071294147031368835
15,SCRAT_motifs,louvain,0.3478782074329123,0.2936452632084573,0.054232944224455015,0.4761904761904762,0.0053199457227097
16,SCRAT_motifs,kmeans,0.287355236060857,0.23450738407421634,0.05284785198664066,0.3928571428571429,0.035345542528700175
17,SCRAT_motifs,hc,0.31522946694955634,0.26396734223011686,0.05126212471943947,0.41666666666666663,0.02135261571272192
18,Cusanovich2018,louvain,0.3888967641042166,0.28095716146315347,0.10793960264106311,0.4642857142857143,0.0071294147031368835
19,Cusanovich2018,kmeans,0.2540270001768429,0.17730503657548796,0.07672196360135491,0.4642857142857143,0.0071294147031368835
20,Cusanovich2018,hc,0.2254682391576123,0.14112488226109376,0.08434335689651853,0.4642857142857143,0.0071294147031368835
21,Control,louvain,0.4439710552501131,0.35886390642005106,0.08510714883006204,0.4642857142857143,0.0071294147031368835
22,Control,kmeans,0.45648011118437415,0.4538630230981685,0.0026170880862056434,0.27380952380952384,0.2808123271126563
