	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	3	9	6
BM1077-CLP-Frozen-160106-14	1	0	3
BM1077-CLP-Frozen-160106-2	8	9	6
BM1077-CLP-Frozen-160106-21	1	0	3
BM1077-CLP-Frozen-160106-27	8	7	6
BM1077-CLP-Frozen-160106-3	2	7	1
BM1077-CLP-Frozen-160106-36	2	7	1
BM1077-CLP-Frozen-160106-42	2	7	6
BM1077-CLP-Frozen-160106-44	2	7	1
BM1077-CLP-Frozen-160106-50	2	7	1
BM1077-CLP-Frozen-160106-61	2	7	6
BM1077-CLP-Frozen-160106-62	2	7	1
BM1077-CLP-Frozen-160106-66	7	3	4
BM1077-CLP-Frozen-160106-70	1	9	3
BM1077-CLP-Frozen-160106-71	5	3	4
BM1077-CLP-Frozen-160106-72	2	7	6
BM1077-CLP-Frozen-160106-75	3	5	2
BM1077-CLP-Frozen-160106-76	5	3	4
BM1077-CLP-Frozen-160106-78	5	3	4
BM1077-CLP-Frozen-160106-79	1	0	3
BM1077-CLP-Frozen-160106-80	3	9	1
BM1077-CLP-Frozen-160106-83	1	6	3
BM1077-CLP-Frozen-160106-86	1	0	5
BM1077-CLP-Frozen-160106-87	4	8	7
BM1077-CLP-Frozen-160106-88	2	7	1
BM1077-CLP-Frozen-160106-94	0	4	5
BM1077-CLP-Frozen-160106-96	2	7	1
BM1077-CMP-Frozen-160106-1	0	6	2
BM1077-CMP-Frozen-160106-10	4	8	7
BM1077-CMP-Frozen-160106-12	0	6	2
BM1077-CMP-Frozen-160106-14	1	5	2
BM1077-CMP-Frozen-160106-15	1	0	2
BM1077-CMP-Frozen-160106-16	0	6	2
BM1077-CMP-Frozen-160106-18	2	9	1
BM1077-CMP-Frozen-160106-19	1	0	5
BM1077-CMP-Frozen-160106-2	0	3	2
BM1077-CMP-Frozen-160106-21	4	8	7
BM1077-CMP-Frozen-160106-22	5	3	4
BM1077-CMP-Frozen-160106-23	2	7	1
BM1077-CMP-Frozen-160106-24	0	5	2
BM1077-CMP-Frozen-160106-25	3	9	9
BM1077-CMP-Frozen-160106-26	0	4	8
BM1077-CMP-Frozen-160106-28	0	5	2
BM1077-CMP-Frozen-160106-3	0	4	8
BM1077-CMP-Frozen-160106-30	0	4	4
BM1077-CMP-Frozen-160106-31	1	0	3
BM1077-CMP-Frozen-160106-32	3	9	3
BM1077-CMP-Frozen-160106-33	6	3	4
BM1077-CMP-Frozen-160106-34	0	6	2
BM1077-CMP-Frozen-160106-35	3	9	1
BM1077-CMP-Frozen-160106-36	5	3	4
BM1077-CMP-Frozen-160106-37	6	3	4
BM1077-CMP-Frozen-160106-39	0	3	4
BM1077-CMP-Frozen-160106-4	0	3	4
BM1077-CMP-Frozen-160106-40	2	7	3
BM1077-CMP-Frozen-160106-42	2	9	1
BM1077-CMP-Frozen-160106-43	2	7	1
BM1077-CMP-Frozen-160106-44	0	4	4
BM1077-CMP-Frozen-160106-45	0	3	4
BM1077-CMP-Frozen-160106-46	1	0	5
BM1077-CMP-Frozen-160106-49	0	4	7
BM1077-CMP-Frozen-160106-5	1	0	5
BM1077-CMP-Frozen-160106-50	4	8	7
BM1077-CMP-Frozen-160106-51	4	8	7
BM1077-CMP-Frozen-160106-52	2	9	1
BM1077-CMP-Frozen-160106-53	3	9	9
BM1077-CMP-Frozen-160106-55	4	8	7
BM1077-CMP-Frozen-160106-56	1	6	3
BM1077-CMP-Frozen-160106-57	4	8	7
BM1077-CMP-Frozen-160106-58	2	7	1
BM1077-CMP-Frozen-160106-59	0	3	4
BM1077-CMP-Frozen-160106-6	0	3	2
BM1077-CMP-Frozen-160106-60	2	9	3
BM1077-CMP-Frozen-160106-61	1	5	2
BM1077-CMP-Frozen-160106-62	0	5	2
BM1077-CMP-Frozen-160106-64	1	0	3
BM1077-CMP-Frozen-160106-66	1	0	3
BM1077-CMP-Frozen-160106-67	0	0	5
BM1077-CMP-Frozen-160106-68	1	6	3
BM1077-CMP-Frozen-160106-69	0	4	8
BM1077-CMP-Frozen-160106-70	1	6	3
BM1077-CMP-Frozen-160106-71	1	0	3
BM1077-CMP-Frozen-160106-72	3	9	1
BM1077-CMP-Frozen-160106-74	1	9	3
BM1077-CMP-Frozen-160106-75	3	9	3
BM1077-CMP-Frozen-160106-76	1	9	3
BM1077-CMP-Frozen-160106-77	3	9	9
BM1077-CMP-Frozen-160106-78	0	9	3
BM1077-CMP-Frozen-160106-79	5	3	4
BM1077-CMP-Frozen-160106-8	0	4	7
BM1077-CMP-Frozen-160106-80	1	6	4
BM1077-CMP-Frozen-160106-82	3	1	6
BM1077-CMP-Frozen-160106-83	4	8	7
