	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	1	8	0
BM1077-CLP-Frozen-160106-14	4	8	0
BM1077-CLP-Frozen-160106-2	4	8	0
BM1077-CLP-Frozen-160106-21	6	8	0
BM1077-CLP-Frozen-160106-27	8	8	0
BM1077-CLP-Frozen-160106-3	3	8	0
BM1077-CLP-Frozen-160106-36	4	8	0
BM1077-CLP-Frozen-160106-42	0	8	0
BM1077-CLP-Frozen-160106-44	8	8	0
BM1077-CLP-Frozen-160106-50	4	8	0
BM1077-CLP-Frozen-160106-61	1	8	0
BM1077-CLP-Frozen-160106-62	6	8	0
BM1077-CLP-Frozen-160106-66	4	8	0
BM1077-CLP-Frozen-160106-70	1	8	0
BM1077-CLP-Frozen-160106-71	1	8	0
BM1077-CLP-Frozen-160106-72	6	8	0
BM1077-CLP-Frozen-160106-75	1	8	0
BM1077-CLP-Frozen-160106-76	8	8	0
BM1077-CLP-Frozen-160106-78	8	8	0
BM1077-CLP-Frozen-160106-79	2	8	0
BM1077-CLP-Frozen-160106-80	4	8	0
BM1077-CLP-Frozen-160106-83	4	8	0
BM1077-CLP-Frozen-160106-86	5	8	0
BM1077-CLP-Frozen-160106-87	0	8	0
BM1077-CLP-Frozen-160106-88	1	8	0
BM1077-CLP-Frozen-160106-94	2	8	0
BM1077-CLP-Frozen-160106-96	8	8	0
BM1077-CMP-Frozen-160106-1	0	8	0
BM1077-CMP-Frozen-160106-10	2	8	0
BM1077-CMP-Frozen-160106-12	0	8	0
BM1077-CMP-Frozen-160106-14	0	8	0
BM1077-CMP-Frozen-160106-15	2	8	0
BM1077-CMP-Frozen-160106-16	3	8	0
BM1077-CMP-Frozen-160106-18	0	8	0
BM1077-CMP-Frozen-160106-19	2	8	0
BM1077-CMP-Frozen-160106-2	3	8	0
BM1077-CMP-Frozen-160106-21	2	8	0
BM1077-CMP-Frozen-160106-22	0	8	0
BM1077-CMP-Frozen-160106-23	0	8	0
BM1077-CMP-Frozen-160106-24	7	8	0
BM1077-CMP-Frozen-160106-25	4	8	0
BM1077-CMP-Frozen-160106-26	2	8	0
BM1077-CMP-Frozen-160106-28	0	8	0
BM1077-CMP-Frozen-160106-3	7	8	0
BM1077-CMP-Frozen-160106-30	0	8	0
BM1077-CMP-Frozen-160106-31	3	8	0
BM1077-CMP-Frozen-160106-32	0	8	0
BM1077-CMP-Frozen-160106-33	3	8	0
BM1077-CMP-Frozen-160106-34	0	8	0
BM1077-CMP-Frozen-160106-35	0	8	0
BM1077-CMP-Frozen-160106-36	3	8	0
BM1077-CMP-Frozen-160106-37	3	8	0
BM1077-CMP-Frozen-160106-39	8	8	0
BM1077-CMP-Frozen-160106-4	0	8	0
BM1077-CMP-Frozen-160106-40	0	8	0
BM1077-CMP-Frozen-160106-42	0	8	0
BM1077-CMP-Frozen-160106-43	2	8	0
BM1077-CMP-Frozen-160106-44	8	8	0
BM1077-CMP-Frozen-160106-45	0	8	0
BM1077-CMP-Frozen-160106-46	2	8	0
BM1077-CMP-Frozen-160106-49	1	8	0
BM1077-CMP-Frozen-160106-5	4	8	0
BM1077-CMP-Frozen-160106-50	8	8	0
BM1077-CMP-Frozen-160106-51	8	8	0
BM1077-CMP-Frozen-160106-52	0	8	0
BM1077-CMP-Frozen-160106-53	1	8	0
BM1077-CMP-Frozen-160106-55	0	8	0
BM1077-CMP-Frozen-160106-56	2	8	0
BM1077-CMP-Frozen-160106-57	2	8	0
BM1077-CMP-Frozen-160106-58	0	8	0
BM1077-CMP-Frozen-160106-59	0	8	0
BM1077-CMP-Frozen-160106-6	3	8	0
BM1077-CMP-Frozen-160106-60	0	8	0
BM1077-CMP-Frozen-160106-61	3	8	0
BM1077-CMP-Frozen-160106-62	0	8	0
BM1077-CMP-Frozen-160106-64	7	8	0
BM1077-CMP-Frozen-160106-66	7	8	0
BM1077-CMP-Frozen-160106-67	3	8	0
BM1077-CMP-Frozen-160106-68	7	8	0
BM1077-CMP-Frozen-160106-69	7	8	0
BM1077-CMP-Frozen-160106-70	3	8	0
BM1077-CMP-Frozen-160106-71	4	8	0
BM1077-CMP-Frozen-160106-72	0	8	0
BM1077-CMP-Frozen-160106-74	8	8	0
BM1077-CMP-Frozen-160106-75	0	8	0
BM1077-CMP-Frozen-160106-76	2	8	0
BM1077-CMP-Frozen-160106-77	0	8	0
BM1077-CMP-Frozen-160106-78	3	8	0
BM1077-CMP-Frozen-160106-79	5	8	0
BM1077-CMP-Frozen-160106-8	5	8	0
BM1077-CMP-Frozen-160106-80	7	8	0
BM1077-CMP-Frozen-160106-82	1	8	0
BM1077-CMP-Frozen-160106-83	2	8	0
BM1077-CMP-Frozen-160106-84	1	8	0
BM1077-CMP-Frozen-160106-85	0	8	0
BM1077-CMP-Frozen-160106-86	3	8	0
BM1077-CMP-Frozen-160106-87	7	8	0
BM1077-CMP-Frozen-160106-88	0	8	0
BM1077-CMP-Frozen-160106-89	1	8	0
BM1077-CMP-Frozen-160106-91	1	8	0
BM1077-CMP-Frozen-160106-92	0	8	0
BM1077-CMP-Frozen-160106-95	2	8	0
BM1077-GMP-Frozen-160107-1	7	8	0
BM1077-GMP-Frozen-160107-10	1	8	0
BM1077-GMP-Frozen-160107-11	1	8	0
BM1077-GMP-Frozen-160107-14	0	8	0
BM1077-GMP-Frozen-160107-16	1	8	0
BM1077-GMP-Frozen-160107-20	3	8	0
BM1077-GMP-Frozen-160107-21	2	8	0
BM1077-GMP-Frozen-160107-22	1	8	0
BM1077-GMP-Frozen-160107-23	1	8	0
BM1077-GMP-Frozen-160107-25	2	8	0
BM1077-GMP-Frozen-160107-26	1	8	0
BM1077-GMP-Frozen-160107-27	1	8	0
BM1077-GMP-Frozen-160107-31	7	8	0
BM1077-GMP-Frozen-160107-32	1	8	0
BM1077-GMP-Frozen-160107-33	1	8	0
BM1077-GMP-Frozen-160107-37	1	8	0
BM1077-GMP-Frozen-160107-39	1	8	0
BM1077-GMP-Frozen-160107-40	1	8	0
BM1077-GMP-Frozen-160107-41	7	8	0
BM1077-GMP-Frozen-160107-43	1	8	0
BM1077-GMP-Frozen-160107-44	2	8	0
BM1077-GMP-Frozen-160107-45	1	8	0
BM1077-GMP-Frozen-160107-46	1	8	0
BM1077-GMP-Frozen-160107-47	2	8	0
BM1077-GMP-Frozen-160107-48	6	8	0
BM1077-GMP-Frozen-160107-49	3	8	0
BM1077-GMP-Frozen-160107-5	1	8	0
BM1077-GMP-Frozen-160107-50	1	8	0
BM1077-GMP-Frozen-160107-51	6	8	0
BM1077-GMP-Frozen-160107-52	6	8	0
BM1077-GMP-Frozen-160107-55	6	8	0
BM1077-GMP-Frozen-160107-56	6	8	0
BM1077-GMP-Frozen-160107-58	1	8	0
BM1077-GMP-Frozen-160107-59	1	8	0
BM1077-GMP-Frozen-160107-60	1	8	0
BM1077-GMP-Frozen-160107-62	1	8	0
BM1077-GMP-Frozen-160107-63	6	8	0
BM1077-GMP-Frozen-160107-67	6	8	0
BM1077-GMP-Frozen-160107-69	1	8	0
BM1077-GMP-Frozen-160107-71	8	8	0
BM1077-GMP-Frozen-160107-72	1	8	0
BM1077-GMP-Frozen-160107-73	1	8	0
BM1077-GMP-Frozen-160107-74	3	8	0
BM1077-GMP-Frozen-160107-75	6	8	0
BM1077-GMP-Frozen-160107-76	6	8	0
BM1077-GMP-Frozen-160107-77	1	8	0
BM1077-GMP-Frozen-160107-79	1	8	0
BM1077-GMP-Frozen-160107-80	1	8	0
BM1077-GMP-Frozen-160107-81	0	8	0
BM1077-GMP-Frozen-160107-83	2	8	0
BM1077-GMP-Frozen-160107-84	6	8	0
BM1077-GMP-Frozen-160107-85	1	8	0
BM1077-GMP-Frozen-160107-86	1	8	0
BM1077-GMP-Frozen-160107-87	1	8	0
BM1077-GMP-Frozen-160107-88	6	8	0
BM1077-GMP-Frozen-160107-89	3	8	0
BM1077-GMP-Frozen-160107-9	1	8	0
BM1077-GMP-Frozen-160107-91	1	8	0
BM1077-GMP-Frozen-160107-92	0	8	0
BM1077-GMP-Frozen-160107-96	1	8	0
BM1077-HSC-Frozen-160105-1	8	8	0
BM1077-HSC-Frozen-160105-10	7	8	0
BM1077-HSC-Frozen-160105-11	3	8	0
BM1077-HSC-Frozen-160105-12	2	8	0
