	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	1	0	3
BM1077-CLP-Frozen-160106-14	1	0	3
BM1077-CLP-Frozen-160106-2	1	0	3
BM1077-CLP-Frozen-160106-21	1	0	3
BM1077-CLP-Frozen-160106-27	1	0	3
BM1077-CLP-Frozen-160106-3	1	0	3
BM1077-CLP-Frozen-160106-36	1	0	3
BM1077-CLP-Frozen-160106-42	1	0	3
BM1077-CLP-Frozen-160106-44	1	0	3
BM1077-CLP-Frozen-160106-50	1	0	3
BM1077-CLP-Frozen-160106-61	1	0	3
BM1077-CLP-Frozen-160106-62	1	0	3
BM1077-CLP-Frozen-160106-66	1	0	3
BM1077-CLP-Frozen-160106-70	1	0	3
BM1077-CLP-Frozen-160106-71	1	0	3
BM1077-CLP-Frozen-160106-72	1	0	3
BM1077-CLP-Frozen-160106-75	1	0	3
BM1077-CLP-Frozen-160106-76	1	0	3
BM1077-CLP-Frozen-160106-78	1	0	3
BM1077-CLP-Frozen-160106-79	1	0	3
BM1077-CLP-Frozen-160106-80	1	0	3
BM1077-CLP-Frozen-160106-83	1	0	3
BM1077-CLP-Frozen-160106-86	1	0	3
BM1077-CLP-Frozen-160106-87	1	0	3
BM1077-CLP-Frozen-160106-88	1	0	3
BM1077-CLP-Frozen-160106-94	3	3	4
BM1077-CLP-Frozen-160106-96	1	0	3
BM1077-CMP-Frozen-160106-1	1	0	3
BM1077-CMP-Frozen-160106-10	1	0	3
BM1077-CMP-Frozen-160106-12	7	0	3
BM1077-CMP-Frozen-160106-14	0	0	6
BM1077-CMP-Frozen-160106-15	0	0	6
BM1077-CMP-Frozen-160106-16	7	3	6
BM1077-CMP-Frozen-160106-18	6	3	4
BM1077-CMP-Frozen-160106-19	1	0	3
BM1077-CMP-Frozen-160106-2	1	0	3
BM1077-CMP-Frozen-160106-21	1	0	3
BM1077-CMP-Frozen-160106-22	4	0	3
BM1077-CMP-Frozen-160106-23	2	3	4
BM1077-CMP-Frozen-160106-24	1	0	3
BM1077-CMP-Frozen-160106-25	0	3	6
BM1077-CMP-Frozen-160106-26	2	3	4
BM1077-CMP-Frozen-160106-28	6	3	6
BM1077-CMP-Frozen-160106-3	0	0	3
BM1077-CMP-Frozen-160106-30	7	0	6
BM1077-CMP-Frozen-160106-31	0	0	6
BM1077-CMP-Frozen-160106-32	0	0	6
BM1077-CMP-Frozen-160106-33	1	0	3
BM1077-CMP-Frozen-160106-34	1	0	3
BM1077-CMP-Frozen-160106-35	3	3	6
BM1077-CMP-Frozen-160106-36	1	0	3
BM1077-CMP-Frozen-160106-37	4	0	6
BM1077-CMP-Frozen-160106-39	7	0	6
BM1077-CMP-Frozen-160106-4	7	0	3
BM1077-CMP-Frozen-160106-40	2	8	2
BM1077-CMP-Frozen-160106-42	0	3	6
BM1077-CMP-Frozen-160106-43	3	3	6
BM1077-CMP-Frozen-160106-44	1	0	3
BM1077-CMP-Frozen-160106-45	7	0	3
BM1077-CMP-Frozen-160106-46	2	3	6
BM1077-CMP-Frozen-160106-49	1	0	3
BM1077-CMP-Frozen-160106-5	0	0	3
BM1077-CMP-Frozen-160106-50	1	0	3
BM1077-CMP-Frozen-160106-51	1	0	3
BM1077-CMP-Frozen-160106-52	0	0	6
BM1077-CMP-Frozen-160106-53	0	0	6
BM1077-CMP-Frozen-160106-55	7	0	6
BM1077-CMP-Frozen-160106-56	0	0	6
BM1077-CMP-Frozen-160106-57	1	0	3
BM1077-CMP-Frozen-160106-58	3	3	6
BM1077-CMP-Frozen-160106-59	7	0	6
BM1077-CMP-Frozen-160106-6	1	0	3
BM1077-CMP-Frozen-160106-60	2	8	2
BM1077-CMP-Frozen-160106-61	3	3	6
BM1077-CMP-Frozen-160106-62	1	0	3
BM1077-CMP-Frozen-160106-64	2	5	1
BM1077-CMP-Frozen-160106-66	0	0	3
BM1077-CMP-Frozen-160106-67	3	3	6
BM1077-CMP-Frozen-160106-68	1	0	3
BM1077-CMP-Frozen-160106-69	4	0	6
BM1077-CMP-Frozen-160106-70	7	0	3
BM1077-CMP-Frozen-160106-71	2	8	2
BM1077-CMP-Frozen-160106-72	0	3	6
BM1077-CMP-Frozen-160106-74	0	3	6
BM1077-CMP-Frozen-160106-75	3	3	4
BM1077-CMP-Frozen-160106-76	0	3	6
BM1077-CMP-Frozen-160106-77	0	3	6
BM1077-CMP-Frozen-160106-78	7	0	6
BM1077-CMP-Frozen-160106-79	1	0	3
BM1077-CMP-Frozen-160106-8	1	0	3
BM1077-CMP-Frozen-160106-80	1	0	3
BM1077-CMP-Frozen-160106-82	1	0	3
BM1077-CMP-Frozen-160106-83	4	0	3
BM1077-CMP-Frozen-160106-84	0	0	6
BM1077-CMP-Frozen-160106-85	6	3	4
BM1077-CMP-Frozen-160106-86	7	0	6
BM1077-CMP-Frozen-160106-87	1	0	3
BM1077-CMP-Frozen-160106-88	1	0	3
BM1077-CMP-Frozen-160106-89	1	0	3
BM1077-CMP-Frozen-160106-91	0	3	6
BM1077-CMP-Frozen-160106-92	7	0	6
BM1077-CMP-Frozen-160106-95	4	0	6
BM1077-GMP-Frozen-160107-1	0	0	3
BM1077-GMP-Frozen-160107-10	2	3	4
BM1077-GMP-Frozen-160107-11	0	0	6
BM1077-GMP-Frozen-160107-14	3	3	6
BM1077-GMP-Frozen-160107-16	0	0	3
BM1077-GMP-Frozen-160107-20	0	0	6
BM1077-GMP-Frozen-160107-21	0	3	6
BM1077-GMP-Frozen-160107-22	2	3	4
BM1077-GMP-Frozen-160107-23	0	0	3
BM1077-GMP-Frozen-160107-25	3	3	6
BM1077-GMP-Frozen-160107-26	2	3	4
BM1077-GMP-Frozen-160107-27	0	0	3
BM1077-GMP-Frozen-160107-31	0	0	6
BM1077-GMP-Frozen-160107-32	0	3	6
BM1077-GMP-Frozen-160107-33	1	0	3
BM1077-GMP-Frozen-160107-37	2	3	4
BM1077-GMP-Frozen-160107-39	2	3	6
BM1077-GMP-Frozen-160107-40	0	0	6
BM1077-GMP-Frozen-160107-41	5	0	3
BM1077-GMP-Frozen-160107-43	1	0	3
BM1077-GMP-Frozen-160107-44	0	3	6
BM1077-GMP-Frozen-160107-45	2	3	4
BM1077-GMP-Frozen-160107-46	0	0	6
BM1077-GMP-Frozen-160107-47	3	3	6
BM1077-GMP-Frozen-160107-48	0	0	3
BM1077-GMP-Frozen-160107-49	0	0	6
BM1077-GMP-Frozen-160107-5	0	0	6
BM1077-GMP-Frozen-160107-50	0	0	3
BM1077-GMP-Frozen-160107-51	0	0	3
BM1077-GMP-Frozen-160107-52	2	3	4
BM1077-GMP-Frozen-160107-55	1	0	3
BM1077-GMP-Frozen-160107-56	0	0	6
BM1077-GMP-Frozen-160107-58	0	0	6
BM1077-GMP-Frozen-160107-59	3	3	6
BM1077-GMP-Frozen-160107-60	0	0	3
BM1077-GMP-Frozen-160107-62	0	0	6
BM1077-GMP-Frozen-160107-63	1	0	3
BM1077-GMP-Frozen-160107-67	0	0	3
BM1077-GMP-Frozen-160107-69	0	3	6
BM1077-GMP-Frozen-160107-71	2	8	2
BM1077-GMP-Frozen-160107-72	2	3	4
BM1077-GMP-Frozen-160107-73	2	3	4
BM1077-GMP-Frozen-160107-74	0	3	6
BM1077-GMP-Frozen-160107-75	0	0	6
BM1077-GMP-Frozen-160107-76	0	0	6
BM1077-GMP-Frozen-160107-77	2	3	4
BM1077-GMP-Frozen-160107-79	1	0	3
BM1077-GMP-Frozen-160107-80	0	0	3
BM1077-GMP-Frozen-160107-81	0	0	6
BM1077-GMP-Frozen-160107-83	3	3	6
BM1077-GMP-Frozen-160107-84	0	3	6
BM1077-GMP-Frozen-160107-85	0	0	6
BM1077-GMP-Frozen-160107-86	2	3	4
BM1077-GMP-Frozen-160107-87	0	0	3
BM1077-GMP-Frozen-160107-88	0	0	3
BM1077-GMP-Frozen-160107-89	0	0	6
BM1077-GMP-Frozen-160107-9	0	0	6
BM1077-GMP-Frozen-160107-91	2	3	4
BM1077-GMP-Frozen-160107-92	3	3	6
BM1077-GMP-Frozen-160107-96	0	0	6
BM1077-HSC-Frozen-160105-1	3	3	4
BM1077-HSC-Frozen-160105-10	3	3	4
BM1077-HSC-Frozen-160105-11	4	0	3
BM1077-HSC-Frozen-160105-12	3	8	2
BM1077-HSC-Frozen-160105-13	3	3	4
BM1077-HSC-Frozen-160105-14	4	0	6
BM1077-HSC-Frozen-160105-15	4	0	3
BM1077-HSC-Frozen-160105-16	0	3	6
BM1077-HSC-Frozen-160105-19	3	8	2
BM1077-HSC-Frozen-160105-2	1	0	3
BM1077-HSC-Frozen-160105-20	3	3	4
BM1077-HSC-Frozen-160105-21	4	0	3
BM1077-HSC-Frozen-160105-22	0	3	6
BM1077-HSC-Frozen-160105-24	3	3	4
BM1077-HSC-Frozen-160105-25	4	0	3
BM1077-HSC-Frozen-160105-26	4	0	3
BM1077-HSC-Frozen-160105-27	3	3	4
BM1077-HSC-Frozen-160105-29	1	0	3
BM1077-HSC-Frozen-160105-3	3	3	2
BM1077-HSC-Frozen-160105-31	3	8	2
BM1077-HSC-Frozen-160105-32	3	3	6
BM1077-HSC-Frozen-160105-34	4	0	3
BM1077-HSC-Frozen-160105-36	0	0	6
BM1077-HSC-Frozen-160105-37	4	0	3
BM1077-HSC-Frozen-160105-38	4	0	3
BM1077-HSC-Frozen-160105-39	1	0	3
BM1077-HSC-Frozen-160105-4	4	0	3
BM1077-HSC-Frozen-160105-40	3	3	4
BM1077-HSC-Frozen-160105-41	3	8	2
BM1077-HSC-Frozen-160105-42	3	3	4
BM1077-HSC-Frozen-160105-43	4	0	6
BM1077-HSC-Frozen-160105-44	4	0	3
BM1077-HSC-Frozen-160105-47	3	3	4
BM1077-HSC-Frozen-160105-48	3	3	6
BM1077-HSC-Frozen-160105-49	3	3	4
BM1077-HSC-Frozen-160105-5	1	0	3
BM1077-HSC-Frozen-160105-50	1	0	3
BM1077-HSC-Frozen-160105-51	4	0	6
BM1077-HSC-Frozen-160105-53	4	0	3
BM1077-HSC-Frozen-160105-54	4	3	4
BM1077-HSC-Frozen-160105-55	4	0	3
BM1077-HSC-Frozen-160105-56	3	3	4
BM1077-HSC-Frozen-160105-57	1	0	3
BM1077-HSC-Frozen-160105-58	3	3	2
BM1077-HSC-Frozen-160105-59	4	0	6
BM1077-HSC-Frozen-160105-6	4	3	6
BM1077-HSC-Frozen-160105-60	1	0	3
BM1077-HSC-Frozen-160105-61	3	3	4
BM1077-HSC-Frozen-160105-62	4	0	3
BM1077-HSC-Frozen-160105-63	3	3	4
BM1077-HSC-Frozen-160105-64	3	3	4
BM1077-HSC-Frozen-160105-66	3	3	4
BM1077-HSC-Frozen-160105-68	1	0	3
BM1077-HSC-Frozen-160105-69	4	0	3
BM1077-HSC-Frozen-160105-7	4	0	3
BM1077-HSC-Frozen-160105-71	3	3	4
BM1077-HSC-Frozen-160105-72	1	0	3
BM1077-HSC-Frozen-160105-73	3	8	2
BM1077-HSC-Frozen-160105-74	1	0	3
BM1077-HSC-Frozen-160105-75	3	3	4
BM1077-HSC-Frozen-160105-76	3	8	2
BM1077-HSC-Frozen-160105-77	3	3	6
BM1077-HSC-Frozen-160105-78	0	3	6
BM1077-HSC-Frozen-160105-79	4	0	3
BM1077-HSC-Frozen-160105-80	4	0	6
BM1077-HSC-Frozen-160105-81	4	0	6
BM1077-HSC-Frozen-160105-82	4	0	3
BM1077-HSC-Frozen-160105-83	1	0	3
BM1077-HSC-Frozen-160105-85	4	0	3
BM1077-HSC-Frozen-160105-87	3	3	4
BM1077-HSC-Frozen-160105-88	3	3	4
BM1077-HSC-Frozen-160105-89	0	3	6
BM1077-HSC-Frozen-160105-90	0	3	6
BM1077-HSC-Frozen-160105-91	4	0	3
BM1077-HSC-Frozen-160105-92	3	3	4
BM1077-HSC-Frozen-160105-95	4	0	3
BM1077-LMPP-Frozen-160107-1	1	0	3
BM1077-LMPP-Frozen-160107-11	1	0	3
BM1077-LMPP-Frozen-160107-12	2	3	4
BM1077-LMPP-Frozen-160107-13	0	0	6
BM1077-LMPP-Frozen-160107-14	1	0	3
BM1077-LMPP-Frozen-160107-15	0	0	6
BM1077-LMPP-Frozen-160107-16	2	3	6
BM1077-LMPP-Frozen-160107-18	2	3	4
BM1077-LMPP-Frozen-160107-19	1	0	6
BM1077-LMPP-Frozen-160107-2	0	3	6
BM1077-LMPP-Frozen-160107-20	0	0	6
BM1077-LMPP-Frozen-160107-21	1	0	3
BM1077-LMPP-Frozen-160107-23	3	3	6
BM1077-LMPP-Frozen-160107-24	1	0	3
BM1077-LMPP-Frozen-160107-25	1	0	3
BM1077-LMPP-Frozen-160107-27	1	0	3
BM1077-LMPP-Frozen-160107-28	3	0	6
BM1077-LMPP-Frozen-160107-29	1	0	6
BM1077-LMPP-Frozen-160107-30	1	0	3
BM1077-LMPP-Frozen-160107-31	0	0	6
BM1077-LMPP-Frozen-160107-33	1	0	3
BM1077-LMPP-Frozen-160107-37	1	0	6
BM1077-LMPP-Frozen-160107-38	2	3	4
BM1077-LMPP-Frozen-160107-39	2	3	6
BM1077-LMPP-Frozen-160107-4	1	0	3
BM1077-LMPP-Frozen-160107-40	0	0	6
BM1077-LMPP-Frozen-160107-41	1	0	3
BM1077-LMPP-Frozen-160107-42	3	3	4
BM1077-LMPP-Frozen-160107-43	1	0	3
BM1077-LMPP-Frozen-160107-44	3	3	6
BM1077-LMPP-Frozen-160107-45	3	3	6
BM1077-LMPP-Frozen-160107-46	1	0	3
BM1077-LMPP-Frozen-160107-47	3	3	6
BM1077-LMPP-Frozen-160107-48	3	3	4
BM1077-LMPP-Frozen-160107-49	3	3	6
BM1077-LMPP-Frozen-160107-5	3	0	6
BM1077-LMPP-Frozen-160107-50	1	0	3
BM1077-LMPP-Frozen-160107-51	3	3	4
BM1077-LMPP-Frozen-160107-53	1	0	3
BM1077-LMPP-Frozen-160107-54	3	3	4
BM1077-LMPP-Frozen-160107-55	1	0	3
BM1077-LMPP-Frozen-160107-56	0	0	6
BM1077-LMPP-Frozen-160107-57	1	0	6
BM1077-LMPP-Frozen-160107-58	1	0	3
BM1077-LMPP-Frozen-160107-59	3	3	6
BM1077-LMPP-Frozen-160107-60	3	3	6
BM1077-LMPP-Frozen-160107-61	1	0	3
BM1077-LMPP-Frozen-160107-62	1	0	3
BM1077-LMPP-Frozen-160107-63	3	3	6
BM1077-LMPP-Frozen-160107-64	2	3	6
BM1077-LMPP-Frozen-160107-66	3	3	6
BM1077-LMPP-Frozen-160107-67	0	0	6
BM1077-LMPP-Frozen-160107-68	3	3	6
BM1077-LMPP-Frozen-160107-69	1	0	3
BM1077-LMPP-Frozen-160107-70	2	8	2
BM1077-LMPP-Frozen-160107-71	3	3	6
BM1077-LMPP-Frozen-160107-72	1	0	3
BM1077-LMPP-Frozen-160107-73	1	0	3
BM1077-LMPP-Frozen-160107-74	1	0	3
BM1077-LMPP-Frozen-160107-75	1	0	3
BM1077-LMPP-Frozen-160107-76	1	0	3
BM1077-LMPP-Frozen-160107-77	0	3	6
BM1077-LMPP-Frozen-160107-78	2	3	4
BM1077-LMPP-Frozen-160107-81	3	3	4
BM1077-LMPP-Frozen-160107-82	1	0	3
BM1077-LMPP-Frozen-160107-83	0	3	6
BM1077-LMPP-Frozen-160107-85	3	3	4
BM1077-LMPP-Frozen-160107-86	0	3	6
BM1077-LMPP-Frozen-160107-87	3	3	4
BM1077-LMPP-Frozen-160107-9	4	0	6
BM1077-LMPP-Frozen-160107-90	1	0	3
BM1077-LMPP-Frozen-160107-91	2	3	6
BM1077-LMPP-Frozen-160107-96	2	3	4
BM1077-MEP-Frozen-160107-1	1	0	3
BM1077-MEP-Frozen-160107-11	6	3	4
BM1077-MEP-Frozen-160107-12	7	0	3
BM1077-MEP-Frozen-160107-13	7	3	6
BM1077-MEP-Frozen-160107-14	7	0	6
BM1077-MEP-Frozen-160107-15	7	0	6
BM1077-MEP-Frozen-160107-16	7	0	6
BM1077-MEP-Frozen-160107-17	6	3	6
BM1077-MEP-Frozen-160107-18	6	3	4
BM1077-MEP-Frozen-160107-19	7	0	6
BM1077-MEP-Frozen-160107-2	0	0	6
BM1077-MEP-Frozen-160107-21	1	0	3
BM1077-MEP-Frozen-160107-22	7	3	6
BM1077-MEP-Frozen-160107-27	1	0	3
BM1077-MEP-Frozen-160107-28	6	3	4
BM1077-MEP-Frozen-160107-3	7	0	3
BM1077-MEP-Frozen-160107-31	7	3	6
BM1077-MEP-Frozen-160107-32	6	3	4
BM1077-MEP-Frozen-160107-33	0	0	6
BM1077-MEP-Frozen-160107-34	6	3	4
BM1077-MEP-Frozen-160107-35	0	3	4
BM1077-MEP-Frozen-160107-36	7	0	6
BM1077-MEP-Frozen-160107-37	7	0	3
BM1077-MEP-Frozen-160107-38	6	3	4
BM1077-MEP-Frozen-160107-4	6	3	4
BM1077-MEP-Frozen-160107-41	6	3	4
BM1077-MEP-Frozen-160107-42	7	0	6
BM1077-MEP-Frozen-160107-43	7	0	6
BM1077-MEP-Frozen-160107-45	7	0	3
BM1077-MEP-Frozen-160107-46	7	0	6
BM1077-MEP-Frozen-160107-49	6	3	4
BM1077-MEP-Frozen-160107-5	6	3	4
BM1077-MEP-Frozen-160107-50	7	0	3
BM1077-MEP-Frozen-160107-51	6	3	4
