	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	8	0	0
BM1077-CLP-Frozen-160106-14	8	0	0
BM1077-CLP-Frozen-160106-2	8	0	0
BM1077-CLP-Frozen-160106-21	8	0	0
BM1077-CLP-Frozen-160106-27	8	0	0
BM1077-CLP-Frozen-160106-3	8	0	0
BM1077-CLP-Frozen-160106-36	8	0	0
BM1077-CLP-Frozen-160106-42	8	0	0
BM1077-CLP-Frozen-160106-44	8	0	0
BM1077-CLP-Frozen-160106-50	8	0	0
BM1077-CLP-Frozen-160106-61	8	0	0
BM1077-CLP-Frozen-160106-62	8	0	0
BM1077-CLP-Frozen-160106-66	8	0	0
BM1077-CLP-Frozen-160106-70	8	0	0
BM1077-CLP-Frozen-160106-71	8	0	0
BM1077-CLP-Frozen-160106-72	8	0	0
BM1077-CLP-Frozen-160106-75	8	0	0
BM1077-CLP-Frozen-160106-76	8	0	0
BM1077-CLP-Frozen-160106-78	8	0	0
BM1077-CLP-Frozen-160106-79	8	0	0
BM1077-CLP-Frozen-160106-80	8	0	0
BM1077-CLP-Frozen-160106-83	8	0	0
BM1077-CLP-Frozen-160106-86	8	0	0
BM1077-CLP-Frozen-160106-87	8	0	0
BM1077-CLP-Frozen-160106-88	8	0	0
BM1077-CLP-Frozen-160106-94	8	0	0
BM1077-CLP-Frozen-160106-96	8	0	0
BM1077-CMP-Frozen-160106-1	1	0	0
BM1077-CMP-Frozen-160106-10	1	0	0
BM1077-CMP-Frozen-160106-12	1	0	0
BM1077-CMP-Frozen-160106-14	6	0	0
BM1077-CMP-Frozen-160106-15	6	0	0
BM1077-CMP-Frozen-160106-16	1	0	0
BM1077-CMP-Frozen-160106-18	1	0	0
BM1077-CMP-Frozen-160106-19	1	0	0
BM1077-CMP-Frozen-160106-2	1	0	0
BM1077-CMP-Frozen-160106-21	1	0	0
BM1077-CMP-Frozen-160106-22	6	0	0
BM1077-CMP-Frozen-160106-23	6	0	0
BM1077-CMP-Frozen-160106-24	1	0	0
BM1077-CMP-Frozen-160106-25	1	0	0
BM1077-CMP-Frozen-160106-26	0	0	0
BM1077-CMP-Frozen-160106-28	1	0	0
BM1077-CMP-Frozen-160106-3	1	0	0
BM1077-CMP-Frozen-160106-30	1	0	0
BM1077-CMP-Frozen-160106-31	1	0	0
BM1077-CMP-Frozen-160106-32	6	0	0
BM1077-CMP-Frozen-160106-33	2	0	0
BM1077-CMP-Frozen-160106-34	1	0	0
BM1077-CMP-Frozen-160106-35	6	0	0
BM1077-CMP-Frozen-160106-36	0	0	0
BM1077-CMP-Frozen-160106-37	1	0	0
BM1077-CMP-Frozen-160106-39	1	0	0
BM1077-CMP-Frozen-160106-4	4	0	0
BM1077-CMP-Frozen-160106-40	1	0	0
BM1077-CMP-Frozen-160106-42	1	0	0
BM1077-CMP-Frozen-160106-43	6	0	0
BM1077-CMP-Frozen-160106-44	1	0	0
BM1077-CMP-Frozen-160106-45	4	0	0
BM1077-CMP-Frozen-160106-46	6	0	0
BM1077-CMP-Frozen-160106-49	1	0	0
BM1077-CMP-Frozen-160106-5	0	0	0
BM1077-CMP-Frozen-160106-50	6	0	0
BM1077-CMP-Frozen-160106-51	1	0	0
BM1077-CMP-Frozen-160106-52	6	0	0
BM1077-CMP-Frozen-160106-53	0	0	0
BM1077-CMP-Frozen-160106-55	4	0	0
BM1077-CMP-Frozen-160106-56	0	0	0
BM1077-CMP-Frozen-160106-57	6	0	0
BM1077-CMP-Frozen-160106-58	1	0	0
BM1077-CMP-Frozen-160106-59	1	0	0
BM1077-CMP-Frozen-160106-6	6	0	0
BM1077-CMP-Frozen-160106-60	1	0	0
BM1077-CMP-Frozen-160106-61	6	0	0
BM1077-CMP-Frozen-160106-62	2	0	0
BM1077-CMP-Frozen-160106-64	1	0	0
BM1077-CMP-Frozen-160106-66	0	0	0
BM1077-CMP-Frozen-160106-67	2	0	0
BM1077-CMP-Frozen-160106-68	1	0	0
BM1077-CMP-Frozen-160106-69	2	0	0
BM1077-CMP-Frozen-160106-70	1	0	0
BM1077-CMP-Frozen-160106-71	0	0	0
BM1077-CMP-Frozen-160106-72	6	0	0
BM1077-CMP-Frozen-160106-74	6	0	0
BM1077-CMP-Frozen-160106-75	6	0	0
BM1077-CMP-Frozen-160106-76	2	0	0
BM1077-CMP-Frozen-160106-77	1	0	0
BM1077-CMP-Frozen-160106-78	1	0	0
BM1077-CMP-Frozen-160106-79	6	0	0
BM1077-CMP-Frozen-160106-8	1	0	0
BM1077-CMP-Frozen-160106-80	0	0	0
BM1077-CMP-Frozen-160106-82	1	0	0
BM1077-CMP-Frozen-160106-83	2	0	0
BM1077-CMP-Frozen-160106-84	0	0	0
BM1077-CMP-Frozen-160106-85	1	0	0
BM1077-CMP-Frozen-160106-86	1	0	0
BM1077-CMP-Frozen-160106-87	6	0	0
BM1077-CMP-Frozen-160106-88	1	0	0
BM1077-CMP-Frozen-160106-89	4	0	0
BM1077-CMP-Frozen-160106-91	1	0	0
BM1077-CMP-Frozen-160106-92	4	0	0
BM1077-CMP-Frozen-160106-95	2	0	0
BM1077-GMP-Frozen-160107-1	0	0	0
BM1077-GMP-Frozen-160107-10	0	0	0
BM1077-GMP-Frozen-160107-11	0	0	0
BM1077-GMP-Frozen-160107-14	0	0	0
BM1077-GMP-Frozen-160107-16	0	0	0
BM1077-GMP-Frozen-160107-20	0	0	0
BM1077-GMP-Frozen-160107-21	0	0	0
BM1077-GMP-Frozen-160107-22	0	0	0
BM1077-GMP-Frozen-160107-23	0	0	0
BM1077-GMP-Frozen-160107-25	8	0	0
BM1077-GMP-Frozen-160107-26	0	0	0
BM1077-GMP-Frozen-160107-27	0	0	0
BM1077-GMP-Frozen-160107-31	0	0	0
BM1077-GMP-Frozen-160107-32	0	0	0
BM1077-GMP-Frozen-160107-33	0	0	0
BM1077-GMP-Frozen-160107-37	0	0	0
BM1077-GMP-Frozen-160107-39	0	0	0
BM1077-GMP-Frozen-160107-40	0	0	0
BM1077-GMP-Frozen-160107-41	6	0	0
BM1077-GMP-Frozen-160107-43	0	0	0
BM1077-GMP-Frozen-160107-44	0	0	0
BM1077-GMP-Frozen-160107-45	0	0	0
BM1077-GMP-Frozen-160107-46	0	0	0
BM1077-GMP-Frozen-160107-47	8	0	0
BM1077-GMP-Frozen-160107-48	0	0	0
BM1077-GMP-Frozen-160107-49	0	0	0
BM1077-GMP-Frozen-160107-5	0	0	0
BM1077-GMP-Frozen-160107-50	0	0	0
BM1077-GMP-Frozen-160107-51	0	0	0
BM1077-GMP-Frozen-160107-52	0	0	0
BM1077-GMP-Frozen-160107-55	9	0	0
BM1077-GMP-Frozen-160107-56	0	0	0
BM1077-GMP-Frozen-160107-58	0	0	0
BM1077-GMP-Frozen-160107-59	0	0	0
BM1077-GMP-Frozen-160107-60	0	0	0
BM1077-GMP-Frozen-160107-62	0	0	0
BM1077-GMP-Frozen-160107-63	9	0	0
BM1077-GMP-Frozen-160107-67	0	0	0
BM1077-GMP-Frozen-160107-69	0	0	0
BM1077-GMP-Frozen-160107-71	0	0	0
BM1077-GMP-Frozen-160107-72	0	0	0
BM1077-GMP-Frozen-160107-73	0	0	0
BM1077-GMP-Frozen-160107-74	0	0	0
BM1077-GMP-Frozen-160107-75	0	0	0
BM1077-GMP-Frozen-160107-76	0	0	0
BM1077-GMP-Frozen-160107-77	0	0	0
BM1077-GMP-Frozen-160107-79	0	0	0
BM1077-GMP-Frozen-160107-80	0	0	0
BM1077-GMP-Frozen-160107-81	0	0	0
BM1077-GMP-Frozen-160107-83	7	0	0
BM1077-GMP-Frozen-160107-84	0	0	0
BM1077-GMP-Frozen-160107-85	0	0	0
BM1077-GMP-Frozen-160107-86	0	0	0
BM1077-GMP-Frozen-160107-87	0	0	0
BM1077-GMP-Frozen-160107-88	0	0	0
BM1077-GMP-Frozen-160107-89	0	0	0
BM1077-GMP-Frozen-160107-9	0	0	0
BM1077-GMP-Frozen-160107-91	0	0	0
BM1077-GMP-Frozen-160107-92	7	0	0
BM1077-GMP-Frozen-160107-96	0	0	0
BM1077-HSC-Frozen-160105-1	2	0	0
BM1077-HSC-Frozen-160105-10	2	0	0
BM1077-HSC-Frozen-160105-11	2	0	0
BM1077-HSC-Frozen-160105-12	2	0	0
BM1077-HSC-Frozen-160105-13	2	0	0
BM1077-HSC-Frozen-160105-14	2	0	0
BM1077-HSC-Frozen-160105-15	2	0	0
BM1077-HSC-Frozen-160105-16	2	0	0
BM1077-HSC-Frozen-160105-19	2	0	0
BM1077-HSC-Frozen-160105-2	2	0	0
BM1077-HSC-Frozen-160105-20	2	0	0
BM1077-HSC-Frozen-160105-21	2	0	0
BM1077-HSC-Frozen-160105-22	2	0	0
BM1077-HSC-Frozen-160105-24	2	0	0
BM1077-HSC-Frozen-160105-25	2	0	0
BM1077-HSC-Frozen-160105-26	2	0	0
BM1077-HSC-Frozen-160105-27	2	0	0
BM1077-HSC-Frozen-160105-29	2	0	0
BM1077-HSC-Frozen-160105-3	2	0	0
