	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	4	0	0
BM1077-CLP-Frozen-160106-14	4	0	0
BM1077-CLP-Frozen-160106-2	4	0	0
BM1077-CLP-Frozen-160106-21	4	0	0
BM1077-CLP-Frozen-160106-27	4	0	0
BM1077-CLP-Frozen-160106-3	1	0	0
BM1077-CLP-Frozen-160106-36	4	0	0
BM1077-CLP-Frozen-160106-42	4	0	0
BM1077-CLP-Frozen-160106-44	1	0	0
BM1077-CLP-Frozen-160106-50	4	0	0
BM1077-CLP-Frozen-160106-61	1	0	0
BM1077-CLP-Frozen-160106-62	4	0	0
BM1077-CLP-Frozen-160106-66	4	0	0
BM1077-CLP-Frozen-160106-70	1	0	0
BM1077-CLP-Frozen-160106-71	4	0	0
BM1077-CLP-Frozen-160106-72	4	0	0
BM1077-CLP-Frozen-160106-75	1	0	0
BM1077-CLP-Frozen-160106-76	1	0	0
BM1077-CLP-Frozen-160106-78	4	0	0
BM1077-CLP-Frozen-160106-79	1	0	0
BM1077-CLP-Frozen-160106-80	5	3	0
BM1077-CLP-Frozen-160106-83	4	0	0
BM1077-CLP-Frozen-160106-86	4	0	0
BM1077-CLP-Frozen-160106-87	4	0	0
BM1077-CLP-Frozen-160106-88	4	0	0
BM1077-CLP-Frozen-160106-94	0	7	2
BM1077-CLP-Frozen-160106-96	1	0	0
BM1077-CMP-Frozen-160106-1	1	0	0
BM1077-CMP-Frozen-160106-10	1	0	0
BM1077-CMP-Frozen-160106-12	5	3	0
BM1077-CMP-Frozen-160106-14	2	3	2
BM1077-CMP-Frozen-160106-15	2	3	2
BM1077-CMP-Frozen-160106-16	2	7	2
BM1077-CMP-Frozen-160106-18	0	7	2
BM1077-CMP-Frozen-160106-19	1	0	0
BM1077-CMP-Frozen-160106-2	1	0	0
BM1077-CMP-Frozen-160106-21	1	0	0
BM1077-CMP-Frozen-160106-22	1	3	0
BM1077-CMP-Frozen-160106-23	3	1	5
BM1077-CMP-Frozen-160106-24	1	0	0
BM1077-CMP-Frozen-160106-25	0	7	2
BM1077-CMP-Frozen-160106-26	2	7	2
BM1077-CMP-Frozen-160106-28	2	7	2
BM1077-CMP-Frozen-160106-3	1	0	0
BM1077-CMP-Frozen-160106-30	2	3	0
BM1077-CMP-Frozen-160106-31	5	3	2
BM1077-CMP-Frozen-160106-32	5	7	2
BM1077-CMP-Frozen-160106-33	1	0	0
BM1077-CMP-Frozen-160106-34	4	0	0
BM1077-CMP-Frozen-160106-35	2	7	2
BM1077-CMP-Frozen-160106-36	1	0	0
BM1077-CMP-Frozen-160106-37	7	3	0
BM1077-CMP-Frozen-160106-39	2	3	2
BM1077-CMP-Frozen-160106-4	1	3	0
BM1077-CMP-Frozen-160106-40	6	1	6
BM1077-CMP-Frozen-160106-42	0	7	2
BM1077-CMP-Frozen-160106-43	2	3	2
BM1077-CMP-Frozen-160106-44	1	0	0
BM1077-CMP-Frozen-160106-45	1	3	0
BM1077-CMP-Frozen-160106-46	0	7	2
BM1077-CMP-Frozen-160106-49	4	0	0
BM1077-CMP-Frozen-160106-5	5	3	0
BM1077-CMP-Frozen-160106-50	4	0	0
BM1077-CMP-Frozen-160106-51	4	0	0
BM1077-CMP-Frozen-160106-52	2	3	2
BM1077-CMP-Frozen-160106-53	5	3	0
BM1077-CMP-Frozen-160106-55	2	3	2
BM1077-CMP-Frozen-160106-56	5	3	0
BM1077-CMP-Frozen-160106-57	1	0	0
BM1077-CMP-Frozen-160106-58	2	3	2
BM1077-CMP-Frozen-160106-59	7	3	2
BM1077-CMP-Frozen-160106-6	4	0	0
BM1077-CMP-Frozen-160106-60	6	4	8
BM1077-CMP-Frozen-160106-61	0	7	2
BM1077-CMP-Frozen-160106-62	1	0	0
BM1077-CMP-Frozen-160106-64	6	6	8
BM1077-CMP-Frozen-160106-66	1	0	0
BM1077-CMP-Frozen-160106-67	2	7	2
BM1077-CMP-Frozen-160106-68	1	0	0
BM1077-CMP-Frozen-160106-69	7	3	2
BM1077-CMP-Frozen-160106-70	5	3	0
BM1077-CMP-Frozen-160106-71	6	4	6
BM1077-CMP-Frozen-160106-72	5	7	2
BM1077-CMP-Frozen-160106-74	2	7	2
BM1077-CMP-Frozen-160106-75	0	7	2
BM1077-CMP-Frozen-160106-76	2	7	2
BM1077-CMP-Frozen-160106-77	2	7	2
BM1077-CMP-Frozen-160106-78	2	3	2
BM1077-CMP-Frozen-160106-79	4	0	0
BM1077-CMP-Frozen-160106-8	4	0	0
BM1077-CMP-Frozen-160106-80	4	0	0
BM1077-CMP-Frozen-160106-82	1	0	0
BM1077-CMP-Frozen-160106-83	7	3	0
BM1077-CMP-Frozen-160106-84	5	3	0
BM1077-CMP-Frozen-160106-85	3	1	5
BM1077-CMP-Frozen-160106-86	2	3	2
BM1077-CMP-Frozen-160106-87	4	0	0
BM1077-CMP-Frozen-160106-88	1	0	0
BM1077-CMP-Frozen-160106-89	4	0	0
BM1077-CMP-Frozen-160106-91	0	7	2
BM1077-CMP-Frozen-160106-92	2	3	2
BM1077-CMP-Frozen-160106-95	7	3	0
BM1077-GMP-Frozen-160107-1	1	0	0
BM1077-GMP-Frozen-160107-10	0	7	2
BM1077-GMP-Frozen-160107-11	5	3	0
BM1077-GMP-Frozen-160107-14	2	3	2
BM1077-GMP-Frozen-160107-16	1	0	0
BM1077-GMP-Frozen-160107-20	5	3	0
BM1077-GMP-Frozen-160107-21	0	7	2
BM1077-GMP-Frozen-160107-22	0	7	2
BM1077-GMP-Frozen-160107-23	5	3	0
BM1077-GMP-Frozen-160107-25	2	3	2
BM1077-GMP-Frozen-160107-26	0	7	2
BM1077-GMP-Frozen-160107-27	1	0	0
BM1077-GMP-Frozen-160107-31	2	3	2
BM1077-GMP-Frozen-160107-32	2	3	2
BM1077-GMP-Frozen-160107-33	4	0	0
BM1077-GMP-Frozen-160107-37	0	7	2
BM1077-GMP-Frozen-160107-39	0	7	2
BM1077-GMP-Frozen-160107-40	2	3	2
BM1077-GMP-Frozen-160107-41	4	0	0
BM1077-GMP-Frozen-160107-43	4	0	0
BM1077-GMP-Frozen-160107-44	2	3	2
BM1077-GMP-Frozen-160107-45	3	1	5
BM1077-GMP-Frozen-160107-46	5	3	0
BM1077-GMP-Frozen-160107-47	2	7	2
BM1077-GMP-Frozen-160107-48	1	0	0
BM1077-GMP-Frozen-160107-49	5	3	0
BM1077-GMP-Frozen-160107-5	2	3	0
BM1077-GMP-Frozen-160107-50	1	3	0
BM1077-GMP-Frozen-160107-51	5	3	0
BM1077-GMP-Frozen-160107-52	0	7	2
BM1077-GMP-Frozen-160107-55	4	0	0
BM1077-GMP-Frozen-160107-56	5	3	0
BM1077-GMP-Frozen-160107-58	2	3	2
BM1077-GMP-Frozen-160107-59	2	3	2
BM1077-GMP-Frozen-160107-60	1	0	0
BM1077-GMP-Frozen-160107-62	5	3	0
BM1077-GMP-Frozen-160107-63	4	0	0
BM1077-GMP-Frozen-160107-67	1	0	0
BM1077-GMP-Frozen-160107-69	2	7	2
BM1077-GMP-Frozen-160107-71	6	4	6
BM1077-GMP-Frozen-160107-72	0	7	2
BM1077-GMP-Frozen-160107-73	0	7	2
BM1077-GMP-Frozen-160107-74	0	7	2
BM1077-GMP-Frozen-160107-75	5	3	0
BM1077-GMP-Frozen-160107-76	2	3	2
BM1077-GMP-Frozen-160107-77	3	1	5
BM1077-GMP-Frozen-160107-79	4	0	0
BM1077-GMP-Frozen-160107-80	1	0	0
