	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	0	2	4
BM1077-CLP-Frozen-160106-14	2	3	6
BM1077-CLP-Frozen-160106-2	0	2	2
BM1077-CLP-Frozen-160106-21	1	3	6
BM1077-CLP-Frozen-160106-27	7	1	0
BM1077-CLP-Frozen-160106-3	0	2	0
BM1077-CLP-Frozen-160106-36	7	1	0
BM1077-CLP-Frozen-160106-42	1	2	2
BM1077-CLP-Frozen-160106-44	1	0	2
BM1077-CLP-Frozen-160106-50	0	2	2
BM1077-CLP-Frozen-160106-61	1	0	2
BM1077-CLP-Frozen-160106-62	0	2	0
BM1077-CLP-Frozen-160106-66	8	3	3
BM1077-CLP-Frozen-160106-70	1	0	2
BM1077-CLP-Frozen-160106-71	9	4	7
BM1077-CLP-Frozen-160106-72	1	0	6
BM1077-CLP-Frozen-160106-75	4	5	4
BM1077-CLP-Frozen-160106-76	1	4	7
BM1077-CLP-Frozen-160106-78	9	4	7
BM1077-CLP-Frozen-160106-79	1	3	6
BM1077-CLP-Frozen-160106-80	6	5	5
BM1077-CLP-Frozen-160106-83	1	0	6
BM1077-CLP-Frozen-160106-86	2	9	1
BM1077-CLP-Frozen-160106-87	3	9	1
BM1077-CLP-Frozen-160106-88	0	2	2
BM1077-CLP-Frozen-160106-94	2	3	6
BM1077-CLP-Frozen-160106-96	1	0	2
BM1077-CMP-Frozen-160106-1	1	0	6
BM1077-CMP-Frozen-160106-10	3	6	1
BM1077-CMP-Frozen-160106-12	8	3	6
BM1077-CMP-Frozen-160106-14	2	3	3
BM1077-CMP-Frozen-160106-15	2	3	3
BM1077-CMP-Frozen-160106-16	4	5	4
BM1077-CMP-Frozen-160106-18	5	2	4
BM1077-CMP-Frozen-160106-19	2	3	3
BM1077-CMP-Frozen-160106-2	3	4	6
BM1077-CMP-Frozen-160106-21	2	9	1
BM1077-CMP-Frozen-160106-22	3	6	9
BM1077-CMP-Frozen-160106-23	1	0	2
BM1077-CMP-Frozen-160106-24	8	4	6
BM1077-CMP-Frozen-160106-25	1	0	7
BM1077-CMP-Frozen-160106-26	3	6	3
BM1077-CMP-Frozen-160106-28	1	4	7
BM1077-CMP-Frozen-160106-3	2	3	3
BM1077-CMP-Frozen-160106-30	2	3	3
BM1077-CMP-Frozen-160106-31	2	3	6
BM1077-CMP-Frozen-160106-32	8	3	6
BM1077-CMP-Frozen-160106-33	3	4	9
BM1077-CMP-Frozen-160106-34	8	3	6
BM1077-CMP-Frozen-160106-35	1	0	2
BM1077-CMP-Frozen-160106-36	3	3	3
BM1077-CMP-Frozen-160106-37	6	4	7
BM1077-CMP-Frozen-160106-39	3	4	9
BM1077-CMP-Frozen-160106-4	2	3	3
BM1077-CMP-Frozen-160106-40	2	3	6
BM1077-CMP-Frozen-160106-42	2	3	3
BM1077-CMP-Frozen-160106-43	0	2	4
BM1077-CMP-Frozen-160106-44	2	3	3
BM1077-CMP-Frozen-160106-45	3	4	6
BM1077-CMP-Frozen-160106-46	2	9	1
BM1077-CMP-Frozen-160106-49	2	9	1
BM1077-CMP-Frozen-160106-5	2	9	1
BM1077-CMP-Frozen-160106-50	2	9	1
BM1077-CMP-Frozen-160106-51	2	9	1
BM1077-CMP-Frozen-160106-52	1	0	2
