	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	4	6	0
BM1077-CLP-Frozen-160106-14	0	1	9
BM1077-CLP-Frozen-160106-2	7	6	0
BM1077-CLP-Frozen-160106-21	0	1	6
BM1077-CLP-Frozen-160106-27	5	7	4
BM1077-CLP-Frozen-160106-3	7	6	0
BM1077-CLP-Frozen-160106-36	5	7	0
BM1077-CLP-Frozen-160106-42	7	4	3
BM1077-CLP-Frozen-160106-44	1	4	3
BM1077-CLP-Frozen-160106-50	7	6	0
BM1077-CLP-Frozen-160106-61	1	4	3
BM1077-CLP-Frozen-160106-62	7	6	0
BM1077-CLP-Frozen-160106-66	1	1	6
BM1077-CLP-Frozen-160106-70	1	4	3
BM1077-CLP-Frozen-160106-71	3	8	2
BM1077-CLP-Frozen-160106-72	1	4	6
BM1077-CLP-Frozen-160106-75	6	0	2
BM1077-CLP-Frozen-160106-76	3	8	2
BM1077-CLP-Frozen-160106-78	3	8	2
BM1077-CLP-Frozen-160106-79	0	1	6
BM1077-CLP-Frozen-160106-80	2	0	3
BM1077-CLP-Frozen-160106-83	0	1	6
BM1077-CLP-Frozen-160106-86	9	3	1
BM1077-CLP-Frozen-160106-87	0	3	1
BM1077-CLP-Frozen-160106-88	7	6	0
BM1077-CLP-Frozen-160106-94	0	1	9
BM1077-CLP-Frozen-160106-96	1	4	3
BM1077-CMP-Frozen-160106-1	1	4	6
BM1077-CMP-Frozen-160106-10	0	3	1
BM1077-CMP-Frozen-160106-12	1	1	8
BM1077-CMP-Frozen-160106-14	0	1	1
BM1077-CMP-Frozen-160106-15	0	1	1
BM1077-CMP-Frozen-160106-16	2	0	3
BM1077-CMP-Frozen-160106-18	2	6	0
BM1077-CMP-Frozen-160106-19	0	1	9
BM1077-CMP-Frozen-160106-2	1	1	6
BM1077-CMP-Frozen-160106-21	9	3	1
BM1077-CMP-Frozen-160106-22	3	5	6
BM1077-CMP-Frozen-160106-23	1	4	6
BM1077-CMP-Frozen-160106-24	1	1	6
BM1077-CMP-Frozen-160106-25	1	4	6
BM1077-CMP-Frozen-160106-26	0	5	8
BM1077-CMP-Frozen-160106-28	3	8	6
BM1077-CMP-Frozen-160106-3	0	1	9
BM1077-CMP-Frozen-160106-30	1	1	1
BM1077-CMP-Frozen-160106-31	0	1	9
BM1077-CMP-Frozen-160106-32	1	1	6
BM1077-CMP-Frozen-160106-33	3	5	6
BM1077-CMP-Frozen-160106-34	1	1	8
BM1077-CMP-Frozen-160106-35	1	4	6
BM1077-CMP-Frozen-160106-36	0	5	8
BM1077-CMP-Frozen-160106-37	8	9	5
BM1077-CMP-Frozen-160106-39	3	5	8
BM1077-CMP-Frozen-160106-4	0	5	1
BM1077-CMP-Frozen-160106-40	0	1	9
BM1077-CMP-Frozen-160106-42	0	1	9
BM1077-CMP-Frozen-160106-43	7	6	0
BM1077-CMP-Frozen-160106-44	0	1	1
BM1077-CMP-Frozen-160106-45	1	1	6
BM1077-CMP-Frozen-160106-46	9	3	1
BM1077-CMP-Frozen-160106-49	9	3	1
BM1077-CMP-Frozen-160106-5	9	3	1
BM1077-CMP-Frozen-160106-50	9	3	1
BM1077-CMP-Frozen-160106-51	9	3	1
BM1077-CMP-Frozen-160106-52	1	4	6
BM1077-CMP-Frozen-160106-53	2	0	3
BM1077-CMP-Frozen-160106-55	3	5	1
BM1077-CMP-Frozen-160106-56	1	4	6
BM1077-CMP-Frozen-160106-57	0	3	1
BM1077-CMP-Frozen-160106-58	7	6	0
BM1077-CMP-Frozen-160106-59	3	5	8
BM1077-CMP-Frozen-160106-6	1	8	6
BM1077-CMP-Frozen-160106-60	1	4	6
BM1077-CMP-Frozen-160106-61	1	4	6
BM1077-CMP-Frozen-160106-62	3	8	6
BM1077-CMP-Frozen-160106-64	0	1	6
BM1077-CMP-Frozen-160106-66	1	4	6
BM1077-CMP-Frozen-160106-67	0	3	9
BM1077-CMP-Frozen-160106-68	9	3	1
BM1077-CMP-Frozen-160106-69	9	3	1
BM1077-CMP-Frozen-160106-70	1	4	6
BM1077-CMP-Frozen-160106-71	0	1	9
BM1077-CMP-Frozen-160106-72	2	4	3
BM1077-CMP-Frozen-160106-74	1	1	6
BM1077-CMP-Frozen-160106-75	1	4	3
BM1077-CMP-Frozen-160106-76	1	1	6
BM1077-CMP-Frozen-160106-77	1	4	6
BM1077-CMP-Frozen-160106-78	6	0	3
BM1077-CMP-Frozen-160106-79	0	5	8
BM1077-CMP-Frozen-160106-8	0	3	1
BM1077-CMP-Frozen-160106-80	1	4	6
BM1077-CMP-Frozen-160106-82	1	1	6
BM1077-CMP-Frozen-160106-83	0	5	1
BM1077-CMP-Frozen-160106-84	3	8	6
BM1077-CMP-Frozen-160106-85	1	1	6
BM1077-CMP-Frozen-160106-86	3	5	8
BM1077-CMP-Frozen-160106-87	0	1	9
BM1077-CMP-Frozen-160106-88	0	1	9
BM1077-CMP-Frozen-160106-89	0	5	1
BM1077-CMP-Frozen-160106-91	0	1	9
BM1077-CMP-Frozen-160106-92	0	5	1
BM1077-CMP-Frozen-160106-95	3	5	6
BM1077-GMP-Frozen-160107-1	1	1	6
BM1077-GMP-Frozen-160107-10	1	4	3
BM1077-GMP-Frozen-160107-11	2	6	0
BM1077-GMP-Frozen-160107-14	0	1	9
BM1077-GMP-Frozen-160107-16	2	2	0
BM1077-GMP-Frozen-160107-20	5	7	0
BM1077-GMP-Frozen-160107-21	0	1	1
BM1077-GMP-Frozen-160107-22	2	0	3
BM1077-GMP-Frozen-160107-23	2	6	0
BM1077-GMP-Frozen-160107-25	2	0	0
BM1077-GMP-Frozen-160107-26	1	1	6
BM1077-GMP-Frozen-160107-27	2	0	3
BM1077-GMP-Frozen-160107-31	1	1	6
BM1077-GMP-Frozen-160107-32	2	6	0
BM1077-GMP-Frozen-160107-33	2	6	0
BM1077-GMP-Frozen-160107-37	2	2	0
BM1077-GMP-Frozen-160107-39	2	2	0
BM1077-GMP-Frozen-160107-40	3	8	3
BM1077-GMP-Frozen-160107-41	2	9	5
BM1077-GMP-Frozen-160107-43	2	2	0
BM1077-GMP-Frozen-160107-44	2	0	3
BM1077-GMP-Frozen-160107-45	1	4	3
BM1077-GMP-Frozen-160107-46	2	6	0
BM1077-GMP-Frozen-160107-47	7	6	0
BM1077-GMP-Frozen-160107-48	0	3	9
BM1077-GMP-Frozen-160107-49	2	6	0
BM1077-GMP-Frozen-160107-5	2	0	3
BM1077-GMP-Frozen-160107-50	3	4	6
BM1077-GMP-Frozen-160107-51	1	1	6
BM1077-GMP-Frozen-160107-52	2	9	3
BM1077-GMP-Frozen-160107-55	5	7	0
BM1077-GMP-Frozen-160107-56	2	0	3
BM1077-GMP-Frozen-160107-58	7	6	0
BM1077-GMP-Frozen-160107-59	2	6	0
BM1077-GMP-Frozen-160107-60	2	6	0
BM1077-GMP-Frozen-160107-62	3	8	3
BM1077-GMP-Frozen-160107-63	1	4	6
BM1077-GMP-Frozen-160107-67	2	6	0
BM1077-GMP-Frozen-160107-69	2	2	0
BM1077-GMP-Frozen-160107-71	0	3	9
BM1077-GMP-Frozen-160107-72	3	9	3
BM1077-GMP-Frozen-160107-73	2	9	3
BM1077-GMP-Frozen-160107-74	1	1	6
BM1077-GMP-Frozen-160107-75	2	6	0
BM1077-GMP-Frozen-160107-76	7	6	0
BM1077-GMP-Frozen-160107-77	0	1	8
BM1077-GMP-Frozen-160107-79	2	0	3
BM1077-GMP-Frozen-160107-80	2	0	0
BM1077-GMP-Frozen-160107-81	3	8	3
BM1077-GMP-Frozen-160107-83	5	7	4
BM1077-GMP-Frozen-160107-84	2	0	3
BM1077-GMP-Frozen-160107-85	7	6	0
BM1077-GMP-Frozen-160107-86	1	1	6
BM1077-GMP-Frozen-160107-87	2	2	0
BM1077-GMP-Frozen-160107-88	2	0	3
BM1077-GMP-Frozen-160107-89	2	6	0
BM1077-GMP-Frozen-160107-9	2	6	0
BM1077-GMP-Frozen-160107-91	3	8	3
BM1077-GMP-Frozen-160107-92	7	6	0
BM1077-GMP-Frozen-160107-96	2	0	3
BM1077-HSC-Frozen-160105-1	2	9	7
BM1077-HSC-Frozen-160105-10	2	9	3
BM1077-HSC-Frozen-160105-11	8	9	5
BM1077-HSC-Frozen-160105-12	1	1	6
BM1077-HSC-Frozen-160105-13	2	2	0
BM1077-HSC-Frozen-160105-14	2	0	0
BM1077-HSC-Frozen-160105-15	1	1	6
BM1077-HSC-Frozen-160105-16	2	0	0
BM1077-HSC-Frozen-160105-19	1	8	6
BM1077-HSC-Frozen-160105-2	2	9	0
BM1077-HSC-Frozen-160105-20	2	2	7
BM1077-HSC-Frozen-160105-21	2	9	0
BM1077-HSC-Frozen-160105-22	2	6	0
BM1077-HSC-Frozen-160105-24	1	4	6
BM1077-HSC-Frozen-160105-25	3	8	3
BM1077-HSC-Frozen-160105-26	8	9	5
BM1077-HSC-Frozen-160105-27	7	6	0
BM1077-HSC-Frozen-160105-29	3	5	6
BM1077-HSC-Frozen-160105-3	2	0	0
BM1077-HSC-Frozen-160105-31	2	0	3
BM1077-HSC-Frozen-160105-32	2	0	0
BM1077-HSC-Frozen-160105-34	2	8	3
BM1077-HSC-Frozen-160105-36	2	0	3
BM1077-HSC-Frozen-160105-37	2	9	0
BM1077-HSC-Frozen-160105-38	8	9	5
BM1077-HSC-Frozen-160105-39	3	5	8
BM1077-HSC-Frozen-160105-4	2	2	7
BM1077-HSC-Frozen-160105-40	2	2	7
BM1077-HSC-Frozen-160105-41	2	0	0
BM1077-HSC-Frozen-160105-42	1	4	6
BM1077-HSC-Frozen-160105-43	2	9	3
BM1077-HSC-Frozen-160105-44	8	9	5
BM1077-HSC-Frozen-160105-47	5	2	7
BM1077-HSC-Frozen-160105-48	7	6	0
BM1077-HSC-Frozen-160105-49	2	2	7
BM1077-HSC-Frozen-160105-5	8	9	5
BM1077-HSC-Frozen-160105-50	2	9	7
BM1077-HSC-Frozen-160105-51	7	6	0
BM1077-HSC-Frozen-160105-53	8	9	5
BM1077-HSC-Frozen-160105-54	1	4	6
BM1077-HSC-Frozen-160105-55	3	5	8
BM1077-HSC-Frozen-160105-56	2	0	0
BM1077-HSC-Frozen-160105-57	2	0	0
BM1077-HSC-Frozen-160105-58	8	9	5
BM1077-HSC-Frozen-160105-59	8	9	5
BM1077-HSC-Frozen-160105-6	2	6	0
