	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	8	6	3
BM1077-CLP-Frozen-160106-14	8	6	3
BM1077-CLP-Frozen-160106-2	8	6	3
BM1077-CLP-Frozen-160106-21	8	4	3
BM1077-CLP-Frozen-160106-27	8	6	3
BM1077-CLP-Frozen-160106-3	8	6	3
BM1077-CLP-Frozen-160106-36	8	6	3
BM1077-CLP-Frozen-160106-42	8	4	3
BM1077-CLP-Frozen-160106-44	8	6	3
BM1077-CLP-Frozen-160106-50	8	6	3
BM1077-CLP-Frozen-160106-61	8	6	3
BM1077-CLP-Frozen-160106-62	8	6	3
BM1077-CLP-Frozen-160106-66	8	6	3
BM1077-CLP-Frozen-160106-70	8	6	3
BM1077-CLP-Frozen-160106-71	8	6	3
BM1077-CLP-Frozen-160106-72	8	6	3
BM1077-CLP-Frozen-160106-75	8	6	3
BM1077-CLP-Frozen-160106-76	8	6	3
BM1077-CLP-Frozen-160106-78	8	6	3
BM1077-CLP-Frozen-160106-79	8	6	3
BM1077-CLP-Frozen-160106-80	8	6	3
BM1077-CLP-Frozen-160106-83	8	6	3
BM1077-CLP-Frozen-160106-86	8	4	3
BM1077-CLP-Frozen-160106-87	8	4	3
BM1077-CLP-Frozen-160106-88	8	6	3
BM1077-CLP-Frozen-160106-94	8	9	2
BM1077-CLP-Frozen-160106-96	8	6	3
BM1077-CMP-Frozen-160106-1	1	6	3
BM1077-CMP-Frozen-160106-10	1	6	3
BM1077-CMP-Frozen-160106-12	3	0	1
BM1077-CMP-Frozen-160106-14	0	1	5
BM1077-CMP-Frozen-160106-15	0	8	5
BM1077-CMP-Frozen-160106-16	5	0	1
BM1077-CMP-Frozen-160106-18	5	9	8
BM1077-CMP-Frozen-160106-19	1	6	3
BM1077-CMP-Frozen-160106-2	1	0	3
BM1077-CMP-Frozen-160106-21	1	6	3
BM1077-CMP-Frozen-160106-22	3	0	5
BM1077-CMP-Frozen-160106-23	0	9	2
BM1077-CMP-Frozen-160106-24	1	6	3
BM1077-CMP-Frozen-160106-25	3	8	2
BM1077-CMP-Frozen-160106-26	2	3	7
BM1077-CMP-Frozen-160106-28	5	7	8
BM1077-CMP-Frozen-160106-3	1	1	5
BM1077-CMP-Frozen-160106-30	5	0	1
BM1077-CMP-Frozen-160106-31	3	8	5
BM1077-CMP-Frozen-160106-32	0	8	5
BM1077-CMP-Frozen-160106-33	0	0	1
BM1077-CMP-Frozen-160106-34	1	6	4
BM1077-CMP-Frozen-160106-35	0	8	1
BM1077-CMP-Frozen-160106-36	1	6	3
BM1077-CMP-Frozen-160106-37	5	0	1
BM1077-CMP-Frozen-160106-39	5	0	1
BM1077-CMP-Frozen-160106-4	5	0	1
BM1077-CMP-Frozen-160106-40	0	9	2
BM1077-CMP-Frozen-160106-42	3	8	5
BM1077-CMP-Frozen-160106-43	0	0	1
BM1077-CMP-Frozen-160106-44	1	6	3
BM1077-CMP-Frozen-160106-45	5	0	1
BM1077-CMP-Frozen-160106-46	0	9	1
BM1077-CMP-Frozen-160106-49	1	4	4
BM1077-CMP-Frozen-160106-5	4	1	5
BM1077-CMP-Frozen-160106-50	1	6	4
BM1077-CMP-Frozen-160106-51	1	4	4
BM1077-CMP-Frozen-160106-52	0	0	5
BM1077-CMP-Frozen-160106-53	4	1	5
BM1077-CMP-Frozen-160106-55	5	7	1
BM1077-CMP-Frozen-160106-56	4	1	5
BM1077-CMP-Frozen-160106-57	1	6	3
BM1077-CMP-Frozen-160106-58	0	8	1
BM1077-CMP-Frozen-160106-59	5	0	1
BM1077-CMP-Frozen-160106-6	1	6	4
BM1077-CMP-Frozen-160106-60	0	5	2
BM1077-CMP-Frozen-160106-61	0	9	2
BM1077-CMP-Frozen-160106-62	1	6	3
BM1077-CMP-Frozen-160106-64	5	5	8
BM1077-CMP-Frozen-160106-66	1	6	3
BM1077-CMP-Frozen-160106-67	0	9	1
BM1077-CMP-Frozen-160106-68	1	6	3
BM1077-CMP-Frozen-160106-69	5	0	5
BM1077-CMP-Frozen-160106-70	3	0	5
BM1077-CMP-Frozen-160106-71	0	5	2
BM1077-CMP-Frozen-160106-72	0	8	1
BM1077-CMP-Frozen-160106-74	0	8	1
BM1077-CMP-Frozen-160106-75	0	9	1
BM1077-CMP-Frozen-160106-76	0	8	1
BM1077-CMP-Frozen-160106-77	3	8	5
BM1077-CMP-Frozen-160106-78	5	0	1
BM1077-CMP-Frozen-160106-79	1	6	4
BM1077-CMP-Frozen-160106-8	1	6	4
BM1077-CMP-Frozen-160106-80	1	6	4
BM1077-CMP-Frozen-160106-82	1	6	4
BM1077-CMP-Frozen-160106-83	0	0	1
BM1077-CMP-Frozen-160106-84	4	1	5
BM1077-CMP-Frozen-160106-85	5	7	8
BM1077-CMP-Frozen-160106-86	5	0	1
BM1077-CMP-Frozen-160106-87	1	6	4
BM1077-CMP-Frozen-160106-88	1	6	3
BM1077-CMP-Frozen-160106-89	1	4	4
BM1077-CMP-Frozen-160106-91	3	8	5
BM1077-CMP-Frozen-160106-92	5	0	1
BM1077-CMP-Frozen-160106-95	0	0	1
BM1077-GMP-Frozen-160107-1	4	1	5
BM1077-GMP-Frozen-160107-10	2	3	7
BM1077-GMP-Frozen-160107-11	4	1	5
BM1077-GMP-Frozen-160107-14	0	1	5
BM1077-GMP-Frozen-160107-16	4	1	5
BM1077-GMP-Frozen-160107-20	4	1	5
BM1077-GMP-Frozen-160107-21	4	1	5
BM1077-GMP-Frozen-160107-22	2	3	7
BM1077-GMP-Frozen-160107-23	4	1	5
BM1077-GMP-Frozen-160107-25	0	9	2
BM1077-GMP-Frozen-160107-26	2	3	7
BM1077-GMP-Frozen-160107-27	4	1	5
BM1077-GMP-Frozen-160107-31	4	1	5
BM1077-GMP-Frozen-160107-32	4	1	5
BM1077-GMP-Frozen-160107-33	1	6	4
BM1077-GMP-Frozen-160107-37	2	3	7
BM1077-GMP-Frozen-160107-39	2	3	7
BM1077-GMP-Frozen-160107-40	4	1	5
BM1077-GMP-Frozen-160107-41	1	6	3
