	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	3	4	8
BM1077-CLP-Frozen-160106-14	3	4	8
BM1077-CLP-Frozen-160106-2	3	4	8
BM1077-CLP-Frozen-160106-21	3	4	8
BM1077-CLP-Frozen-160106-27	0	2	2
BM1077-CLP-Frozen-160106-3	3	4	8
BM1077-CLP-Frozen-160106-36	3	4	8
BM1077-CLP-Frozen-160106-42	3	4	8
BM1077-CLP-Frozen-160106-44	3	4	8
BM1077-CLP-Frozen-160106-50	3	4	8
BM1077-CLP-Frozen-160106-61	3	4	8
BM1077-CLP-Frozen-160106-62	3	4	8
BM1077-CLP-Frozen-160106-66	0	2	8
BM1077-CLP-Frozen-160106-70	3	4	8
BM1077-CLP-Frozen-160106-71	3	4	8
BM1077-CLP-Frozen-160106-72	3	4	8
BM1077-CLP-Frozen-160106-75	3	4	8
BM1077-CLP-Frozen-160106-76	3	4	8
BM1077-CLP-Frozen-160106-78	3	4	8
BM1077-CLP-Frozen-160106-79	3	4	8
BM1077-CLP-Frozen-160106-80	3	4	8
BM1077-CLP-Frozen-160106-83	3	4	8
BM1077-CLP-Frozen-160106-86	3	4	1
BM1077-CLP-Frozen-160106-87	3	4	8
BM1077-CLP-Frozen-160106-88	3	4	8
BM1077-CLP-Frozen-160106-94	3	4	8
BM1077-CLP-Frozen-160106-96	3	4	8
BM1077-CMP-Frozen-160106-1	5	8	4
BM1077-CMP-Frozen-160106-10	5	8	4
BM1077-CMP-Frozen-160106-12	5	8	4
BM1077-CMP-Frozen-160106-14	5	8	4
BM1077-CMP-Frozen-160106-15	5	8	4
BM1077-CMP-Frozen-160106-16	5	5	4
BM1077-CMP-Frozen-160106-18	5	5	4
BM1077-CMP-Frozen-160106-19	5	8	4
BM1077-CMP-Frozen-160106-2	5	8	4
BM1077-CMP-Frozen-160106-21	5	8	4
BM1077-CMP-Frozen-160106-22	5	8	4
BM1077-CMP-Frozen-160106-23	5	8	4
BM1077-CMP-Frozen-160106-24	5	8	4
BM1077-CMP-Frozen-160106-25	5	8	4
BM1077-CMP-Frozen-160106-26	5	8	4
BM1077-CMP-Frozen-160106-28	5	8	4
BM1077-CMP-Frozen-160106-3	5	8	4
BM1077-CMP-Frozen-160106-30	5	8	4
BM1077-CMP-Frozen-160106-31	5	8	4
BM1077-CMP-Frozen-160106-32	5	8	4
BM1077-CMP-Frozen-160106-33	5	8	4
BM1077-CMP-Frozen-160106-34	5	8	4
BM1077-CMP-Frozen-160106-35	5	2	4
BM1077-CMP-Frozen-160106-36	5	8	4
BM1077-CMP-Frozen-160106-37	5	1	4
BM1077-CMP-Frozen-160106-39	5	5	4
BM1077-CMP-Frozen-160106-4	5	8	4
BM1077-CMP-Frozen-160106-40	5	2	4
BM1077-CMP-Frozen-160106-42	5	0	4
BM1077-CMP-Frozen-160106-43	5	8	4
BM1077-CMP-Frozen-160106-44	5	8	4
BM1077-CMP-Frozen-160106-45	5	8	4
BM1077-CMP-Frozen-160106-46	5	2	4
BM1077-CMP-Frozen-160106-49	5	8	4
BM1077-CMP-Frozen-160106-5	5	8	4
BM1077-CMP-Frozen-160106-50	5	8	4
BM1077-CMP-Frozen-160106-51	5	8	4
BM1077-CMP-Frozen-160106-52	5	8	4
BM1077-CMP-Frozen-160106-53	5	8	4
BM1077-CMP-Frozen-160106-55	2	5	6
BM1077-CMP-Frozen-160106-56	5	8	4
BM1077-CMP-Frozen-160106-57	5	8	4
BM1077-CMP-Frozen-160106-58	5	8	4
BM1077-CMP-Frozen-160106-59	5	8	4
BM1077-CMP-Frozen-160106-6	5	8	4
BM1077-CMP-Frozen-160106-60	5	2	4
BM1077-CMP-Frozen-160106-61	5	8	4
BM1077-CMP-Frozen-160106-62	5	8	4
BM1077-CMP-Frozen-160106-64	5	0	0
BM1077-CMP-Frozen-160106-66	5	8	4
BM1077-CMP-Frozen-160106-67	5	8	4
BM1077-CMP-Frozen-160106-68	5	8	4
BM1077-CMP-Frozen-160106-69	5	8	4
BM1077-CMP-Frozen-160106-70	5	8	4
BM1077-CMP-Frozen-160106-71	5	8	4
BM1077-CMP-Frozen-160106-72	5	8	4
BM1077-CMP-Frozen-160106-74	5	8	4
BM1077-CMP-Frozen-160106-75	5	8	4
BM1077-CMP-Frozen-160106-76	5	8	4
BM1077-CMP-Frozen-160106-77	5	8	4
