	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	4	5	1
BM1077-CLP-Frozen-160106-14	4	6	9
BM1077-CLP-Frozen-160106-2	3	5	1
BM1077-CLP-Frozen-160106-21	4	5	1
BM1077-CLP-Frozen-160106-27	3	5	1
BM1077-CLP-Frozen-160106-3	4	5	1
BM1077-CLP-Frozen-160106-36	4	5	1
BM1077-CLP-Frozen-160106-42	4	5	1
BM1077-CLP-Frozen-160106-44	4	5	1
BM1077-CLP-Frozen-160106-50	4	5	1
BM1077-CLP-Frozen-160106-61	4	5	1
BM1077-CLP-Frozen-160106-62	4	6	1
BM1077-CLP-Frozen-160106-66	1	4	3
BM1077-CLP-Frozen-160106-70	4	5	1
BM1077-CLP-Frozen-160106-71	3	5	1
BM1077-CLP-Frozen-160106-72	4	6	9
BM1077-CLP-Frozen-160106-75	4	5	1
BM1077-CLP-Frozen-160106-76	3	5	9
BM1077-CLP-Frozen-160106-78	3	5	1
BM1077-CLP-Frozen-160106-79	3	5	1
BM1077-CLP-Frozen-160106-80	4	5	6
BM1077-CLP-Frozen-160106-83	4	5	1
BM1077-CLP-Frozen-160106-86	3	1	6
BM1077-CLP-Frozen-160106-87	3	5	1
BM1077-CLP-Frozen-160106-88	4	5	1
BM1077-CLP-Frozen-160106-94	4	5	1
BM1077-CLP-Frozen-160106-96	4	5	1
BM1077-CMP-Frozen-160106-1	5	4	3
BM1077-CMP-Frozen-160106-10	5	4	3
BM1077-CMP-Frozen-160106-12	5	8	3
BM1077-CMP-Frozen-160106-14	1	4	3
BM1077-CMP-Frozen-160106-15	0	1	3
BM1077-CMP-Frozen-160106-16	5	4	3
BM1077-CMP-Frozen-160106-18	1	4	6
BM1077-CMP-Frozen-160106-19	1	4	3
BM1077-CMP-Frozen-160106-2	5	8	3
BM1077-CMP-Frozen-160106-21	6	2	3
BM1077-CMP-Frozen-160106-22	1	4	6
BM1077-CMP-Frozen-160106-23	9	1	6
BM1077-CMP-Frozen-160106-24	1	4	3
BM1077-CMP-Frozen-160106-25	5	8	3
BM1077-CMP-Frozen-160106-26	0	7	5
BM1077-CMP-Frozen-160106-28	5	1	3
BM1077-CMP-Frozen-160106-3	6	1	3
BM1077-CMP-Frozen-160106-30	5	8	3
BM1077-CMP-Frozen-160106-31	6	1	3
BM1077-CMP-Frozen-160106-32	1	4	6
BM1077-CMP-Frozen-160106-33	1	4	6
BM1077-CMP-Frozen-160106-34	1	4	3
BM1077-CMP-Frozen-160106-35	1	4	3
BM1077-CMP-Frozen-160106-36	1	3	3
BM1077-CMP-Frozen-160106-37	1	4	6
BM1077-CMP-Frozen-160106-39	5	8	3
BM1077-CMP-Frozen-160106-4	5	8	3
BM1077-CMP-Frozen-160106-40	1	4	3
BM1077-CMP-Frozen-160106-42	6	2	3
BM1077-CMP-Frozen-160106-43	1	1	3
BM1077-CMP-Frozen-160106-44	6	1	3
BM1077-CMP-Frozen-160106-45	5	8	4
BM1077-CMP-Frozen-160106-46	1	4	3
BM1077-CMP-Frozen-160106-49	1	1	6
BM1077-CMP-Frozen-160106-5	0	4	3
BM1077-CMP-Frozen-160106-50	1	1	3
BM1077-CMP-Frozen-160106-51	5	8	4
BM1077-CMP-Frozen-160106-52	1	1	3
BM1077-CMP-Frozen-160106-53	0	1	3
BM1077-CMP-Frozen-160106-55	5	8	4
BM1077-CMP-Frozen-160106-56	9	1	5
BM1077-CMP-Frozen-160106-57	0	3	3
BM1077-CMP-Frozen-160106-58	1	4	3
BM1077-CMP-Frozen-160106-59	5	8	3
BM1077-CMP-Frozen-160106-6	1	4	3
BM1077-CMP-Frozen-160106-60	1	4	6
BM1077-CMP-Frozen-160106-61	1	1	3
BM1077-CMP-Frozen-160106-62	1	4	6
BM1077-CMP-Frozen-160106-64	1	4	6
BM1077-CMP-Frozen-160106-66	0	3	3
BM1077-CMP-Frozen-160106-67	1	1	3
BM1077-CMP-Frozen-160106-68	6	1	3
BM1077-CMP-Frozen-160106-69	1	4	6
BM1077-CMP-Frozen-160106-70	5	1	3
BM1077-CMP-Frozen-160106-71	1	1	3
BM1077-CMP-Frozen-160106-72	1	4	6
BM1077-CMP-Frozen-160106-74	1	1	3
BM1077-CMP-Frozen-160106-75	1	1	3
BM1077-CMP-Frozen-160106-76	9	1	6
BM1077-CMP-Frozen-160106-77	5	1	3
BM1077-CMP-Frozen-160106-78	6	8	3
BM1077-CMP-Frozen-160106-79	1	4	3
BM1077-CMP-Frozen-160106-8	5	8	3
BM1077-CMP-Frozen-160106-80	0	2	5
BM1077-CMP-Frozen-160106-82	0	2	5
BM1077-CMP-Frozen-160106-83	1	1	6
BM1077-CMP-Frozen-160106-84	0	4	3
BM1077-CMP-Frozen-160106-85	5	8	3
BM1077-CMP-Frozen-160106-86	5	4	6
BM1077-CMP-Frozen-160106-87	9	1	3
BM1077-CMP-Frozen-160106-88	1	1	3
BM1077-CMP-Frozen-160106-89	5	8	4
BM1077-CMP-Frozen-160106-91	6	1	3
BM1077-CMP-Frozen-160106-92	5	8	4
BM1077-CMP-Frozen-160106-95	1	4	6
BM1077-GMP-Frozen-160107-1	0	7	5
BM1077-GMP-Frozen-160107-10	0	2	5
BM1077-GMP-Frozen-160107-11	0	7	5
BM1077-GMP-Frozen-160107-14	3	1	1
BM1077-GMP-Frozen-160107-16	0	7	5
BM1077-GMP-Frozen-160107-20	0	7	5
BM1077-GMP-Frozen-160107-21	0	7	5
BM1077-GMP-Frozen-160107-22	0	7	5
BM1077-GMP-Frozen-160107-23	0	7	5
BM1077-GMP-Frozen-160107-25	3	1	6
BM1077-GMP-Frozen-160107-26	0	7	5
BM1077-GMP-Frozen-160107-27	0	7	5
BM1077-GMP-Frozen-160107-31	0	7	5
BM1077-GMP-Frozen-160107-32	0	7	5
BM1077-GMP-Frozen-160107-33	0	7	5
BM1077-GMP-Frozen-160107-37	0	7	5
BM1077-GMP-Frozen-160107-39	0	7	5
BM1077-GMP-Frozen-160107-40	0	7	5
BM1077-GMP-Frozen-160107-41	9	4	6
BM1077-GMP-Frozen-160107-43	0	7	5
BM1077-GMP-Frozen-160107-44	0	7	5
BM1077-GMP-Frozen-160107-45	0	7	5
BM1077-GMP-Frozen-160107-46	0	7	5
BM1077-GMP-Frozen-160107-47	3	5	6
BM1077-GMP-Frozen-160107-48	0	7	5
BM1077-GMP-Frozen-160107-49	0	7	5
BM1077-GMP-Frozen-160107-5	0	7	6
BM1077-GMP-Frozen-160107-50	0	7	5
BM1077-GMP-Frozen-160107-51	0	7	5
BM1077-GMP-Frozen-160107-52	0	7	5
BM1077-GMP-Frozen-160107-55	0	7	5
BM1077-GMP-Frozen-160107-56	0	7	5
BM1077-GMP-Frozen-160107-58	0	2	6
BM1077-GMP-Frozen-160107-59	9	1	6
BM1077-GMP-Frozen-160107-60	0	7	5
BM1077-GMP-Frozen-160107-62	0	7	5
BM1077-GMP-Frozen-160107-63	0	7	5
BM1077-GMP-Frozen-160107-67	0	7	5
BM1077-GMP-Frozen-160107-69	0	7	5
BM1077-GMP-Frozen-160107-71	0	7	5
BM1077-GMP-Frozen-160107-72	0	7	5
BM1077-GMP-Frozen-160107-73	0	7	5
BM1077-GMP-Frozen-160107-74	0	7	5
BM1077-GMP-Frozen-160107-75	0	7	5
BM1077-GMP-Frozen-160107-76	0	7	5
BM1077-GMP-Frozen-160107-77	0	7	5
