	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	7	0	1
BM1077-CLP-Frozen-160106-14	7	1	9
BM1077-CLP-Frozen-160106-2	5	0	1
BM1077-CLP-Frozen-160106-21	7	0	1
BM1077-CLP-Frozen-160106-27	5	0	1
BM1077-CLP-Frozen-160106-3	7	0	1
BM1077-CLP-Frozen-160106-36	7	0	1
BM1077-CLP-Frozen-160106-42	7	0	1
BM1077-CLP-Frozen-160106-44	7	0	1
BM1077-CLP-Frozen-160106-50	1	0	1
BM1077-CLP-Frozen-160106-61	7	0	1
BM1077-CLP-Frozen-160106-62	7	1	1
BM1077-CLP-Frozen-160106-66	0	2	1
BM1077-CLP-Frozen-160106-70	7	0	1
BM1077-CLP-Frozen-160106-71	5	0	1
BM1077-CLP-Frozen-160106-72	7	1	9
BM1077-CLP-Frozen-160106-75	7	0	1
BM1077-CLP-Frozen-160106-76	5	0	1
BM1077-CLP-Frozen-160106-78	5	0	1
BM1077-CLP-Frozen-160106-79	7	0	1
BM1077-CLP-Frozen-160106-80	7	0	1
BM1077-CLP-Frozen-160106-83	7	0	1
BM1077-CLP-Frozen-160106-86	5	8	2
BM1077-CLP-Frozen-160106-87	5	0	1
BM1077-CLP-Frozen-160106-88	7	0	1
BM1077-CLP-Frozen-160106-94	7	0	1
BM1077-CLP-Frozen-160106-96	7	0	1
BM1077-CMP-Frozen-160106-1	0	9	7
BM1077-CMP-Frozen-160106-10	0	9	7
BM1077-CMP-Frozen-160106-12	0	3	7
BM1077-CMP-Frozen-160106-14	0	2	5
BM1077-CMP-Frozen-160106-15	2	8	2
BM1077-CMP-Frozen-160106-16	0	3	7
BM1077-CMP-Frozen-160106-18	0	9	2
BM1077-CMP-Frozen-160106-19	0	9	2
BM1077-CMP-Frozen-160106-2	0	3	7
BM1077-CMP-Frozen-160106-21	6	8	7
BM1077-CMP-Frozen-160106-22	0	9	2
BM1077-CMP-Frozen-160106-23	9	8	2
BM1077-CMP-Frozen-160106-24	0	9	2
BM1077-CMP-Frozen-160106-25	6	3	7
BM1077-CMP-Frozen-160106-26	2	5	5
BM1077-CMP-Frozen-160106-28	0	3	7
BM1077-CMP-Frozen-160106-3	6	8	7
BM1077-CMP-Frozen-160106-30	0	3	7
BM1077-CMP-Frozen-160106-31	6	8	2
BM1077-CMP-Frozen-160106-32	0	9	2
BM1077-CMP-Frozen-160106-33	0	9	2
BM1077-CMP-Frozen-160106-34	0	9	7
BM1077-CMP-Frozen-160106-35	0	8	2
BM1077-CMP-Frozen-160106-36	0	2	5
BM1077-CMP-Frozen-160106-37	0	9	2
BM1077-CMP-Frozen-160106-39	0	3	7
BM1077-CMP-Frozen-160106-4	0	3	7
BM1077-CMP-Frozen-160106-40	0	9	2
BM1077-CMP-Frozen-160106-42	6	8	7
BM1077-CMP-Frozen-160106-43	0	8	2
BM1077-CMP-Frozen-160106-44	6	8	2
BM1077-CMP-Frozen-160106-45	3	3	7
BM1077-CMP-Frozen-160106-46	6	8	2
BM1077-CMP-Frozen-160106-49	0	9	2
BM1077-CMP-Frozen-160106-5	2	9	5
BM1077-CMP-Frozen-160106-50	6	8	2
BM1077-CMP-Frozen-160106-51	6	3	7
BM1077-CMP-Frozen-160106-52	0	8	2
BM1077-CMP-Frozen-160106-53	2	5	2
BM1077-CMP-Frozen-160106-55	3	3	4
BM1077-CMP-Frozen-160106-56	2	8	2
BM1077-CMP-Frozen-160106-57	4	2	7
BM1077-CMP-Frozen-160106-58	0	9	2
BM1077-CMP-Frozen-160106-59	0	3	7
BM1077-CMP-Frozen-160106-6	0	2	2
BM1077-CMP-Frozen-160106-60	0	9	2
BM1077-CMP-Frozen-160106-61	0	9	2
BM1077-CMP-Frozen-160106-62	0	9	2
BM1077-CMP-Frozen-160106-64	0	9	2
BM1077-CMP-Frozen-160106-66	4	2	5
BM1077-CMP-Frozen-160106-67	0	9	2
BM1077-CMP-Frozen-160106-68	0	8	7
BM1077-CMP-Frozen-160106-69	0	9	2
BM1077-CMP-Frozen-160106-70	0	3	7
BM1077-CMP-Frozen-160106-71	2	8	2
BM1077-CMP-Frozen-160106-72	0	9	2
BM1077-CMP-Frozen-160106-74	0	9	2
BM1077-CMP-Frozen-160106-75	0	9	2
BM1077-CMP-Frozen-160106-76	9	8	2
BM1077-CMP-Frozen-160106-77	0	9	2
BM1077-CMP-Frozen-160106-78	6	3	7
BM1077-CMP-Frozen-160106-79	2	9	5
BM1077-CMP-Frozen-160106-8	0	3	7
BM1077-CMP-Frozen-160106-80	4	5	5
BM1077-CMP-Frozen-160106-82	4	2	5
BM1077-CMP-Frozen-160106-83	0	9	2
BM1077-CMP-Frozen-160106-84	2	2	5
BM1077-CMP-Frozen-160106-85	0	3	7
BM1077-CMP-Frozen-160106-86	0	9	2
BM1077-CMP-Frozen-160106-87	0	8	2
BM1077-CMP-Frozen-160106-88	0	9	7
BM1077-CMP-Frozen-160106-89	3	3	2
BM1077-CMP-Frozen-160106-91	6	8	2
BM1077-CMP-Frozen-160106-92	3	3	4
BM1077-CMP-Frozen-160106-95	0	9	2
BM1077-GMP-Frozen-160107-1	2	5	5
BM1077-GMP-Frozen-160107-10	2	5	5
BM1077-GMP-Frozen-160107-11	2	5	5
BM1077-GMP-Frozen-160107-14	5	8	1
BM1077-GMP-Frozen-160107-16	2	5	5
BM1077-GMP-Frozen-160107-20	2	5	5
BM1077-GMP-Frozen-160107-21	2	5	5
BM1077-GMP-Frozen-160107-22	2	5	5
BM1077-GMP-Frozen-160107-23	2	5	5
BM1077-GMP-Frozen-160107-25	5	9	1
BM1077-GMP-Frozen-160107-26	2	5	5
BM1077-GMP-Frozen-160107-27	2	5	5
BM1077-GMP-Frozen-160107-31	2	5	5
BM1077-GMP-Frozen-160107-32	2	5	5
BM1077-GMP-Frozen-160107-33	2	5	5
BM1077-GMP-Frozen-160107-37	2	5	5
BM1077-GMP-Frozen-160107-39	2	5	5
BM1077-GMP-Frozen-160107-40	2	5	5
BM1077-GMP-Frozen-160107-41	5	9	2
BM1077-GMP-Frozen-160107-43	2	5	5
BM1077-GMP-Frozen-160107-44	2	5	5
BM1077-GMP-Frozen-160107-45	2	5	5
BM1077-GMP-Frozen-160107-46	2	2	5
BM1077-GMP-Frozen-160107-47	5	8	1
BM1077-GMP-Frozen-160107-48	2	5	5
BM1077-GMP-Frozen-160107-49	2	5	5
BM1077-GMP-Frozen-160107-5	2	5	2
BM1077-GMP-Frozen-160107-50	2	5	5
BM1077-GMP-Frozen-160107-51	2	5	5
BM1077-GMP-Frozen-160107-52	2	5	5
BM1077-GMP-Frozen-160107-55	2	5	5
BM1077-GMP-Frozen-160107-56	2	5	5
BM1077-GMP-Frozen-160107-58	4	8	2
BM1077-GMP-Frozen-160107-59	9	9	2
BM1077-GMP-Frozen-160107-60	2	5	5
BM1077-GMP-Frozen-160107-62	2	5	5
BM1077-GMP-Frozen-160107-63	2	5	5
BM1077-GMP-Frozen-160107-67	2	5	5
BM1077-GMP-Frozen-160107-69	2	5	5
BM1077-GMP-Frozen-160107-71	2	5	5
BM1077-GMP-Frozen-160107-72	2	5	5
BM1077-GMP-Frozen-160107-73	2	5	5
BM1077-GMP-Frozen-160107-74	2	5	5
BM1077-GMP-Frozen-160107-75	2	5	5
BM1077-GMP-Frozen-160107-76	2	5	5
BM1077-GMP-Frozen-160107-77	2	5	5
BM1077-GMP-Frozen-160107-79	2	5	5
BM1077-GMP-Frozen-160107-80	2	5	5
BM1077-GMP-Frozen-160107-81	2	5	5
BM1077-GMP-Frozen-160107-83	5	8	1
BM1077-GMP-Frozen-160107-84	2	5	5
BM1077-GMP-Frozen-160107-85	2	5	5
BM1077-GMP-Frozen-160107-86	2	5	5
BM1077-GMP-Frozen-160107-87	2	5	5
BM1077-GMP-Frozen-160107-88	2	5	5
BM1077-GMP-Frozen-160107-89	9	8	2
BM1077-GMP-Frozen-160107-9	2	5	5
BM1077-GMP-Frozen-160107-91	2	5	5
BM1077-GMP-Frozen-160107-92	5	0	1
BM1077-GMP-Frozen-160107-96	2	5	5
BM1077-HSC-Frozen-160105-1	0	9	2
BM1077-HSC-Frozen-160105-10	0	9	2
BM1077-HSC-Frozen-160105-11	0	2	2
BM1077-HSC-Frozen-160105-12	0	9	2
BM1077-HSC-Frozen-160105-13	0	9	2
BM1077-HSC-Frozen-160105-14	0	9	2
BM1077-HSC-Frozen-160105-15	0	9	2
BM1077-HSC-Frozen-160105-16	0	9	2
BM1077-HSC-Frozen-160105-19	0	9	2
BM1077-HSC-Frozen-160105-2	0	9	2
BM1077-HSC-Frozen-160105-20	0	9	2
BM1077-HSC-Frozen-160105-21	0	9	2
BM1077-HSC-Frozen-160105-22	0	9	2
BM1077-HSC-Frozen-160105-24	0	9	2
BM1077-HSC-Frozen-160105-25	0	9	2
BM1077-HSC-Frozen-160105-26	0	9	2
BM1077-HSC-Frozen-160105-27	0	9	2
BM1077-HSC-Frozen-160105-29	0	9	2
BM1077-HSC-Frozen-160105-3	0	9	2
BM1077-HSC-Frozen-160105-31	0	9	2
BM1077-HSC-Frozen-160105-32	0	9	2
BM1077-HSC-Frozen-160105-34	0	9	2
BM1077-HSC-Frozen-160105-36	0	9	2
BM1077-HSC-Frozen-160105-37	0	9	2
BM1077-HSC-Frozen-160105-38	0	2	2
BM1077-HSC-Frozen-160105-39	0	9	2
BM1077-HSC-Frozen-160105-4	0	9	2
BM1077-HSC-Frozen-160105-40	0	9	2
BM1077-HSC-Frozen-160105-41	0	8	2
BM1077-HSC-Frozen-160105-42	0	9	2
BM1077-HSC-Frozen-160105-43	0	9	2
BM1077-HSC-Frozen-160105-44	0	9	2
BM1077-HSC-Frozen-160105-47	0	9	2
BM1077-HSC-Frozen-160105-48	6	8	2
BM1077-HSC-Frozen-160105-49	0	9	2
BM1077-HSC-Frozen-160105-5	0	9	2
BM1077-HSC-Frozen-160105-50	0	9	2
BM1077-HSC-Frozen-160105-51	0	9	2
BM1077-HSC-Frozen-160105-53	0	9	2
BM1077-HSC-Frozen-160105-54	0	9	2
BM1077-HSC-Frozen-160105-55	0	9	2
BM1077-HSC-Frozen-160105-56	0	9	2
BM1077-HSC-Frozen-160105-57	0	9	2
BM1077-HSC-Frozen-160105-58	0	9	2
BM1077-HSC-Frozen-160105-59	0	9	2
BM1077-HSC-Frozen-160105-6	0	2	2
BM1077-HSC-Frozen-160105-60	0	9	2
BM1077-HSC-Frozen-160105-61	0	8	2
BM1077-HSC-Frozen-160105-62	0	9	2
BM1077-HSC-Frozen-160105-63	0	9	2
BM1077-HSC-Frozen-160105-64	0	9	2
BM1077-HSC-Frozen-160105-66	0	2	2
