	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	1	6	9
BM1077-CLP-Frozen-160106-14	0	6	9
BM1077-CLP-Frozen-160106-2	5	6	9
BM1077-CLP-Frozen-160106-21	0	6	9
BM1077-CLP-Frozen-160106-27	1	6	9
BM1077-CLP-Frozen-160106-3	1	6	9
BM1077-CLP-Frozen-160106-36	2	6	9
BM1077-CLP-Frozen-160106-42	5	6	9
BM1077-CLP-Frozen-160106-44	5	6	9
BM1077-CLP-Frozen-160106-50	5	6	9
BM1077-CLP-Frozen-160106-61	1	6	9
BM1077-CLP-Frozen-160106-62	1	6	9
BM1077-CLP-Frozen-160106-66	1	6	9
BM1077-CLP-Frozen-160106-70	1	6	9
BM1077-CLP-Frozen-160106-71	0	6	9
BM1077-CLP-Frozen-160106-72	0	6	9
BM1077-CLP-Frozen-160106-75	1	6	9
BM1077-CLP-Frozen-160106-76	0	6	9
BM1077-CLP-Frozen-160106-78	1	6	9
BM1077-CLP-Frozen-160106-79	0	6	9
BM1077-CLP-Frozen-160106-80	0	6	9
BM1077-CLP-Frozen-160106-83	0	6	9
BM1077-CLP-Frozen-160106-86	0	6	9
BM1077-CLP-Frozen-160106-87	1	6	9
BM1077-CLP-Frozen-160106-88	0	6	9
BM1077-CLP-Frozen-160106-94	2	7	5
BM1077-CLP-Frozen-160106-96	0	6	9
BM1077-CMP-Frozen-160106-1	0	6	9
BM1077-CMP-Frozen-160106-10	0	6	9
BM1077-CMP-Frozen-160106-12	0	6	9
BM1077-CMP-Frozen-160106-14	0	6	5
BM1077-CMP-Frozen-160106-15	0	6	5
BM1077-CMP-Frozen-160106-16	6	7	5
BM1077-CMP-Frozen-160106-18	0	7	5
BM1077-CMP-Frozen-160106-19	0	6	9
BM1077-CMP-Frozen-160106-2	1	6	9
BM1077-CMP-Frozen-160106-21	0	6	9
BM1077-CMP-Frozen-160106-22	0	6	9
BM1077-CMP-Frozen-160106-23	2	7	8
BM1077-CMP-Frozen-160106-24	0	6	9
BM1077-CMP-Frozen-160106-25	3	7	8
BM1077-CMP-Frozen-160106-26	0	7	5
BM1077-CMP-Frozen-160106-28	0	7	5
BM1077-CMP-Frozen-160106-3	1	6	9
BM1077-CMP-Frozen-160106-30	0	6	5
BM1077-CMP-Frozen-160106-31	1	6	5
BM1077-CMP-Frozen-160106-32	6	6	5
BM1077-CMP-Frozen-160106-33	0	6	9
BM1077-CMP-Frozen-160106-34	0	6	9
BM1077-CMP-Frozen-160106-35	1	7	5
BM1077-CMP-Frozen-160106-36	0	6	9
BM1077-CMP-Frozen-160106-37	1	6	5
BM1077-CMP-Frozen-160106-39	0	6	5
BM1077-CMP-Frozen-160106-4	0	6	9
BM1077-CMP-Frozen-160106-40	2	5	8
BM1077-CMP-Frozen-160106-42	0	7	5
BM1077-CMP-Frozen-160106-43	0	7	5
BM1077-CMP-Frozen-160106-44	0	6	9
BM1077-CMP-Frozen-160106-45	1	6	9
BM1077-CMP-Frozen-160106-46	1	7	5
BM1077-CMP-Frozen-160106-49	1	6	9
BM1077-CMP-Frozen-160106-5	6	6	5
BM1077-CMP-Frozen-160106-50	0	6	9
BM1077-CMP-Frozen-160106-51	0	6	9
BM1077-CMP-Frozen-160106-52	0	6	5
BM1077-CMP-Frozen-160106-53	1	6	9
BM1077-CMP-Frozen-160106-55	1	6	5
BM1077-CMP-Frozen-160106-56	0	6	5
BM1077-CMP-Frozen-160106-57	1	6	9
BM1077-CMP-Frozen-160106-58	0	7	5
BM1077-CMP-Frozen-160106-59	0	6	5
BM1077-CMP-Frozen-160106-6	0	6	9
BM1077-CMP-Frozen-160106-60	4	5	2
BM1077-CMP-Frozen-160106-61	0	7	5
BM1077-CMP-Frozen-160106-62	0	6	9
BM1077-CMP-Frozen-160106-64	4	0	3
BM1077-CMP-Frozen-160106-66	1	6	9
BM1077-CMP-Frozen-160106-67	3	7	5
BM1077-CMP-Frozen-160106-68	2	6	9
BM1077-CMP-Frozen-160106-69	1	6	5
BM1077-CMP-Frozen-160106-70	1	6	9
BM1077-CMP-Frozen-160106-71	4	5	2
BM1077-CMP-Frozen-160106-72	8	7	5
BM1077-CMP-Frozen-160106-74	3	7	5
BM1077-CMP-Frozen-160106-75	3	7	5
BM1077-CMP-Frozen-160106-76	1	7	5
BM1077-CMP-Frozen-160106-77	0	7	5
BM1077-CMP-Frozen-160106-78	0	6	5
BM1077-CMP-Frozen-160106-79	0	6	9
BM1077-CMP-Frozen-160106-8	0	6	9
BM1077-CMP-Frozen-160106-80	0	6	9
BM1077-CMP-Frozen-160106-82	2	6	9
BM1077-CMP-Frozen-160106-83	0	6	9
BM1077-CMP-Frozen-160106-84	0	6	5
BM1077-CMP-Frozen-160106-85	2	7	8
BM1077-CMP-Frozen-160106-86	1	6	5
BM1077-CMP-Frozen-160106-87	0	6	9
BM1077-CMP-Frozen-160106-88	0	6	9
BM1077-CMP-Frozen-160106-89	1	6	9
BM1077-CMP-Frozen-160106-91	8	7	5
BM1077-CMP-Frozen-160106-92	1	6	5
BM1077-CMP-Frozen-160106-95	0	6	5
BM1077-GMP-Frozen-160107-1	1	6	9
BM1077-GMP-Frozen-160107-10	3	7	8
BM1077-GMP-Frozen-160107-11	4	6	5
BM1077-GMP-Frozen-160107-14	0	7	5
BM1077-GMP-Frozen-160107-16	0	6	9
BM1077-GMP-Frozen-160107-20	4	6	9
BM1077-GMP-Frozen-160107-21	1	7	5
BM1077-GMP-Frozen-160107-22	8	7	5
BM1077-GMP-Frozen-160107-23	2	6	9
BM1077-GMP-Frozen-160107-25	1	7	5
BM1077-GMP-Frozen-160107-26	3	7	8
BM1077-GMP-Frozen-160107-27	0	6	9
BM1077-GMP-Frozen-160107-31	1	6	5
BM1077-GMP-Frozen-160107-32	0	7	5
BM1077-GMP-Frozen-160107-33	2	6	9
BM1077-GMP-Frozen-160107-37	1	7	8
BM1077-GMP-Frozen-160107-39	1	7	5
BM1077-GMP-Frozen-160107-40	6	6	5
BM1077-GMP-Frozen-160107-41	1	6	9
BM1077-GMP-Frozen-160107-43	1	6	9
BM1077-GMP-Frozen-160107-44	8	7	5
BM1077-GMP-Frozen-160107-45	3	7	5
BM1077-GMP-Frozen-160107-46	1	6	9
BM1077-GMP-Frozen-160107-47	8	7	5
BM1077-GMP-Frozen-160107-48	1	6	9
BM1077-GMP-Frozen-160107-49	1	6	5
BM1077-GMP-Frozen-160107-5	0	6	5
BM1077-GMP-Frozen-160107-50	1	6	9
BM1077-GMP-Frozen-160107-51	1	2	9
BM1077-GMP-Frozen-160107-52	3	7	8
BM1077-GMP-Frozen-160107-55	2	6	9
BM1077-GMP-Frozen-160107-56	0	6	5
BM1077-GMP-Frozen-160107-58	0	6	5
BM1077-GMP-Frozen-160107-59	1	7	5
BM1077-GMP-Frozen-160107-60	1	6	9
BM1077-GMP-Frozen-160107-62	1	6	5
BM1077-GMP-Frozen-160107-63	1	6	9
BM1077-GMP-Frozen-160107-67	0	6	9
BM1077-GMP-Frozen-160107-69	0	7	5
BM1077-GMP-Frozen-160107-71	4	5	2
BM1077-GMP-Frozen-160107-72	8	7	8
BM1077-GMP-Frozen-160107-73	1	7	5
