	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	2	7	0
BM1077-CLP-Frozen-160106-14	4	7	0
BM1077-CLP-Frozen-160106-2	2	7	0
BM1077-CLP-Frozen-160106-21	2	7	0
BM1077-CLP-Frozen-160106-27	4	7	0
BM1077-CLP-Frozen-160106-3	2	7	0
BM1077-CLP-Frozen-160106-36	2	7	0
BM1077-CLP-Frozen-160106-42	5	7	0
BM1077-CLP-Frozen-160106-44	3	7	0
BM1077-CLP-Frozen-160106-50	3	7	0
BM1077-CLP-Frozen-160106-61	3	7	0
BM1077-CLP-Frozen-160106-62	1	7	0
BM1077-CLP-Frozen-160106-66	0	7	0
BM1077-CLP-Frozen-160106-70	0	7	0
BM1077-CLP-Frozen-160106-71	3	7	0
BM1077-CLP-Frozen-160106-72	2	7	0
BM1077-CLP-Frozen-160106-75	2	7	0
BM1077-CLP-Frozen-160106-76	1	7	0
BM1077-CLP-Frozen-160106-78	1	7	0
BM1077-CLP-Frozen-160106-79	3	7	0
BM1077-CLP-Frozen-160106-80	4	7	0
BM1077-CLP-Frozen-160106-83	2	7	0
BM1077-CLP-Frozen-160106-86	0	7	0
BM1077-CLP-Frozen-160106-87	1	7	0
BM1077-CLP-Frozen-160106-88	4	7	0
BM1077-CLP-Frozen-160106-94	2	7	0
BM1077-CLP-Frozen-160106-96	1	7	0
BM1077-CMP-Frozen-160106-1	0	7	0
BM1077-CMP-Frozen-160106-10	2	7	0
BM1077-CMP-Frozen-160106-12	2	7	0
BM1077-CMP-Frozen-160106-14	1	7	0
BM1077-CMP-Frozen-160106-15	1	7	0
BM1077-CMP-Frozen-160106-16	2	7	0
BM1077-CMP-Frozen-160106-18	1	7	0
BM1077-CMP-Frozen-160106-19	2	7	0
BM1077-CMP-Frozen-160106-2	1	7	0
BM1077-CMP-Frozen-160106-21	2	7	0
BM1077-CMP-Frozen-160106-22	1	7	0
BM1077-CMP-Frozen-160106-23	2	7	0
BM1077-CMP-Frozen-160106-24	2	7	0
BM1077-CMP-Frozen-160106-25	2	7	0
BM1077-CMP-Frozen-160106-26	1	7	0
