	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	0	0	4
BM1077-CLP-Frozen-160106-14	0	0	4
BM1077-CLP-Frozen-160106-2	0	0	4
BM1077-CLP-Frozen-160106-21	0	0	4
BM1077-CLP-Frozen-160106-27	0	0	4
BM1077-CLP-Frozen-160106-3	0	0	4
BM1077-CLP-Frozen-160106-36	0	0	4
BM1077-CLP-Frozen-160106-42	0	0	4
BM1077-CLP-Frozen-160106-44	0	0	4
BM1077-CLP-Frozen-160106-50	0	0	4
BM1077-CLP-Frozen-160106-61	0	0	4
BM1077-CLP-Frozen-160106-62	0	0	4
BM1077-CLP-Frozen-160106-66	0	0	4
BM1077-CLP-Frozen-160106-70	0	0	4
BM1077-CLP-Frozen-160106-71	0	0	4
BM1077-CLP-Frozen-160106-72	0	0	4
BM1077-CLP-Frozen-160106-75	0	0	4
BM1077-CLP-Frozen-160106-76	0	0	4
BM1077-CLP-Frozen-160106-78	0	0	4
BM1077-CLP-Frozen-160106-79	0	0	4
BM1077-CLP-Frozen-160106-80	0	0	4
BM1077-CLP-Frozen-160106-83	0	0	4
BM1077-CLP-Frozen-160106-86	0	0	4
BM1077-CLP-Frozen-160106-87	0	0	4
BM1077-CLP-Frozen-160106-88	0	0	4
BM1077-CLP-Frozen-160106-94	2	1	5
BM1077-CLP-Frozen-160106-96	0	0	4
BM1077-CMP-Frozen-160106-1	0	0	4
BM1077-CMP-Frozen-160106-10	0	0	4
BM1077-CMP-Frozen-160106-12	1	0	4
BM1077-CMP-Frozen-160106-14	1	8	5
BM1077-CMP-Frozen-160106-15	1	8	5
BM1077-CMP-Frozen-160106-16	3	8	5
BM1077-CMP-Frozen-160106-18	3	8	3
BM1077-CMP-Frozen-160106-19	0	0	4
BM1077-CMP-Frozen-160106-2	1	0	4
BM1077-CMP-Frozen-160106-21	0	0	4
BM1077-CMP-Frozen-160106-22	7	0	5
BM1077-CMP-Frozen-160106-23	2	1	3
BM1077-CMP-Frozen-160106-24	0	0	4
BM1077-CMP-Frozen-160106-25	3	1	5
BM1077-CMP-Frozen-160106-26	2	8	5
BM1077-CMP-Frozen-160106-28	3	8	5
BM1077-CMP-Frozen-160106-3	1	0	4
BM1077-CMP-Frozen-160106-30	3	8	5
BM1077-CMP-Frozen-160106-31	1	8	5
BM1077-CMP-Frozen-160106-32	1	8	5
BM1077-CMP-Frozen-160106-33	0	0	4
BM1077-CMP-Frozen-160106-34	0	0	4
BM1077-CMP-Frozen-160106-35	4	8	5
BM1077-CMP-Frozen-160106-36	0	0	4
BM1077-CMP-Frozen-160106-37	3	8	5
BM1077-CMP-Frozen-160106-39	3	8	5
BM1077-CMP-Frozen-160106-4	1	0	4
BM1077-CMP-Frozen-160106-40	4	1	3
BM1077-CMP-Frozen-160106-42	1	8	5
BM1077-CMP-Frozen-160106-43	4	8	5
BM1077-CMP-Frozen-160106-44	0	0	4
BM1077-CMP-Frozen-160106-45	1	0	4
BM1077-CMP-Frozen-160106-46	4	8	5
BM1077-CMP-Frozen-160106-49	0	0	4
BM1077-CMP-Frozen-160106-5	1	0	5
BM1077-CMP-Frozen-160106-50	0	0	4
BM1077-CMP-Frozen-160106-51	0	0	4
BM1077-CMP-Frozen-160106-52	4	8	5
BM1077-CMP-Frozen-160106-53	1	0	5
BM1077-CMP-Frozen-160106-55	3	8	5
BM1077-CMP-Frozen-160106-56	1	0	5
BM1077-CMP-Frozen-160106-57	0	0	4
BM1077-CMP-Frozen-160106-58	3	8	5
BM1077-CMP-Frozen-160106-59	3	8	5
BM1077-CMP-Frozen-160106-6	0	0	4
BM1077-CMP-Frozen-160106-60	2	7	2
BM1077-CMP-Frozen-160106-61	2	8	5
BM1077-CMP-Frozen-160106-62	0	0	4
BM1077-CMP-Frozen-160106-64	3	4	0
BM1077-CMP-Frozen-160106-66	0	0	4
BM1077-CMP-Frozen-160106-67	4	8	5
BM1077-CMP-Frozen-160106-68	0	0	4
BM1077-CMP-Frozen-160106-69	3	8	5
BM1077-CMP-Frozen-160106-70	1	0	4
BM1077-CMP-Frozen-160106-71	2	7	2
BM1077-CMP-Frozen-160106-72	4	8	5
BM1077-CMP-Frozen-160106-74	4	8	5
BM1077-CMP-Frozen-160106-75	4	1	5
BM1077-CMP-Frozen-160106-76	4	8	5
BM1077-CMP-Frozen-160106-77	3	8	5
BM1077-CMP-Frozen-160106-78	3	8	5
BM1077-CMP-Frozen-160106-79	0	0	4
BM1077-CMP-Frozen-160106-8	0	0	4
BM1077-CMP-Frozen-160106-80	0	0	4
BM1077-CMP-Frozen-160106-82	0	0	4
BM1077-CMP-Frozen-160106-83	7	0	5
BM1077-CMP-Frozen-160106-84	1	8	5
BM1077-CMP-Frozen-160106-85	3	1	3
BM1077-CMP-Frozen-160106-86	3	8	5
BM1077-CMP-Frozen-160106-87	0	0	4
BM1077-CMP-Frozen-160106-88	0	0	4
BM1077-CMP-Frozen-160106-89	0	0	4
BM1077-CMP-Frozen-160106-91	2	8	5
