	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	0	5	4
BM1077-CLP-Frozen-160106-14	0	5	4
BM1077-CLP-Frozen-160106-2	0	5	4
BM1077-CLP-Frozen-160106-21	0	5	4
BM1077-CLP-Frozen-160106-27	0	5	4
BM1077-CLP-Frozen-160106-3	0	5	4
BM1077-CLP-Frozen-160106-36	2	5	4
BM1077-CLP-Frozen-160106-42	0	5	4
BM1077-CLP-Frozen-160106-44	0	5	4
BM1077-CLP-Frozen-160106-50	2	5	4
BM1077-CLP-Frozen-160106-61	0	5	4
BM1077-CLP-Frozen-160106-62	0	5	4
BM1077-CLP-Frozen-160106-66	0	5	4
BM1077-CLP-Frozen-160106-70	0	5	4
BM1077-CLP-Frozen-160106-71	0	5	4
BM1077-CLP-Frozen-160106-72	0	5	4
BM1077-CLP-Frozen-160106-75	0	5	4
BM1077-CLP-Frozen-160106-76	0	5	4
BM1077-CLP-Frozen-160106-78	0	5	4
BM1077-CLP-Frozen-160106-79	0	5	4
BM1077-CLP-Frozen-160106-80	5	5	3
BM1077-CLP-Frozen-160106-83	0	5	4
BM1077-CLP-Frozen-160106-86	0	5	4
BM1077-CLP-Frozen-160106-87	0	5	4
BM1077-CLP-Frozen-160106-88	0	5	4
BM1077-CLP-Frozen-160106-94	6	0	6
BM1077-CLP-Frozen-160106-96	0	5	4
BM1077-CMP-Frozen-160106-1	0	5	4
BM1077-CMP-Frozen-160106-10	0	5	4
BM1077-CMP-Frozen-160106-12	5	5	3
BM1077-CMP-Frozen-160106-14	4	0	3
BM1077-CMP-Frozen-160106-15	2	0	3
BM1077-CMP-Frozen-160106-16	2	0	3
BM1077-CMP-Frozen-160106-18	3	0	6
BM1077-CMP-Frozen-160106-19	3	5	4
BM1077-CMP-Frozen-160106-2	0	5	4
BM1077-CMP-Frozen-160106-21	0	5	4
BM1077-CMP-Frozen-160106-22	4	5	3
BM1077-CMP-Frozen-160106-23	1	3	5
BM1077-CMP-Frozen-160106-24	3	5	4
BM1077-CMP-Frozen-160106-25	3	0	6
BM1077-CMP-Frozen-160106-26	2	0	6
BM1077-CMP-Frozen-160106-28	2	0	3
BM1077-CMP-Frozen-160106-3	0	5	4
