	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	3	4	7
BM1077-CLP-Frozen-160106-14	3	4	7
BM1077-CLP-Frozen-160106-2	3	4	7
BM1077-CLP-Frozen-160106-21	3	4	7
BM1077-CLP-Frozen-160106-27	3	4	7
BM1077-CLP-Frozen-160106-3	1	4	7
BM1077-CLP-Frozen-160106-36	3	4	7
BM1077-CLP-Frozen-160106-42	3	4	7
BM1077-CLP-Frozen-160106-44	1	4	7
BM1077-CLP-Frozen-160106-50	3	4	7
BM1077-CLP-Frozen-160106-61	3	4	7
BM1077-CLP-Frozen-160106-62	3	4	7
BM1077-CLP-Frozen-160106-66	3	4	7
BM1077-CLP-Frozen-160106-70	1	4	7
BM1077-CLP-Frozen-160106-71	3	4	7
BM1077-CLP-Frozen-160106-72	3	4	7
BM1077-CLP-Frozen-160106-75	1	4	7
BM1077-CLP-Frozen-160106-76	1	4	7
BM1077-CLP-Frozen-160106-78	3	4	7
BM1077-CLP-Frozen-160106-79	1	4	7
BM1077-CLP-Frozen-160106-80	1	0	6
BM1077-CLP-Frozen-160106-83	3	4	7
BM1077-CLP-Frozen-160106-86	3	4	7
BM1077-CLP-Frozen-160106-87	3	4	7
BM1077-CLP-Frozen-160106-88	3	4	7
BM1077-CLP-Frozen-160106-94	6	8	4
BM1077-CLP-Frozen-160106-96	1	4	7
BM1077-CMP-Frozen-160106-1	1	4	7
BM1077-CMP-Frozen-160106-10	1	4	7
BM1077-CMP-Frozen-160106-12	7	0	6
BM1077-CMP-Frozen-160106-14	2	0	6
BM1077-CMP-Frozen-160106-15	7	0	6
BM1077-CMP-Frozen-160106-16	2	0	6
BM1077-CMP-Frozen-160106-18	6	8	4
BM1077-CMP-Frozen-160106-19	1	4	7
BM1077-CMP-Frozen-160106-2	1	4	7
BM1077-CMP-Frozen-160106-21	1	4	7
BM1077-CMP-Frozen-160106-22	7	0	6
BM1077-CMP-Frozen-160106-23	4	3	3
BM1077-CMP-Frozen-160106-24	1	4	7
BM1077-CMP-Frozen-160106-25	0	8	4
BM1077-CMP-Frozen-160106-26	2	8	6
BM1077-CMP-Frozen-160106-28	0	8	4
BM1077-CMP-Frozen-160106-3	1	4	7
BM1077-CMP-Frozen-160106-30	2	0	6
BM1077-CMP-Frozen-160106-31	0	0	4
BM1077-CMP-Frozen-160106-32	0	0	4
BM1077-CMP-Frozen-160106-33	1	4	7
BM1077-CMP-Frozen-160106-34	1	4	7
BM1077-CMP-Frozen-160106-35	0	8	4
BM1077-CMP-Frozen-160106-36	1	4	7
BM1077-CMP-Frozen-160106-37	2	0	6
BM1077-CMP-Frozen-160106-39	2	0	6
BM1077-CMP-Frozen-160106-4	8	0	6
BM1077-CMP-Frozen-160106-40	5	3	0
BM1077-CMP-Frozen-160106-42	0	8	4
BM1077-CMP-Frozen-160106-43	2	0	6
BM1077-CMP-Frozen-160106-44	1	4	7
BM1077-CMP-Frozen-160106-45	8	0	6
BM1077-CMP-Frozen-160106-46	6	8	4
BM1077-CMP-Frozen-160106-49	3	4	7
BM1077-CMP-Frozen-160106-5	7	0	6
BM1077-CMP-Frozen-160106-50	3	4	7
BM1077-CMP-Frozen-160106-51	3	4	7
BM1077-CMP-Frozen-160106-52	2	0	6
BM1077-CMP-Frozen-160106-53	8	0	6
BM1077-CMP-Frozen-160106-55	2	0	6
BM1077-CMP-Frozen-160106-56	8	0	6
BM1077-CMP-Frozen-160106-57	1	4	7
BM1077-CMP-Frozen-160106-58	2	0	6
BM1077-CMP-Frozen-160106-59	2	0	6
BM1077-CMP-Frozen-160106-6	3	4	7
BM1077-CMP-Frozen-160106-60	5	1	0
BM1077-CMP-Frozen-160106-61	0	8	4
BM1077-CMP-Frozen-160106-62	1	4	7
BM1077-CMP-Frozen-160106-64	5	7	1
BM1077-CMP-Frozen-160106-66	1	4	7
BM1077-CMP-Frozen-160106-67	6	8	4
BM1077-CMP-Frozen-160106-68	1	4	7
BM1077-CMP-Frozen-160106-69	2	0	6
