	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	7	8	6
BM1077-CLP-Frozen-160106-14	7	8	6
BM1077-CLP-Frozen-160106-2	7	8	6
BM1077-CLP-Frozen-160106-21	7	4	6
BM1077-CLP-Frozen-160106-27	1	8	6
BM1077-CLP-Frozen-160106-3	7	8	6
BM1077-CLP-Frozen-160106-36	7	8	6
BM1077-CLP-Frozen-160106-42	7	4	6
BM1077-CLP-Frozen-160106-44	7	8	6
BM1077-CLP-Frozen-160106-50	7	8	6
BM1077-CLP-Frozen-160106-61	7	8	6
BM1077-CLP-Frozen-160106-62	7	8	6
BM1077-CLP-Frozen-160106-66	1	8	6
BM1077-CLP-Frozen-160106-70	7	8	6
BM1077-CLP-Frozen-160106-71	1	8	6
BM1077-CLP-Frozen-160106-72	7	8	6
BM1077-CLP-Frozen-160106-75	7	8	6
BM1077-CLP-Frozen-160106-76	1	8	6
BM1077-CLP-Frozen-160106-78	1	8	6
BM1077-CLP-Frozen-160106-79	7	8	6
BM1077-CLP-Frozen-160106-80	7	8	6
BM1077-CLP-Frozen-160106-83	7	8	6
BM1077-CLP-Frozen-160106-86	1	4	6
BM1077-CLP-Frozen-160106-87	1	4	6
BM1077-CLP-Frozen-160106-88	7	8	6
BM1077-CLP-Frozen-160106-94	7	6	1
BM1077-CLP-Frozen-160106-96	7	8	6
BM1077-CMP-Frozen-160106-1	1	8	2
BM1077-CMP-Frozen-160106-10	1	8	2
BM1077-CMP-Frozen-160106-12	1	1	2
BM1077-CMP-Frozen-160106-14	0	9	2
BM1077-CMP-Frozen-160106-15	0	9	2
BM1077-CMP-Frozen-160106-16	5	1	4
BM1077-CMP-Frozen-160106-18	5	6	4
BM1077-CMP-Frozen-160106-19	1	8	2
BM1077-CMP-Frozen-160106-2	1	1	2
BM1077-CMP-Frozen-160106-21	1	8	2
BM1077-CMP-Frozen-160106-22	2	1	2
BM1077-CMP-Frozen-160106-23	0	6	5
BM1077-CMP-Frozen-160106-24	1	8	2
BM1077-CMP-Frozen-160106-25	2	2	4
BM1077-CMP-Frozen-160106-26	4	5	7
BM1077-CMP-Frozen-160106-28	5	1	4
BM1077-CMP-Frozen-160106-3	1	9	2
BM1077-CMP-Frozen-160106-30	5	1	4
BM1077-CMP-Frozen-160106-31	0	2	2
BM1077-CMP-Frozen-160106-32	0	2	2
BM1077-CMP-Frozen-160106-33	0	1	2
BM1077-CMP-Frozen-160106-34	1	8	6
BM1077-CMP-Frozen-160106-35	0	2	2
BM1077-CMP-Frozen-160106-36	1	8	2
BM1077-CMP-Frozen-160106-37	5	1	4
BM1077-CMP-Frozen-160106-39	5	1	4
BM1077-CMP-Frozen-160106-4	1	1	4
BM1077-CMP-Frozen-160106-40	0	6	5
BM1077-CMP-Frozen-160106-42	0	2	2
BM1077-CMP-Frozen-160106-43	0	1	2
BM1077-CMP-Frozen-160106-44	1	8	2
BM1077-CMP-Frozen-160106-45	5	1	4
BM1077-CMP-Frozen-160106-46	0	6	5
BM1077-CMP-Frozen-160106-49	1	4	6
BM1077-CMP-Frozen-160106-5	3	9	2
BM1077-CMP-Frozen-160106-50	1	8	6
BM1077-CMP-Frozen-160106-51	1	4	6
BM1077-CMP-Frozen-160106-52	0	1	2
BM1077-CMP-Frozen-160106-53	3	9	2
BM1077-CMP-Frozen-160106-55	5	1	4
