	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	7	5	2
BM1077-CLP-Frozen-160106-14	4	9	0
BM1077-CLP-Frozen-160106-2	4	9	0
BM1077-CLP-Frozen-160106-21	4	9	0
BM1077-CLP-Frozen-160106-27	7	5	2
BM1077-CLP-Frozen-160106-3	4	9	0
BM1077-CLP-Frozen-160106-36	7	9	0
BM1077-CLP-Frozen-160106-42	7	5	2
BM1077-CLP-Frozen-160106-44	5	9	0
BM1077-CLP-Frozen-160106-50	4	9	0
BM1077-CLP-Frozen-160106-61	4	9	0
BM1077-CLP-Frozen-160106-62	7	5	2
BM1077-CLP-Frozen-160106-66	4	9	0
BM1077-CLP-Frozen-160106-70	4	9	0
BM1077-CLP-Frozen-160106-71	4	9	0
BM1077-CLP-Frozen-160106-72	7	5	2
BM1077-CLP-Frozen-160106-75	4	9	0
BM1077-CLP-Frozen-160106-76	4	9	0
BM1077-CLP-Frozen-160106-78	4	9	0
BM1077-CLP-Frozen-160106-79	5	9	0
BM1077-CLP-Frozen-160106-80	4	9	0
BM1077-CLP-Frozen-160106-83	7	5	0
BM1077-CLP-Frozen-160106-86	5	0	4
BM1077-CLP-Frozen-160106-87	4	9	0
BM1077-CLP-Frozen-160106-88	4	9	0
BM1077-CLP-Frozen-160106-94	4	9	0
BM1077-CLP-Frozen-160106-96	4	9	0
BM1077-CMP-Frozen-160106-1	1	8	3
BM1077-CMP-Frozen-160106-10	1	4	3
BM1077-CMP-Frozen-160106-12	1	4	3
BM1077-CMP-Frozen-160106-14	5	0	4
BM1077-CMP-Frozen-160106-15	5	0	4
BM1077-CMP-Frozen-160106-16	1	8	3
BM1077-CMP-Frozen-160106-18	1	4	3
BM1077-CMP-Frozen-160106-19	1	0	4
BM1077-CMP-Frozen-160106-2	1	4	3
BM1077-CMP-Frozen-160106-21	1	4	3
BM1077-CMP-Frozen-160106-22	5	0	4
BM1077-CMP-Frozen-160106-23	5	0	4
BM1077-CMP-Frozen-160106-24	1	4	3
BM1077-CMP-Frozen-160106-25	1	4	3
BM1077-CMP-Frozen-160106-26	0	2	0
