	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	6	7	3
BM1077-CLP-Frozen-160106-14	5	7	3
BM1077-CLP-Frozen-160106-2	5	7	3
BM1077-CLP-Frozen-160106-21	6	7	3
BM1077-CLP-Frozen-160106-27	5	7	4
BM1077-CLP-Frozen-160106-3	6	7	3
BM1077-CLP-Frozen-160106-36	6	7	3
BM1077-CLP-Frozen-160106-42	6	7	3
BM1077-CLP-Frozen-160106-44	6	7	3
BM1077-CLP-Frozen-160106-50	6	7	3
BM1077-CLP-Frozen-160106-61	6	7	3
BM1077-CLP-Frozen-160106-62	6	9	4
BM1077-CLP-Frozen-160106-66	8	8	0
BM1077-CLP-Frozen-160106-70	6	7	3
BM1077-CLP-Frozen-160106-71	5	6	0
BM1077-CLP-Frozen-160106-72	6	7	3
BM1077-CLP-Frozen-160106-75	6	7	3
BM1077-CLP-Frozen-160106-76	5	8	0
BM1077-CLP-Frozen-160106-78	5	7	4
BM1077-CLP-Frozen-160106-79	5	7	3
BM1077-CLP-Frozen-160106-80	6	7	3
BM1077-CLP-Frozen-160106-83	6	7	3
BM1077-CLP-Frozen-160106-86	8	6	3
BM1077-CLP-Frozen-160106-87	5	7	3
BM1077-CLP-Frozen-160106-88	6	7	3
BM1077-CLP-Frozen-160106-94	6	7	3
BM1077-CLP-Frozen-160106-96	6	7	3
BM1077-CMP-Frozen-160106-1	1	8	8
BM1077-CMP-Frozen-160106-10	4	0	8
BM1077-CMP-Frozen-160106-12	1	8	0
BM1077-CMP-Frozen-160106-14	4	8	8
BM1077-CMP-Frozen-160106-15	4	0	8
BM1077-CMP-Frozen-160106-16	1	8	8
BM1077-CMP-Frozen-160106-18	0	4	0
BM1077-CMP-Frozen-160106-19	0	8	0
BM1077-CMP-Frozen-160106-2	1	3	8
BM1077-CMP-Frozen-160106-21	1	8	8
BM1077-CMP-Frozen-160106-22	0	4	0
BM1077-CMP-Frozen-160106-23	8	6	0
BM1077-CMP-Frozen-160106-24	0	8	0
BM1077-CMP-Frozen-160106-25	1	3	8
BM1077-CMP-Frozen-160106-26	4	0	5
BM1077-CMP-Frozen-160106-28	1	8	8
BM1077-CMP-Frozen-160106-3	1	8	0
BM1077-CMP-Frozen-160106-30	1	8	8
BM1077-CMP-Frozen-160106-31	1	8	8
BM1077-CMP-Frozen-160106-32	0	6	0
BM1077-CMP-Frozen-160106-33	0	4	0
BM1077-CMP-Frozen-160106-34	0	8	0
BM1077-CMP-Frozen-160106-35	8	6	0
BM1077-CMP-Frozen-160106-36	4	0	0
BM1077-CMP-Frozen-160106-37	0	4	0
BM1077-CMP-Frozen-160106-39	1	8	8
BM1077-CMP-Frozen-160106-4	1	3	6
BM1077-CMP-Frozen-160106-40	0	8	0
BM1077-CMP-Frozen-160106-42	1	8	8
BM1077-CMP-Frozen-160106-43	0	8	0
BM1077-CMP-Frozen-160106-44	1	3	8
BM1077-CMP-Frozen-160106-45	1	3	6
BM1077-CMP-Frozen-160106-46	0	8	0
BM1077-CMP-Frozen-160106-49	0	4	0
BM1077-CMP-Frozen-160106-5	4	0	0
BM1077-CMP-Frozen-160106-50	0	8	8
BM1077-CMP-Frozen-160106-51	1	8	8
BM1077-CMP-Frozen-160106-52	8	6	0
BM1077-CMP-Frozen-160106-53	4	0	5
BM1077-CMP-Frozen-160106-55	1	3	6
BM1077-CMP-Frozen-160106-56	4	0	5
BM1077-CMP-Frozen-160106-57	4	0	8
BM1077-CMP-Frozen-160106-58	0	8	0
BM1077-CMP-Frozen-160106-59	1	8	8
BM1077-CMP-Frozen-160106-6	0	8	0
BM1077-CMP-Frozen-160106-60	0	8	0
BM1077-CMP-Frozen-160106-61	8	6	0
BM1077-CMP-Frozen-160106-62	0	8	0
BM1077-CMP-Frozen-160106-64	0	8	0
