	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	4	8	1
BM1077-CLP-Frozen-160106-14	3	8	1
BM1077-CLP-Frozen-160106-2	3	8	9
BM1077-CLP-Frozen-160106-21	4	8	1
BM1077-CLP-Frozen-160106-27	3	8	9
BM1077-CLP-Frozen-160106-3	4	8	1
BM1077-CLP-Frozen-160106-36	4	8	9
BM1077-CLP-Frozen-160106-42	4	8	9
BM1077-CLP-Frozen-160106-44	4	8	1
BM1077-CLP-Frozen-160106-50	4	8	1
BM1077-CLP-Frozen-160106-61	4	8	1
BM1077-CLP-Frozen-160106-62	2	5	2
BM1077-CLP-Frozen-160106-66	0	1	4
BM1077-CLP-Frozen-160106-70	4	8	1
BM1077-CLP-Frozen-160106-71	3	8	4
BM1077-CLP-Frozen-160106-72	4	8	1
BM1077-CLP-Frozen-160106-75	4	8	1
BM1077-CLP-Frozen-160106-76	3	1	4
BM1077-CLP-Frozen-160106-78	3	8	9
BM1077-CLP-Frozen-160106-79	3	8	1
BM1077-CLP-Frozen-160106-80	3	8	1
BM1077-CLP-Frozen-160106-83	4	8	1
BM1077-CLP-Frozen-160106-86	0	1	1
BM1077-CLP-Frozen-160106-87	3	8	1
BM1077-CLP-Frozen-160106-88	4	8	1
BM1077-CLP-Frozen-160106-94	4	8	9
BM1077-CLP-Frozen-160106-96	4	8	1
BM1077-CMP-Frozen-160106-1	7	1	3
BM1077-CMP-Frozen-160106-10	8	1	4
BM1077-CMP-Frozen-160106-12	7	0	3
BM1077-CMP-Frozen-160106-14	0	1	4
BM1077-CMP-Frozen-160106-15	5	1	4
BM1077-CMP-Frozen-160106-16	7	0	3
BM1077-CMP-Frozen-160106-18	0	7	6
BM1077-CMP-Frozen-160106-19	0	1	8
BM1077-CMP-Frozen-160106-2	7	0	3
BM1077-CMP-Frozen-160106-21	8	1	4
BM1077-CMP-Frozen-160106-22	0	7	6
BM1077-CMP-Frozen-160106-23	0	1	4
BM1077-CMP-Frozen-160106-24	7	1	3
BM1077-CMP-Frozen-160106-25	7	0	3
BM1077-CMP-Frozen-160106-26	5	6	2
BM1077-CMP-Frozen-160106-28	7	0	3
BM1077-CMP-Frozen-160106-3	8	1	8
BM1077-CMP-Frozen-160106-30	7	0	3
BM1077-CMP-Frozen-160106-31	8	1	4
BM1077-CMP-Frozen-160106-32	0	1	4
BM1077-CMP-Frozen-160106-33	0	7	4
BM1077-CMP-Frozen-160106-34	0	1	4
BM1077-CMP-Frozen-160106-35	0	1	4
BM1077-CMP-Frozen-160106-36	1	2	2
BM1077-CMP-Frozen-160106-37	0	7	6
BM1077-CMP-Frozen-160106-39	7	0	3
BM1077-CMP-Frozen-160106-4	7	0	3
BM1077-CMP-Frozen-160106-40	0	1	4
BM1077-CMP-Frozen-160106-42	8	1	4
BM1077-CMP-Frozen-160106-43	0	1	4
BM1077-CMP-Frozen-160106-44	7	0	3
BM1077-CMP-Frozen-160106-45	7	0	3
BM1077-CMP-Frozen-160106-46	0	1	4
BM1077-CMP-Frozen-160106-49	0	7	4
BM1077-CMP-Frozen-160106-5	5	1	2
BM1077-CMP-Frozen-160106-50	0	1	4
BM1077-CMP-Frozen-160106-51	7	0	3
BM1077-CMP-Frozen-160106-52	0	1	4
BM1077-CMP-Frozen-160106-53	5	6	2
BM1077-CMP-Frozen-160106-55	7	0	3
BM1077-CMP-Frozen-160106-56	5	6	4
BM1077-CMP-Frozen-160106-57	1	2	2
BM1077-CMP-Frozen-160106-58	0	1	4
