	louvain	kmeans	hc
BM1077-CLP-Frozen-160106-13	0	1	3
BM1077-CLP-Frozen-160106-14	0	1	3
BM1077-CLP-Frozen-160106-2	1	1	3
BM1077-CLP-Frozen-160106-21	0	1	3
BM1077-CLP-Frozen-160106-27	0	1	3
BM1077-CLP-Frozen-160106-3	0	1	3
BM1077-CLP-Frozen-160106-36	1	1	3
BM1077-CLP-Frozen-160106-42	0	1	3
BM1077-CLP-Frozen-160106-44	6	1	3
BM1077-CLP-Frozen-160106-50	0	1	3
BM1077-CLP-Frozen-160106-61	6	1	3
BM1077-CLP-Frozen-160106-62	0	1	3
BM1077-CLP-Frozen-160106-66	0	1	3
BM1077-CLP-Frozen-160106-70	0	1	3
BM1077-CLP-Frozen-160106-71	0	1	3
BM1077-CLP-Frozen-160106-72	0	1	3
BM1077-CLP-Frozen-160106-75	0	1	3
BM1077-CLP-Frozen-160106-76	0	1	3
BM1077-CLP-Frozen-160106-78	0	1	3
BM1077-CLP-Frozen-160106-79	0	1	3
BM1077-CLP-Frozen-160106-80	0	1	3
BM1077-CLP-Frozen-160106-83	0	1	3
BM1077-CLP-Frozen-160106-86	0	1	3
BM1077-CLP-Frozen-160106-87	0	1	3
BM1077-CLP-Frozen-160106-88	5	1	3
BM1077-CLP-Frozen-160106-94	2	0	4
BM1077-CLP-Frozen-160106-96	0	1	3
BM1077-CMP-Frozen-160106-1	0	1	3
BM1077-CMP-Frozen-160106-10	0	1	3
BM1077-CMP-Frozen-160106-12	2	1	3
BM1077-CMP-Frozen-160106-14	3	1	9
BM1077-CMP-Frozen-160106-15	3	1	9
BM1077-CMP-Frozen-160106-16	4	1	9
BM1077-CMP-Frozen-160106-18	3	0	9
BM1077-CMP-Frozen-160106-19	0	1	3
BM1077-CMP-Frozen-160106-2	0	1	3
BM1077-CMP-Frozen-160106-21	0	1	3
BM1077-CMP-Frozen-160106-22	0	1	3
BM1077-CMP-Frozen-160106-23	4	0	4
BM1077-CMP-Frozen-160106-24	0	1	3
BM1077-CMP-Frozen-160106-25	3	0	4
BM1077-CMP-Frozen-160106-26	3	1	4
BM1077-CMP-Frozen-160106-28	3	1	9
BM1077-CMP-Frozen-160106-3	0	1	3
BM1077-CMP-Frozen-160106-30	3	1	9
BM1077-CMP-Frozen-160106-31	2	1	9
BM1077-CMP-Frozen-160106-32	3	1	9
BM1077-CMP-Frozen-160106-33	0	1	3
BM1077-CMP-Frozen-160106-34	0	1	3
BM1077-CMP-Frozen-160106-35	2	1	9
BM1077-CMP-Frozen-160106-36	3	1	3
BM1077-CMP-Frozen-160106-37	0	1	9
BM1077-CMP-Frozen-160106-39	2	1	9
BM1077-CMP-Frozen-160106-4	0	1	3
BM1077-CMP-Frozen-160106-40	1	0	2
BM1077-CMP-Frozen-160106-42	3	1	9
BM1077-CMP-Frozen-160106-43	0	1	9
BM1077-CMP-Frozen-160106-44	0	1	3
BM1077-CMP-Frozen-160106-45	0	1	3
BM1077-CMP-Frozen-160106-46	0	0	9
BM1077-CMP-Frozen-160106-49	0	1	3
BM1077-CMP-Frozen-160106-5	4	1	3
BM1077-CMP-Frozen-160106-50	0	1	3
BM1077-CMP-Frozen-160106-51	3	1	3
BM1077-CMP-Frozen-160106-52	3	1	9
BM1077-CMP-Frozen-160106-53	0	1	3
BM1077-CMP-Frozen-160106-55	0	1	3
BM1077-CMP-Frozen-160106-56	2	1	3
BM1077-CMP-Frozen-160106-57	0	1	3
BM1077-CMP-Frozen-160106-58	2	1	9
BM1077-CMP-Frozen-160106-59	3	1	9
BM1077-CMP-Frozen-160106-6	0	1	3
BM1077-CMP-Frozen-160106-60	1	0	2
BM1077-CMP-Frozen-160106-61	2	0	9
BM1077-CMP-Frozen-160106-62	3	1	3
BM1077-CMP-Frozen-160106-64	5	5	1
BM1077-CMP-Frozen-160106-66	2	1	3
BM1077-CMP-Frozen-160106-67	4	0	4
BM1077-CMP-Frozen-160106-68	1	1	3
BM1077-CMP-Frozen-160106-69	3	1	9
BM1077-CMP-Frozen-160106-70	0	1	3
BM1077-CMP-Frozen-160106-71	1	0	2
BM1077-CMP-Frozen-160106-72	0	1	9
BM1077-CMP-Frozen-160106-74	0	1	9
BM1077-CMP-Frozen-160106-75	4	0	4
BM1077-CMP-Frozen-160106-76	2	1	9
BM1077-CMP-Frozen-160106-77	2	1	9
BM1077-CMP-Frozen-160106-78	2	1	9
BM1077-CMP-Frozen-160106-79	0	1	3
BM1077-CMP-Frozen-160106-8	0	1	3
BM1077-CMP-Frozen-160106-80	0	1	3
BM1077-CMP-Frozen-160106-82	1	1	3
BM1077-CMP-Frozen-160106-83	3	1	3
BM1077-CMP-Frozen-160106-84	0	1	3
BM1077-CMP-Frozen-160106-85	3	0	2
BM1077-CMP-Frozen-160106-86	0	1	9
BM1077-CMP-Frozen-160106-87	3	1	3
BM1077-CMP-Frozen-160106-88	5	1	3
BM1077-CMP-Frozen-160106-89	0	1	3
BM1077-CMP-Frozen-160106-91	2	0	4
BM1077-CMP-Frozen-160106-92	0	1	3
BM1077-CMP-Frozen-160106-95	0	1	9
BM1077-GMP-Frozen-160107-1	0	1	3
BM1077-GMP-Frozen-160107-10	2	0	4
BM1077-GMP-Frozen-160107-11	0	1	3
BM1077-GMP-Frozen-160107-14	4	1	9
BM1077-GMP-Frozen-160107-16	0	1	3
BM1077-GMP-Frozen-160107-20	8	1	3
