,ARI_Louvain,ARI_kmeans,ARI_HC,AMI_Louvain,AMI_kmeans,AMI_HC,Homogeneity_Louvain,Homogeneity_kmeans,Homogeneity_HC
ChromVAR_kmers,0.39348691124413143,0.26078478899128427,0.2250309685374212,0.5245657690241762,0.41300802168364364,0.35673061231127295,0.5430921863164654,0.3705029389491309,0.3015941770342423
ChromVAR_motifs,0.31982353751255066,0.20963577728890143,0.32305084338609863,0.5106181240050064,0.41365395116668047,0.4641720960438667,0.5348933368740051,0.4296992195691064,0.4376890450229511
cisTopic,0.55150562359852,0.3518488037522831,0.3830480298525456,0.6612048534831293,0.5559076498536285,0.5739526069834648,0.674538240736871,0.5850616544931497,0.5972899026386077
Cusanovich2018,0.4901382342408741,-0.001941638339500185,-0.001941638339500185,0.6369352740924096,-0.0027884129014307053,-0.0027884129014307053,0.6355976947797999,0.003021875585198837,0.003021875585198837
Control,0.18330223724831926,0.02296973739206893,0.03975293739106349,0.3636884359919843,0.03141371450772853,0.0673721048867946,0.37717878902933116,0.03287288083670496,0.061628459714588704
GeneScoring,0.04036085292538367,0.017996422204744244,0.025546112071240627,0.11178923163880639,0.03181593013139222,0.03690794845728355,0.1188299791428711,0.03466435924068646,0.03997239991019516
Scasat,0.3050074450642401,0.16136685011319557,0.1613884937139804,0.5178681079614017,0.3021713695697498,0.3781079610105458,0.5312790362752983,0.32060171979714114,0.38352920805798524
scABC,0.02089400608083262,0.010923843884873915,0.032743709134405594,0.07372465803148162,0.019083867115155157,0.06827620005189636,0.07808521925492976,0.019655649054010616,0.06351906300894238
Cicero,0.033751980556727616,-0.0036918331894649184,-0.001941638339500185,0.0912650172112236,0.002033404932849895,-0.0027884129014307053,0.0956040457150599,0.00611831360216044,0.003021875585198837
ChromVAR_kmers_pca,0.43182185685059155,0.24971881319695752,0.23828440889699928,0.5542079614338974,0.4136926389362422,0.3707615162129418,0.5709696108342269,0.38634771041150373,0.3134758897378544
ChromVAR_motifs_pca,0.2780850467045879,0.20965000812296378,0.27789746761122625,0.4960706056098297,0.3929322177681871,0.4297335177411021,0.5160141921565985,0.3870376667070458,0.4175902743451924
GeneScoring_pca,0.023193334152883188,0.025248680058165773,0.02525666539011158,0.07852739005576025,0.03657362042422599,0.03994610692423919,0.09132528387131555,0.03978673174128116,0.04295462491484665
Cicero_pca,0.1391619915448023,-0.001941638339500185,-0.001941638339500185,0.24391285142106953,-0.0027884129014307053,-0.0027884129014307053,0.25562727617113035,0.003021875585198837,0.003021875585198837
