,ARI_Louvain,ARI_kmeans,ARI_HC,AMI_Louvain,AMI_kmeans,AMI_HC,Homogeneity_Louvain,Homogeneity_kmeans,Homogeneity_HC
ChromVAR_kmers,0.3621560970682209,0.3182809818462864,0.32260190399805405,0.5471564719124711,0.5089311707416478,0.5054121826747101,0.5292414452167516,0.4940620707541279,0.4990650801600074
ChromVAR_motifs,0.27358666609437526,0.23415916631717054,0.2328295824265317,0.4670771785778474,0.3815154641820171,0.38941782925533086,0.45293791968305913,0.3789836995395596,0.37420202493886806
cisTopic,0.32683056387360654,0.3114329191083392,0.3343785280296435,0.5941910607263753,0.5486239987152758,0.5845762275341749,0.562274485940611,0.5283848700488581,0.5722419033308506
SnapATAC,0.31158012098331195,0.3156660837786652,0.23898594897880351,0.5831904137463029,0.5380579820966962,0.5706485596715686,0.5494726572791486,0.5266520884552415,0.5263067661477898
SCRAT_motifs,0.1509316307940069,0.07756397279084142,0.07639704902591121,0.2998329542350906,0.1755875674829833,0.17411308377474724,0.30107022651490584,0.17731000680014009,0.17448026334791297
BROCKMAN,0.2297725452330192,0.10831355639687731,0.0950576899315099,0.402846334849331,0.2451533473689034,0.21692320675927887,0.40318323666124145,0.24694832667508804,0.21887214592508145
Cusanovich2018,0.3145709278077125,0.3126224857932242,0.3945487235769125,0.5887812094523281,0.5328391527918701,0.5792665032418006,0.5622939946045047,0.5200583586071676,0.5754026411616661
Control,0.33283747043629786,0.031020584696783062,0.032304937419374534,0.5486133358882576,0.17678973056170444,0.18392015675667137,0.5409798166648527,0.1455750731075007,0.14617055482880772
GeneScoring,0.07407424387413197,0.01888003269431827,0.03018417928063483,0.1593517879306191,0.11590575693638695,0.17887115300302547,0.15191554003178784,0.09566960847190817,0.14393175065512487
Scasat,0.35880554888600225,0.10747199467743078,0.12120709903088399,0.5543972486310152,0.33932026946649796,0.34300779880431087,0.5523549533502484,0.3218097644215758,0.327857004214004
scABC,0.03314241741284972,0.016430491229509094,0.03040011289598671,0.05911400529763981,0.10721715332053122,0.1911168996405932,0.05601037649904126,0.07942093098609813,0.15643996293129983
Cicero,0.009463350640721952,0.005077373971562134,0.0033770418871936964,0.033294770763394696,0.023407786389546218,0.021024400026286742,0.03128324429259712,0.019164898110602797,0.01687561781141011
ChromVAR_kmers_pca,0.39340201980551853,0.3531048883999637,0.3305516164690891,0.5771297741587589,0.5372955191311714,0.5232829303325389,0.5703690291070322,0.5294791648378664,0.5195165711753041
ChromVAR_motifs_pca,0.25259426840430044,0.2374949371052241,0.222041827732244,0.4753405923733011,0.3835464711692648,0.38768073523139757,0.44901604563777286,0.38022879682212773,0.37106366339851793
GeneScoring_pca,0.18409874391286207,0.026524887030405668,0.02958105898385625,0.3843991924663941,0.14391661765995536,0.1594504047597739,0.3814201474157675,0.12194079180061541,0.13244148445948073
Cicero_pca,0.06757713615294106,0.005160147118832928,0.007203918451532159,0.13341676044718617,0.023526692778563733,0.02552895624110165,0.12984076608248574,0.019289572848412918,0.02132311769236035
SCRAT_pca,0.15342296493632382,0.07771867168897417,0.08523856123687151,0.2862936787180703,0.17608942912740821,0.18160416254106307,0.2898152129995932,0.17784921020829678,0.18335803536267697
