	louvain	kmeans	hc
CD4_1	0	2	5
CD4_2	4	2	5
CD4_3	0	2	5
CD4_4	0	2	5
CD4_5	0	2	5
CD4_6	3	2	5
CD4_7	3	2	5
CD4_8	5	2	5
CD4_9	0	2	5
CD4_10	3	2	5
CD4_11	0	2	5
CD4_12	0	2	5
CD4_13	3	2	5
CD4_14	2	2	5
CD4_15	3	2	5
CD4_16	3	2	5
CD4_17	0	2	5
CD4_18	0	2	5
CD4_19	1	2	5
CD4_20	2	2	4
CD4_21	0	2	5
CD4_22	3	2	5
CD4_23	0	2	4
CD4_24	0	2	4
CD4_25	2	2	5
CD4_26	0	2	5
CD4_27	0	2	5
CD4_28	2	2	5
CD4_29	0	2	5
CD4_30	0	2	5
CD4_31	1	2	5
CD4_32	2	2	5
CD4_33	3	2	5
CD4_34	2	2	5
CD4_35	0	2	5
CD4_36	3	2	5
CD4_37	0	2	5
CD4_38	0	2	5
CD4_39	4	2	5
CD4_40	0	2	5
CD4_41	0	2	5
CD4_42	0	2	5
CD4_43	3	2	4
CD4_44	3	2	5
CD4_45	3	2	5
CD4_46	0	2	5
CD4_47	3	2	5
CD4_48	3	2	5
CD4_49	2	2	5
CD4_50	0	2	5
CD4_51	0	2	5
CD4_52	0	2	5
CD4_53	3	2	5
CD4_54	3	2	5
CD4_55	0	2	5
CD4_56	3	2	5
CD4_57	0	2	5
CD4_58	0	2	5
CD4_59	4	2	5
CD4_60	0	2	5
CD4_61	0	2	5
CD4_62	0	2	5
CD4_63	4	2	5
CD4_64	4	2	5
CD4_65	0	2	5
CD4_66	0	2	5
CD4_67	4	2	5
CD4_68	0	2	5
CD4_69	0	2	5
CD4_70	0	2	5
CD4_71	0	2	5
CD4_72	0	2	5
CD4_73	0	2	5
CD4_74	2	2	5
CD4_75	1	2	5
CD4_76	1	2	5
CD4_77	3	2	5
CD4_78	3	2	5
CD4_79	3	2	5
CD4_80	0	2	5
CD4_81	0	2	5
CD4_82	3	2	5
CD4_83	3	2	5
CD4_84	0	2	5
CD4_85	3	2	5
CD4_86	2	2	5
CD4_87	0	2	5
CD4_88	3	2	5
CD4_89	0	2	5
CD4_90	2	2	5
CD4_91	3	2	5
CD4_92	3	2	5
CD4_93	2	2	5
CD4_94	4	2	5
CD4_95	3	2	5
CD4_96	0	2	5
CD4_97	3	2	5
CD4_98	0	2	5
CD4_99	1	2	5
CD4_100	0	2	5
CD4_101	0	2	4
CD4_102	0	2	5
CD4_103	2	2	5
CD4_104	0	2	5
CD4_105	0	2	5
CD4_106	3	2	5
CD4_107	4	2	5
CD4_108	4	2	4
CD4_109	4	2	5
CD4_110	0	2	5
CD4_111	1	2	5
CD4_112	3	2	5
CD4_113	4	2	5
CD4_114	3	2	5
CD4_115	0	2	5
CD4_116	1	2	5
CD4_117	3	2	5
CD4_118	0	2	5
CD4_119	4	2	5
CD4_120	0	2	5
CD4_121	0	2	5
CD4_122	0	2	5
CD4_123	2	2	5
CD4_124	0	2	5
CD4_125	2	2	5
CD4_126	3	2	5
CD4_127	0	2	5
CD4_128	1	2	5
CD4_129	0	2	5
CD4_130	3	2	5
CD4_131	3	2	5
CD4_132	0	2	5
CD4_133	2	2	5
CD4_134	0	2	5
CD4_135	3	2	5
CD4_136	0	2	5
CD4_137	0	2	5
CD4_138	3	2	5
CD4_139	2	2	5
CD4_140	0	2	5
CD4_141	3	2	5
CD4_142	0	2	5
CD4_143	0	2	5
CD4_144	0	2	5
CD4_145	3	2	5
CD4_146	4	2	5
CD4_147	3	2	5
CD4_148	3	2	5
CD4_149	2	2	5
CD4_150	3	2	5
CD4_151	2	2	5
CD4_152	1	2	5
CD4_153	0	2	5
CD4_154	0	2	5
CD4_155	3	2	5
CD4_156	5	2	5
CD4_157	3	2	5
CD4_158	0	2	5
CD4_159	4	2	5
CD4_160	3	2	5
CD4_161	1	2	5
CD4_162	3	2	5
CD4_163	3	2	5
CD4_164	2	2	5
CD4_165	0	2	5
CD4_166	0	2	5
CD4_167	3	2	5
CD4_168	0	2	5
CD4_169	3	2	5
CD4_170	2	2	5
CD4_171	0	2	5
CD4_172	3	2	5
CD4_173	1	2	5
CD4_174	0	2	5
CD4_175	0	2	5
CD4_176	0	2	5
CD4_177	3	2	5
CD4_178	3	2	5
CD4_179	1	2	5
CD4_180	3	2	5
CD4_181	3	2	5
CD4_182	0	2	5
CD4_183	4	2	5
CD4_184	4	2	5
CD4_185	0	2	5
CD4_186	3	2	5
CD4_187	3	2	5
CD4_188	4	2	5
CD4_189	3	2	5
CD4_190	4	2	5
CD4_191	3	2	5
CD4_192	0	2	5
CD4_193	2	2	4
CD4_194	0	2	5
CD4_195	3	2	5
CD4_196	0	2	5
CD4_197	3	2	5
CD4_198	3	2	5
CD4_199	3	2	5
CD4_200	3	2	5
CD8_201	2	2	5
CD8_202	2	2	5
CD8_203	1	2	5
CD8_204	1	2	5
CD8_205	4	2	5
CD8_206	0	2	5
CD8_207	0	2	5
CD8_208	0	2	5
CD8_209	4	2	5
CD8_210	0	2	5
CD8_211	3	2	5
CD8_212	2	2	5
CD8_213	0	2	5
CD8_214	0	2	4
CD8_215	0	2	5
CD8_216	0	2	5
CD8_217	0	2	5
CD8_218	4	2	5
CD8_219	0	2	5
CD8_220	5	2	5
CD8_221	0	2	5
CD8_222	0	2	4
CD8_223	0	2	5
CD8_224	0	2	5
CD8_225	0	2	5
CD8_226	0	2	5
CD8_227	1	2	5
CD8_228	0	2	5
CD8_229	0	2	5
CD8_230	0	2	5
CD8_231	0	2	5
CD8_232	0	2	4
CD8_233	0	2	4
CD8_234	0	2	5
CD8_235	2	2	5
CD8_236	0	2	5
CD8_237	0	2	4
CD8_238	0	2	5
CD8_239	0	2	5
CD8_240	3	2	5
CD8_241	0	2	5
CD8_242	0	2	5
CD8_243	0	2	5
CD8_244	0	2	5
CD8_245	0	2	5
CD8_246	3	2	5
CD8_247	0	2	5
CD8_248	3	2	5
CD8_249	0	2	5
CD8_250	0	2	5
CD8_251	0	2	4
CD8_252	3	2	5
CD8_253	0	2	5
CD8_254	0	2	4
CD8_255	2	2	5
CD8_256	0	2	5
CD8_257	0	2	5
CD8_258	3	2	5
CD8_259	3	2	4
CD8_260	1	2	5
CD8_261	0	2	5
CD8_262	0	2	4
CD8_263	3	2	5
CD8_264	0	2	5
CD8_265	0	2	5
CD8_266	3	2	5
CD8_267	3	2	5
CD8_268	2	2	5
CD8_269	0	2	5
CD8_270	0	2	5
CD8_271	3	2	5
CD8_272	3	2	5
CD8_273	0	2	5
CD8_274	3	2	5
CD8_275	0	2	5
CD8_276	0	2	5
CD8_277	0	2	5
CD8_278	0	2	5
CD8_279	2	2	5
CD8_280	0	2	5
CD8_281	0	2	5
CD8_282	3	2	5
CD8_283	0	2	5
CD8_284	0	2	4
CD8_285	0	2	5
CD8_286	0	2	5
CD8_287	2	2	5
CD8_288	0	2	5
CD8_289	0	2	5
CD8_290	0	2	5
CD8_291	0	2	4
CD8_292	0	2	5
CD8_293	0	2	4
CD8_294	0	2	5
CD8_295	1	2	5
CD8_296	0	2	5
CD8_297	0	2	5
CD8_298	3	2	5
CD8_299	0	2	5
CD8_300	3	2	5
CD8_301	0	2	4
CD8_302	0	2	5
CD8_303	0	2	4
CD8_304	0	2	5
CD8_305	0	2	5
CD8_306	0	2	5
CD8_307	1	2	5
CD8_308	0	2	5
CD8_309	0	2	4
CD8_310	0	2	4
CD8_311	1	2	5
CD8_312	0	2	5
CD8_313	0	2	5
CD8_314	3	2	5
CD8_315	0	2	4
CD8_316	0	2	5
CD8_317	4	2	5
CD8_318	3	2	5
CD8_319	0	2	4
CD8_320	0	2	5
CD8_321	0	2	5
CD8_322	0	2	5
CD8_323	0	2	5
CD8_324	0	2	4
CD8_325	0	2	5
CD8_326	0	2	5
CD8_327	0	2	5
CD8_328	0	2	5
CD8_329	3	2	5
CD8_330	0	2	5
CD8_331	0	2	5
CD8_332	0	2	5
CD8_333	3	2	4
CD8_334	1	2	5
CD8_335	0	2	4
CD8_336	0	2	5
CD8_337	0	2	4
CD8_338	0	2	5
CD8_339	0	2	5
CD8_340	4	2	4
CD8_341	4	2	5
CD8_342	2	2	5
CD8_343	0	2	5
CD8_344	0	2	5
CD8_345	0	2	5
CD8_346	0	2	5
CD8_347	0	2	4
CD8_348	0	2	4
CD8_349	0	2	5
CD8_350	3	2	5
CD8_351	3	2	4
CD8_352	0	2	5
CD8_353	1	2	5
CD8_354	0	2	5
CD8_355	0	2	4
CD8_356	0	2	5
CD8_357	4	2	5
CD8_358	0	2	5
CD8_359	0	2	5
CD8_360	2	2	5
CD8_361	3	2	5
CD8_362	0	2	5
CD8_363	0	2	5
CD8_364	0	2	5
CD8_365	3	2	5
CD8_366	0	2	5
CD8_367	0	2	5
CD8_368	0	2	5
CD8_369	0	2	5
CD8_370	2	2	5
CD8_371	0	2	5
CD8_372	0	2	5
CD8_373	0	2	4
CD8_374	0	2	5
CD8_375	0	2	5
CD8_376	2	2	5
CD8_377	3	2	5
CD8_378	0	2	4
CD8_379	1	2	5
CD8_380	2	2	5
CD8_381	0	2	5
CD8_382	3	2	5
CD8_383	3	2	5
CD8_384	0	2	5
CD8_385	0	2	5
CD8_386	2	2	5
CD8_387	0	2	5
CD8_388	0	2	5
CD8_389	0	2	5
CD8_390	2	2	5
CD8_391	0	2	4
CD8_392	0	2	5
CD8_393	1	2	5
CD8_394	0	2	5
CD8_395	4	2	5
CD8_396	0	2	5
CD8_397	0	2	4
CD8_398	3	2	5
CD8_399	0	2	4
CD8_400	0	2	5
CMP_401	1	5	1
CMP_402	1	5	1
CMP_403	2	5	2
CMP_404	1	5	0
CMP_405	1	5	1
CMP_406	1	5	2
CMP_407	4	5	0
CMP_408	1	5	2
CMP_409	1	5	0
CMP_410	2	5	2
CMP_411	2	5	1
CMP_412	1	5	2
CMP_413	2	5	2
CMP_414	1	5	2
CMP_415	1	5	0
