	louvain	kmeans	hc
CD4_1	1	1	1
CD4_2	5	1	4
CD4_3	4	1	1
CD4_4	1	1	1
CD4_5	1	1	1
CD4_6	1	1	1
CD4_7	1	1	1
CD4_8	1	1	1
CD4_9	1	1	1
CD4_10	1	1	1
CD4_11	1	1	1
CD4_12	1	1	1
CD4_13	4	1	1
CD4_14	4	1	1
CD4_15	4	1	1
CD4_16	1	1	1
CD4_17	4	1	1
CD4_18	4	1	1
CD4_19	1	1	1
CD4_20	4	1	1
CD4_21	1	1	1
CD4_22	1	1	1
CD4_23	4	1	1
CD4_24	1	1	1
CD4_25	1	1	1
CD4_26	1	1	1
CD4_27	2	1	5
CD4_28	1	1	1
CD4_29	5	1	4
CD4_30	4	1	1
CD4_31	1	1	1
CD4_32	1	1	1
CD4_33	5	1	1
CD4_34	4	1	1
CD4_35	1	1	1
CD4_36	1	1	1
CD4_37	4	1	1
CD4_38	1	1	1
CD4_39	1	1	1
CD4_40	1	1	1
CD4_41	5	1	4
CD4_42	4	1	1
CD4_43	1	1	1
CD4_44	1	1	1
CD4_45	1	1	1
CD4_46	1	1	1
CD4_47	1	1	1
CD4_48	1	1	1
CD4_49	4	1	1
CD4_50	1	1	1
CD4_51	1	1	1
CD4_52	1	1	1
CD4_53	4	1	1
CD4_54	1	1	1
CD4_55	1	1	1
CD4_56	1	1	1
CD4_57	1	1	1
CD4_58	1	1	1
CD4_59	1	1	1
CD4_60	1	1	1
CD4_61	2	1	5
CD4_62	1	1	1
CD4_63	1	1	1
CD4_64	5	1	4
CD4_65	1	1	1
CD4_66	5	1	4
CD4_67	1	1	1
CD4_68	1	1	1
CD4_69	1	1	1
CD4_70	1	1	1
CD4_71	1	1	1
CD4_72	5	1	4
CD4_73	1	1	1
CD4_74	1	1	1
CD4_75	1	1	1
CD4_76	2	1	1
CD4_77	1	1	1
CD4_78	1	1	1
CD4_79	4	1	1
CD4_80	1	1	1
CD4_81	1	1	1
CD4_82	1	1	1
CD4_83	5	1	4
CD4_84	1	1	1
CD4_85	1	1	1
CD4_86	4	1	1
CD4_87	1	1	1
CD4_88	1	1	1
CD4_89	1	1	1
CD4_90	1	1	1
CD4_91	1	1	1
CD4_92	1	1	1
CD4_93	1	1	1
CD4_94	1	1	1
CD4_95	1	1	4
CD4_96	1	1	1
CD4_97	1	1	1
CD4_98	4	1	1
CD4_99	5	1	4
CD4_100	1	1	1
CD4_101	1	1	1
CD4_102	4	1	1
CD4_103	1	1	1
CD4_104	1	1	1
CD4_105	1	1	1
CD4_106	1	1	1
CD4_107	1	1	1
CD4_108	4	1	1
CD4_109	1	1	1
CD4_110	4	1	1
CD4_111	4	1	1
CD4_112	1	1	1
CD4_113	1	1	1
CD4_114	1	1	1
CD4_115	1	1	1
CD4_116	1	1	1
CD4_117	1	1	1
CD4_118	1	1	1
CD4_119	1	1	1
CD4_120	1	1	1
CD4_121	2	1	1
CD4_122	1	1	1
CD4_123	4	1	1
CD4_124	4	1	1
CD4_125	1	1	1
CD4_126	1	1	1
CD4_127	1	1	1
CD4_128	4	1	1
CD4_129	1	1	1
CD4_130	4	1	1
CD4_131	1	1	1
CD4_132	1	1	1
CD4_133	4	1	1
CD4_134	1	1	1
CD4_135	5	1	4
CD4_136	1	1	1
CD4_137	1	1	1
CD4_138	1	1	1
CD4_139	1	1	1
CD4_140	4	1	1
CD4_141	1	1	1
CD4_142	1	1	1
CD4_143	1	1	1
CD4_144	4	1	1
CD4_145	1	1	1
CD4_146	1	1	1
CD4_147	4	1	1
CD4_148	5	1	4
CD4_149	4	1	1
CD4_150	1	1	1
CD4_151	1	1	1
CD4_152	1	1	1
CD4_153	1	1	1
CD4_154	1	1	1
CD4_155	5	1	4
CD4_156	2	1	1
CD4_157	1	1	1
CD4_158	1	1	1
CD4_159	1	1	1
CD4_160	1	1	1
CD4_161	4	1	1
CD4_162	1	1	1
CD4_163	5	1	1
CD4_164	1	1	1
CD4_165	5	1	4
CD4_166	4	1	1
CD4_167	1	1	1
CD4_168	5	1	4
CD4_169	1	1	1
CD4_170	1	1	1
CD4_171	1	1	1
CD4_172	1	1	1
CD4_173	1	1	1
CD4_174	1	1	1
CD4_175	1	1	1
CD4_176	1	1	1
CD4_177	1	1	1
CD4_178	1	1	1
CD4_179	1	1	1
CD4_180	4	1	1
CD4_181	1	1	1
CD4_182	5	1	4
CD4_183	1	1	1
CD4_184	4	1	1
CD4_185	1	1	1
CD4_186	1	1	1
CD4_187	1	1	1
CD4_188	1	1	1
CD4_189	1	1	1
CD4_190	1	1	1
CD4_191	1	1	1
CD4_192	1	1	1
CD4_193	1	1	1
CD4_194	5	1	4
CD4_195	1	1	1
CD4_196	1	1	1
CD4_197	5	1	4
CD4_198	1	1	1
CD4_199	1	1	1
CD4_200	1	1	1
CD8_201	4	1	1
CD8_202	5	1	4
CD8_203	1	1	1
CD8_204	1	1	1
CD8_205	5	1	4
CD8_206	1	1	1
CD8_207	1	1	1
CD8_208	1	5	1
CD8_209	4	1	1
CD8_210	1	1	1
CD8_211	2	1	1
CD8_212	1	1	1
CD8_213	2	1	1
CD8_214	4	1	1
CD8_215	1	1	1
CD8_216	1	1	1
CD8_217	2	1	1
CD8_218	1	1	1
CD8_219	1	1	1
CD8_220	1	1	1
CD8_221	2	5	4
CD8_222	5	1	4
CD8_223	1	1	1
CD8_224	4	1	1
CD8_225	4	1	1
CD8_226	4	1	1
CD8_227	5	1	4
CD8_228	1	1	1
CD8_229	4	1	1
CD8_230	1	1	1
CD8_231	4	1	1
CD8_232	2	1	1
CD8_233	5	1	1
CD8_234	5	1	4
CD8_235	1	1	1
CD8_236	4	1	1
CD8_237	2	5	4
CD8_238	1	1	1
CD8_239	1	5	5
CD8_240	1	1	1
CD8_241	1	1	1
CD8_242	2	5	5
CD8_243	1	1	1
CD8_244	1	1	1
CD8_245	2	5	1
CD8_246	1	1	1
CD8_247	1	1	1
CD8_248	4	1	5
CD8_249	1	1	1
CD8_250	1	1	1
CD8_251	2	5	5
CD8_252	4	1	1
CD8_253	4	1	1
CD8_254	2	5	4
CD8_255	1	1	1
CD8_256	1	1	1
CD8_257	1	1	1
CD8_258	1	1	1
CD8_259	1	1	1
CD8_260	1	1	1
CD8_261	4	1	1
CD8_262	2	1	1
CD8_263	1	1	1
CD8_264	2	5	1
CD8_265	1	1	1
CD8_266	1	1	1
CD8_267	4	1	1
CD8_268	4	1	1
CD8_269	1	1	1
CD8_270	2	1	1
CD8_271	2	1	1
CD8_272	5	1	4
CD8_273	4	1	1
CD8_274	4	1	1
CD8_275	4	1	1
CD8_276	4	1	1
CD8_277	1	5	5
CD8_278	1	1	1
CD8_279	1	1	1
CD8_280	1	1	1
CD8_281	5	1	4
CD8_282	1	1	1
CD8_283	1	1	1
CD8_284	2	1	5
CD8_285	1	1	1
CD8_286	1	1	1
CD8_287	1	1	1
CD8_288	1	1	1
CD8_289	1	1	1
CD8_290	1	1	1
CD8_291	2	1	1
CD8_292	5	1	4
CD8_293	2	5	1
CD8_294	1	1	1
CD8_295	2	5	5
CD8_296	4	1	1
CD8_297	1	1	1
CD8_298	2	1	4
CD8_299	1	5	1
CD8_300	5	1	4
CD8_301	1	1	1
CD8_302	1	1	1
CD8_303	4	1	1
CD8_304	4	1	1
CD8_305	4	1	1
CD8_306	1	5	1
CD8_307	1	1	1
CD8_308	4	1	1
CD8_309	1	1	1
CD8_310	5	5	4
CD8_311	1	1	1
CD8_312	4	1	1
CD8_313	2	1	1
CD8_314	1	1	1
CD8_315	1	1	5
CD8_316	4	1	1
CD8_317	1	1	1
CD8_318	1	1	1
CD8_319	1	1	1
CD8_320	1	1	1
CD8_321	1	1	1
CD8_322	4	1	1
CD8_323	1	1	1
CD8_324	2	5	5
CD8_325	2	1	5
CD8_326	4	1	1
CD8_327	1	1	1
CD8_328	4	1	1
CD8_329	1	1	1
CD8_330	1	1	1
CD8_331	2	1	1
CD8_332	1	5	1
CD8_333	1	1	1
CD8_334	1	1	1
CD8_335	5	1	4
CD8_336	5	1	1
CD8_337	1	1	1
CD8_338	5	1	4
CD8_339	1	1	1
CD8_340	1	1	1
CD8_341	1	1	1
CD8_342	1	1	1
CD8_343	5	1	4
CD8_344	1	1	1
CD8_345	4	1	5
CD8_346	1	1	1
CD8_347	1	1	1
