	louvain	kmeans	hc
CD4_1	5	1	2
CD4_2	5	1	2
CD4_3	5	1	2
CD4_4	5	1	2
CD4_5	5	1	2
CD4_6	5	1	2
CD4_7	5	1	2
CD4_8	5	1	2
CD4_9	5	1	2
CD4_10	5	1	2
CD4_11	5	1	2
CD4_12	5	1	2
CD4_13	5	1	2
CD4_14	5	1	2
CD4_15	5	1	2
CD4_16	5	1	2
CD4_17	5	1	2
CD4_18	5	1	2
CD4_19	5	1	2
CD4_20	5	1	2
CD4_21	5	1	2
CD4_22	5	1	2
CD4_23	5	1	2
CD4_24	5	1	2
CD4_25	5	1	2
CD4_26	5	1	2
CD4_27	5	1	2
CD4_28	5	1	2
CD4_29	5	1	2
CD4_30	5	1	2
CD4_31	5	1	2
CD4_32	5	1	2
CD4_33	5	1	2
CD4_34	5	1	2
CD4_35	5	1	2
CD4_36	5	1	2
CD4_37	5	1	2
CD4_38	5	1	2
CD4_39	5	1	2
CD4_40	5	1	2
CD4_41	5	1	2
CD4_42	5	1	2
CD4_43	0	1	0
CD4_44	5	1	2
CD4_45	5	1	2
CD4_46	5	1	2
CD4_47	5	1	2
CD4_48	5	1	2
CD4_49	5	1	2
CD4_50	5	1	2
CD4_51	5	1	2
CD4_52	5	1	2
CD4_53	5	1	2
CD4_54	5	1	2
CD4_55	5	1	2
CD4_56	5	1	2
CD4_57	5	1	2
CD4_58	5	1	2
CD4_59	5	1	2
CD4_60	5	1	2
CD4_61	5	1	2
CD4_62	5	1	2
CD4_63	5	1	2
CD4_64	5	1	2
CD4_65	5	1	2
CD4_66	5	1	2
CD4_67	5	1	2
CD4_68	5	1	2
CD4_69	5	1	2
CD4_70	5	1	2
CD4_71	5	1	2
CD4_72	5	1	2
CD4_73	5	1	2
CD4_74	5	1	2
CD4_75	5	1	2
CD4_76	5	1	2
CD4_77	5	1	2
CD4_78	5	1	2
CD4_79	5	1	2
CD4_80	5	1	2
CD4_81	5	1	2
CD4_82	5	1	2
CD4_83	5	1	2
CD4_84	5	1	2
CD4_85	5	1	2
CD4_86	5	1	2
CD4_87	5	1	2
CD4_88	5	1	2
CD4_89	5	1	2
CD4_90	5	1	2
CD4_91	5	1	2
CD4_92	5	1	2
CD4_93	5	1	2
CD4_94	5	1	2
CD4_95	5	1	2
CD4_96	5	1	2
CD4_97	5	1	2
CD4_98	5	1	2
CD4_99	5	1	2
CD4_100	5	1	2
CD4_101	0	1	2
CD4_102	5	1	2
CD4_103	5	1	2
CD4_104	5	1	2
CD4_105	5	1	2
CD4_106	5	1	2
CD4_107	5	1	2
CD4_108	5	1	2
CD4_109	5	1	2
CD4_110	5	1	2
CD4_111	5	1	2
CD4_112	5	1	2
CD4_113	5	1	2
CD4_114	5	1	2
CD4_115	5	1	2
CD4_116	5	1	2
CD4_117	5	1	2
CD4_118	5	1	2
CD4_119	5	1	2
CD4_120	5	1	2
CD4_121	5	1	2
CD4_122	5	1	2
CD4_123	5	1	2
CD4_124	5	1	2
CD4_125	5	1	2
CD4_126	5	1	2
CD4_127	5	1	2
CD4_128	5	1	2
CD4_129	5	1	2
CD4_130	5	1	2
CD4_131	5	1	2
CD4_132	5	1	2
CD4_133	5	1	2
CD4_134	5	1	2
CD4_135	5	1	2
CD4_136	5	1	2
CD4_137	5	1	2
CD4_138	5	1	2
CD4_139	5	1	2
CD4_140	5	1	2
CD4_141	5	1	2
CD4_142	5	1	2
CD4_143	5	1	2
CD4_144	5	1	2
CD4_145	5	1	2
CD4_146	5	1	2
CD4_147	5	1	2
CD4_148	5	1	2
CD4_149	5	1	0
CD4_150	5	1	2
CD4_151	5	1	2
CD4_152	5	1	2
CD4_153	5	1	2
CD4_154	5	1	2
CD4_155	5	1	2
CD4_156	5	1	2
CD4_157	5	1	2
CD4_158	5	1	2
CD4_159	5	1	2
CD4_160	5	1	2
CD4_161	5	1	2
CD4_162	5	1	2
CD4_163	5	1	2
CD4_164	5	5	2
CD4_165	5	1	2
CD4_166	5	1	2
CD4_167	5	1	2
CD4_168	5	1	2
CD4_169	5	1	2
CD4_170	0	1	2
CD4_171	5	1	2
CD4_172	5	1	2
CD4_173	5	1	2
CD4_174	5	1	2
CD4_175	5	1	2
CD4_176	5	1	2
CD4_177	5	1	2
CD4_178	5	1	2
CD4_179	5	1	2
CD4_180	5	1	2
CD4_181	5	1	2
CD4_182	5	1	2
CD4_183	5	1	2
CD4_184	5	1	2
CD4_185	5	1	2
CD4_186	5	1	2
