	louvain	kmeans	hc
CD4_1	1	1	4
CD4_2	3	5	4
CD4_3	2	4	0
CD4_4	3	1	0
CD4_5	4	0	2
CD4_6	4	0	2
CD4_7	3	1	5
CD4_8	2	4	0
CD4_9	1	1	0
CD4_10	1	1	0
CD4_11	1	1	0
CD4_12	4	0	2
CD4_13	3	1	4
CD4_14	1	1	0
CD4_15	1	1	0
CD4_16	1	1	0
CD4_17	1	4	0
CD4_18	4	0	2
CD4_19	1	1	5
CD4_20	2	5	4
CD4_21	3	1	4
CD4_22	1	1	0
CD4_23	1	1	3
CD4_24	3	1	4
CD4_25	3	1	4
CD4_26	0	4	0
CD4_27	3	1	0
CD4_28	3	4	4
CD4_29	2	1	5
CD4_30	2	1	5
CD4_31	3	4	4
CD4_32	1	4	4
CD4_33	0	1	0
CD4_34	1	5	5
CD4_35	0	4	0
CD4_36	2	1	4
CD4_37	4	0	2
CD4_38	4	0	2
CD4_39	1	4	0
CD4_40	1	1	0
CD4_41	3	4	4
CD4_42	1	4	0
CD4_43	1	1	0
CD4_44	2	1	5
CD4_45	1	1	0
CD4_46	3	1	0
CD4_47	1	1	0
CD4_48	4	0	2
CD4_49	0	4	0
CD4_50	1	1	0
CD4_51	1	1	0
CD4_52	1	1	0
CD4_53	2	1	0
CD4_54	1	4	4
CD4_55	1	1	4
CD4_56	1	4	0
CD4_57	2	1	0
CD4_58	1	1	0
CD4_59	4	0	2
CD4_60	1	4	0
CD4_61	2	1	0
CD4_62	0	4	0
CD4_63	1	4	0
CD4_64	1	5	0
CD4_65	0	1	0
CD4_66	1	4	0
CD4_67	1	1	5
CD4_68	1	4	0
CD4_69	1	4	0
CD4_70	2	4	4
CD4_71	1	4	0
CD4_72	1	4	5
CD4_73	0	1	4
CD4_74	3	1	4
CD4_75	1	1	5
CD4_76	3	1	3
CD4_77	1	4	0
CD4_78	2	4	0
CD4_79	1	4	0
CD4_80	3	4	4
CD4_81	1	1	0
CD4_82	5	1	4
CD4_83	1	1	4
CD4_84	2	1	5
CD4_85	0	5	4
CD4_86	2	1	0
CD4_87	2	5	5
CD4_88	3	1	5
CD4_89	1	4	0
CD4_90	5	5	0
CD4_91	1	1	0
CD4_92	1	5	4
CD4_93	2	5	5
CD4_94	0	4	4
CD4_95	1	1	0
CD4_96	1	4	4
CD4_97	2	5	5
CD4_98	0	4	0
CD4_99	1	4	0
CD4_100	2	4	0
CD4_101	0	1	0
CD4_102	1	1	0
CD4_103	1	1	0
CD4_104	1	4	0
CD4_105	1	1	0
CD4_106	2	5	4
CD4_107	3	4	0
CD4_108	1	1	5
CD4_109	0	1	0
CD4_110	1	1	0
CD4_111	1	4	0
CD4_112	1	5	4
CD4_113	1	1	0
CD4_114	1	1	0
CD4_115	1	4	0
CD4_116	0	1	0
CD4_117	3	1	4
CD4_118	3	4	4
CD4_119	2	1	0
CD4_120	0	4	0
CD4_121	3	5	4
CD4_122	1	1	0
CD4_123	4	0	2
CD4_124	4	0	2
CD4_125	1	1	0
CD4_126	1	4	0
CD4_127	2	4	0
CD4_128	4	0	2
CD4_129	0	4	0
CD4_130	0	1	3
CD4_131	1	4	0
CD4_132	1	1	0
CD4_133	1	4	0
CD4_134	1	1	0
