	louvain	kmeans	hc
CD4_1	0	4	2
CD4_2	3	0	5
CD4_3	0	4	2
CD4_4	0	1	2
CD4_5	4	3	1
CD4_6	4	3	1
CD4_7	3	0	4
CD4_8	0	4	2
CD4_9	0	4	2
CD4_10	0	1	2
CD4_11	0	4	2
CD4_12	4	3	1
CD4_13	3	0	5
CD4_14	0	1	2
CD4_15	0	4	2
CD4_16	0	4	2
CD4_17	0	1	2
CD4_18	4	3	1
CD4_19	0	4	4
CD4_20	3	4	4
CD4_21	3	0	5
CD4_22	0	4	2
CD4_23	0	1	2
CD4_24	3	0	4
CD4_25	3	0	5
CD4_26	0	1	2
CD4_27	0	1	2
CD4_28	3	0	5
CD4_29	0	4	4
CD4_30	3	4	4
CD4_31	3	0	5
CD4_32	3	0	5
CD4_33	0	1	2
CD4_34	0	4	2
CD4_35	0	1	2
CD4_36	0	4	4
CD4_37	4	3	1
CD4_38	4	3	1
CD4_39	0	1	2
CD4_40	0	1	2
CD4_41	3	0	5
CD4_42	0	4	2
CD4_43	0	4	2
CD4_44	0	4	4
CD4_45	0	1	4
CD4_46	3	0	5
CD4_47	0	1	2
CD4_48	4	3	1
CD4_49	0	1	2
CD4_50	0	1	2
CD4_51	0	4	2
CD4_52	0	1	2
CD4_53	0	4	2
CD4_54	0	1	2
CD4_55	3	0	5
CD4_56	0	1	2
CD4_57	0	1	2
CD4_58	0	1	2
CD4_59	4	3	1
CD4_60	0	1	2
CD4_61	0	4	2
CD4_62	0	1	2
CD4_63	0	1	2
CD4_64	0	1	2
CD4_65	0	1	2
CD4_66	0	1	2
CD4_67	0	4	4
CD4_68	0	1	2
CD4_69	0	1	2
CD4_70	0	1	2
CD4_71	0	1	2
CD4_72	0	4	2
CD4_73	0	0	2
CD4_74	3	0	4
CD4_75	0	4	4
CD4_76	3	0	5
CD4_77	0	1	2
CD4_78	0	4	2
CD4_79	0	1	2
CD4_80	3	0	5
CD4_81	0	1	2
CD4_82	3	0	5
CD4_83	0	4	2
CD4_84	0	4	4
CD4_85	3	0	5
CD4_86	0	4	4
CD4_87	0	4	4
CD4_88	3	0	4
CD4_89	0	1	2
CD4_90	0	4	2
CD4_91	0	4	2
CD4_92	0	4	2
CD4_93	0	4	4
CD4_94	0	4	2
CD4_95	0	0	5
CD4_96	0	4	4
CD4_97	0	4	4
CD4_98	0	1	2
CD4_99	0	1	5
CD4_100	0	4	2
CD4_101	0	4	2
CD4_102	0	1	2
CD4_103	0	4	4
CD4_104	0	1	2
CD4_105	0	1	4
CD4_106	3	0	5
CD4_107	3	0	5
CD4_108	0	4	4
CD4_109	0	1	2
CD4_110	0	4	2
CD4_111	0	1	5
CD4_112	0	4	2
CD4_113	0	1	2
CD4_114	0	1	2
CD4_115	0	1	2
CD4_116	0	1	2
CD4_117	3	0	5
CD4_118	3	0	5
CD4_119	0	4	4
CD4_120	0	1	2
CD4_121	3	0	4
CD4_122	0	4	2
CD4_123	4	3	1
CD4_124	4	3	1
CD4_125	0	1	2
CD4_126	0	1	2
CD4_127	0	1	2
CD4_128	4	3	1
CD4_129	0	1	2
CD4_130	0	1	2
CD4_131	0	1	2
CD4_132	0	1	2
CD4_133	0	1	2
CD4_134	0	1	2
CD4_135	0	4	2
CD4_136	0	4	2
CD4_137	0	1	2
CD4_138	3	0	5
CD4_139	0	1	2
CD4_140	0	1	2
CD4_141	0	4	4
CD4_142	0	4	2
CD4_143	3	0	5
CD4_144	0	1	2
CD4_145	0	1	2
CD4_146	3	0	4
CD4_147	4	3	1
CD4_148	0	1	2
CD4_149	0	1	2
CD4_150	0	4	2
CD4_151	0	1	2
CD4_152	0	1	2
CD4_153	0	4	4
CD4_154	4	3	1
CD4_155	0	1	2
CD4_156	3	0	5
CD4_157	0	4	2
CD4_158	3	0	5
CD4_159	0	4	4
CD4_160	0	4	2
CD4_161	3	0	5
CD4_162	3	0	5
CD4_163	0	1	2
CD4_164	3	0	5
CD4_165	0	4	4
CD4_166	0	4	2
CD4_167	3	0	2
CD4_168	3	0	5
CD4_169	0	1	2
CD4_170	0	1	2
CD4_171	0	1	2
CD4_172	0	4	2
CD4_173	0	1	2
CD4_174	0	1	2
CD4_175	0	1	2
CD4_176	3	0	5
CD4_177	3	0	5
CD4_178	0	1	2
CD4_179	0	1	2
CD4_180	0	4	4
CD4_181	0	1	2
CD4_182	3	0	5
CD4_183	3	0	5
CD4_184	3	0	5
CD4_185	0	1	2
CD4_186	0	1	2
CD4_187	0	1	2
CD4_188	0	4	2
CD4_189	0	4	2
CD4_190	0	1	2
CD4_191	4	3	1
CD4_192	3	0	5
CD4_193	0	1	5
CD4_194	0	1	2
CD4_195	0	4	2
CD4_196	4	3	1
CD4_197	0	1	2
CD4_198	0	4	4
CD4_199	0	1	2
CD4_200	0	1	2
CD8_201	0	1	2
CD8_202	0	1	2
CD8_203	3	0	4
CD8_204	0	4	2
CD8_205	0	4	4
CD8_206	0	4	4
CD8_207	0	4	2
CD8_208	0	4	2
CD8_209	3	0	5
CD8_210	0	1	2
CD8_211	0	4	4
CD8_212	3	0	5
CD8_213	3	0	5
CD8_214	0	4	4
CD8_215	0	4	2
CD8_216	3	0	4
CD8_217	0	1	2
CD8_218	3	1	5
CD8_219	0	4	2
CD8_220	0	4	2
CD8_221	0	1	2
CD8_222	0	1	2
CD8_223	0	1	2
CD8_224	0	4	2
CD8_225	0	4	2
CD8_226	0	4	4
CD8_227	0	1	2
CD8_228	0	4	2
CD8_229	0	1	2
CD8_230	0	1	2
CD8_231	0	4	2
CD8_232	0	4	4
CD8_233	0	1	2
CD8_234	4	3	1
CD8_235	0	1	2
CD8_236	3	0	5
CD8_237	0	1	2
CD8_238	0	1	2
CD8_239	0	1	2
CD8_240	0	1	2
CD8_241	0	1	2
CD8_242	4	3	1
CD8_243	4	3	1
CD8_244	3	0	4
CD8_245	3	0	5
CD8_246	3	1	5
CD8_247	0	1	2
CD8_248	0	4	2
CD8_249	0	4	2
CD8_250	0	4	4
CD8_251	0	4	2
CD8_252	3	0	5
CD8_253	0	1	2
CD8_254	0	4	4
CD8_255	4	3	1
CD8_256	0	4	2
CD8_257	0	1	2
CD8_258	0	4	2
CD8_259	3	0	5
CD8_260	0	1	2
CD8_261	0	4	4
CD8_262	0	4	2
CD8_263	3	1	5
CD8_264	0	1	2
CD8_265	0	1	2
CD8_266	0	1	2
CD8_267	0	1	2
CD8_268	3	0	5
CD8_269	0	1	2
CD8_270	0	4	2
CD8_271	0	1	2
CD8_272	0	4	4
CD8_273	0	4	2
CD8_274	4	3	1
CD8_275	3	0	5
CD8_276	3	0	5
CD8_277	0	1	2
CD8_278	0	1	2
CD8_279	0	1	2
CD8_280	3	0	5
CD8_281	3	0	5
CD8_282	0	1	2
CD8_283	0	1	2
CD8_284	0	1	2
CD8_285	0	4	4
CD8_286	3	0	5
CD8_287	3	0	5
CD8_288	0	4	2
CD8_289	0	4	2
CD8_290	0	4	2
CD8_291	3	1	5
CD8_292	0	4	2
CD8_293	0	1	2
CD8_294	0	1	2
CD8_295	0	1	2
CD8_296	0	1	5
CD8_297	0	4	4
CD8_298	0	0	5
CD8_299	0	4	4
CD8_300	0	4	2
CD8_301	0	1	2
CD8_302	0	4	4
CD8_303	0	4	2
CD8_304	3	0	5
CD8_305	3	0	5
CD8_306	0	1	2
CD8_307	0	1	2
CD8_308	3	4	4
CD8_309	0	1	2
CD8_310	0	1	2
CD8_311	0	1	2
CD8_312	0	1	2
CD8_313	0	4	2
CD8_314	0	1	2
CD8_315	0	1	2
CD8_316	0	1	2
CD8_317	3	0	5
CD8_318	0	4	2
CD8_319	0	4	2
CD8_320	0	1	2
CD8_321	0	1	2
CD8_322	0	1	2
CD8_323	0	4	2
CD8_324	4	3	1
CD8_325	0	1	2
CD8_326	0	4	2
CD8_327	0	1	2
CD8_328	0	4	2
CD8_329	0	1	2
CD8_330	0	4	2
CD8_331	0	4	2
CD8_332	0	4	2
CD8_333	0	1	2
CD8_334	4	3	1
CD8_335	0	1	2
CD8_336	3	0	5
CD8_337	4	3	1
CD8_338	0	1	2
CD8_339	0	4	2
CD8_340	0	1	2
CD8_341	3	0	5
CD8_342	3	0	5
CD8_343	0	1	2
CD8_344	0	4	4
CD8_345	0	1	2
CD8_346	0	1	2
CD8_347	3	0	5
CD8_348	3	0	4
CD8_349	0	4	2
CD8_350	0	4	4
CD8_351	0	1	2
CD8_352	0	4	4
CD8_353	0	1	2
CD8_354	3	0	5
CD8_355	0	4	2
CD8_356	0	1	2
CD8_357	3	0	5
CD8_358	4	3	1
CD8_359	3	0	5
CD8_360	0	4	4
CD8_361	0	1	2
CD8_362	0	1	2
CD8_363	0	1	2
CD8_364	0	4	4
