	louvain	kmeans	hc
CD4_1	0	5	0
CD4_2	0	0	5
CD4_3	0	0	0
CD4_4	5	0	0
CD4_5	0	0	5
CD4_6	0	0	5
CD4_7	0	0	0
CD4_8	0	0	0
CD4_9	0	0	0
CD4_10	5	5	0
CD4_11	0	5	0
CD4_12	5	5	0
CD4_13	5	5	0
CD4_14	5	5	0
CD4_15	5	0	0
CD4_16	0	5	0
CD4_17	0	0	5
CD4_18	0	0	0
CD4_19	0	5	0
CD4_20	5	5	0
CD4_21	0	5	0
CD4_22	0	0	5
CD4_23	0	0	0
CD4_24	2	5	1
CD4_25	5	5	0
CD4_26	5	5	0
CD4_27	0	0	0
CD4_28	0	0	0
CD4_29	0	0	5
CD4_30	0	0	0
CD4_31	0	0	5
CD4_32	0	0	5
CD4_33	5	5	0
CD4_34	5	5	0
CD4_35	5	5	0
CD4_36	5	5	0
CD4_37	0	5	0
CD4_38	5	5	0
CD4_39	0	0	5
CD4_40	0	0	0
CD4_41	0	0	5
CD4_42	0	0	5
CD4_43	5	5	0
CD4_44	5	0	0
CD4_45	0	0	5
CD4_46	0	0	0
CD4_47	0	0	0
CD4_48	0	0	5
CD4_49	0	0	0
CD4_50	0	0	5
CD4_51	5	5	0
CD4_52	0	0	5
CD4_53	0	0	5
CD4_54	0	5	0
CD4_55	5	5	0
CD4_56	5	5	0
CD4_57	0	0	5
CD4_58	0	0	5
CD4_59	5	5	0
CD4_60	0	5	0
CD4_61	0	0	5
CD4_62	0	0	5
CD4_63	0	5	0
CD4_64	0	0	0
CD4_65	0	5	0
CD4_66	0	0	5
CD4_67	5	5	0
CD4_68	0	0	5
CD4_69	5	5	0
CD4_70	0	0	5
CD4_71	0	0	5
CD4_72	0	0	5
CD4_73	5	5	0
CD4_74	5	5	0
CD4_75	0	0	5
CD4_76	0	5	0
CD4_77	0	0	5
CD4_78	5	5	0
CD4_79	5	5	0
CD4_80	0	0	5
CD4_81	5	5	0
CD4_82	0	5	0
CD4_83	0	0	0
CD4_84	0	5	0
CD4_85	5	5	0
CD4_86	0	5	0
CD4_87	0	0	5
CD4_88	0	0	5
CD4_89	5	5	0
CD4_90	5	5	0
CD4_91	0	0	0
CD4_92	2	5	0
CD4_93	0	0	5
CD4_94	0	0	5
CD4_95	0	0	5
CD4_96	0	0	5
CD4_97	5	5	0
CD4_98	5	5	0
CD4_99	5	5	0
CD4_100	0	0	5
CD4_101	0	0	5
CD4_102	0	0	5
CD4_103	0	0	5
CD4_104	5	5	0
CD4_105	5	0	0
CD4_106	0	0	0
CD4_107	0	0	0
CD4_108	5	5	0
CD4_109	0	0	0
CD4_110	0	0	5
CD4_111	0	5	0
CD4_112	0	0	5
CD4_113	5	5	0
CD4_114	5	0	0
CD4_115	5	5	0
CD4_116	0	5	0
CD4_117	0	0	5
CD4_118	0	0	5
CD4_119	0	0	5
CD4_120	0	0	0
CD4_121	0	0	5
CD4_122	5	5	0
CD4_123	5	0	0
CD4_124	5	5	0
CD4_125	5	5	0
CD4_126	5	0	0
CD4_127	0	0	5
CD4_128	0	5	0
CD4_129	0	0	5
CD4_130	5	5	0
CD4_131	5	5	0
CD4_132	5	5	0
CD4_133	0	5	0
CD4_134	0	0	5
CD4_135	0	0	0
CD4_136	5	5	0
CD4_137	0	0	5
CD4_138	0	0	0
CD4_139	0	0	0
CD4_140	5	5	0
CD4_141	0	0	0
CD4_142	0	0	0
