	louvain	kmeans	hc
CD4_1	5	0	0
CD4_2	1	5	0
CD4_3	1	5	0
CD4_4	5	5	0
CD4_5	1	5	0
CD4_6	1	5	0
CD4_7	1	5	0
CD4_8	1	5	0
CD4_9	1	5	0
CD4_10	5	0	0
CD4_11	5	0	0
CD4_12	5	0	3
CD4_13	5	0	0
CD4_14	5	0	3
CD4_15	1	5	0
CD4_16	5	0	0
CD4_17	1	5	0
CD4_18	1	5	0
CD4_19	1	0	0
CD4_20	5	0	3
CD4_21	1	0	0
CD4_22	1	5	0
CD4_23	1	5	0
CD4_24	5	0	3
CD4_25	5	0	0
CD4_26	5	0	0
CD4_27	1	5	0
CD4_28	1	5	0
CD4_29	1	5	0
CD4_30	1	5	0
CD4_31	1	5	0
CD4_32	1	5	0
CD4_33	5	0	0
CD4_34	5	0	0
CD4_35	5	0	0
CD4_36	5	0	0
CD4_37	1	0	0
CD4_38	5	0	0
CD4_39	1	5	0
CD4_40	1	5	0
CD4_41	1	5	0
CD4_42	1	5	0
CD4_43	5	0	0
CD4_44	1	5	0
CD4_45	1	5	0
CD4_46	1	5	0
CD4_47	1	5	0
CD4_48	1	5	0
CD4_49	1	5	0
CD4_50	1	5	0
CD4_51	5	0	3
CD4_52	1	5	0
CD4_53	1	5	0
CD4_54	1	0	0
CD4_55	5	0	0
CD4_56	5	0	0
CD4_57	1	5	0
CD4_58	1	5	0
CD4_59	5	0	3
CD4_60	5	0	0
CD4_61	1	5	0
CD4_62	1	5	0
CD4_63	1	0	0
CD4_64	1	5	0
CD4_65	1	0	0
CD4_66	1	5	0
CD4_67	5	0	0
CD4_68	1	5	0
CD4_69	5	0	0
CD4_70	1	5	0
CD4_71	1	5	0
CD4_72	5	5	0
CD4_73	5	0	0
CD4_74	5	0	0
CD4_75	1	5	0
CD4_76	1	0	0
CD4_77	1	5	0
CD4_78	5	0	3
CD4_79	5	0	0
CD4_80	1	5	0
CD4_81	5	0	0
CD4_82	1	0	0
CD4_83	1	5	0
CD4_84	1	0	0
CD4_85	5	0	3
CD4_86	1	0	0
CD4_87	1	5	0
CD4_88	1	5	0
CD4_89	5	0	0
CD4_90	5	0	0
CD4_91	1	5	0
CD4_92	5	0	3
CD4_93	1	5	0
CD4_94	1	5	0
CD4_95	1	5	0
CD4_96	1	5	0
CD4_97	5	0	3
CD4_98	1	0	0
CD4_99	5	0	0
CD4_100	1	5	0
CD4_101	1	5	0
CD4_102	1	5	0
CD4_103	1	5	0
CD4_104	5	0	0
CD4_105	5	5	0
CD4_106	1	5	0
CD4_107	1	5	0
CD4_108	5	0	0
CD4_109	1	5	0
CD4_110	1	5	0
CD4_111	5	0	0
CD4_112	1	5	0
CD4_113	5	0	3
CD4_114	5	5	0
CD4_115	5	0	0
CD4_116	1	0	0
CD4_117	1	5	0
CD4_118	1	5	0
CD4_119	1	5	0
CD4_120	1	5	0
CD4_121	1	5	0
CD4_122	5	0	3
CD4_123	5	5	0
CD4_124	5	0	0
CD4_125	5	0	3
CD4_126	1	5	0
CD4_127	1	5	0
CD4_128	5	0	0
CD4_129	1	5	0
CD4_130	5	0	0
CD4_131	5	0	0
CD4_132	5	0	0
CD4_133	1	0	0
CD4_134	1	5	0
CD4_135	1	5	0
CD4_136	5	0	0
CD4_137	1	5	0
CD4_138	1	5	0
CD4_139	1	5	0
CD4_140	5	0	3
CD4_141	1	5	0
CD4_142	1	5	0
CD4_143	1	5	0
CD4_144	1	5	0
CD4_145	1	5	0
CD4_146	5	0	0
CD4_147	1	5	0
CD4_148	1	5	0
CD4_149	5	0	0
CD4_150	1	5	0
CD4_151	5	5	0
CD4_152	1	5	0
CD4_153	1	5	0
CD4_154	1	5	0
CD4_155	5	0	3
CD4_156	5	0	0
CD4_157	1	5	0
CD4_158	5	0	3
CD4_159	5	0	0
CD4_160	5	0	0
CD4_161	1	5	0
CD4_162	1	5	0
CD4_163	5	5	0
CD4_164	5	0	3
CD4_165	1	5	0
CD4_166	1	0	0
