	louvain	kmeans	hc
CD4_1	4	5	5
CD4_2	4	5	5
CD4_3	4	5	5
CD4_4	4	5	5
CD4_5	4	5	5
CD4_6	4	5	5
CD4_7	4	5	5
CD4_8	4	5	5
CD4_9	4	5	5
CD4_10	4	5	5
CD4_11	4	5	5
CD4_12	4	5	5
CD4_13	4	5	5
CD4_14	4	5	5
CD4_15	4	5	5
CD4_16	4	5	5
CD4_17	4	5	5
CD4_18	4	5	5
CD4_19	4	5	5
CD4_20	4	5	5
CD4_21	4	5	5
CD4_22	4	5	5
CD4_23	4	5	5
CD4_24	4	5	5
CD4_25	4	5	5
CD4_26	4	5	5
CD4_27	4	5	5
CD4_28	4	5	5
CD4_29	4	5	5
CD4_30	4	5	5
CD4_31	4	5	5
CD4_32	4	5	5
CD4_33	4	5	5
CD4_34	4	5	5
CD4_35	4	5	5
CD4_36	4	5	5
CD4_37	4	5	5
CD4_38	4	5	5
CD4_39	4	5	5
CD4_40	4	5	5
CD4_41	4	5	5
CD4_42	4	5	5
CD4_43	4	5	5
CD4_44	4	5	5
CD4_45	4	5	5
CD4_46	4	5	5
CD4_47	4	5	5
CD4_48	4	5	5
CD4_49	4	5	5
CD4_50	4	5	5
CD4_51	4	5	5
CD4_52	4	5	5
CD4_53	4	5	5
CD4_54	4	5	5
CD4_55	4	5	5
CD4_56	4	5	5
CD4_57	4	5	5
CD4_58	4	5	5
CD4_59	4	5	5
CD4_60	4	5	5
CD4_61	4	5	5
CD4_62	4	5	5
CD4_63	4	5	5
CD4_64	4	5	5
CD4_65	4	5	5
CD4_66	4	5	5
CD4_67	4	5	5
CD4_68	4	5	5
CD4_69	4	5	5
CD4_70	4	5	5
CD4_71	4	5	5
CD4_72	4	5	5
CD4_73	4	5	5
CD4_74	4	5	5
CD4_75	4	5	5
CD4_76	4	5	5
CD4_77	4	5	5
CD4_78	4	5	5
CD4_79	4	5	5
CD4_80	4	5	5
CD4_81	4	5	5
CD4_82	4	5	5
CD4_83	4	5	5
CD4_84	4	5	5
CD4_85	4	5	5
CD4_86	4	5	5
CD4_87	4	5	5
CD4_88	4	5	5
CD4_89	4	5	5
CD4_90	4	5	5
CD4_91	4	5	5
CD4_92	4	5	5
CD4_93	4	5	5
CD4_94	4	5	5
CD4_95	4	5	5
CD4_96	4	5	5
CD4_97	4	5	5
CD4_98	4	5	5
