	louvain	kmeans	hc
CD4_1	1	1	1
CD4_2	1	1	1
CD4_3	1	1	1
CD4_4	1	1	5
CD4_5	1	2	1
CD4_6	1	2	1
CD4_7	1	1	1
CD4_8	1	1	5
CD4_9	1	1	1
CD4_10	1	1	1
CD4_11	1	1	5
CD4_12	1	1	1
CD4_13	1	1	1
CD4_14	1	2	1
CD4_15	1	1	1
CD4_16	1	1	1
CD4_17	1	2	1
CD4_18	1	1	1
CD4_19	1	1	1
CD4_20	1	1	1
CD4_21	1	1	5
CD4_22	1	1	1
CD4_23	1	1	1
CD4_24	1	1	1
CD4_25	1	2	1
CD4_26	1	2	5
CD4_27	1	1	1
CD4_28	1	1	1
CD4_29	1	2	1
CD4_30	1	1	1
CD4_31	1	2	5
CD4_32	1	1	5
CD4_33	5	1	1
CD4_34	1	1	5
CD4_35	1	1	1
CD4_36	1	1	1
CD4_37	1	1	1
CD4_38	1	1	1
CD4_39	5	1	1
CD4_40	1	1	1
CD4_41	1	2	1
CD4_42	1	1	1
CD4_43	1	2	1
CD4_44	1	1	1
CD4_45	1	1	1
CD4_46	1	1	1
CD4_47	1	1	1
CD4_48	1	1	1
CD4_49	1	2	1
CD4_50	1	1	1
CD4_51	1	1	1
CD4_52	1	2	5
CD4_53	1	2	1
CD4_54	1	1	1
CD4_55	5	1	1
CD4_56	1	1	1
CD4_57	1	1	1
CD4_58	5	1	1
CD4_59	1	1	1
CD4_60	1	1	1
CD4_61	1	2	1
CD4_62	1	2	1
CD4_63	1	2	1
CD4_64	1	2	1
CD4_65	1	1	5
CD4_66	1	1	1
CD4_67	1	2	1
CD4_68	1	1	1
CD4_69	1	1	1
CD4_70	1	2	1
CD4_71	1	1	1
CD4_72	1	1	5
CD4_73	1	1	1
CD4_74	5	2	5
CD4_75	1	1	1
CD4_76	1	2	1
CD4_77	1	2	1
CD4_78	1	1	1
CD4_79	1	2	1
CD4_80	1	1	1
CD4_81	1	1	1
CD4_82	1	2	5
CD4_83	1	2	1
CD4_84	1	1	5
CD4_85	1	2	5
CD4_86	1	2	1
CD4_87	1	1	5
CD4_88	1	1	1
CD4_89	1	1	1
CD4_90	1	1	1
CD4_91	1	2	1
CD4_92	1	2	1
CD4_93	5	1	1
CD4_94	1	1	1
CD4_95	1	1	1
CD4_96	1	1	1
CD4_97	1	2	5
CD4_98	1	1	1
CD4_99	1	2	1
CD4_100	1	1	1
CD4_101	1	1	1
CD4_102	1	1	1
CD4_103	1	1	1
CD4_104	1	1	1
CD4_105	1	2	1
CD4_106	1	1	1
CD4_107	1	1	1
