	louvain	kmeans	hc
CD4_1	0	4	1
CD4_2	0	1	4
CD4_3	0	1	4
CD4_4	2	1	3
CD4_5	0	4	1
CD4_6	0	4	1
CD4_7	0	1	4
CD4_8	0	4	1
CD4_9	0	1	4
CD4_10	2	1	4
CD4_11	0	1	4
CD4_12	0	1	4
CD4_13	0	1	4
CD4_14	0	4	1
CD4_15	0	1	4
CD4_16	0	4	1
CD4_17	0	4	1
CD4_18	0	1	4
CD4_19	0	4	1
CD4_20	0	4	1
CD4_21	0	4	1
CD4_22	0	1	4
CD4_23	0	4	4
CD4_24	0	4	1
CD4_25	0	1	1
CD4_26	0	1	4
CD4_27	0	1	4
CD4_28	0	4	1
CD4_29	0	1	1
CD4_30	0	4	1
CD4_31	0	4	1
CD4_32	0	4	4
CD4_33	0	4	1
CD4_34	0	4	1
CD4_35	2	1	4
CD4_36	2	1	4
CD4_37	0	1	1
CD4_38	0	4	1
CD4_39	2	1	4
CD4_40	0	1	1
CD4_41	0	4	1
CD4_42	0	1	4
CD4_43	0	4	1
CD4_44	2	1	4
CD4_45	0	1	4
CD4_46	0	1	4
CD4_47	0	1	1
CD4_48	0	1	4
CD4_49	0	4	1
CD4_50	0	4	1
CD4_51	0	4	1
CD4_52	0	1	4
CD4_53	0	1	4
CD4_54	0	4	1
CD4_55	0	1	4
CD4_56	0	4	1
CD4_57	0	1	4
CD4_58	0	1	4
CD4_59	0	4	1
CD4_60	0	1	1
CD4_61	0	1	4
CD4_62	0	4	1
CD4_63	0	4	1
CD4_64	0	4	1
CD4_65	0	1	3
CD4_66	0	1	4
CD4_67	0	1	4
CD4_68	0	4	1
CD4_69	0	1	1
CD4_70	2	1	4
CD4_71	0	4	1
CD4_72	0	1	4
CD4_73	0	1	4
CD4_74	0	1	4
CD4_75	0	4	4
CD4_76	0	4	1
CD4_77	2	1	4
CD4_78	0	1	1
CD4_79	0	1	4
CD4_80	0	1	1
CD4_81	0	1	1
CD4_82	0	4	1
CD4_83	0	4	1
CD4_84	0	4	1
CD4_85	0	1	1
CD4_86	0	1	4
CD4_87	0	4	1
CD4_88	0	4	1
CD4_89	2	1	4
CD4_90	0	1	4
CD4_91	0	1	4
CD4_92	0	4	4
CD4_93	2	1	3
CD4_94	0	1	4
CD4_95	0	1	4
CD4_96	0	1	4
CD4_97	0	1	1
CD4_98	0	1	1
CD4_99	0	1	1
CD4_100	2	1	3
CD4_101	0	1	1
CD4_102	0	4	1
CD4_103	0	1	4
CD4_104	2	1	3
CD4_105	2	1	4
CD4_106	0	1	4
CD4_107	0	1	4
CD4_108	0	1	1
CD4_109	2	1	3
CD4_110	0	4	1
CD4_111	0	4	1
CD4_112	0	1	4
CD4_113	0	1	1
CD4_114	0	1	4
CD4_115	2	1	4
CD4_116	0	4	1
CD4_117	0	1	1
CD4_118	0	1	3
CD4_119	0	4	1
CD4_120	0	1	1
CD4_121	0	1	4
CD4_122	0	4	1
CD4_123	0	4	4
CD4_124	0	1	4
CD4_125	0	1	4
CD4_126	0	1	4
CD4_127	0	1	4
CD4_128	0	1	4
CD4_129	2	1	4
CD4_130	0	1	1
CD4_131	0	1	4
CD4_132	0	1	4
CD4_133	0	4	1
CD4_134	0	1	1
CD4_135	0	4	1
CD4_136	0	4	1
CD4_137	0	4	1
CD4_138	0	1	4
CD4_139	0	1	3
CD4_140	0	1	4
CD4_141	0	4	1
CD4_142	2	1	4
CD4_143	0	4	1
CD4_144	0	1	4
CD4_145	0	1	4
CD4_146	0	1	4
CD4_147	0	4	1
CD4_148	0	4	1
CD4_149	2	1	3
CD4_150	0	1	4
CD4_151	0	4	1
CD4_152	0	1	4
CD4_153	0	1	1
CD4_154	2	1	3
CD4_155	2	1	4
CD4_156	0	1	1
CD4_157	0	1	3
CD4_158	0	1	4
CD4_159	0	1	4
CD4_160	0	4	1
CD4_161	0	4	1
CD4_162	0	1	4
CD4_163	0	4	1
CD4_164	0	1	1
CD4_165	0	1	4
CD4_166	0	4	1
CD4_167	0	1	4
CD4_168	2	3	3
CD4_169	0	1	4
CD4_170	0	1	4
CD4_171	2	1	4
CD4_172	0	4	1
CD4_173	0	1	1
CD4_174	0	1	1
CD4_175	0	1	1
CD4_176	0	4	1
CD4_177	0	1	4
CD4_178	0	4	1
CD4_179	0	4	1
CD4_180	2	1	4
CD4_181	0	1	4
CD4_182	0	1	4
CD4_183	0	1	4
CD4_184	0	4	4
CD4_185	0	1	4
CD4_186	0	4	1
CD4_187	0	1	1
CD4_188	0	1	4
CD4_189	0	1	4
CD4_190	0	1	1
CD4_191	2	1	4
CD4_192	5	4	1
CD4_193	0	1	1
CD4_194	0	4	1
CD4_195	2	1	4
CD4_196	0	1	1
CD4_197	0	1	4
CD4_198	0	4	1
CD4_199	0	1	4
CD4_200	0	1	3
CD8_201	5	4	1
CD8_202	5	4	3
CD8_203	2	3	3
CD8_204	0	4	1
CD8_205	2	1	1
CD8_206	5	4	1
CD8_207	5	4	1
CD8_208	2	1	3
CD8_209	5	4	1
CD8_210	0	1	1
CD8_211	0	4	1
CD8_212	5	4	1
CD8_213	2	1	4
CD8_214	5	3	1
CD8_215	5	4	1
CD8_216	0	4	4
CD8_217	0	1	1
CD8_218	2	1	4
CD8_219	0	4	3
CD8_220	2	3	3
CD8_221	5	4	1
CD8_222	0	4	1
CD8_223	2	4	1
CD8_224	0	1	4
CD8_225	5	4	1
CD8_226	5	3	3
CD8_227	2	3	3
CD8_228	2	3	3
CD8_229	2	3	3
CD8_230	5	4	1
CD8_231	2	3	3
CD8_232	5	4	1
CD8_233	0	4	3
CD8_234	2	1	4
CD8_235	2	3	3
CD8_236	5	4	1
CD8_237	0	4	1
CD8_238	2	1	3
CD8_239	2	1	4
CD8_240	2	3	4
CD8_241	2	1	3
CD8_242	2	3	3
CD8_243	5	3	3
CD8_244	0	1	4
CD8_245	2	3	3
CD8_246	5	4	1
CD8_247	2	3	3
CD8_248	0	1	1
CD8_249	2	3	3
CD8_250	5	4	1
CD8_251	5	4	1
CD8_252	5	3	3
CD8_253	5	4	3
CD8_254	5	3	3
CD8_255	2	1	3
CD8_256	2	1	4
CD8_257	2	4	1
CD8_258	2	3	3
CD8_259	0	1	4
CD8_260	2	1	1
CD8_261	5	4	3
CD8_262	0	4	1
CD8_263	0	4	1
CD8_264	0	1	1
CD8_265	5	3	3
CD8_266	5	4	3
CD8_267	0	4	1
CD8_268	0	4	1
CD8_269	5	3	3
CD8_270	5	4	1
CD8_271	2	3	1
CD8_272	5	4	3
CD8_273	2	3	3
CD8_274	0	3	3
CD8_275	5	4	1
CD8_276	2	3	3
CD8_277	2	1	3
CD8_278	2	3	3
CD8_279	0	4	3
CD8_280	2	3	3
CD8_281	2	3	3
CD8_282	2	4	3
CD8_283	0	4	1
CD8_284	5	4	3
CD8_285	5	3	3
CD8_286	2	3	3
CD8_287	0	4	1
CD8_288	0	4	1
CD8_289	2	1	4
CD8_290	2	3	3
CD8_291	2	3	3
CD8_292	5	3	3
CD8_293	0	4	1
CD8_294	5	4	1
CD8_295	5	4	3
CD8_296	5	3	4
CD8_297	2	3	3
CD8_298	5	4	1
CD8_299	0	4	1
CD8_300	2	3	3
CD8_301	0	4	1
CD8_302	2	3	3
CD8_303	0	1	1
CD8_304	2	1	4
CD8_305	2	3	3
CD8_306	2	3	3
CD8_307	2	3	3
CD8_308	2	3	3
CD8_309	5	4	1
CD8_310	5	4	1
CD8_311	2	3	3
CD8_312	0	1	1
CD8_313	2	3	3
CD8_314	0	1	3
CD8_315	2	3	3
CD8_316	5	4	1
CD8_317	2	1	4
CD8_318	0	4	1
CD8_319	5	4	3
CD8_320	5	4	1
CD8_321	0	4	1
CD8_322	0	4	1
CD8_323	2	1	3
CD8_324	2	1	1
CD8_325	2	3	3
CD8_326	2	1	4
CD8_327	2	3	3
CD8_328	2	3	3
CD8_329	5	3	3
CD8_330	5	4	1
CD8_331	0	4	1
CD8_332	5	4	1
CD8_333	5	4	3
CD8_334	0	4	1
CD8_335	5	4	3
CD8_336	0	4	4
CD8_337	5	3	3
CD8_338	2	1	3
CD8_339	2	4	3
CD8_340	5	3	3
CD8_341	0	1	4
CD8_342	0	4	1
CD8_343	0	4	1
CD8_344	2	1	1
CD8_345	0	4	3
CD8_346	2	3	3
CD8_347	2	4	1
CD8_348	2	3	3
CD8_349	2	3	3
CD8_350	5	3	3
CD8_351	5	4	1
CD8_352	2	3	3
CD8_353	2	3	3
CD8_354	2	1	4
CD8_355	2	3	3
CD8_356	2	4	3
CD8_357	0	4	1
CD8_358	0	4	1
CD8_359	5	4	1
CD8_360	0	4	3
CD8_361	5	3	4
CD8_362	5	3	3
CD8_363	2	3	1
CD8_364	2	1	3
CD8_365	2	1	4
CD8_366	5	4	1
CD8_367	5	4	1
CD8_368	0	4	1
CD8_369	5	4	1
CD8_370	2	3	4
CD8_371	0	4	1
CD8_372	2	1	3
CD8_373	5	4	1
CD8_374	2	3	3
CD8_375	5	4	1
CD8_376	2	3	3
CD8_377	0	3	3
CD8_378	2	3	3
CD8_379	5	3	3
CD8_380	5	3	3
CD8_381	0	4	1
CD8_382	0	1	3
CD8_383	5	4	3
CD8_384	5	4	3
CD8_385	0	3	3
CD8_386	0	4	1
CD8_387	0	4	4
CD8_388	0	4	1
CD8_389	2	3	3
CD8_390	2	3	3
CD8_391	0	1	3
CD8_392	2	3	4
CD8_393	2	3	4
CD8_394	0	4	1
CD8_395	2	3	4
CD8_396	2	3	3
CD8_397	2	3	3
CD8_398	0	4	1
CD8_399	5	3	3
CD8_400	0	4	1
CMP_401	1	0	5
CMP_402	4	5	0
CMP_403	1	0	5
CMP_404	1	0	5
CMP_405	1	5	0
CMP_406	1	5	0
CMP_407	4	5	0
CMP_408	1	0	0
CMP_409	1	0	5
CMP_410	4	5	0
CMP_411	1	5	0
CMP_412	1	0	5
CMP_413	1	0	0
CMP_414	1	0	0
CMP_415	4	5	0
CMP_416	1	0	0
CMP_417	1	0	0
CMP_418	1	0	0
CMP_419	4	5	0
CMP_420	1	0	5
CMP_421	1	0	0
CMP_422	4	5	0
CMP_423	4	5	0
CMP_424	1	0	5
CMP_425	1	0	5
CMP_426	1	0	5
CMP_427	4	5	0
CMP_428	1	0	5
CMP_429	1	0	0
CMP_430	4	5	0
CMP_431	4	5	0
CMP_432	4	5	0
CMP_433	1	0	5
CMP_434	1	0	0
CMP_435	1	0	5
CMP_436	4	5	0
CMP_437	4	5	0
CMP_438	4	5	0
CMP_439	1	0	5
CMP_440	4	5	0
CMP_441	1	0	0
CMP_442	4	5	0
CMP_443	1	0	5
CMP_444	1	5	0
CMP_445	1	0	5
CMP_446	1	0	0
CMP_447	1	5	0
CMP_448	4	5	0
CMP_449	4	5	0
CMP_450	1	0	0
CMP_451	4	5	0
CMP_452	4	5	0
CMP_453	1	0	0
CMP_454	4	5	0
CMP_455	1	0	0
CMP_456	1	5	0
CMP_457	1	0	5
CMP_458	4	5	0
CMP_459	1	0	5
CMP_460	1	0	5
CMP_461	4	5	0
CMP_462	4	5	0
CMP_463	4	0	0
CMP_464	4	5	0
CMP_465	4	5	0
CMP_466	4	5	0
CMP_467	4	5	0
CMP_468	4	5	0
CMP_469	4	5	0
CMP_470	1	0	5
CMP_471	4	5	0
CMP_472	1	0	5
CMP_473	4	5	0
CMP_474	1	0	0
CMP_475	4	5	0
CMP_476	4	5	0
CMP_477	1	5	0
CMP_478	1	0	0
CMP_479	4	5	0
CMP_480	1	0	0
CMP_481	1	0	0
CMP_482	1	0	5
CMP_483	1	0	5
CMP_484	1	0	0
CMP_485	4	5	0
CMP_486	4	5	0
CMP_487	4	5	0
CMP_488	1	0	0
CMP_489	4	5	0
CMP_490	1	5	0
CMP_491	4	5	0
CMP_492	1	5	0
CMP_493	4	5	0
CMP_494	1	0	5
CMP_495	4	5	0
CMP_496	1	0	0
CMP_497	1	0	0
CMP_498	1	5	0
CMP_499	4	5	0
CMP_500	4	5	0
CMP_501	4	5	0
CMP_502	1	0	0
CMP_503	1	5	0
CMP_504	4	5	0
CMP_505	1	0	0
CMP_506	1	0	5
CMP_507	4	5	0
CMP_508	1	0	0
CMP_509	1	0	0
CMP_510	4	5	0
CMP_511	1	0	0
CMP_512	1	0	0
CMP_513	1	0	0
CMP_514	1	0	5
CMP_515	4	5	0
CMP_516	1	0	0
CMP_517	4	5	0
CMP_518	1	0	5
CMP_519	1	0	0
CMP_520	4	5	0
CMP_521	4	5	0
CMP_522	1	0	5
CMP_523	1	0	0
CMP_524	1	0	0
CMP_525	1	5	0
CMP_526	1	0	5
CMP_527	1	0	0
CMP_528	4	5	0
CMP_529	1	0	0
CMP_530	4	5	0
CMP_531	4	0	0
CMP_532	4	5	0
CMP_533	4	5	0
CMP_534	1	0	5
CMP_535	4	5	0
CMP_536	4	5	0
CMP_537	1	5	0
CMP_538	1	0	0
CMP_539	4	5	0
CMP_540	1	0	0
