	louvain	kmeans	hc
CD4_1	4	5	4
CD4_2	5	4	1
CD4_3	5	4	1
CD4_4	5	4	1
CD4_5	4	5	4
CD4_6	4	5	1
CD4_7	4	4	1
CD4_8	5	5	4
CD4_9	5	4	1
CD4_10	5	4	1
CD4_11	5	4	1
CD4_12	5	4	1
CD4_13	5	4	1
CD4_14	4	4	4
CD4_15	5	4	1
CD4_16	5	4	1
CD4_17	4	5	1
CD4_18	5	4	1
CD4_19	4	5	4
CD4_20	4	4	1
CD4_21	5	4	1
CD4_22	5	4	1
CD4_23	5	5	4
CD4_24	4	5	4
CD4_25	5	4	1
CD4_26	5	4	1
CD4_27	5	4	1
CD4_28	4	5	4
CD4_29	4	4	1
CD4_30	4	5	4
CD4_31	4	4	1
CD4_32	5	5	1
CD4_33	4	5	4
CD4_34	5	4	1
CD4_35	5	4	1
CD4_36	5	4	1
CD4_37	4	4	1
CD4_38	4	4	1
CD4_39	5	4	1
CD4_40	4	4	1
CD4_41	4	5	1
CD4_42	5	4	1
CD4_43	4	5	4
CD4_44	5	0	1
CD4_45	5	4	3
CD4_46	5	4	1
CD4_47	5	4	4
CD4_48	5	4	1
CD4_49	4	5	4
CD4_50	4	4	1
CD4_51	4	4	1
CD4_52	5	4	1
CD4_53	5	4	1
CD4_54	4	5	4
CD4_55	5	4	3
CD4_56	4	4	1
CD4_57	5	4	1
CD4_58	5	4	1
CD4_59	4	5	4
CD4_60	4	4	1
CD4_61	5	4	1
CD4_62	4	4	1
CD4_63	4	4	1
CD4_64	4	5	1
CD4_65	5	4	1
CD4_66	5	4	1
CD4_67	4	4	1
CD4_68	4	5	4
CD4_69	5	4	1
CD4_70	0	4	3
CD4_71	4	5	4
CD4_72	5	4	3
CD4_73	5	4	1
CD4_74	5	4	1
CD4_75	4	4	1
CD4_76	4	4	1
CD4_77	5	4	1
CD4_78	5	4	1
CD4_79	5	4	1
CD4_80	5	4	1
CD4_81	4	4	1
CD4_82	4	4	1
CD4_83	4	5	1
CD4_84	4	5	4
CD4_85	5	4	1
CD4_86	5	4	1
CD4_87	4	5	1
CD4_88	5	5	1
CD4_89	0	4	1
CD4_90	5	4	1
CD4_91	5	4	1
CD4_92	5	4	1
CD4_93	5	4	1
CD4_94	5	4	1
CD4_95	5	4	1
CD4_96	5	4	1
CD4_97	5	4	1
CD4_98	4	4	1
CD4_99	5	4	1
CD4_100	5	4	1
CD4_101	5	4	1
CD4_102	4	5	4
CD4_103	5	4	1
CD4_104	5	4	1
CD4_105	0	0	3
CD4_106	5	4	1
CD4_107	5	4	4
CD4_108	4	4	1
CD4_109	5	4	1
CD4_110	4	5	4
CD4_111	4	5	1
CD4_112	5	4	1
CD4_113	5	4	1
CD4_114	5	4	1
CD4_115	5	4	1
CD4_116	4	4	4
CD4_117	5	4	1
CD4_118	5	4	1
CD4_119	4	5	1
CD4_120	5	4	1
CD4_121	5	4	3
CD4_122	4	4	1
CD4_123	5	4	1
CD4_124	5	4	1
CD4_125	5	4	1
CD4_126	5	4	1
CD4_127	5	4	1
CD4_128	5	4	1
CD4_129	5	4	1
CD4_130	4	4	1
CD4_131	5	4	1
CD4_132	5	4	1
CD4_133	4	5	1
CD4_134	5	4	1
CD4_135	4	5	1
CD4_136	4	5	4
CD4_137	4	5	4
CD4_138	5	4	1
CD4_139	4	4	1
CD4_140	5	4	1
CD4_141	5	4	1
CD4_142	5	4	3
CD4_143	4	4	1
CD4_144	5	4	1
CD4_145	4	4	1
CD4_146	5	4	1
CD4_147	4	5	4
CD4_148	4	5	1
CD4_149	5	4	1
CD4_150	5	4	1
CD4_151	4	4	1
CD4_152	5	4	1
CD4_153	5	4	1
CD4_154	5	4	3
CD4_155	5	4	3
CD4_156	4	4	1
CD4_157	5	4	1
CD4_158	5	4	1
CD4_159	5	4	1
CD4_160	5	5	1
CD4_161	4	5	4
CD4_162	5	4	1
CD4_163	5	4	1
CD4_164	5	4	1
CD4_165	5	4	1
CD4_166	4	4	1
CD4_167	5	4	1
CD4_168	0	0	3
CD4_169	5	4	1
CD4_170	5	4	1
CD4_171	5	4	1
CD4_172	5	5	4
CD4_173	5	4	1
CD4_174	4	4	1
CD4_175	5	4	1
CD4_176	4	5	4
CD4_177	5	4	1
CD4_178	4	4	1
CD4_179	4	5	1
CD4_180	0	0	3
CD4_181	5	4	1
CD4_182	5	4	1
CD4_183	5	4	1
CD4_184	5	5	4
CD4_185	5	4	1
CD4_186	4	5	4
CD4_187	5	4	1
CD4_188	5	4	1
CD4_189	5	4	1
CD4_190	4	4	1
CD4_191	5	4	1
CD4_192	4	5	4
CD4_193	5	4	1
CD4_194	4	5	4
CD4_195	5	4	1
CD4_196	5	4	1
CD4_197	4	4	1
CD4_198	5	4	1
CD4_199	5	4	1
CD4_200	5	4	3
CD8_201	4	5	4
CD8_202	4	5	4
CD8_203	0	0	3
CD8_204	4	5	1
CD8_205	0	4	3
CD8_206	4	5	4
CD8_207	4	5	4
CD8_208	5	0	1
CD8_209	4	5	4
CD8_210	4	4	1
CD8_211	4	5	1
CD8_212	4	5	4
CD8_213	4	4	1
CD8_214	0	5	4
CD8_215	4	5	4
CD8_216	4	5	4
CD8_217	5	4	3
CD8_218	0	0	1
CD8_219	5	5	4
CD8_220	0	0	3
CD8_221	4	5	3
CD8_222	4	5	1
CD8_223	0	5	1
CD8_224	5	4	1
CD8_225	4	5	4
CD8_226	4	0	3
CD8_227	0	0	3
CD8_228	0	0	3
CD8_229	0	0	3
CD8_230	5	5	3
CD8_231	0	0	3
CD8_232	4	5	4
CD8_233	5	5	3
CD8_234	0	4	3
CD8_235	0	0	3
CD8_236	4	5	4
CD8_237	5	5	1
CD8_238	5	0	3
CD8_239	5	4	1
CD8_240	0	0	1
CD8_241	5	4	1
CD8_242	0	0	3
CD8_243	0	0	3
CD8_244	5	4	1
CD8_245	0	0	3
CD8_246	4	5	4
CD8_247	0	0	3
CD8_248	4	4	3
CD8_249	0	0	1
CD8_250	4	5	1
CD8_251	4	5	4
CD8_252	0	0	3
CD8_253	4	5	1
CD8_254	0	5	4
CD8_255	5	0	3
CD8_256	5	4	1
CD8_257	0	5	3
CD8_258	0	0	3
CD8_259	5	4	1
CD8_260	5	4	3
CD8_261	0	5	3
CD8_262	4	5	1
CD8_263	4	5	3
CD8_264	5	4	1
CD8_265	0	0	3
CD8_266	4	5	4
CD8_267	4	5	1
CD8_268	4	5	1
CD8_269	0	0	4
CD8_270	5	5	3
CD8_271	0	5	3
CD8_272	0	5	3
CD8_273	0	0	3
CD8_274	5	4	1
CD8_275	4	5	4
CD8_276	0	0	3
CD8_277	0	0	1
CD8_278	0	0	3
CD8_279	4	5	3
CD8_280	0	0	3
CD8_281	0	0	3
CD8_282	0	5	3
CD8_283	4	4	1
CD8_284	5	5	3
CD8_285	0	5	3
CD8_286	0	0	3
CD8_287	4	5	1
CD8_288	4	5	4
CD8_289	0	4	1
CD8_290	0	0	1
CD8_291	0	0	3
CD8_292	0	0	3
CD8_293	4	5	3
CD8_294	4	5	4
CD8_295	4	5	3
CD8_296	0	4	3
CD8_297	0	0	1
CD8_298	4	5	4
CD8_299	5	5	1
CD8_300	5	0	3
CD8_301	4	5	4
CD8_302	0	0	3
CD8_303	5	4	1
CD8_304	5	4	1
CD8_305	4	5	3
CD8_306	0	0	3
CD8_307	0	0	3
CD8_308	5	0	3
CD8_309	4	5	4
CD8_310	4	5	4
CD8_311	0	0	3
CD8_312	5	4	1
CD8_313	0	0	3
CD8_314	5	4	3
CD8_315	0	0	3
CD8_316	4	5	4
CD8_317	5	4	1
CD8_318	4	5	4
CD8_319	0	5	1
CD8_320	0	5	1
CD8_321	4	5	4
CD8_322	5	5	4
CD8_323	5	4	3
CD8_324	0	0	3
CD8_325	0	0	3
CD8_326	5	4	1
CD8_327	0	0	3
CD8_328	0	0	3
CD8_329	0	0	3
CD8_330	4	5	4
CD8_331	5	5	1
CD8_332	4	5	4
CD8_333	0	5	4
CD8_334	4	5	4
CD8_335	5	5	3
CD8_336	4	5	4
CD8_337	5	0	3
CD8_338	0	5	1
CD8_339	5	5	3
CD8_340	0	0	3
CD8_341	5	4	1
CD8_342	4	5	4
CD8_343	4	5	4
CD8_344	4	4	1
CD8_345	4	5	1
CD8_346	0	0	3
CD8_347	0	5	1
CD8_348	0	0	3
CD8_349	4	0	1
CD8_350	0	0	3
CD8_351	4	5	4
CD8_352	0	0	3
CD8_353	5	0	3
CD8_354	5	4	1
CD8_355	0	0	3
CD8_356	4	5	3
CD8_357	4	4	1
CD8_358	4	4	1
CD8_359	4	5	4
CD8_360	5	5	3
CD8_361	0	0	1
CD8_362	5	5	3
CD8_363	0	0	3
CD8_364	5	4	3
CD8_365	0	0	3
CD8_366	4	5	4
CD8_367	4	5	4
CD8_368	5	5	4
CD8_369	4	5	4
CD8_370	0	0	3
CD8_371	4	5	3
CD8_372	4	0	1
CD8_373	4	5	4
CD8_374	0	0	3
CD8_375	4	5	4
CD8_376	0	0	3
CD8_377	5	0	3
CD8_378	0	0	3
CD8_379	0	0	3
CD8_380	0	0	3
CD8_381	4	5	4
CD8_382	5	4	1
CD8_383	4	5	3
CD8_384	0	5	1
CD8_385	0	0	3
CD8_386	4	5	4
CD8_387	0	4	1
