	louvain	kmeans	hc
CD4_1	4	4	2
CD4_2	4	4	2
CD4_3	4	4	2
CD4_4	4	4	2
CD4_5	4	4	2
CD4_6	4	4	2
CD4_7	4	4	2
CD4_8	4	4	2
CD4_9	4	4	2
CD4_10	4	4	2
CD4_11	4	4	2
CD4_12	4	4	2
CD4_13	4	4	2
CD4_14	4	4	2
CD4_15	4	4	2
CD4_16	4	4	2
CD4_17	4	4	2
CD4_18	4	4	2
CD4_19	4	4	2
CD4_20	4	4	2
CD4_21	4	4	2
CD4_22	4	4	2
CD4_23	4	4	2
CD4_24	4	4	2
CD4_25	4	4	2
CD4_26	4	4	2
CD4_27	4	4	2
CD4_28	4	4	2
CD4_29	4	4	2
CD4_30	4	4	2
CD4_31	4	4	2
CD4_32	4	4	2
CD4_33	4	4	2
CD4_34	4	4	2
CD4_35	4	4	2
CD4_36	4	4	2
CD4_37	4	4	2
CD4_38	4	4	2
CD4_39	4	4	2
CD4_40	4	4	2
CD4_41	4	4	2
CD4_42	4	4	2
CD4_43	4	4	2
CD4_44	4	4	2
CD4_45	4	4	2
CD4_46	4	4	2
CD4_47	4	4	2
CD4_48	4	4	2
CD4_49	4	4	2
CD4_50	4	4	2
CD4_51	4	4	2
CD4_52	4	4	2
CD4_53	4	4	2
CD4_54	4	4	2
CD4_55	4	4	2
CD4_56	4	4	2
CD4_57	4	4	2
CD4_58	4	4	2
CD4_59	4	4	2
CD4_60	4	4	2
CD4_61	4	4	2
CD4_62	4	4	2
CD4_63	4	4	2
CD4_64	4	4	2
CD4_65	4	4	2
CD4_66	4	4	2
CD4_67	4	4	2
CD4_68	4	4	2
CD4_69	4	4	2
CD4_70	4	4	2
CD4_71	4	4	2
CD4_72	4	4	2
CD4_73	4	4	2
CD4_74	4	4	2
CD4_75	4	4	2
CD4_76	4	4	2
CD4_77	4	4	2
CD4_78	4	4	2
CD4_79	4	4	2
CD4_80	4	4	2
CD4_81	4	4	2
CD4_82	4	4	2
CD4_83	4	4	2
CD4_84	4	4	2
CD4_85	4	4	2
CD4_86	4	4	2
CD4_87	4	4	2
