	louvain	kmeans	hc
CD4_1	4	5	2
CD4_2	3	2	5
CD4_3	3	2	2
CD4_4	5	2	2
CD4_5	5	5	2
CD4_6	5	4	3
CD4_7	4	2	5
CD4_8	5	5	2
CD4_9	4	5	5
CD4_10	4	5	5
CD4_11	3	5	2
CD4_12	4	5	2
CD4_13	4	5	2
CD4_14	3	2	2
CD4_15	4	5	2
CD4_16	3	5	2
CD4_17	3	5	2
CD4_18	1	5	2
CD4_19	1	5	2
CD4_20	3	5	5
CD4_21	5	5	2
CD4_22	1	2	2
CD4_23	4	5	2
CD4_24	4	5	2
CD4_25	5	5	2
CD4_26	1	5	2
CD4_27	3	5	2
CD4_28	1	5	2
CD4_29	4	5	2
CD4_30	4	5	2
CD4_31	5	5	5
CD4_32	3	2	5
CD4_33	5	5	2
CD4_34	1	5	2
CD4_35	1	2	2
CD4_36	1	2	2
CD4_37	4	5	2
CD4_38	3	5	2
CD4_39	1	5	2
CD4_40	3	5	2
CD4_41	3	5	2
CD4_42	4	5	2
CD4_43	3	5	5
CD4_44	5	5	2
CD4_45	1	5	2
CD4_46	3	5	2
CD4_47	3	5	5
CD4_48	3	2	5
CD4_49	4	5	5
CD4_50	3	2	2
CD4_51	5	5	2
CD4_52	4	5	2
CD4_53	5	5	2
CD4_54	3	5	5
CD4_55	5	4	2
CD4_56	5	5	2
CD4_57	4	5	5
CD4_58	1	2	2
CD4_59	1	5	2
CD4_60	4	5	2
CD4_61	4	5	5
CD4_62	3	5	2
CD4_63	3	5	2
CD4_64	3	5	2
CD4_65	3	5	2
CD4_66	4	5	2
CD4_67	4	5	2
CD4_68	1	5	2
CD4_69	4	2	5
CD4_70	4	5	5
CD4_71	1	5	2
CD4_72	1	2	2
CD4_73	4	5	2
CD4_74	5	5	2
CD4_75	4	5	2
CD4_76	1	2	2
CD4_77	1	2	2
CD4_78	1	2	2
CD4_79	1	5	2
CD4_80	4	5	2
CD4_81	1	2	2
CD4_82	4	5	5
CD4_83	5	5	2
CD4_84	5	2	2
CD4_85	5	5	2
CD4_86	3	2	2
CD4_87	4	5	2
CD4_88	1	2	2
CD4_89	5	5	2
CD4_90	1	2	2
CD4_91	1	2	2
CD4_92	3	2	5
CD4_93	5	5	2
CD4_94	4	5	5
CD4_95	5	2	2
CD4_96	5	5	2
CD4_97	3	2	2
CD4_98	5	5	2
CD4_99	1	2	2
CD4_100	1	5	2
CD4_101	3	5	2
CD4_102	5	4	1
CD4_103	1	2	2
CD4_104	5	2	5
CD4_105	4	5	2
CD4_106	4	5	2
CD4_107	3	5	2
CD4_108	4	5	2
CD4_109	4	2	2
CD4_110	4	5	2
CD4_111	4	5	2
CD4_112	1	2	2
CD4_113	3	5	5
CD4_114	1	5	2
CD4_115	4	5	2
CD4_116	3	5	2
CD4_117	4	5	2
CD4_118	3	0	1
CD4_119	4	5	2
CD4_120	4	5	2
CD4_121	1	5	2
CD4_122	4	5	5
CD4_123	4	5	2
CD4_124	5	5	5
CD4_125	4	5	2
CD4_126	3	2	5
CD4_127	5	5	2
CD4_128	4	5	2
CD4_129	4	5	2
CD4_130	0	1	2
CD4_131	5	5	2
CD4_132	1	0	2
CD4_133	5	5	2
CD4_134	1	5	2
CD4_135	1	5	2
CD4_136	3	2	0
CD4_137	3	2	1
CD4_138	5	5	2
CD4_139	4	5	2
CD4_140	4	5	2
CD4_141	3	5	5
CD4_142	4	5	2
CD4_143	3	2	5
CD4_144	4	5	5
CD4_145	5	5	2
CD4_146	3	5	2
CD4_147	3	2	5
CD4_148	1	5	2
CD4_149	1	2	2
CD4_150	5	5	2
CD4_151	3	5	5
CD4_152	5	4	3
CD4_153	4	5	2
CD4_154	1	5	2
CD4_155	4	5	2
CD4_156	3	5	5
CD4_157	4	5	2
CD4_158	3	5	2
CD4_159	4	5	5
CD4_160	4	5	5
CD4_161	5	5	5
CD4_162	5	5	2
CD4_163	1	2	2
CD4_164	1	5	2
CD4_165	3	5	2
CD4_166	4	5	2
CD4_167	3	5	2
CD4_168	3	5	5
CD4_169	1	5	2
CD4_170	4	5	2
CD4_171	1	5	2
CD4_172	4	5	2
CD4_173	1	2	2
CD4_174	4	5	2
CD4_175	4	5	5
CD4_176	4	5	2
CD4_177	5	5	2
