	louvain	kmeans	hc
CD4_1	0	1	0
CD4_2	1	1	0
CD4_3	2	4	1
CD4_4	2	4	0
CD4_5	1	1	0
CD4_6	2	0	1
CD4_7	0	1	0
CD4_8	2	3	3
CD4_9	2	1	0
CD4_10	1	1	5
CD4_11	2	4	1
CD4_12	0	1	0
CD4_13	1	0	0
CD4_14	0	1	0
CD4_15	1	1	0
CD4_16	2	1	0
CD4_17	2	4	0
CD4_18	0	4	0
CD4_19	1	1	0
CD4_20	1	1	0
CD4_21	1	1	0
CD4_22	0	1	0
CD4_23	0	1	0
CD4_24	0	1	0
CD4_25	0	3	3
CD4_26	1	1	0
CD4_27	2	1	0
CD4_28	1	1	2
CD4_29	1	1	0
CD4_30	1	1	0
CD4_31	2	4	1
CD4_32	1	1	0
CD4_33	5	2	4
CD4_34	0	1	0
CD4_35	2	4	0
CD4_36	0	1	5
CD4_37	2	1	0
CD4_38	0	1	0
CD4_39	1	1	0
CD4_40	3	1	0
CD4_41	2	1	0
CD4_42	2	4	1
CD4_43	2	4	0
CD4_44	2	1	0
CD4_45	1	1	0
CD4_46	0	1	0
CD4_47	0	1	0
CD4_48	1	1	0
CD4_49	0	1	0
CD4_50	1	1	0
CD4_51	1	1	0
CD4_52	2	1	0
CD4_53	4	1	0
CD4_54	1	1	0
CD4_55	0	1	0
CD4_56	3	1	0
CD4_57	0	1	0
CD4_58	0	1	0
CD4_59	1	1	0
CD4_60	2	4	0
CD4_61	4	3	3
CD4_62	1	4	0
CD4_63	1	1	2
CD4_64	1	1	0
CD4_65	0	1	0
CD4_66	0	1	0
CD4_67	0	1	0
CD4_68	2	1	0
CD4_69	1	1	0
CD4_70	0	1	0
CD4_71	2	4	0
CD4_72	2	4	0
CD4_73	1	1	0
CD4_74	2	4	0
CD4_75	0	1	0
CD4_76	0	1	0
CD4_77	2	3	0
CD4_78	0	1	0
CD4_79	0	1	0
CD4_80	3	4	0
CD4_81	1	1	0
CD4_82	2	1	0
CD4_83	1	1	0
CD4_84	0	1	0
CD4_85	0	1	0
CD4_86	4	0	0
CD4_87	2	4	0
CD4_88	1	1	0
CD4_89	1	1	0
CD4_90	0	1	0
CD4_91	0	1	5
CD4_92	1	1	0
CD4_93	2	4	0
CD4_94	3	1	0
