	louvain	kmeans	hc
CD4_1	1	4	2
CD4_2	0	4	4
CD4_3	0	4	4
CD4_4	1	4	5
CD4_5	2	4	4
CD4_6	1	4	4
CD4_7	0	4	4
CD4_8	0	4	4
CD4_9	3	1	4
CD4_10	2	4	2
CD4_11	0	4	4
CD4_12	0	4	2
CD4_13	3	1	2
CD4_14	2	4	4
CD4_15	0	1	2
CD4_16	3	4	4
CD4_17	0	2	4
CD4_18	0	4	5
CD4_19	0	4	2
CD4_20	0	4	4
CD4_21	0	4	2
CD4_22	4	4	4
CD4_23	0	1	2
CD4_24	0	4	2
CD4_25	5	4	4
CD4_26	0	4	5
CD4_27	1	2	4
CD4_28	1	4	4
CD4_29	0	4	2
CD4_30	1	4	4
CD4_31	0	4	4
CD4_32	0	4	4
CD4_33	2	4	2
CD4_34	4	4	2
CD4_35	0	4	4
CD4_36	0	4	5
CD4_37	0	4	4
CD4_38	0	1	4
CD4_39	0	4	2
CD4_40	0	4	4
CD4_41	3	4	4
CD4_42	0	2	2
CD4_43	0	4	4
CD4_44	0	4	4
CD4_45	0	1	4
CD4_46	0	4	2
CD4_47	0	2	4
CD4_48	0	1	2
CD4_49	0	4	4
CD4_50	0	4	4
CD4_51	1	4	4
CD4_52	5	4	4
CD4_53	1	4	2
CD4_54	1	2	2
CD4_55	0	4	4
CD4_56	2	2	2
CD4_57	0	2	4
CD4_58	0	4	3
CD4_59	0	4	2
CD4_60	0	4	4
CD4_61	0	4	4
CD4_62	0	2	4
CD4_63	0	4	5
CD4_64	0	4	2
CD4_65	0	4	4
CD4_66	1	4	2
CD4_67	0	4	4
CD4_68	0	1	2
CD4_69	0	4	4
CD4_70	1	2	4
CD4_71	0	4	4
CD4_72	2	4	4
CD4_73	0	2	2
CD4_74	4	4	2
CD4_75	0	2	4
CD4_76	1	2	2
CD4_77	3	4	4
CD4_78	0	4	4
CD4_79	0	1	4
CD4_80	0	4	2
CD4_81	1	4	2
CD4_82	0	1	2
CD4_83	0	1	2
CD4_84	4	4	4
CD4_85	1	4	4
CD4_86	2	4	5
CD4_87	0	2	4
CD4_88	0	4	4
CD4_89	0	4	2
CD4_90	0	2	2
CD4_91	0	4	4
CD4_92	0	4	2
CD4_93	1	4	4
CD4_94	1	4	4
CD4_95	3	2	2
CD4_96	1	4	4
CD4_97	0	1	4
CD4_98	1	1	4
CD4_99	0	4	2
CD4_100	3	4	4
CD4_101	0	4	4
CD4_102	2	4	2
CD4_103	3	1	0
CD4_104	0	4	4
CD4_105	0	4	2
CD4_106	0	2	4
CD4_107	0	2	2
CD4_108	0	4	4
CD4_109	0	1	4
CD4_110	0	4	2
CD4_111	3	4	4
CD4_112	0	4	2
CD4_113	3	4	4
CD4_114	0	4	2
CD4_115	0	4	0
CD4_116	0	2	4
CD4_117	1	4	2
CD4_118	1	1	4
CD4_119	0	4	4
CD4_120	0	1	2
CD4_121	3	4	4
CD4_122	0	4	4
CD4_123	0	4	2
CD4_124	1	4	2
CD4_125	0	4	2
CD4_126	1	1	4
CD4_127	1	4	4
CD4_128	4	1	4
CD4_129	0	1	4
CD4_130	2	4	5
CD4_131	0	2	2
CD4_132	0	4	4
CD4_133	0	4	4
CD4_134	0	1	2
CD4_135	0	4	4
CD4_136	1	4	2
CD4_137	1	4	4
CD4_138	1	4	4
CD4_139	0	4	4
CD4_140	2	4	2
CD4_141	0	4	4
CD4_142	0	4	4
CD4_143	0	4	4
CD4_144	0	4	4
CD4_145	0	4	0
CD4_146	4	4	2
CD4_147	0	2	4
CD4_148	0	4	4
CD4_149	0	1	2
CD4_150	0	4	2
CD4_151	0	1	4
CD4_152	1	4	4
CD4_153	3	1	4
CD4_154	0	2	4
CD4_155	1	4	2
CD4_156	3	2	2
CD4_157	1	4	4
CD4_158	1	4	2
CD4_159	0	4	4
CD4_160	0	1	2
CD4_161	0	4	4
CD4_162	1	4	2
CD4_163	0	4	4
CD4_164	3	4	4
CD4_165	2	4	5
CD4_166	0	4	4
CD4_167	3	2	4
CD4_168	0	4	0
CD4_169	0	4	4
CD4_170	0	2	4
CD4_171	1	1	2
CD4_172	1	4	2
CD4_173	0	4	2
CD4_174	0	1	4
CD4_175	1	4	4
CD4_176	0	4	4
CD4_177	1	2	4
CD4_178	0	4	2
CD4_179	3	4	2
CD4_180	1	4	2
CD4_181	1	4	4
CD4_182	3	4	2
CD4_183	0	4	4
CD4_184	3	2	4
CD4_185	0	4	5
CD4_186	3	4	2
CD4_187	4	4	4
CD4_188	1	4	2
CD4_189	0	4	4
CD4_190	1	4	2
CD4_191	3	4	4
CD4_192	1	1	2
CD4_193	0	4	2
CD4_194	0	2	4
CD4_195	0	4	4
CD4_196	0	4	4
CD4_197	0	4	4
CD4_198	0	4	4
CD4_199	1	4	4
CD4_200	0	4	4
CD8_201	2	4	5
CD8_202	1	4	5
CD8_203	1	4	2
CD8_204	5	4	2
CD8_205	0	4	5
CD8_206	3	4	4
CD8_207	0	1	4
CD8_208	1	4	5
CD8_209	2	4	2
CD8_210	1	2	2
CD8_211	0	4	2
CD8_212	0	4	2
CD8_213	0	4	4
CD8_214	1	4	2
CD8_215	0	1	2
CD8_216	0	4	2
CD8_217	0	4	4
CD8_218	1	2	2
CD8_219	0	4	4
CD8_220	1	4	4
CD8_221	0	4	2
CD8_222	0	4	2
CD8_223	2	4	2
CD8_224	0	4	2
CD8_225	1	4	5
CD8_226	0	4	2
CD8_227	0	4	2
CD8_228	0	4	5
CD8_229	0	4	4
CD8_230	0	4	4
CD8_231	1	1	2
CD8_232	1	4	2
CD8_233	0	1	2
CD8_234	4	4	2
CD8_235	0	2	2
CD8_236	0	2	5
CD8_237	0	4	2
CD8_238	0	4	4
CD8_239	1	4	0
CD8_240	0	4	4
CD8_241	0	4	2
CD8_242	0	4	2
CD8_243	0	4	2
CD8_244	3	4	2
CD8_245	0	4	5
CD8_246	0	1	4
CD8_247	2	4	4
CD8_248	0	1	2
