	louvain	kmeans	hc
CD4_1	5	1	0
CD4_2	2	1	0
CD4_3	0	2	0
CD4_4	4	1	0
CD4_5	3	2	0
CD4_6	0	2	0
CD4_7	3	2	0
CD4_8	5	2	0
CD4_9	0	2	0
CD4_10	4	4	0
CD4_11	4	2	0
CD4_12	1	2	0
CD4_13	0	2	0
CD4_14	1	2	0
CD4_15	1	2	0
CD4_16	2	2	0
CD4_17	0	2	0
CD4_18	1	2	0
CD4_19	2	2	0
CD4_20	2	2	0
CD4_21	2	2	0
CD4_22	3	2	0
CD4_23	5	2	0
CD4_24	0	1	0
CD4_25	2	2	0
CD4_26	5	2	0
CD4_27	0	2	0
CD4_28	5	2	0
CD4_29	4	1	0
CD4_30	3	1	0
CD4_31	1	2	0
CD4_32	1	2	0
CD4_33	1	2	0
CD4_34	4	4	0
CD4_35	4	2	0
CD4_36	3	2	0
CD4_37	3	2	0
CD4_38	5	2	0
CD4_39	0	2	0
CD4_40	1	2	0
CD4_41	2	2	0
CD4_42	0	2	0
CD4_43	1	2	0
CD4_44	0	2	0
CD4_45	2	1	0
CD4_46	1	2	0
CD4_47	3	2	0
CD4_48	4	2	0
CD4_49	1	2	0
CD4_50	0	2	0
CD4_51	5	2	0
CD4_52	3	2	0
CD4_53	5	2	0
CD4_54	2	2	0
CD4_55	0	2	0
CD4_56	0	2	0
CD4_57	2	2	0
CD4_58	5	2	0
CD4_59	2	2	0
CD4_60	2	2	0
CD4_61	0	2	0
CD4_62	5	2	0
CD4_63	0	2	0
CD4_64	4	2	0
CD4_65	1	2	0
CD4_66	3	2	0
CD4_67	0	2	0
CD4_68	4	2	0
CD4_69	4	2	0
CD4_70	0	2	0
CD4_71	2	2	0
CD4_72	3	2	0
CD4_73	5	2	0
CD4_74	2	2	0
CD4_75	3	2	0
CD4_76	1	2	0
CD4_77	0	2	0
CD4_78	3	1	0
CD4_79	5	2	0
CD4_80	0	2	0
CD4_81	3	2	0
CD4_82	0	2	0
CD4_83	0	2	0
CD4_84	0	2	0
CD4_85	3	2	0
CD4_86	1	1	0
CD4_87	5	2	0
CD4_88	2	2	0
CD4_89	2	2	0
CD4_90	0	1	0
CD4_91	3	1	0
CD4_92	5	2	0
CD4_93	3	2	0
CD4_94	1	2	0
CD4_95	2	1	0
CD4_96	3	2	0
CD4_97	3	2	0
CD4_98	0	2	0
CD4_99	1	2	0
CD4_100	0	2	0
CD4_101	4	2	0
CD4_102	2	2	0
CD4_103	5	2	0
CD4_104	0	2	0
CD4_105	2	2	0
CD4_106	0	2	0
CD4_107	1	2	0
CD4_108	4	2	0
CD4_109	0	4	0
CD4_110	0	2	0
CD4_111	2	2	0
CD4_112	2	2	0
CD4_113	4	2	0
CD4_114	0	2	0
CD4_115	2	1	0
CD4_116	0	2	0
CD4_117	4	1	0
CD4_118	1	2	0
CD4_119	0	1	0
CD4_120	1	2	0
CD4_121	0	2	0
CD4_122	5	2	0
CD4_123	2	2	0
CD4_124	3	2	0
CD4_125	0	2	0
CD4_126	2	2	0
CD4_127	1	2	0
CD4_128	1	2	0
CD4_129	3	2	0
CD4_130	0	2	0
CD4_131	4	2	0
CD4_132	2	2	0
CD4_133	0	2	0
CD4_134	4	2	0
CD4_135	5	2	0
CD4_136	2	2	0
CD4_137	1	1	0
CD4_138	0	2	0
CD4_139	3	2	0
CD4_140	5	1	0
CD4_141	2	2	0
CD4_142	3	2	0
CD4_143	4	2	0
CD4_144	4	2	0
CD4_145	3	1	0
CD4_146	0	4	0
CD4_147	0	2	0
CD4_148	3	2	0
CD4_149	2	2	0
CD4_150	4	4	0
CD4_151	0	1	0
CD4_152	5	2	0
CD4_153	3	2	0
CD4_154	0	2	0
CD4_155	0	2	0
CD4_156	3	1	0
CD4_157	0	1	0
CD4_158	0	2	0
CD4_159	0	2	0
CD4_160	4	2	0
CD4_161	5	2	0
CD4_162	5	2	0
CD4_163	3	2	0
CD4_164	1	2	0
CD4_165	2	2	0
CD4_166	0	2	0
CD4_167	1	1	0
CD4_168	2	2	0
CD4_169	5	2	0
CD4_170	4	2	0
CD4_171	2	2	0
CD4_172	4	2	0
CD4_173	2	1	0
CD4_174	1	2	0
CD4_175	4	2	0
CD4_176	3	2	0
CD4_177	0	2	0
CD4_178	1	2	0
CD4_179	0	2	0
CD4_180	4	2	0
CD4_181	0	1	0
CD4_182	2	2	0
CD4_183	3	2	0
CD4_184	5	2	0
CD4_185	3	2	0
CD4_186	0	2	0
CD4_187	2	2	0
CD4_188	3	2	0
CD4_189	1	2	0
CD4_190	3	2	0
CD4_191	2	2	0
CD4_192	0	1	0
CD4_193	3	2	0
CD4_194	0	2	0
CD4_195	3	1	0
CD4_196	0	2	0
CD4_197	0	2	0
CD4_198	3	2	0
CD4_199	2	2	0
CD4_200	1	1	0
CD8_201	0	1	0
CD8_202	3	2	0
CD8_203	0	2	0
CD8_204	3	1	0
CD8_205	0	2	0
CD8_206	0	2	0
CD8_207	0	1	0
CD8_208	1	2	0
CD8_209	0	2	0
CD8_210	4	2	0
CD8_211	0	2	0
CD8_212	3	1	0
CD8_213	2	2	0
CD8_214	0	2	0
CD8_215	0	2	0
CD8_216	3	2	0
CD8_217	0	2	0
CD8_218	3	2	0
CD8_219	3	2	0
CD8_220	4	2	0
CD8_221	1	2	0
CD8_222	0	2	0
CD8_223	2	2	0
CD8_224	2	2	0
CD8_225	0	2	0
CD8_226	0	2	0
CD8_227	0	4	0
CD8_228	0	2	0
CD8_229	4	2	0
CD8_230	4	2	0
CD8_231	1	2	0
CD8_232	0	2	0
CD8_233	1	2	0
CD8_234	4	2	0
CD8_235	5	2	0
CD8_236	0	2	0
CD8_237	2	1	0
CD8_238	5	2	0
CD8_239	1	2	0
CD8_240	0	2	0
CD8_241	0	2	0
CD8_242	0	2	2
CD8_243	0	2	0
CD8_244	3	2	0
CD8_245	2	1	0
CD8_246	1	1	0
CD8_247	3	2	0
CD8_248	1	2	0
CD8_249	3	2	0
CD8_250	5	2	0
CD8_251	0	1	0
CD8_252	0	2	0
CD8_253	1	2	0
CD8_254	3	2	0
CD8_255	3	2	0
CD8_256	2	1	0
CD8_257	4	2	0
CD8_258	4	1	0
CD8_259	0	1	0
CD8_260	2	2	0
CD8_261	1	2	0
CD8_262	0	2	0
CD8_263	0	1	0
CD8_264	4	2	0
CD8_265	0	2	0
