	louvain	kmeans	hc
CD4_1	1	5	4
CD4_2	1	0	0
CD4_3	4	2	1
CD4_4	4	0	1
CD4_5	4	2	1
CD4_6	4	0	5
CD4_7	3	0	5
CD4_8	4	5	4
CD4_9	3	0	5
CD4_10	4	2	1
CD4_11	1	3	0
CD4_12	3	3	1
CD4_13	4	2	1
CD4_14	1	2	0
CD4_15	3	0	0
CD4_16	4	2	1
CD4_17	5	0	0
CD4_18	4	0	1
CD4_19	1	3	1
CD4_20	3	0	1
CD4_21	0	2	0
CD4_22	1	2	0
CD4_23	1	5	0
CD4_24	3	3	4
CD4_25	1	3	0
CD4_26	1	2	0
CD4_27	5	3	2
CD4_28	3	0	5
CD4_29	1	5	2
CD4_30	4	0	5
CD4_31	3	5	1
CD4_32	4	2	1
CD4_33	4	0	1
CD4_34	3	3	4
CD4_35	3	3	1
CD4_36	1	3	0
CD4_37	1	5	4
CD4_38	5	5	0
CD4_39	3	2	4
CD4_40	3	0	4
CD4_41	3	0	0
CD4_42	3	5	1
CD4_43	3	0	5
CD4_44	3	3	4
CD4_45	4	5	2
CD4_46	1	2	4
CD4_47	3	0	5
CD4_48	4	5	1
CD4_49	5	0	1
CD4_50	5	0	0
CD4_51	1	2	0
CD4_52	3	3	5
CD4_53	5	5	0
CD4_54	1	3	0
CD4_55	5	5	0
CD4_56	3	3	5
CD4_57	3	3	4
CD4_58	3	3	1
CD4_59	1	5	0
CD4_60	3	3	4
CD4_61	1	3	0
CD4_62	1	3	1
CD4_63	1	5	0
CD4_64	1	2	0
CD4_65	1	2	0
CD4_66	3	3	5
CD4_67	3	0	1
CD4_68	5	5	0
CD4_69	1	5	0
CD4_70	1	3	4
CD4_71	3	0	0
CD4_72	5	5	0
CD4_73	3	3	1
CD4_74	1	3	0
CD4_75	4	2	1
CD4_76	5	3	0
CD4_77	1	2	0
CD4_78	1	2	0
CD4_79	1	5	0
CD4_80	4	0	1
CD4_81	4	0	5
CD4_82	1	2	0
CD4_83	5	5	0
CD4_84	3	3	1
CD4_85	1	5	0
CD4_86	4	0	5
CD4_87	1	5	0
CD4_88	3	0	0
CD4_89	3	3	4
CD4_90	3	0	0
CD4_91	4	0	1
CD4_92	1	2	0
CD4_93	1	2	0
CD4_94	3	0	0
CD4_95	1	2	0
CD4_96	3	0	5
CD4_97	3	0	5
CD4_98	3	2	5
CD4_99	1	2	0
CD4_100	5	3	0
CD4_101	3	0	0
CD4_102	4	0	1
CD4_103	5	5	0
CD4_104	5	3	0
CD4_105	4	2	1
CD4_106	3	3	4
CD4_107	1	2	0
CD4_108	3	0	5
CD4_109	4	0	2
CD4_110	3	0	1
CD4_111	1	3	0
CD4_112	4	5	1
CD4_113	1	2	0
CD4_114	3	3	4
CD4_115	4	0	1
CD4_116	1	3	0
CD4_117	4	2	4
CD4_118	4	0	1
CD4_119	5	3	4
CD4_120	1	2	0
CD4_121	1	5	4
CD4_122	3	0	0
CD4_123	1	5	0
CD4_124	1	5	4
CD4_125	3	0	5
CD4_126	3	0	0
CD4_127	4	2	1
CD4_128	4	5	0
CD4_129	4	2	1
CD4_130	4	2	1
CD4_131	1	5	0
CD4_132	3	5	4
CD4_133	5	0	0
CD4_134	4	2	5
CD4_135	1	5	1
CD4_136	3	3	5
CD4_137	1	3	4
CD4_138	3	3	4
CD4_139	4	0	5
CD4_140	3	3	1
CD4_141	1	5	4
CD4_142	3	3	1
CD4_143	1	3	0
CD4_144	1	5	0
CD4_145	1	3	1
CD4_146	5	5	0
CD4_147	1	5	4
CD4_148	5	5	0
CD4_149	1	3	0
CD4_150	3	3	5
CD4_151	3	3	0
CD4_152	1	2	0
CD4_153	4	2	1
CD4_154	3	0	5
CD4_155	4	2	1
CD4_156	3	3	5
CD4_157	3	0	5
CD4_158	3	3	5
CD4_159	0	5	4
CD4_160	3	0	5
CD4_161	1	3	5
CD4_162	4	2	1
CD4_163	1	5	4
CD4_164	1	2	1
CD4_165	4	2	4
CD4_166	3	3	4
CD4_167	3	0	5
CD4_168	1	0	0
CD4_169	1	5	0
CD4_170	3	3	0
CD4_171	3	0	0
CD4_172	5	0	0
CD4_173	3	3	4
CD4_174	4	2	1
CD4_175	3	3	4
CD4_176	3	0	0
CD4_177	1	5	0
CD4_178	4	0	0
CD4_179	3	3	4
CD4_180	3	3	4
CD4_181	5	0	5
CD4_182	5	5	0
CD4_183	1	2	0
CD4_184	1	5	0
CD4_185	3	0	5
CD4_186	1	2	0
CD4_187	5	5	0
CD4_188	3	0	4
CD4_189	3	0	5
CD4_190	3	3	4
CD4_191	5	5	0
CD4_192	4	0	5
CD4_193	1	5	0
CD4_194	5	3	0
CD4_195	1	5	0
CD4_196	4	0	5
CD4_197	1	2	0
CD4_198	1	5	0
CD4_199	1	5	0
CD4_200	5	5	0
CD8_201	5	5	0
CD8_202	3	3	4
CD8_203	1	2	1
CD8_204	3	0	0
CD8_205	1	2	0
CD8_206	1	2	0
CD8_207	3	0	5
CD8_208	1	3	0
CD8_209	4	2	1
CD8_210	1	5	4
CD8_211	1	2	0
CD8_212	4	2	1
CD8_213	5	5	4
CD8_214	1	2	0
CD8_215	5	5	0
CD8_216	3	0	1
CD8_217	5	5	0
CD8_218	1	2	0
CD8_219	4	2	1
CD8_220	1	5	4
CD8_221	1	5	0
CD8_222	3	5	4
CD8_223	3	3	0
CD8_224	1	5	0
CD8_225	5	0	0
CD8_226	5	5	0
CD8_227	1	5	4
CD8_228	1	5	0
CD8_229	5	0	5
CD8_230	4	0	5
CD8_231	5	3	0
CD8_232	3	5	1
CD8_233	1	2	1
CD8_234	1	2	0
CD8_235	3	3	4
CD8_236	5	0	0
CD8_237	1	5	0
CD8_238	4	2	1
CD8_239	1	5	0
CD8_240	0	0	0
CD8_241	1	2	4
CD8_242	3	3	0
CD8_243	5	5	4
CD8_244	5	3	0
CD8_245	5	5	0
CD8_246	3	3	5
CD8_247	4	5	1
CD8_248	3	3	1
CD8_249	3	3	4
CD8_250	1	3	0
CD8_251	3	0	5
CD8_252	1	2	0
CD8_253	3	3	1
CD8_254	3	5	4
CD8_255	4	0	5
CD8_256	5	3	0
CD8_257	1	5	0
CD8_258	3	0	5
CD8_259	4	2	1
CD8_260	3	3	4
CD8_261	4	0	1
CD8_262	3	3	1
CD8_263	3	5	1
CD8_264	3	3	4
CD8_265	1	2	0
CD8_266	5	3	0
CD8_267	3	0	5
CD8_268	4	5	1
CD8_269	3	3	4
CD8_270	1	5	0
CD8_271	1	2	1
CD8_272	1	2	0
CD8_273	4	2	0
CD8_274	1	5	0
CD8_275	1	2	0
CD8_276	3	3	0
CD8_277	5	5	0
CD8_278	3	3	4
CD8_279	5	2	0
CD8_280	4	2	1
CD8_281	3	3	0
CD8_282	5	5	0
CD8_283	1	0	5
CD8_284	3	0	0
CD8_285	5	5	0
CD8_286	3	0	1
CD8_287	1	2	0
CD8_288	5	3	0
CD8_289	3	3	1
CD8_290	1	5	0
CD8_291	5	0	0
CD8_292	0	1	2
CD8_293	1	2	0
CD8_294	5	3	0
CD8_295	3	0	5
CD8_296	4	2	1
CD8_297	3	5	1
CD8_298	1	2	0
CD8_299	1	3	5
CD8_300	4	0	1
CD8_301	1	3	0
CD8_302	1	2	0
CD8_303	3	3	4
CD8_304	1	5	0
CD8_305	3	0	1
CD8_306	3	5	4
CD8_307	3	0	0
CD8_308	1	5	4
CD8_309	5	3	0
CD8_310	3	0	5
CD8_311	1	3	0
CD8_312	3	3	5
CD8_313	4	2	1
CD8_314	5	5	4
CD8_315	3	5	0
