	louvain	kmeans	hc
CD4_1	3	1	5
CD4_2	4	2	5
CD4_3	3	1	4
CD4_4	1	5	4
CD4_5	3	1	4
CD4_6	4	2	0
CD4_7	1	5	4
CD4_8	3	1	1
CD4_9	5	2	4
CD4_10	1	4	0
CD4_11	4	4	0
CD4_12	3	1	4
CD4_13	3	1	0
CD4_14	1	4	0
CD4_15	4	5	4
CD4_16	5	2	1
CD4_17	4	2	0
CD4_18	5	2	1
CD4_19	1	4	0
CD4_20	3	1	4
CD4_21	0	2	1
CD4_22	4	4	0
CD4_23	4	4	0
CD4_24	3	1	5
CD4_25	4	4	0
CD4_26	1	1	5
CD4_27	4	2	1
CD4_28	1	5	4
CD4_29	1	5	1
CD4_30	3	5	4
CD4_31	1	2	0
CD4_32	4	1	5
CD4_33	3	2	4
CD4_34	3	1	4
CD4_35	3	2	0
CD4_36	4	4	0
CD4_37	1	1	1
CD4_38	5	1	1
CD4_39	3	1	5
CD4_40	3	1	5
CD4_41	0	1	5
CD4_42	3	1	5
CD4_43	1	5	0
CD4_44	3	1	5
CD4_45	3	5	4
CD4_46	1	4	0
CD4_47	1	5	4
CD4_48	5	1	1
CD4_49	5	2	1
CD4_50	4	1	0
CD4_51	1	5	0
CD4_52	3	1	5
CD4_53	5	2	1
CD4_54	4	4	0
CD4_55	1	5	1
CD4_56	4	4	5
CD4_57	4	4	0
CD4_58	1	4	0
CD4_59	1	5	0
CD4_60	1	4	0
CD4_61	4	5	0
CD4_62	1	5	0
CD4_63	4	1	5
CD4_64	4	4	0
CD4_65	1	4	1
CD4_66	1	4	0
CD4_67	4	1	0
CD4_68	1	1	1
CD4_69	1	1	1
CD4_70	4	4	0
CD4_71	5	2	1
CD4_72	1	1	1
CD4_73	1	4	1
CD4_74	4	4	0
CD4_75	3	1	4
CD4_76	1	2	1
CD4_77	4	4	0
CD4_78	5	2	1
CD4_79	4	5	0
CD4_80	5	2	0
CD4_81	4	4	0
CD4_82	4	4	5
CD4_83	1	4	1
CD4_84	3	1	4
CD4_85	1	1	5
CD4_86	4	2	0
CD4_87	1	5	0
CD4_88	3	5	0
CD4_89	3	1	5
CD4_90	1	5	5
CD4_91	3	2	4
CD4_92	4	4	5
CD4_93	1	4	0
CD4_94	5	5	4
CD4_95	5	2	0
CD4_96	3	1	1
CD4_97	3	1	1
CD4_98	5	2	1
CD4_99	0	4	0
CD4_100	4	4	0
CD4_101	1	5	0
CD4_102	3	1	4
CD4_103	1	5	1
CD4_104	4	4	0
CD4_105	5	2	0
CD4_106	1	4	1
CD4_107	5	2	1
CD4_108	1	5	0
