	label
CD4_1	CD4
CD4_2	CD4
CD4_3	CD4
CD4_4	CD4
CD4_5	CD4
CD4_6	CD4
CD4_7	CD4
CD4_8	CD4
CD4_9	CD4
CD4_10	CD4
CD4_11	CD4
CD4_12	CD4
CD4_13	CD4
CD4_14	CD4
CD4_15	CD4
CD4_16	CD4
CD4_17	CD4
CD4_18	CD4
CD4_19	CD4
CD4_20	CD4
CD4_21	CD4
CD4_22	CD4
CD4_23	CD4
CD4_24	CD4
CD4_25	CD4
CD4_26	CD4
CD4_27	CD4
CD4_28	CD4
CD4_29	CD4
CD4_30	CD4
CD4_31	CD4
CD4_32	CD4
CD4_33	CD4
CD4_34	CD4
CD4_35	CD4
CD4_36	CD4
CD4_37	CD4
CD4_38	CD4
CD4_39	CD4
CD4_40	CD4
CD4_41	CD4
CD4_42	CD4
CD4_43	CD4
CD4_44	CD4
CD4_45	CD4
CD4_46	CD4
CD4_47	CD4
CD4_48	CD4
CD4_49	CD4
CD4_50	CD4
CD4_51	CD4
CD4_52	CD4
CD4_53	CD4
CD4_54	CD4
CD4_55	CD4
CD4_56	CD4
CD4_57	CD4
CD4_58	CD4
CD4_59	CD4
CD4_60	CD4
CD4_61	CD4
CD4_62	CD4
CD4_63	CD4
CD4_64	CD4
CD4_65	CD4
CD4_66	CD4
CD4_67	CD4
CD4_68	CD4
CD4_69	CD4
CD4_70	CD4
CD4_71	CD4
CD4_72	CD4
CD4_73	CD4
CD4_74	CD4
CD4_75	CD4
CD4_76	CD4
CD4_77	CD4
CD4_78	CD4
CD4_79	CD4
CD4_80	CD4
CD4_81	CD4
CD4_82	CD4
CD4_83	CD4
CD4_84	CD4
CD4_85	CD4
CD4_86	CD4
CD4_87	CD4
CD4_88	CD4
CD4_89	CD4
CD4_90	CD4
CD4_91	CD4
CD4_92	CD4
CD4_93	CD4
CD4_94	CD4
CD4_95	CD4
CD4_96	CD4
CD4_97	CD4
CD4_98	CD4
CD4_99	CD4
CD4_100	CD4
CD4_101	CD4
CD4_102	CD4
CD4_103	CD4
CD4_104	CD4
CD4_105	CD4
CD4_106	CD4
CD4_107	CD4
CD4_108	CD4
CD4_109	CD4
CD4_110	CD4
CD4_111	CD4
CD4_112	CD4
CD4_113	CD4
CD4_114	CD4
CD4_115	CD4
CD4_116	CD4
CD4_117	CD4
CD4_118	CD4
CD4_119	CD4
