	louvain	kmeans	hc
CD4_1	2	0	0
CD4_2	2	3	0
CD4_3	2	0	0
CD4_4	2	0	0
CD4_5	5	5	2
CD4_6	5	5	2
CD4_7	2	3	5
CD4_8	4	4	4
CD4_9	2	0	0
CD4_10	1	3	5
CD4_11	2	0	0
CD4_12	1	3	0
CD4_13	2	0	0
CD4_14	1	3	5
CD4_15	2	0	0
CD4_16	4	4	4
CD4_17	2	3	5
CD4_18	2	0	0
CD4_19	1	3	0
CD4_20	2	0	0
CD4_21	2	0	5
CD4_22	2	3	0
CD4_23	2	3	5
CD4_24	2	0	0
CD4_25	4	4	4
CD4_26	2	0	0
CD4_27	2	0	5
CD4_28	1	3	0
CD4_29	4	4	4
CD4_30	1	3	0
CD4_31	2	0	0
CD4_32	5	5	2
CD4_33	5	5	2
CD4_34	1	3	0
CD4_35	2	0	0
CD4_36	1	3	5
CD4_37	4	4	4
CD4_38	2	0	0
CD4_39	1	3	0
CD4_40	1	3	0
CD4_41	1	3	0
CD4_42	2	0	5
CD4_43	1	0	0
CD4_44	1	3	2
CD4_45	1	3	5
CD4_46	1	3	0
CD4_47	5	5	2
CD4_48	1	3	5
CD4_49	1	3	0
CD4_50	4	4	4
CD4_51	2	0	0
CD4_52	2	0	0
CD4_53	1	3	0
CD4_54	2	0	0
CD4_55	1	3	5
CD4_56	1	3	0
CD4_57	5	5	2
CD4_58	4	4	4
CD4_59	2	3	5
CD4_60	2	0	0
CD4_61	4	4	4
CD4_62	2	3	0
CD4_63	1	3	0
CD4_64	2	0	0
CD4_65	4	4	4
CD4_66	1	3	0
CD4_67	2	0	5
CD4_68	2	0	0
CD4_69	1	3	0
CD4_70	2	0	0
CD4_71	2	0	0
CD4_72	2	3	0
CD4_73	2	0	0
CD4_74	2	0	0
CD4_75	1	3	5
CD4_76	4	4	4
CD4_77	4	0	4
CD4_78	2	0	0
CD4_79	1	3	5
CD4_80	2	0	0
CD4_81	1	3	5
CD4_82	1	3	0
CD4_83	1	3	0
CD4_84	4	4	4
CD4_85	2	3	0
CD4_86	1	3	0
