	louvain	kmeans	hc
CD4_1	1	2	0
CD4_2	1	2	0
CD4_3	2	2	0
CD4_4	1	5	1
CD4_5	1	2	0
CD4_6	1	2	0
CD4_7	2	2	0
CD4_8	1	5	1
CD4_9	2	2	0
CD4_10	1	2	0
CD4_11	2	2	0
CD4_12	2	2	0
CD4_13	2	2	0
CD4_14	2	2	0
CD4_15	1	2	0
CD4_16	1	2	1
CD4_17	2	2	0
CD4_18	4	2	2
CD4_19	2	2	0
CD4_20	1	2	0
CD4_21	2	2	0
CD4_22	1	2	0
CD4_23	1	2	0
CD4_24	2	2	0
CD4_25	2	2	0
CD4_26	1	2	1
CD4_27	1	2	0
CD4_28	2	2	0
CD4_29	2	2	0
CD4_30	2	2	0
CD4_31	2	2	0
CD4_32	2	2	0
CD4_33	1	5	1
CD4_34	2	2	0
CD4_35	1	2	0
CD4_36	2	2	0
CD4_37	2	2	0
CD4_38	1	5	1
CD4_39	1	5	1
CD4_40	1	2	0
CD4_41	2	2	0
CD4_42	1	5	1
CD4_43	1	2	0
CD4_44	2	2	0
CD4_45	2	2	0
CD4_46	5	5	1
CD4_47	1	2	0
CD4_48	2	2	0
CD4_49	1	2	0
CD4_50	1	2	0
CD4_51	1	2	0
CD4_52	1	2	1
CD4_53	2	2	0
CD4_54	1	2	0
CD4_55	2	2	0
CD4_56	1	2	0
CD4_57	2	2	0
CD4_58	1	2	0
CD4_59	2	2	0
CD4_60	1	5	0
CD4_61	2	2	0
CD4_62	1	5	1
CD4_63	2	2	0
CD4_64	1	5	1
CD4_65	2	2	0
CD4_66	1	5	1
CD4_67	2	2	0
CD4_68	1	5	1
CD4_69	1	2	0
CD4_70	2	0	0
CD4_71	2	2	0
CD4_72	2	2	0
CD4_73	1	2	0
CD4_74	1	5	0
CD4_75	1	2	0
CD4_76	2	2	0
CD4_77	2	2	0
CD4_78	1	5	1
CD4_79	1	5	1
CD4_80	2	2	0
CD4_81	2	4	0
CD4_82	2	0	0
CD4_83	2	2	0
CD4_84	1	5	1
CD4_85	1	2	0
CD4_86	5	5	1
CD4_87	1	2	0
CD4_88	2	2	0
CD4_89	2	2	0
CD4_90	1	2	0
CD4_91	2	2	0
CD4_92	2	2	0
CD4_93	1	2	0
CD4_94	1	5	1
CD4_95	1	5	1
CD4_96	2	2	0
CD4_97	2	2	0
CD4_98	1	5	1
CD4_99	1	5	1
CD4_100	1	5	1
CD4_101	2	2	0
CD4_102	2	4	0
CD4_103	1	2	0
CD4_104	1	5	1
CD4_105	1	5	1
CD4_106	1	2	0
CD4_107	1	5	0
CD4_108	1	2	0
CD4_109	2	2	0
CD4_110	1	2	0
CD4_111	1	2	0
CD4_112	2	2	0
CD4_113	1	2	0
CD4_114	1	5	2
CD4_115	1	2	0
CD4_116	1	2	0
CD4_117	2	0	0
CD4_118	1	2	0
CD4_119	2	4	0
CD4_120	2	2	0
CD4_121	1	2	0
CD4_122	1	5	1
CD4_123	1	5	1
CD4_124	1	5	1
CD4_125	1	2	0
CD4_126	2	2	0
CD4_127	1	2	0
CD4_128	2	2	0
CD4_129	2	2	0
CD4_130	1	2	0
CD4_131	2	2	0
CD4_132	2	2	0
CD4_133	2	2	0
CD4_134	5	5	1
CD4_135	2	2	0
CD4_136	1	5	0
CD4_137	1	2	2
CD4_138	2	2	0
CD4_139	1	2	0
CD4_140	2	0	0
CD4_141	2	2	0
CD4_142	2	2	0
CD4_143	2	2	0
CD4_144	5	5	1
CD4_145	2	2	0
CD4_146	2	2	0
CD4_147	2	2	0
CD4_148	1	2	0
CD4_149	1	2	0
CD4_150	2	2	0
CD4_151	2	2	0
CD4_152	2	2	0
CD4_153	1	5	1
CD4_154	2	2	0
CD4_155	1	2	0
CD4_156	1	2	0
CD4_157	2	2	0
CD4_158	2	2	1
CD4_159	1	2	0
CD4_160	2	2	0
CD4_161	2	0	0
CD4_162	2	2	0
CD4_163	1	2	0
CD4_164	1	5	1
CD4_165	1	2	0
CD4_166	1	5	0
CD4_167	2	2	0
CD4_168	2	2	0
CD4_169	2	0	0
CD4_170	2	2	0
CD4_171	1	2	0
CD4_172	2	2	0
CD4_173	2	4	0
CD4_174	2	2	0
CD4_175	2	2	0
CD4_176	1	2	0
CD4_177	2	2	0
CD4_178	2	2	0
CD4_179	2	2	0
CD4_180	1	2	1
CD4_181	1	5	1
CD4_182	1	2	0
CD4_183	1	5	1
CD4_184	2	0	0
CD4_185	2	2	0
CD4_186	2	2	0
CD4_187	2	4	0
CD4_188	1	2	0
CD4_189	1	5	1
CD4_190	1	2	0
CD4_191	2	2	0
CD4_192	1	5	0
CD4_193	2	2	0
CD4_194	2	2	0
CD4_195	1	2	1
CD4_196	2	2	0
CD4_197	1	2	0
CD4_198	2	2	0
CD4_199	2	2	0
CD4_200	2	4	0
CD8_201	2	2	0
CD8_202	1	5	1
CD8_203	1	5	1
CD8_204	2	2	0
CD8_205	2	2	0
CD8_206	5	5	1
CD8_207	2	2	0
CD8_208	2	2	0
CD8_209	5	5	1
CD8_210	5	5	1
CD8_211	1	5	1
CD8_212	5	5	1
CD8_213	1	5	1
CD8_214	1	5	1
CD8_215	2	2	0
CD8_216	2	2	0
CD8_217	1	5	1
CD8_218	1	5	0
CD8_219	2	2	0
CD8_220	2	2	0
CD8_221	1	5	0
CD8_222	1	5	1
CD8_223	5	5	1
CD8_224	2	2	0
CD8_225	1	2	0
CD8_226	2	2	0
CD8_227	2	2	0
CD8_228	1	5	1
CD8_229	2	2	0
CD8_230	1	5	0
CD8_231	1	5	1
CD8_232	1	2	0
CD8_233	2	2	0
CD8_234	2	2	0
CD8_235	2	2	0
CD8_236	2	2	0
CD8_237	1	5	0
CD8_238	2	2	0
CD8_239	2	2	0
CD8_240	1	2	0
CD8_241	1	2	0
CD8_242	2	2	0
CD8_243	1	5	1
CD8_244	2	2	0
CD8_245	2	2	1
CD8_246	5	5	1
CD8_247	2	2	0
CD8_248	5	5	1
CD8_249	2	2	0
CD8_250	1	5	1
CD8_251	1	2	0
CD8_252	5	5	1
CD8_253	1	2	0
CD8_254	2	2	0
CD8_255	1	2	0
CD8_256	1	5	1
CD8_257	1	5	1
CD8_258	2	2	0
CD8_259	2	2	0
CD8_260	1	5	1
CD8_261	1	5	1
CD8_262	1	5	1
CD8_263	2	2	0
CD8_264	2	2	0
CD8_265	1	2	1
CD8_266	1	5	1
CD8_267	5	5	1
CD8_268	2	2	0
CD8_269	2	2	0
CD8_270	1	5	1
CD8_271	1	5	1
CD8_272	2	2	0
CD8_273	1	5	1
CD8_274	1	2	0
CD8_275	1	2	0
CD8_276	1	5	1
CD8_277	1	2	0
CD8_278	1	5	1
CD8_279	2	2	0
CD8_280	1	2	0
CD8_281	2	2	0
CD8_282	2	2	0
CD8_283	2	2	0
CD8_284	1	5	1
CD8_285	2	2	0
CD8_286	2	2	0
CD8_287	2	2	0
CD8_288	2	2	0
CD8_289	2	2	0
CD8_290	2	2	0
CD8_291	2	4	0
CD8_292	2	2	0
CD8_293	2	2	0
CD8_294	2	2	0
CD8_295	1	5	1
CD8_296	2	2	0
CD8_297	2	2	0
CD8_298	2	2	0
CD8_299	1	2	0
CD8_300	2	2	0
CD8_301	1	5	1
CD8_302	5	5	1
CD8_303	2	2	0
CD8_304	1	5	1
CD8_305	1	5	1
CD8_306	1	5	1
CD8_307	2	2	0
CD8_308	5	5	1
CD8_309	2	2	0
CD8_310	1	2	0
CD8_311	1	5	1
CD8_312	1	2	0
CD8_313	2	2	0
CD8_314	1	5	1
CD8_315	1	2	0
CD8_316	2	2	0
CD8_317	2	2	0
CD8_318	1	5	0
CD8_319	2	2	0
CD8_320	2	2	0
CD8_321	1	5	0
CD8_322	2	2	0
CD8_323	2	2	0
CD8_324	2	2	0
CD8_325	1	5	1
CD8_326	1	2	0
CD8_327	1	2	0
CD8_328	2	2	0
CD8_329	1	5	1
CD8_330	1	5	1
CD8_331	1	5	1
CD8_332	2	2	0
CD8_333	1	2	0
CD8_334	2	2	0
CD8_335	2	2	0
CD8_336	2	2	0
CD8_337	2	2	0
CD8_338	2	2	0
CD8_339	1	5	1
CD8_340	5	5	1
CD8_341	1	5	1
CD8_342	1	5	1
CD8_343	1	5	1
CD8_344	2	2	0
CD8_345	1	2	0
CD8_346	1	2	0
CD8_347	1	2	0
CD8_348	1	5	1
CD8_349	2	2	0
CD8_350	2	2	0
CD8_351	1	2	0
CD8_352	2	2	0
CD8_353	2	2	0
CD8_354	2	5	1
CD8_355	1	5	0
CD8_356	1	5	1
CD8_357	2	2	0
CD8_358	1	2	0
CD8_359	1	2	0
CD8_360	5	5	1
CD8_361	1	2	0
CD8_362	1	5	1
CD8_363	1	5	1
CD8_364	2	2	0
CD8_365	2	2	0
CD8_366	2	2	0
CD8_367	2	2	0
CD8_368	2	2	0
CD8_369	1	2	0
CD8_370	1	2	0
CD8_371	1	5	1
CD8_372	5	5	1
CD8_373	2	2	0
CD8_374	2	2	0
CD8_375	1	2	0
CD8_376	2	2	1
CD8_377	1	2	1
CD8_378	1	2	0
CD8_379	1	5	1
CD8_380	2	2	0
CD8_381	1	5	0
CD8_382	1	2	0
CD8_383	2	2	0
CD8_384	2	2	0
CD8_385	1	2	0
CD8_386	1	5	1
CD8_387	2	2	0
CD8_388	2	2	0
CD8_389	2	2	0
CD8_390	2	2	0
CD8_391	5	5	1
CD8_392	2	2	0
CD8_393	1	5	1
CD8_394	2	2	0
CD8_395	2	2	0
CD8_396	1	2	0
CD8_397	1	2	0
CD8_398	2	2	0
CD8_399	1	5	1
CD8_400	5	5	1
CMP_401	0	4	2
CMP_402	4	4	2
CMP_403	0	0	4
CMP_404	0	0	4
CMP_405	4	4	2
CMP_406	0	0	4
CMP_407	0	0	4
CMP_408	0	0	4
CMP_409	0	4	2
CMP_410	0	0	4
CMP_411	0	4	2
CMP_412	0	0	4
CMP_413	0	0	4
CMP_414	0	0	4
CMP_415	0	4	4
CMP_416	0	0	4
CMP_417	0	4	2
CMP_418	0	4	2
CMP_419	0	0	4
CMP_420	0	0	4
CMP_421	0	4	2
CMP_422	0	0	4
CMP_423	0	0	4
CMP_424	0	4	2
CMP_425	0	0	4
CMP_426	4	4	2
CMP_427	0	0	4
CMP_428	0	0	4
CMP_429	0	0	4
CMP_430	0	0	4
CMP_431	0	0	4
CMP_432	0	4	2
CMP_433	0	0	4
CMP_434	4	4	2
CMP_435	0	0	4
CMP_436	4	4	2
CMP_437	4	4	2
CMP_438	0	0	4
CMP_439	4	4	2
CMP_440	4	4	2
CMP_441	0	0	2
CMP_442	0	0	4
CMP_443	0	0	2
CMP_444	4	4	0
CMP_445	0	0	4
CMP_446	0	4	2
CMP_447	0	0	4
CMP_448	0	4	2
CMP_449	0	4	2
CMP_450	0	0	4
CMP_451	0	0	4
CMP_452	0	0	4
CMP_453	0	0	4
CMP_454	0	0	2
CMP_455	0	0	4
CMP_456	4	4	2
CMP_457	2	4	2
CMP_458	0	4	2
CMP_459	0	0	4
CMP_460	0	4	2
CMP_461	4	4	2
CMP_462	0	4	4
CMP_463	0	0	4
CMP_464	0	0	4
CMP_465	0	0	4
CMP_466	0	4	4
CMP_467	0	4	2
CMP_468	0	0	4
CMP_469	0	0	4
CMP_470	0	0	4
CMP_471	0	4	2
CMP_472	0	0	4
CMP_473	0	4	2
CMP_474	0	4	2
CMP_475	0	0	4
CMP_476	4	4	2
CMP_477	4	4	2
CMP_478	4	4	2
CMP_479	0	0	4
CMP_480	0	4	4
CMP_481	0	0	4
CMP_482	4	2	2
CMP_483	0	4	2
CMP_484	4	4	2
CMP_485	4	4	2
CMP_486	0	4	2
CMP_487	0	0	4
CMP_488	4	4	2
CMP_489	0	0	4
CMP_490	0	4	2
CMP_491	0	0	4
CMP_492	0	0	4
CMP_493	0	0	4
CMP_494	0	4	2
CMP_495	0	4	2
CMP_496	0	0	4
CMP_497	4	2	2
CMP_498	4	4	2
CMP_499	4	4	2
CMP_500	0	0	4
CMP_501	0	4	2
CMP_502	0	0	4
CMP_503	0	0	4
CMP_504	4	4	2
CMP_505	4	4	2
CMP_506	0	4	4
CMP_507	2	4	0
CMP_508	0	0	4
CMP_509	4	4	2
CMP_510	0	4	2
CMP_511	0	4	0
CMP_512	0	4	2
CMP_513	0	4	2
CMP_514	0	0	4
CMP_515	4	4	2
CMP_516	0	0	4
CMP_517	4	4	2
CMP_518	4	4	2
CMP_519	0	0	4
CMP_520	0	0	4
CMP_521	4	4	2
CMP_522	0	0	4
CMP_523	4	5	2
CMP_524	4	4	2
CMP_525	0	0	4
CMP_526	0	0	4
CMP_527	0	4	2
CMP_528	0	4	4
CMP_529	0	0	4
CMP_530	0	0	4
CMP_531	4	4	2
CMP_532	0	4	2
CMP_533	0	4	4
CMP_534	0	0	4
CMP_535	4	2	2
CMP_536	4	2	2
CMP_537	0	4	2
CMP_538	4	4	2
CMP_539	0	0	4
CMP_540	4	4	2
CMP_541	4	4	2
CMP_542	0	4	2
CMP_543	4	4	2
CMP_544	0	0	4
CMP_545	0	0	4
CMP_546	4	4	2
CMP_547	0	0	4
CMP_548	0	0	4
CMP_549	4	4	2
CMP_550	0	0	4
CMP_551	4	4	2
CMP_552	0	0	4
CMP_553	0	0	4
CMP_554	0	0	4
CMP_555	4	4	2
CMP_556	0	0	4
CMP_557	0	0	4
CMP_558	0	4	2
CMP_559	0	0	4
CMP_560	0	0	4
CMP_561	0	0	4
CMP_562	4	4	2
CMP_563	0	4	2
CMP_564	0	0	4
CMP_565	0	4	2
CMP_566	0	0	4
CMP_567	0	4	2
CMP_568	0	4	2
CMP_569	0	0	4
CMP_570	0	0	4
CMP_571	0	4	2
CMP_572	0	4	2
CMP_573	2	4	2
CMP_574	0	0	4
CMP_575	0	4	4
CMP_576	4	4	2
CMP_577	0	0	4
CMP_578	4	4	4
CMP_579	0	0	4
CMP_580	0	0	4
CMP_581	0	0	4
CMP_582	4	4	4
CMP_583	0	4	2
CMP_584	0	4	4
CMP_585	0	4	2
CMP_586	0	0	4
CMP_587	4	4	2
CMP_588	0	0	4
CMP_589	0	0	4
CMP_590	0	0	4
CMP_591	0	4	2
CMP_592	0	4	2
CMP_593	0	0	4
CMP_594	0	0	4
CMP_595	0	0	4
CMP_596	0	0	4
CMP_597	0	4	2
CMP_598	4	4	2
CMP_599	0	0	2
CMP_600	0	4	2
Ery_601	3	3	5
Ery_602	3	1	3
Ery_603	3	1	3
Ery_604	3	3	3
Ery_605	3	1	3
Ery_606	3	1	3
Ery_607	3	3	3
Ery_608	3	3	5
Ery_609	3	1	3
Ery_610	3	3	5
Ery_611	3	1	3
Ery_612	3	3	5
Ery_613	3	3	5
Ery_614	3	3	3
Ery_615	3	3	5
Ery_616	3	3	5
Ery_617	3	1	3
Ery_618	3	3	5
Ery_619	3	3	3
Ery_620	3	1	3
Ery_621	3	3	3
Ery_622	3	3	5
Ery_623	3	1	3
Ery_624	3	1	3
Ery_625	3	3	3
Ery_626	3	3	5
Ery_627	3	3	5
Ery_628	3	3	5
Ery_629	3	3	3
Ery_630	3	1	3
Ery_631	3	1	3
Ery_632	3	1	3
Ery_633	3	3	3
Ery_634	3	1	3
Ery_635	3	3	5
Ery_636	3	1	3
Ery_637	3	1	3
Ery_638	3	3	5
Ery_639	3	1	3
Ery_640	3	3	5
Ery_641	3	3	5
Ery_642	3	1	3
Ery_643	3	1	3
Ery_644	3	3	3
Ery_645	3	1	3
Ery_646	3	1	3
Ery_647	3	1	3
Ery_648	3	3	5
Ery_649	3	3	5
Ery_650	3	3	5
Ery_651	3	3	5
Ery_652	3	3	5
Ery_653	3	1	3
Ery_654	3	1	3
Ery_655	3	3	5
Ery_656	3	3	5
Ery_657	3	3	5
Ery_658	3	1	3
Ery_659	3	1	3
Ery_660	3	1	3
Ery_661	3	1	3
Ery_662	3	3	5
Ery_663	3	3	5
Ery_664	3	1	3
Ery_665	3	3	3
Ery_666	3	3	3
Ery_667	3	1	3
Ery_668	3	3	3
Ery_669	3	3	3
Ery_670	3	3	5
Ery_671	3	1	3
Ery_672	3	3	5
Ery_673	3	3	3
Ery_674	3	1	3
Ery_675	3	1	3
Ery_676	3	3	5
Ery_677	3	3	5
Ery_678	3	1	3
Ery_679	3	3	5
Ery_680	3	3	5
Ery_681	3	3	3
Ery_682	1	5	5
Ery_683	3	3	5
Ery_684	3	3	5
Ery_685	3	3	5
Ery_686	3	3	3
Ery_687	3	1	3
Ery_688	3	1	3
Ery_689	3	1	3
Ery_690	3	3	5
Ery_691	3	1	3
Ery_692	3	3	3
Ery_693	3	3	5
Ery_694	3	3	5
Ery_695	3	3	5
Ery_696	3	1	3
Ery_697	3	1	3
Ery_698	3	3	3
Ery_699	3	1	3
Ery_700	3	3	5
Ery_701	3	1	3
Ery_702	3	1	3
Ery_703	3	3	5
Ery_704	3	1	3
Ery_705	3	3	3
