	louvain	kmeans	hc
CD4_1	0	1	2
CD4_2	5	3	2
CD4_3	2	3	2
CD4_4	0	3	2
CD4_5	0	1	4
CD4_6	0	1	4
CD4_7	2	3	2
CD4_8	2	3	4
CD4_9	2	3	2
CD4_10	5	3	2
CD4_11	0	1	4
CD4_12	2	3	2
CD4_13	5	3	1
CD4_14	1	5	1
CD4_15	0	1	4
CD4_16	2	3	2
CD4_17	2	3	2
CD4_18	2	3	2
CD4_19	5	3	2
CD4_20	0	1	2
CD4_21	5	3	1
CD4_22	0	1	4
CD4_23	2	3	2
CD4_24	5	5	1
CD4_25	2	3	2
CD4_26	2	1	4
CD4_27	0	1	4
CD4_28	5	3	2
CD4_29	5	3	1
CD4_30	2	3	2
CD4_31	2	3	2
CD4_32	2	3	2
CD4_33	2	3	2
CD4_34	0	1	2
CD4_35	2	3	2
CD4_36	2	3	2
CD4_37	5	3	1
CD4_38	0	1	4
CD4_39	0	1	4
CD4_40	0	3	2
CD4_41	1	5	1
CD4_42	0	1	4
CD4_43	2	3	2
CD4_44	0	1	2
CD4_45	2	3	2
CD4_46	0	1	4
CD4_47	5	3	2
CD4_48	5	3	1
CD4_49	2	3	2
CD4_50	2	3	2
CD4_51	2	3	2
CD4_52	2	3	2
CD4_53	2	3	2
CD4_54	0	3	2
CD4_55	2	3	2
CD4_56	2	3	2
CD4_57	2	5	2
CD4_58	2	3	2
CD4_59	5	5	1
CD4_60	2	3	2
CD4_61	5	5	1
CD4_62	0	1	4
CD4_63	5	3	2
CD4_64	0	1	4
CD4_65	2	3	2
CD4_66	5	3	2
CD4_67	5	3	2
CD4_68	2	3	2
CD4_69	2	3	2
CD4_70	2	3	2
CD4_71	2	3	2
CD4_72	2	3	2
CD4_73	2	3	2
CD4_74	0	1	2
CD4_75	0	1	2
CD4_76	5	5	1
CD4_77	5	5	1
CD4_78	5	3	2
CD4_79	2	3	2
CD4_80	2	3	2
CD4_81	5	5	1
CD4_82	5	3	2
CD4_83	5	5	1
CD4_84	2	3	2
CD4_85	2	3	2
CD4_86	0	1	4
CD4_87	0	1	4
CD4_88	0	1	4
CD4_89	2	3	2
CD4_90	0	1	4
CD4_91	2	3	1
CD4_92	5	3	2
CD4_93	2	3	2
CD4_94	0	1	4
CD4_95	0	3	2
CD4_96	2	3	2
CD4_97	2	3	2
CD4_98	0	1	4
CD4_99	2	3	2
