	louvain	kmeans	hc
CD4_1	1	2	5
CD4_2	2	1	3
CD4_3	2	1	2
CD4_4	1	2	1
CD4_5	1	2	5
CD4_6	1	4	0
CD4_7	2	1	2
CD4_8	4	4	3
CD4_9	5	1	3
CD4_10	1	2	5
CD4_11	1	2	5
CD4_12	5	4	2
CD4_13	1	4	2
CD4_14	2	1	3
CD4_15	1	4	5
CD4_16	1	4	2
CD4_17	5	4	2
CD4_18	0	0	0
CD4_19	1	2	2
CD4_20	2	1	5
CD4_21	1	2	2
CD4_22	1	2	2
CD4_23	1	2	2
CD4_24	1	1	2
CD4_25	2	2	3
CD4_26	1	2	2
CD4_27	5	4	2
CD4_28	2	1	3
CD4_29	2	1	3
CD4_30	2	1	2
CD4_31	2	1	3
CD4_32	1	4	5
CD4_33	1	2	2
CD4_34	1	2	5
CD4_35	1	1	3
CD4_36	1	2	2
CD4_37	2	4	3
CD4_38	1	2	5
CD4_39	1	1	2
CD4_40	2	1	5
CD4_41	1	4	2
CD4_42	1	2	2
CD4_43	1	2	0
CD4_44	1	2	5
CD4_45	1	2	5
CD4_46	2	4	0
CD4_47	1	2	2
CD4_48	1	4	2
CD4_49	1	2	2
CD4_50	1	4	4
CD4_51	4	1	3
CD4_52	1	4	2
CD4_53	1	4	2
CD4_54	2	1	3
CD4_55	2	1	3
CD4_56	2	1	3
CD4_57	1	2	5
CD4_58	2	1	2
CD4_59	1	1	2
CD4_60	1	4	5
CD4_61	1	1	3
CD4_62	0	3	0
CD4_63	1	2	5
CD4_64	1	2	2
CD4_65	2	4	0
CD4_66	2	4	2
CD4_67	1	4	5
CD4_68	5	2	2
CD4_69	1	2	2
CD4_70	2	1	2
CD4_71	1	2	5
CD4_72	1	2	1
CD4_73	1	2	2
CD4_74	1	2	5
CD4_75	1	4	2
CD4_76	1	2	5
CD4_77	2	1	2
CD4_78	2	1	5
CD4_79	1	2	2
CD4_80	1	2	5
CD4_81	2	1	3
CD4_82	1	2	5
CD4_83	1	4	5
CD4_84	1	1	2
CD4_85	4	1	3
CD4_86	2	1	2
CD4_87	1	2	2
CD4_88	5	4	2
CD4_89	2	4	2
CD4_90	2	2	2
CD4_91	2	1	2
CD4_92	2	4	2
CD4_93	1	4	2
CD4_94	1	4	2
CD4_95	2	1	3
CD4_96	2	4	4
CD4_97	1	2	2
CD4_98	2	1	3
CD4_99	1	4	2
CD4_100	1	1	3
CD4_101	1	2	5
CD4_102	2	1	3
CD4_103	1	2	5
CD4_104	2	4	3
CD4_105	2	1	3
CD4_106	1	2	3
CD4_107	2	2	5
CD4_108	1	2	2
CD4_109	2	1	2
CD4_110	2	2	2
CD4_111	1	2	5
CD4_112	1	2	3
CD4_113	5	4	4
CD4_114	0	1	0
CD4_115	1	2	5
CD4_116	5	1	3
CD4_117	1	2	2
CD4_118	2	1	3
CD4_119	2	1	2
CD4_120	1	2	5
CD4_121	1	2	5
CD4_122	1	2	5
CD4_123	2	1	3
CD4_124	2	4	3
CD4_125	2	4	2
CD4_126	1	2	3
CD4_127	2	1	5
CD4_128	5	1	3
CD4_129	2	4	4
CD4_130	1	2	5
CD4_131	2	1	0
CD4_132	2	1	3
CD4_133	2	4	3
CD4_134	2	1	2
CD4_135	5	4	2
CD4_136	1	2	5
CD4_137	0	0	3
CD4_138	1	4	0
CD4_139	5	2	2
CD4_140	5	4	3
CD4_141	1	2	2
CD4_142	2	2	2
CD4_143	1	4	5
CD4_144	1	2	5
CD4_145	5	4	2
CD4_146	1	2	2
CD4_147	2	1	3
CD4_148	1	1	3
CD4_149	2	2	3
CD4_150	1	2	5
CD4_151	1	2	2
CD4_152	1	2	2
CD4_153	1	1	2
CD4_154	2	1	3
CD4_155	5	4	2
CD4_156	1	2	5
CD4_157	2	4	2
CD4_158	2	1	2
CD4_159	0	1	5
CD4_160	1	2	5
CD4_161	2	1	3
CD4_162	2	2	2
CD4_163	1	2	5
CD4_164	2	1	2
CD4_165	1	2	4
CD4_166	2	1	2
CD4_167	1	2	5
CD4_168	1	2	2
CD4_169	1	2	5
CD4_170	2	4	2
CD4_171	1	2	5
CD4_172	1	4	2
CD4_173	0	4	2
CD4_174	1	1	3
CD4_175	1	2	5
CD4_176	1	2	3
CD4_177	1	4	2
CD4_178	2	1	3
CD4_179	1	2	2
CD4_180	0	1	3
CD4_181	2	4	5
CD4_182	1	4	2
CD4_183	2	4	2
CD4_184	1	4	2
CD4_185	1	2	5
CD4_186	1	2	4
CD4_187	2	1	3
CD4_188	1	4	2
CD4_189	2	1	3
CD4_190	5	1	3
CD4_191	1	2	5
CD4_192	2	4	2
CD4_193	1	1	3
CD4_194	1	4	2
CD4_195	2	4	2
CD4_196	1	4	2
CD4_197	4	4	2
CD4_198	2	1	0
CD4_199	2	4	3
CD4_200	2	4	2
CD8_201	1	1	3
CD8_202	1	2	5
CD8_203	2	1	3
CD8_204	1	4	4
CD8_205	2	1	2
CD8_206	1	2	2
CD8_207	1	4	2
CD8_208	2	2	3
CD8_209	2	1	2
CD8_210	2	1	0
CD8_211	1	2	3
CD8_212	2	1	3
CD8_213	1	1	2
CD8_214	1	2	2
CD8_215	2	2	3
CD8_216	1	2	2
CD8_217	1	4	2
CD8_218	1	2	2
CD8_219	2	4	3
CD8_220	2	2	3
CD8_221	1	2	5
CD8_222	1	1	5
CD8_223	1	4	2
CD8_224	2	1	2
CD8_225	5	4	2
CD8_226	2	1	3
CD8_227	2	1	2
CD8_228	1	2	5
CD8_229	2	4	2
CD8_230	1	2	5
CD8_231	1	4	2
CD8_232	2	1	3
CD8_233	1	2	5
CD8_234	1	2	4
CD8_235	2	1	3
CD8_236	5	4	2
CD8_237	2	1	2
CD8_238	1	1	3
CD8_239	1	2	2
CD8_240	2	1	3
CD8_241	1	2	2
CD8_242	1	4	2
CD8_243	2	1	3
CD8_244	1	2	5
CD8_245	2	1	3
CD8_246	1	4	2
CD8_247	2	4	2
CD8_248	2	4	5
CD8_249	1	2	5
CD8_250	5	2	0
CD8_251	1	2	2
CD8_252	1	4	2
CD8_253	1	4	2
CD8_254	1	1	2
CD8_255	1	2	5
CD8_256	2	2	2
CD8_257	1	2	2
CD8_258	2	4	4
CD8_259	5	4	0
CD8_260	2	1	3
CD8_261	1	1	2
CD8_262	2	1	3
CD8_263	1	2	2
CD8_264	2	2	5
CD8_265	1	4	2
CD8_266	1	2	5
CD8_267	2	1	2
CD8_268	1	2	5
CD8_269	2	1	2
CD8_270	2	4	2
CD8_271	2	1	3
CD8_272	1	2	2
CD8_273	1	1	3
CD8_274	1	4	4
CD8_275	1	2	2
CD8_276	5	4	2
CD8_277	1	2	2
CD8_278	2	1	2
CD8_279	1	2	5
CD8_280	1	2	5
CD8_281	2	2	2
CD8_282	2	1	3
CD8_283	2	1	3
CD8_284	2	1	2
CD8_285	2	1	2
CD8_286	4	1	2
CD8_287	1	2	5
CD8_288	1	2	2
CD8_289	2	1	2
CD8_290	1	2	2
CD8_291	2	1	3
CD8_292	2	1	3
CD8_293	5	4	2
CD8_294	2	1	2
CD8_295	2	2	2
CD8_296	1	4	2
CD8_297	0	1	3
CD8_298	2	1	2
CD8_299	2	1	2
CD8_300	1	2	5
CD8_301	2	1	3
CD8_302	2	4	1
CD8_303	1	2	4
CD8_304	0	1	3
CD8_305	1	2	3
CD8_306	2	1	2
CD8_307	1	2	2
CD8_308	1	2	5
CD8_309	2	1	2
CD8_310	2	4	2
CD8_311	1	4	2
CD8_312	2	1	3
CD8_313	2	1	2
CD8_314	5	4	2
CD8_315	1	2	2
CD8_316	2	1	2
CD8_317	1	2	2
CD8_318	2	1	2
CD8_319	1	2	2
CD8_320	2	4	2
CD8_321	5	4	2
CD8_322	2	1	0
CD8_323	2	2	2
CD8_324	2	1	3
CD8_325	1	1	0
CD8_326	2	1	3
CD8_327	1	2	2
CD8_328	2	4	2
CD8_329	2	1	2
CD8_330	2	1	2
CD8_331	1	2	5
CD8_332	2	4	2
CD8_333	2	4	2
CD8_334	0	3	2
CD8_335	2	1	2
CD8_336	2	1	5
CD8_337	1	1	2
CD8_338	2	1	2
CD8_339	2	2	2
CD8_340	2	1	2
CD8_341	1	1	2
CD8_342	2	1	2
CD8_343	1	4	2
CD8_344	2	1	3
CD8_345	2	4	2
CD8_346	2	4	3
CD8_347	1	2	2
CD8_348	1	2	5
CD8_349	1	2	2
CD8_350	1	4	2
CD8_351	2	1	3
CD8_352	1	2	2
CD8_353	1	4	2
CD8_354	2	1	0
CD8_355	2	1	2
CD8_356	1	2	2
CD8_357	2	1	3
CD8_358	1	2	5
CD8_359	2	1	3
CD8_360	1	2	3
CD8_361	2	1	3
CD8_362	1	4	2
CD8_363	1	2	5
CD8_364	1	4	5
CD8_365	2	1	3
CD8_366	5	4	2
CD8_367	2	1	3
CD8_368	1	1	3
CD8_369	2	4	4
CD8_370	1	2	5
CD8_371	1	2	5
CD8_372	1	2	5
CD8_373	2	1	2
CD8_374	2	1	3
CD8_375	1	4	2
CD8_376	1	4	2
CD8_377	1	2	5
CD8_378	2	4	2
CD8_379	2	1	2
CD8_380	2	1	3
CD8_381	5	4	2
CD8_382	1	2	5
CD8_383	0	1	3
CD8_384	2	4	2
CD8_385	1	1	2
CD8_386	1	2	5
CD8_387	2	2	3
CD8_388	1	2	2
CD8_389	2	1	2
CD8_390	2	1	2
CD8_391	2	1	3
CD8_392	2	1	3
CD8_393	2	1	3
CD8_394	1	4	2
CD8_395	1	2	5
CD8_396	1	2	2
CD8_397	2	4	2
CD8_398	1	4	2
CD8_399	1	2	5
CD8_400	1	2	5
CMP_401	0	3	4
CMP_402	0	4	4
CMP_403	4	3	1
CMP_404	0	0	0
CMP_405	2	0	0
CMP_406	1	2	4
CMP_407	4	2	5
CMP_408	0	3	0
CMP_409	4	3	4
CMP_410	0	3	0
CMP_411	4	3	4
CMP_412	0	3	2
CMP_413	0	3	2
CMP_414	0	0	0
CMP_415	0	3	0
CMP_416	0	3	1
CMP_417	1	2	5
CMP_418	3	3	1
CMP_419	0	3	0
CMP_420	0	3	0
CMP_421	0	3	4
CMP_422	0	0	0
CMP_423	0	3	4
CMP_424	0	3	4
CMP_425	2	0	3
CMP_426	0	3	4
CMP_427	0	3	0
CMP_428	4	2	5
CMP_429	0	0	0
CMP_430	0	3	1
CMP_431	0	3	4
CMP_432	3	3	4
CMP_433	0	0	0
CMP_434	4	3	0
CMP_435	3	3	1
CMP_436	4	3	4
CMP_437	0	3	4
CMP_438	4	0	0
CMP_439	0	3	0
CMP_440	0	3	4
CMP_441	0	3	4
CMP_442	0	3	4
CMP_443	1	4	2
CMP_444	4	4	2
CMP_445	0	3	0
CMP_446	4	3	4
CMP_447	0	3	0
CMP_448	0	0	0
CMP_449	0	4	0
CMP_450	0	3	0
CMP_451	0	3	4
CMP_452	0	0	0
CMP_453	0	3	4
CMP_454	1	3	5
CMP_455	0	3	4
CMP_456	0	0	0
CMP_457	4	3	5
CMP_458	4	3	4
CMP_459	3	3	4
CMP_460	3	3	0
CMP_461	0	3	0
CMP_462	0	3	4
CMP_463	3	3	1
CMP_464	5	3	2
CMP_465	3	3	0
CMP_466	0	3	0
CMP_467	2	3	4
CMP_468	3	5	1
CMP_469	0	0	0
CMP_470	4	3	0
CMP_471	0	3	0
CMP_472	0	0	0
CMP_473	3	3	0
CMP_474	0	0	0
CMP_475	4	3	0
CMP_476	0	0	0
CMP_477	0	0	3
CMP_478	0	0	0
CMP_479	0	0	0
CMP_480	0	3	0
CMP_481	0	3	4
CMP_482	0	3	2
CMP_483	0	3	5
CMP_484	3	3	4
CMP_485	0	3	0
CMP_486	0	0	0
CMP_487	5	2	5
CMP_488	0	3	2
CMP_489	0	0	0
CMP_490	1	5	4
CMP_491	0	3	4
CMP_492	5	3	2
CMP_493	0	0	0
CMP_494	3	3	0
CMP_495	0	3	3
CMP_496	1	2	5
CMP_497	0	0	0
CMP_498	0	0	0
CMP_499	0	0	1
CMP_500	0	3	3
CMP_501	4	3	0
CMP_502	1	2	4
CMP_503	0	0	0
CMP_504	0	0	0
CMP_505	0	3	0
CMP_506	0	0	0
CMP_507	2	1	3
CMP_508	0	3	4
CMP_509	0	3	0
CMP_510	0	3	4
CMP_511	4	4	4
CMP_512	4	3	4
CMP_513	0	0	0
CMP_514	0	3	4
CMP_515	5	4	4
CMP_516	1	3	4
CMP_517	1	4	4
CMP_518	0	0	0
CMP_519	0	3	0
CMP_520	0	0	4
CMP_521	4	3	4
CMP_522	0	0	0
CMP_523	0	0	0
CMP_524	0	3	4
CMP_525	4	3	0
CMP_526	3	3	4
CMP_527	0	3	0
CMP_528	0	0	0
CMP_529	0	3	5
CMP_530	0	0	0
CMP_531	4	0	0
CMP_532	0	3	4
CMP_533	0	3	0
CMP_534	0	3	0
CMP_535	0	0	0
CMP_536	3	0	0
CMP_537	0	3	4
CMP_538	0	0	0
CMP_539	0	3	0
CMP_540	0	3	1
CMP_541	4	3	1
CMP_542	0	0	0
CMP_543	0	3	0
CMP_544	0	3	0
CMP_545	0	3	0
CMP_546	0	3	0
CMP_547	0	3	0
CMP_548	0	3	4
CMP_549	0	1	2
CMP_550	4	3	0
CMP_551	0	0	0
CMP_552	1	3	5
CMP_553	0	0	0
CMP_554	0	3	0
CMP_555	0	3	3
CMP_556	0	3	4
CMP_557	0	0	0
CMP_558	0	0	0
CMP_559	0	0	0
CMP_560	0	3	0
CMP_561	0	0	0
CMP_562	0	0	1
CMP_563	0	3	4
CMP_564	0	3	3
CMP_565	0	0	1
CMP_566	0	0	0
CMP_567	3	3	0
CMP_568	3	3	1
CMP_569	0	3	0
CMP_570	4	2	1
CMP_571	0	3	0
CMP_572	2	1	0
CMP_573	4	3	0
CMP_574	1	3	4
CMP_575	0	0	0
CMP_576	0	3	0
CMP_577	0	4	0
CMP_578	0	3	0
CMP_579	0	0	0
CMP_580	2	1	0
CMP_581	0	3	0
CMP_582	4	3	1
CMP_583	0	1	0
CMP_584	0	0	0
CMP_585	1	1	2
CMP_586	0	0	2
CMP_587	0	0	0
CMP_588	0	3	4
CMP_589	4	3	0
CMP_590	0	3	0
CMP_591	0	3	0
CMP_592	0	0	0
CMP_593	0	0	0
CMP_594	0	0	0
CMP_595	0	0	0
CMP_596	0	3	0
CMP_597	0	3	0
CMP_598	0	0	0
CMP_599	3	3	4
CMP_600	4	3	1
Ery_601	3	5	1
Ery_602	3	5	1
Ery_603	3	5	1
Ery_604	3	5	1
Ery_605	3	5	1
Ery_606	3	5	1
Ery_607	3	5	1
Ery_608	3	5	1
Ery_609	3	5	1
Ery_610	3	5	1
Ery_611	0	5	4
Ery_612	3	5	1
Ery_613	3	5	1
Ery_614	3	5	1
