	louvain	kmeans	hc
CD4_1	0	5	5
CD4_2	5	5	3
CD4_3	0	3	5
CD4_4	0	3	5
CD4_5	0	3	5
CD4_6	0	3	5
CD4_7	0	3	5
CD4_8	5	5	3
CD4_9	0	3	5
CD4_10	0	3	5
CD4_11	0	5	3
CD4_12	0	3	5
CD4_13	0	3	5
CD4_14	0	3	5
CD4_15	5	5	3
CD4_16	5	5	5
CD4_17	0	3	5
CD4_18	0	3	5
CD4_19	5	5	3
CD4_20	0	3	5
CD4_21	0	3	5
CD4_22	0	5	5
CD4_23	0	5	3
CD4_24	0	3	5
CD4_25	0	3	5
CD4_26	5	5	5
CD4_27	5	3	5
CD4_28	0	3	5
CD4_29	5	5	5
CD4_30	0	3	5
CD4_31	0	3	5
CD4_32	0	3	5
CD4_33	0	5	3
CD4_34	0	3	5
CD4_35	0	3	5
CD4_36	0	3	5
CD4_37	0	3	5
CD4_38	5	5	3
CD4_39	5	5	3
CD4_40	0	3	5
CD4_41	0	3	5
CD4_42	5	5	3
CD4_43	5	5	3
CD4_44	0	3	5
CD4_45	0	3	5
CD4_46	0	3	5
CD4_47	0	3	3
CD4_48	5	5	3
CD4_49	5	5	3
CD4_50	0	5	5
CD4_51	0	3	5
CD4_52	0	3	5
CD4_53	0	3	5
CD4_54	5	5	3
CD4_55	0	3	5
CD4_56	0	3	5
CD4_57	0	3	5
CD4_58	0	3	5
CD4_59	0	3	5
CD4_60	0	3	5
CD4_61	5	5	3
CD4_62	5	5	3
CD4_63	0	3	5
CD4_64	0	3	5
CD4_65	0	3	5
CD4_66	0	3	5
CD4_67	5	5	3
CD4_68	0	3	5
CD4_69	0	3	5
CD4_70	0	3	5
CD4_71	0	3	5
CD4_72	0	3	5
CD4_73	5	5	5
CD4_74	5	5	3
CD4_75	5	5	3
CD4_76	0	3	5
CD4_77	0	3	3
CD4_78	5	5	3
CD4_79	5	5	3
CD4_80	0	3	5
CD4_81	0	3	5
CD4_82	0	3	5
CD4_83	0	3	5
CD4_84	0	3	5
CD4_85	0	3	5
CD4_86	5	5	3
CD4_87	0	3	5
CD4_88	5	5	3
CD4_89	5	5	3
CD4_90	5	5	3
CD4_91	0	3	5
CD4_92	0	5	3
CD4_93	0	3	5
CD4_94	0	5	5
CD4_95	0	5	3
CD4_96	5	5	3
CD4_97	5	5	3
CD4_98	5	5	3
CD4_99	5	5	5
CD4_100	5	5	3
CD4_101	0	3	5
CD4_102	0	3	5
CD4_103	5	5	5
CD4_104	0	5	3
CD4_105	0	5	3
CD4_106	0	3	5
CD4_107	0	5	5
CD4_108	0	5	5
CD4_109	0	3	5
CD4_110	0	3	3
CD4_111	0	3	5
CD4_112	5	5	5
CD4_113	5	5	3
CD4_114	0	3	5
CD4_115	5	5	3
CD4_116	0	3	5
CD4_117	0	3	5
CD4_118	0	5	3
CD4_119	0	3	5
CD4_120	0	5	5
CD4_121	0	3	5
CD4_122	0	3	5
CD4_123	0	3	3
CD4_124	5	5	3
CD4_125	5	5	3
CD4_126	5	5	3
CD4_127	0	3	5
CD4_128	0	5	5
CD4_129	0	5	3
CD4_130	0	3	5
CD4_131	0	3	5
CD4_132	0	3	5
CD4_133	5	5	3
CD4_134	5	5	3
CD4_135	0	3	5
CD4_136	0	5	3
CD4_137	0	3	5
CD4_138	5	5	3
CD4_139	0	3	5
CD4_140	0	3	5
CD4_141	0	5	3
CD4_142	0	3	5
CD4_143	0	3	5
CD4_144	0	5	3
CD4_145	5	5	3
CD4_146	0	3	5
CD4_147	0	3	5
CD4_148	5	5	3
CD4_149	5	5	5
CD4_150	5	5	3
CD4_151	5	5	3
CD4_152	0	5	3
CD4_153	0	3	5
CD4_154	0	3	5
CD4_155	0	3	5
CD4_156	0	3	5
CD4_157	0	3	5
CD4_158	0	5	5
CD4_159	5	5	3
CD4_160	5	5	3
CD4_161	5	5	5
CD4_162	5	5	5
CD4_163	0	5	5
CD4_164	0	5	5
CD4_165	5	5	3
CD4_166	5	5	5
CD4_167	0	3	5
CD4_168	0	3	5
CD4_169	0	5	3
CD4_170	0	3	3
CD4_171	0	3	5
CD4_172	0	3	3
CD4_173	0	3	5
CD4_174	0	3	5
CD4_175	0	3	5
CD4_176	0	3	5
CD4_177	0	3	5
CD4_178	5	5	3
CD4_179	0	3	5
CD4_180	0	3	5
CD4_181	0	3	5
CD4_182	0	3	5
CD4_183	0	3	5
CD4_184	0	3	5
CD4_185	5	3	3
CD4_186	0	3	5
CD4_187	0	3	5
CD4_188	0	3	5
CD4_189	5	5	3
CD4_190	5	5	3
CD4_191	0	3	5
CD4_192	5	5	3
CD4_193	0	3	5
CD4_194	0	3	5
CD4_195	0	5	5
CD4_196	0	3	5
CD4_197	5	5	3
CD4_198	0	3	5
CD4_199	0	3	3
CD4_200	0	3	3
CD8_201	0	3	5
CD8_202	5	5	3
CD8_203	0	3	5
CD8_204	5	3	3
CD8_205	0	3	5
CD8_206	5	5	3
CD8_207	0	3	5
CD8_208	0	3	5
CD8_209	0	3	3
CD8_210	0	3	5
CD8_211	5	5	5
CD8_212	5	3	3
CD8_213	5	5	3
CD8_214	5	5	3
CD8_215	5	5	3
CD8_216	0	3	5
CD8_217	0	3	5
CD8_218	5	5	3
CD8_219	0	3	5
CD8_220	5	5	3
CD8_221	5	5	3
CD8_222	5	5	3
CD8_223	5	5	3
CD8_224	0	3	3
CD8_225	5	5	3
CD8_226	0	3	5
CD8_227	5	5	3
CD8_228	0	3	5
CD8_229	5	5	3
CD8_230	0	3	5
CD8_231	5	5	3
CD8_232	5	5	3
CD8_233	5	3	5
CD8_234	0	3	5
CD8_235	0	3	3
CD8_236	0	3	3
CD8_237	5	5	1
CD8_238	0	3	5
CD8_239	0	3	5
CD8_240	0	3	5
CD8_241	5	5	5
CD8_242	5	5	3
CD8_243	0	5	5
CD8_244	5	5	5
CD8_245	0	3	5
CD8_246	5	5	3
CD8_247	5	5	3
CD8_248	5	5	3
CD8_249	5	5	3
CD8_250	0	3	3
CD8_251	0	3	5
CD8_252	0	3	5
CD8_253	0	3	5
CD8_254	0	3	5
CD8_255	5	5	3
CD8_256	5	5	5
CD8_257	0	3	5
CD8_258	0	3	5
CD8_259	0	5	5
CD8_260	3	5	1
CD8_261	5	5	1
CD8_262	0	3	5
CD8_263	5	5	3
CD8_264	0	3	5
CD8_265	0	3	5
CD8_266	5	5	3
CD8_267	5	5	1
CD8_268	5	5	3
CD8_269	5	5	3
CD8_270	0	3	5
CD8_271	5	3	3
CD8_272	0	3	5
CD8_273	5	5	3
CD8_274	0	3	5
CD8_275	5	5	3
CD8_276	5	5	3
CD8_277	5	5	3
CD8_278	5	5	3
CD8_279	0	3	5
CD8_280	5	5	3
CD8_281	0	3	5
CD8_282	5	5	3
CD8_283	5	5	3
CD8_284	5	5	3
CD8_285	0	3	5
CD8_286	0	3	5
CD8_287	0	3	5
CD8_288	0	3	5
CD8_289	5	5	5
CD8_290	5	5	3
CD8_291	0	3	5
CD8_292	5	5	5
CD8_293	0	3	3
CD8_294	0	3	5
CD8_295	5	5	3
CD8_296	0	3	5
CD8_297	5	5	3
CD8_298	5	5	3
CD8_299	0	3	3
CD8_300	0	3	3
CD8_301	0	5	3
CD8_302	5	5	3
CD8_303	5	5	5
CD8_304	0	3	5
CD8_305	5	5	3
CD8_306	5	5	3
CD8_307	0	3	5
CD8_308	5	5	3
CD8_309	5	5	3
CD8_310	5	5	3
CD8_311	5	5	3
CD8_312	5	5	3
CD8_313	3	0	1
CD8_314	0	3	5
CD8_315	5	5	3
CD8_316	0	3	5
CD8_317	5	5	3
CD8_318	5	5	3
CD8_319	0	3	5
CD8_320	0	3	5
CD8_321	0	3	5
CD8_322	5	5	3
CD8_323	5	5	3
CD8_324	0	3	3
CD8_325	5	5	1
CD8_326	0	3	5
CD8_327	5	5	3
CD8_328	0	3	5
CD8_329	0	3	5
CD8_330	5	3	3
CD8_331	5	5	5
CD8_332	5	5	3
CD8_333	0	3	3
CD8_334	5	5	3
CD8_335	0	3	3
CD8_336	5	5	1
CD8_337	5	5	3
CD8_338	0	3	5
CD8_339	5	5	3
CD8_340	0	3	5
CD8_341	5	5	3
CD8_342	5	5	3
CD8_343	5	5	3
CD8_344	5	5	3
CD8_345	0	3	5
CD8_346	5	5	3
CD8_347	5	5	5
CD8_348	5	5	3
CD8_349	5	5	3
CD8_350	0	3	3
CD8_351	5	5	3
CD8_352	0	3	5
CD8_353	5	3	3
CD8_354	5	5	3
CD8_355	0	3	5
CD8_356	5	5	3
CD8_357	5	3	3
CD8_358	5	5	3
CD8_359	0	3	5
CD8_360	5	5	3
CD8_361	0	3	5
CD8_362	0	3	5
CD8_363	5	5	3
CD8_364	0	3	5
CD8_365	0	3	5
CD8_366	0	3	5
CD8_367	0	3	3
CD8_368	0	3	5
CD8_369	5	5	3
CD8_370	0	5	3
CD8_371	5	5	3
CD8_372	5	5	1
CD8_373	0	3	5
CD8_374	0	3	5
CD8_375	5	5	3
CD8_376	5	5	3
CD8_377	5	5	3
CD8_378	5	5	3
CD8_379	5	5	3
CD8_380	5	5	3
CD8_381	5	3	3
CD8_382	5	5	3
CD8_383	0	3	5
CD8_384	5	5	3
CD8_385	5	5	3
CD8_386	0	3	5
CD8_387	0	3	5
CD8_388	5	5	3
CD8_389	5	5	3
CD8_390	0	5	5
CD8_391	5	5	3
CD8_392	0	3	5
CD8_393	5	5	1
CD8_394	0	3	5
CD8_395	0	3	5
CD8_396	0	3	5
CD8_397	0	3	3
CD8_398	5	5	3
CD8_399	5	5	3
CD8_400	5	5	1
CMP_401	4	4	0
CMP_402	4	4	0
CMP_403	4	4	0
CMP_404	4	4	0
CMP_405	4	2	0
CMP_406	4	4	0
CMP_407	4	4	0
CMP_408	4	4	0
CMP_409	4	4	0
CMP_410	4	4	0
CMP_411	4	4	0
CMP_412	4	4	0
CMP_413	4	4	0
CMP_414	4	4	0
CMP_415	4	4	0
CMP_416	4	4	0
CMP_417	4	4	0
CMP_418	4	4	0
CMP_419	4	4	0
CMP_420	4	4	0
CMP_421	4	2	0
CMP_422	4	4	0
CMP_423	4	4	0
CMP_424	4	4	0
CMP_425	4	4	0
CMP_426	4	2	0
CMP_427	4	4	0
CMP_428	4	4	0
CMP_429	4	4	0
CMP_430	4	4	0
CMP_431	4	4	0
CMP_432	4	4	0
CMP_433	4	4	0
CMP_434	4	4	0
CMP_435	4	4	0
CMP_436	1	4	0
CMP_437	4	4	0
CMP_438	4	4	0
CMP_439	4	4	0
CMP_440	4	4	0
CMP_441	4	4	0
CMP_442	4	4	0
CMP_443	4	4	0
CMP_444	4	4	0
CMP_445	4	4	0
CMP_446	4	4	0
CMP_447	4	4	0
CMP_448	4	4	0
CMP_449	4	4	0
CMP_450	4	4	0
CMP_451	4	2	0
CMP_452	4	4	0
CMP_453	4	4	0
CMP_454	4	4	0
CMP_455	4	4	0
CMP_456	4	4	0
CMP_457	4	4	0
CMP_458	4	4	0
CMP_459	4	4	0
CMP_460	4	4	0
CMP_461	4	4	0
CMP_462	4	4	0
CMP_463	4	4	0
CMP_464	4	4	0
CMP_465	4	4	0
CMP_466	4	4	0
CMP_467	4	4	0
CMP_468	4	4	0
CMP_469	4	4	0
CMP_470	4	4	0
CMP_471	4	4	0
CMP_472	4	4	0
CMP_473	4	4	0
CMP_474	4	4	0
CMP_475	4	4	0
CMP_476	4	4	0
CMP_477	4	4	0
CMP_478	4	4	0
CMP_479	4	4	0
CMP_480	4	4	0
CMP_481	4	4	0
CMP_482	4	4	0
CMP_483	4	4	0
CMP_484	4	4	0
CMP_485	4	2	0
CMP_486	4	4	0
CMP_487	4	4	0
CMP_488	4	2	0
CMP_489	4	4	0
CMP_490	4	4	0
CMP_491	4	4	0
CMP_492	4	4	0
CMP_493	4	4	0
CMP_494	4	4	0
CMP_495	4	4	0
CMP_496	4	4	0
CMP_497	1	2	0
CMP_498	4	4	0
CMP_499	4	4	0
CMP_500	4	4	0
CMP_501	4	4	0
CMP_502	4	4	0
CMP_503	4	4	0
CMP_504	1	2	4
CMP_505	4	2	0
CMP_506	4	4	0
CMP_507	4	4	0
CMP_508	4	4	0
CMP_509	4	4	0
CMP_510	4	4	0
CMP_511	4	4	0
CMP_512	4	4	0
CMP_513	4	4	0
CMP_514	4	4	0
CMP_515	4	4	0
CMP_516	4	4	0
CMP_517	4	4	0
CMP_518	4	4	0
CMP_519	4	4	0
CMP_520	4	4	0
CMP_521	4	4	0
CMP_522	4	4	0
CMP_523	4	2	0
CMP_524	4	4	0
CMP_525	4	2	0
CMP_526	4	4	0
CMP_527	4	4	0
CMP_528	4	4	0
CMP_529	4	4	0
CMP_530	4	4	0
CMP_531	4	4	0
CMP_532	4	4	0
CMP_533	4	4	0
CMP_534	4	4	0
CMP_535	4	2	0
CMP_536	4	4	0
CMP_537	4	4	0
CMP_538	4	4	0
CMP_539	4	4	0
CMP_540	4	4	0
CMP_541	4	4	0
CMP_542	4	4	4
CMP_543	1	2	0
CMP_544	4	2	0
CMP_545	4	4	0
CMP_546	4	2	0
CMP_547	4	4	0
CMP_548	4	4	0
CMP_549	4	4	0
CMP_550	4	4	0
CMP_551	4	2	0
CMP_552	4	4	0
CMP_553	4	4	0
CMP_554	4	4	0
CMP_555	4	2	0
CMP_556	4	4	0
CMP_557	4	4	0
CMP_558	4	4	0
CMP_559	4	4	0
CMP_560	4	4	0
CMP_561	4	4	0
CMP_562	4	4	0
CMP_563	4	4	0
CMP_564	4	4	0
CMP_565	4	4	0
CMP_566	4	4	0
CMP_567	4	4	0
CMP_568	4	4	0
CMP_569	4	2	0
CMP_570	4	4	0
CMP_571	4	4	0
CMP_572	4	4	0
CMP_573	4	4	0
CMP_574	4	4	0
CMP_575	4	4	0
CMP_576	4	4	0
CMP_577	4	4	0
CMP_578	4	4	0
CMP_579	4	4	0
CMP_580	4	2	0
CMP_581	4	4	0
CMP_582	4	4	0
CMP_583	4	4	0
CMP_584	4	4	0
CMP_585	1	4	0
CMP_586	4	4	0
CMP_587	4	4	0
CMP_588	4	4	0
CMP_589	4	4	0
CMP_590	4	4	0
CMP_591	4	4	0
CMP_592	4	4	0
CMP_593	4	2	0
CMP_594	4	4	0
CMP_595	4	4	0
CMP_596	4	4	0
CMP_597	1	2	0
CMP_598	4	4	0
CMP_599	4	4	0
CMP_600	4	4	0
Ery_601	2	1	2
Ery_602	2	1	2
Ery_603	2	1	2
Ery_604	2	1	2
Ery_605	2	1	2
Ery_606	2	1	2
Ery_607	2	1	2
Ery_608	2	1	2
Ery_609	2	1	2
Ery_610	2	1	2
Ery_611	2	1	2
Ery_612	2	1	2
Ery_613	2	1	2
Ery_614	2	1	2
Ery_615	2	1	2
Ery_616	2	1	2
Ery_617	2	1	2
Ery_618	2	1	2
Ery_619	2	1	2
Ery_620	2	1	2
Ery_621	2	1	2
Ery_622	2	1	2
Ery_623	2	1	2
Ery_624	2	1	2
Ery_625	2	1	2
Ery_626	2	1	2
Ery_627	2	1	2
Ery_628	2	1	2
Ery_629	2	1	2
Ery_630	2	1	2
Ery_631	2	1	2
Ery_632	2	1	2
Ery_633	2	1	2
Ery_634	2	1	2
Ery_635	2	1	2
Ery_636	2	1	2
Ery_637	2	1	2
Ery_638	2	1	2
Ery_639	2	1	2
Ery_640	2	1	2
Ery_641	2	1	2
Ery_642	2	1	2
Ery_643	2	1	2
Ery_644	2	1	2
Ery_645	2	1	2
Ery_646	2	1	2
Ery_647	2	1	2
Ery_648	2	1	2
Ery_649	2	1	2
Ery_650	2	1	2
Ery_651	2	1	2
Ery_652	2	1	2
Ery_653	2	1	2
Ery_654	2	1	2
Ery_655	2	1	2
Ery_656	2	1	2
Ery_657	2	1	2
Ery_658	2	1	2
Ery_659	2	1	2
Ery_660	2	1	2
Ery_661	2	1	2
Ery_662	2	1	2
Ery_663	2	1	2
Ery_664	2	1	2
Ery_665	2	1	2
Ery_666	2	1	2
Ery_667	2	1	2
Ery_668	2	1	2
Ery_669	2	1	2
Ery_670	2	1	2
Ery_671	2	1	2
Ery_672	2	1	2
Ery_673	2	1	2
Ery_674	2	1	2
Ery_675	2	1	2
Ery_676	2	1	2
Ery_677	2	1	2
Ery_678	2	1	2
Ery_679	2	1	2
Ery_680	2	1	2
Ery_681	2	1	2
Ery_682	2	1	2
Ery_683	2	1	2
Ery_684	2	1	2
Ery_685	2	1	2
Ery_686	2	1	2
Ery_687	2	1	2
Ery_688	2	1	2
Ery_689	2	1	2
