	louvain	kmeans	hc
CD4_1	2	3	5
CD4_2	2	3	5
CD4_3	2	3	5
CD4_4	2	3	5
CD4_5	2	3	5
CD4_6	2	3	5
CD4_7	2	3	5
CD4_8	2	3	5
CD4_9	2	3	5
CD4_10	2	3	5
CD4_11	2	3	5
CD4_12	2	3	5
CD4_13	2	3	5
CD4_14	2	3	5
CD4_15	2	3	5
CD4_16	2	3	5
CD4_17	2	3	5
CD4_18	2	3	5
CD4_19	2	3	5
CD4_20	2	3	5
CD4_21	2	3	5
CD4_22	2	3	5
CD4_23	2	3	5
CD4_24	2	3	5
CD4_25	2	3	5
CD4_26	2	3	5
CD4_27	2	3	5
CD4_28	2	3	5
CD4_29	2	3	5
CD4_30	2	3	5
CD4_31	2	3	5
CD4_32	2	3	5
CD4_33	2	3	5
CD4_34	2	3	5
CD4_35	2	3	5
CD4_36	2	3	5
CD4_37	2	3	5
CD4_38	2	3	5
CD4_39	2	3	5
CD4_40	2	3	5
CD4_41	2	3	5
CD4_42	2	3	5
CD4_43	2	3	5
CD4_44	2	3	5
CD4_45	2	3	5
CD4_46	2	3	5
CD4_47	2	3	5
CD4_48	2	3	5
CD4_49	2	3	5
CD4_50	2	3	5
CD4_51	2	3	5
CD4_52	2	3	5
CD4_53	2	3	5
CD4_54	2	3	5
CD4_55	2	3	5
CD4_56	2	3	5
CD4_57	2	3	5
CD4_58	2	3	5
CD4_59	2	3	5
CD4_60	2	3	5
CD4_61	2	3	5
CD4_62	2	3	5
CD4_63	2	3	5
CD4_64	2	3	5
CD4_65	2	3	5
CD4_66	2	3	5
CD4_67	2	3	5
CD4_68	2	3	5
CD4_69	2	3	5
CD4_70	2	3	5
CD4_71	2	3	5
CD4_72	2	3	5
CD4_73	2	3	5
CD4_74	2	3	5
CD4_75	2	3	5
CD4_76	2	3	5
CD4_77	2	3	5
CD4_78	2	3	5
CD4_79	2	3	5
CD4_80	2	3	5
CD4_81	2	3	5
CD4_82	2	3	5
CD4_83	2	3	5
CD4_84	2	3	5
CD4_85	2	3	5
CD4_86	2	3	5
CD4_87	2	3	5
CD4_88	2	3	5
CD4_89	2	3	5
CD4_90	2	3	5
CD4_91	2	3	5
CD4_92	2	3	5
CD4_93	2	3	5
CD4_94	2	3	5
CD4_95	2	3	5
CD4_96	2	3	5
CD4_97	2	3	5
CD4_98	2	3	5
CD4_99	2	3	5
CD4_100	2	3	5
CD4_101	2	3	5
CD4_102	2	3	5
CD4_103	2	3	5
CD4_104	2	3	5
CD4_105	2	3	5
CD4_106	2	3	5
CD4_107	2	3	5
CD4_108	2	3	5
CD4_109	2	3	5
CD4_110	2	3	5
CD4_111	2	3	5
CD4_112	2	3	5
CD4_113	2	3	5
CD4_114	2	3	5
CD4_115	2	3	5
CD4_116	2	3	5
CD4_117	2	3	5
CD4_118	2	3	5
CD4_119	2	3	5
CD4_120	2	3	5
CD4_121	2	3	5
CD4_122	2	3	5
CD4_123	2	3	5
CD4_124	2	3	5
CD4_125	2	3	5
CD4_126	2	3	5
CD4_127	2	3	5
CD4_128	2	3	5
CD4_129	2	3	5
CD4_130	2	3	5
CD4_131	2	3	5
CD4_132	2	3	5
CD4_133	2	3	5
CD4_134	2	3	5
CD4_135	2	3	5
CD4_136	2	3	5
CD4_137	2	3	5
CD4_138	2	3	5
CD4_139	2	3	5
CD4_140	2	3	5
CD4_141	2	3	5
CD4_142	2	3	5
CD4_143	2	3	5
CD4_144	2	3	5
CD4_145	2	3	5
CD4_146	2	3	5
CD4_147	2	3	5
CD4_148	2	3	5
CD4_149	2	3	5
CD4_150	2	3	5
CD4_151	2	3	5
CD4_152	2	3	5
CD4_153	2	3	5
CD4_154	2	3	5
CD4_155	2	3	5
CD4_156	2	3	5
CD4_157	2	3	5
CD4_158	2	3	5
CD4_159	2	3	5
CD4_160	2	3	5
CD4_161	2	3	5
CD4_162	2	3	5
CD4_163	2	3	5
CD4_164	2	3	5
CD4_165	2	3	5
CD4_166	2	3	5
CD4_167	2	3	5
CD4_168	2	3	5
CD4_169	2	3	5
CD4_170	2	3	5
CD4_171	2	3	5
