	louvain	kmeans	hc
CD4_1	0	5	5
CD4_2	0	5	5
CD4_3	0	5	5
CD4_4	0	5	5
CD4_5	0	5	5
CD4_6	0	5	5
CD4_7	0	5	5
CD4_8	0	5	5
CD4_9	0	5	5
CD4_10	0	5	5
CD4_11	0	5	5
CD4_12	0	5	5
CD4_13	0	5	5
CD4_14	0	5	5
CD4_15	0	5	5
CD4_16	5	5	5
CD4_17	0	5	5
CD4_18	0	5	5
CD4_19	0	5	5
CD4_20	0	5	5
CD4_21	0	5	5
CD4_22	0	5	5
CD4_23	0	5	5
CD4_24	0	5	5
CD4_25	0	5	5
CD4_26	0	5	5
CD4_27	0	5	5
CD4_28	0	5	5
CD4_29	0	5	5
CD4_30	0	5	5
CD4_31	0	5	5
CD4_32	0	5	5
CD4_33	0	5	5
CD4_34	0	5	5
CD4_35	0	5	5
CD4_36	0	5	5
CD4_37	0	5	5
CD4_38	0	5	5
CD4_39	0	5	5
CD4_40	0	5	5
CD4_41	0	5	5
CD4_42	0	5	5
CD4_43	0	5	5
CD4_44	0	5	5
CD4_45	0	5	5
CD4_46	0	5	5
CD4_47	0	5	5
CD4_48	0	5	5
CD4_49	0	5	5
CD4_50	0	5	5
CD4_51	0	5	5
CD4_52	0	5	5
CD4_53	0	5	5
CD4_54	0	5	5
CD4_55	0	5	5
CD4_56	0	5	5
CD4_57	0	5	5
CD4_58	0	5	5
CD4_59	0	5	5
CD4_60	0	5	5
CD4_61	0	5	5
CD4_62	0	5	5
CD4_63	0	5	5
CD4_64	0	5	5
CD4_65	0	5	5
CD4_66	0	5	5
CD4_67	0	5	5
CD4_68	0	5	5
CD4_69	0	5	5
CD4_70	0	5	5
CD4_71	0	5	5
CD4_72	5	5	5
CD4_73	0	5	5
CD4_74	0	5	5
CD4_75	0	5	0
CD4_76	0	5	0
CD4_77	0	5	5
CD4_78	0	5	5
CD4_79	0	5	5
CD4_80	0	5	5
CD4_81	0	5	5
CD4_82	0	5	5
CD4_83	0	5	5
CD4_84	0	5	5
CD4_85	0	5	5
CD4_86	0	5	5
CD4_87	0	5	5
CD4_88	0	5	5
CD4_89	0	5	5
CD4_90	0	5	5
CD4_91	0	5	5
CD4_92	0	5	5
CD4_93	0	5	5
CD4_94	0	5	5
CD4_95	0	5	5
CD4_96	0	5	5
CD4_97	0	5	5
CD4_98	0	5	5
CD4_99	0	5	5
CD4_100	0	5	5
CD4_101	0	5	5
CD4_102	0	5	5
CD4_103	0	5	5
CD4_104	0	5	5
CD4_105	5	4	5
CD4_106	0	5	5
CD4_107	0	5	5
CD4_108	0	5	5
CD4_109	0	5	0
CD4_110	0	5	5
CD4_111	0	5	5
CD4_112	0	5	5
CD4_113	0	5	5
CD4_114	0	5	5
CD4_115	0	5	5
CD4_116	0	5	5
CD4_117	0	5	5
CD4_118	0	5	5
CD4_119	0	5	5
CD4_120	0	5	5
CD4_121	0	5	5
CD4_122	0	4	0
CD4_123	0	5	5
CD4_124	0	5	0
CD4_125	0	5	0
CD4_126	0	5	5
CD4_127	0	5	5
CD4_128	0	5	5
CD4_129	0	5	5
CD4_130	0	5	5
CD4_131	0	5	5
CD4_132	0	5	5
CD4_133	0	5	5
CD4_134	0	5	5
CD4_135	0	5	5
CD4_136	0	5	5
CD4_137	0	5	5
CD4_138	0	5	5
CD4_139	0	5	5
CD4_140	0	5	5
CD4_141	0	5	5
CD4_142	0	5	5
CD4_143	0	5	5
CD4_144	0	5	5
CD4_145	0	5	5
CD4_146	0	5	5
CD4_147	0	5	5
CD4_148	0	5	5
CD4_149	0	5	5
CD4_150	0	5	5
CD4_151	0	5	5
CD4_152	0	5	5
CD4_153	0	5	5
CD4_154	0	5	5
CD4_155	0	5	5
CD4_156	0	5	5
CD4_157	0	5	5
CD4_158	0	5	5
CD4_159	0	5	5
CD4_160	0	5	5
CD4_161	0	5	5
CD4_162	0	5	5
CD4_163	0	5	5
CD4_164	0	5	5
CD4_165	0	5	5
CD4_166	0	4	5
CD4_167	0	5	5
CD4_168	0	5	5
CD4_169	0	5	5
CD4_170	0	5	5
CD4_171	0	5	5
CD4_172	0	5	5
CD4_173	0	5	5
CD4_174	0	5	5
CD4_175	0	5	5
CD4_176	0	5	5
CD4_177	0	5	5
CD4_178	0	4	5
CD4_179	0	5	5
CD4_180	0	5	5
CD4_181	0	5	5
CD4_182	0	5	0
CD4_183	0	5	5
CD4_184	0	5	5
CD4_185	0	5	5
CD4_186	0	5	5
CD4_187	0	5	5
CD4_188	0	5	5
CD4_189	0	5	5
CD4_190	0	5	5
CD4_191	0	5	5
CD4_192	0	5	5
CD4_193	0	5	5
CD4_194	0	5	5
CD4_195	0	5	5
CD4_196	0	5	5
CD4_197	0	5	5
CD4_198	0	5	5
CD4_199	0	5	5
CD4_200	0	5	5
CD8_201	5	4	0
CD8_202	5	4	5
CD8_203	5	4	0
CD8_204	5	4	0
CD8_205	5	4	0
CD8_206	5	4	0
CD8_207	5	4	0
CD8_208	5	4	5
CD8_209	5	4	5
CD8_210	5	4	0
CD8_211	5	4	0
CD8_212	5	4	0
CD8_213	5	4	5
CD8_214	5	4	0
CD8_215	0	5	0
CD8_216	5	4	0
CD8_217	5	4	5
CD8_218	5	4	0
CD8_219	5	4	0
CD8_220	5	4	0
CD8_221	5	4	0
CD8_222	5	5	5
CD8_223	0	5	0
CD8_224	5	4	0
CD8_225	5	4	5
CD8_226	5	4	5
CD8_227	5	4	0
CD8_228	5	4	0
CD8_229	5	4	0
CD8_230	5	4	0
CD8_231	5	4	0
CD8_232	5	4	0
CD8_233	5	4	0
CD8_234	5	4	0
CD8_235	5	4	0
CD8_236	5	4	0
CD8_237	0	4	0
CD8_238	5	4	0
CD8_239	5	4	0
CD8_240	5	4	0
CD8_241	5	4	0
CD8_242	5	4	5
CD8_243	5	5	0
CD8_244	5	4	1
CD8_245	5	4	0
CD8_246	5	4	0
CD8_247	5	4	0
CD8_248	5	5	5
CD8_249	5	4	0
CD8_250	5	4	0
CD8_251	5	4	0
CD8_252	5	4	0
CD8_253	5	5	0
CD8_254	5	4	0
CD8_255	0	5	0
CD8_256	5	5	0
CD8_257	5	4	5
CD8_258	5	4	5
CD8_259	5	4	1
CD8_260	5	4	0
CD8_261	5	4	0
CD8_262	5	4	0
CD8_263	5	4	5
CD8_264	5	4	0
CD8_265	0	5	5
CD8_266	5	4	0
CD8_267	5	4	5
CD8_268	5	4	0
CD8_269	5	4	0
CD8_270	5	4	0
CD8_271	5	4	5
CD8_272	5	4	0
CD8_273	5	4	5
CD8_274	5	4	0
CD8_275	5	4	5
CD8_276	5	4	0
CD8_277	5	4	0
CD8_278	5	4	0
CD8_279	5	4	0
CD8_280	5	4	0
CD8_281	5	4	5
CD8_282	5	4	0
CD8_283	5	4	0
CD8_284	5	4	0
CD8_285	5	4	0
CD8_286	5	4	0
CD8_287	5	4	0
CD8_288	4	4	1
CD8_289	5	4	0
CD8_290	5	4	0
CD8_291	5	4	0
CD8_292	5	4	0
CD8_293	5	4	5
CD8_294	0	4	5
CD8_295	5	4	0
CD8_296	5	4	0
CD8_297	5	4	0
CD8_298	5	4	0
CD8_299	5	4	0
CD8_300	5	4	0
CD8_301	5	4	0
CD8_302	0	5	5
CD8_303	5	4	0
CD8_304	5	4	0
CD8_305	5	4	0
CD8_306	5	4	0
CD8_307	5	4	0
CD8_308	5	4	0
CD8_309	5	4	0
CD8_310	5	4	0
CD8_311	5	4	0
CD8_312	5	4	5
CD8_313	5	4	5
CD8_314	5	4	1
CD8_315	0	5	0
CD8_316	5	4	1
CD8_317	5	4	0
CD8_318	5	4	0
CD8_319	5	4	0
CD8_320	5	4	0
CD8_321	5	4	0
CD8_322	5	4	0
CD8_323	5	4	0
CD8_324	5	5	5
CD8_325	5	4	0
CD8_326	0	5	0
CD8_327	5	5	0
CD8_328	5	4	0
CD8_329	5	4	0
CD8_330	5	4	5
CD8_331	5	4	0
CD8_332	0	5	5
CD8_333	5	4	0
CD8_334	0	4	0
CD8_335	5	4	5
CD8_336	5	4	0
CD8_337	5	4	0
CD8_338	5	4	0
CD8_339	5	4	0
CD8_340	5	4	0
CD8_341	5	4	0
CD8_342	5	4	5
CD8_343	5	4	0
CD8_344	5	4	0
CD8_345	5	4	0
CD8_346	5	4	0
CD8_347	5	4	0
CD8_348	5	4	0
CD8_349	5	4	0
CD8_350	5	4	0
CD8_351	5	4	5
CD8_352	5	4	0
CD8_353	0	4	0
CD8_354	5	4	0
CD8_355	0	5	5
CD8_356	5	4	0
CD8_357	5	4	0
CD8_358	5	4	5
CD8_359	5	4	0
CD8_360	5	4	0
CD8_361	5	4	0
CD8_362	5	4	0
CD8_363	5	5	0
CD8_364	5	4	0
CD8_365	5	4	0
CD8_366	5	4	0
CD8_367	5	4	0
CD8_368	5	4	0
CD8_369	5	4	5
CD8_370	5	4	0
CD8_371	5	4	0
CD8_372	5	4	0
CD8_373	5	4	0
CD8_374	5	4	0
CD8_375	5	4	0
CD8_376	5	4	1
CD8_377	5	4	0
CD8_378	5	4	0
CD8_379	5	4	0
CD8_380	5	4	0
CD8_381	5	4	0
CD8_382	5	5	0
CD8_383	5	4	0
CD8_384	5	4	0
CD8_385	5	4	0
CD8_386	5	4	0
CD8_387	5	4	0
CD8_388	5	4	0
CD8_389	5	4	0
CD8_390	5	4	0
CD8_391	5	4	0
CD8_392	5	4	0
CD8_393	5	4	0
CD8_394	0	4	5
CD8_395	5	4	0
CD8_396	5	4	0
CD8_397	5	4	0
CD8_398	5	4	1
CD8_399	5	4	0
CD8_400	5	4	5
CMP_401	1	3	4
CMP_402	1	3	4
CMP_403	1	3	4
CMP_404	1	3	4
CMP_405	1	3	4
CMP_406	1	3	4
CMP_407	1	3	4
CMP_408	1	3	4
CMP_409	1	3	4
CMP_410	1	3	4
CMP_411	1	3	4
CMP_412	1	3	4
CMP_413	1	3	4
CMP_414	1	3	4
CMP_415	1	3	4
CMP_416	1	3	4
CMP_417	1	3	4
CMP_418	1	3	4
CMP_419	1	3	4
CMP_420	1	3	4
CMP_421	1	3	4
CMP_422	1	3	4
CMP_423	1	3	4
CMP_424	1	3	4
CMP_425	1	3	4
CMP_426	1	3	4
CMP_427	1	3	4
CMP_428	1	3	4
CMP_429	1	3	4
CMP_430	1	3	4
CMP_431	1	3	4
CMP_432	1	3	4
CMP_433	1	3	4
CMP_434	1	3	4
CMP_435	1	3	4
CMP_436	1	3	4
CMP_437	1	3	4
CMP_438	1	3	4
CMP_439	1	3	4
CMP_440	1	3	4
CMP_441	1	3	4
CMP_442	1	3	4
CMP_443	1	3	4
CMP_444	1	3	4
CMP_445	1	3	4
CMP_446	1	3	4
CMP_447	1	3	4
CMP_448	1	3	4
CMP_449	1	3	4
CMP_450	1	3	4
CMP_451	1	3	4
CMP_452	1	3	4
CMP_453	1	3	4
CMP_454	1	3	4
CMP_455	1	3	4
CMP_456	1	3	4
CMP_457	1	3	4
CMP_458	1	3	4
CMP_459	1	3	4
CMP_460	1	3	4
CMP_461	1	3	4
CMP_462	1	3	4
CMP_463	1	3	4
CMP_464	1	3	4
CMP_465	1	3	4
CMP_466	1	3	4
CMP_467	1	3	4
CMP_468	1	3	4
CMP_469	1	3	4
CMP_470	1	3	4
CMP_471	1	3	4
CMP_472	1	3	4
CMP_473	1	3	4
CMP_474	1	3	4
CMP_475	1	3	4
CMP_476	1	3	4
CMP_477	1	3	4
CMP_478	1	3	4
CMP_479	1	3	4
CMP_480	1	3	4
CMP_481	1	3	4
CMP_482	1	3	4
CMP_483	1	3	4
CMP_484	1	3	4
CMP_485	1	3	4
CMP_486	1	3	4
CMP_487	1	3	4
CMP_488	1	3	4
CMP_489	1	3	4
CMP_490	1	3	4
CMP_491	1	3	4
CMP_492	1	3	4
CMP_493	1	3	4
CMP_494	1	3	4
CMP_495	1	3	4
CMP_496	1	3	4
CMP_497	1	3	4
CMP_498	1	3	4
CMP_499	1	3	4
CMP_500	1	3	4
CMP_501	1	3	4
CMP_502	1	3	4
CMP_503	1	3	4
CMP_504	1	3	4
CMP_505	1	3	4
CMP_506	1	3	4
CMP_507	1	3	4
CMP_508	1	3	4
CMP_509	1	3	4
CMP_510	1	3	4
CMP_511	1	3	4
CMP_512	1	3	4
CMP_513	1	3	4
CMP_514	1	3	4
CMP_515	1	3	4
CMP_516	1	3	4
CMP_517	1	3	4
CMP_518	1	3	4
CMP_519	1	3	4
CMP_520	1	3	4
CMP_521	1	3	4
CMP_522	1	3	4
CMP_523	1	3	4
CMP_524	1	3	4
CMP_525	1	3	4
CMP_526	1	3	4
CMP_527	1	3	4
CMP_528	1	3	4
CMP_529	1	3	4
CMP_530	1	3	4
CMP_531	1	3	4
CMP_532	1	3	4
CMP_533	1	3	4
CMP_534	1	3	4
CMP_535	1	3	4
CMP_536	1	3	4
CMP_537	1	3	4
CMP_538	1	3	4
CMP_539	1	3	4
CMP_540	1	3	4
CMP_541	1	3	4
CMP_542	1	3	4
CMP_543	1	3	4
CMP_544	1	3	4
CMP_545	1	3	4
CMP_546	1	3	4
CMP_547	1	3	4
CMP_548	1	3	4
CMP_549	1	3	4
CMP_550	1	3	4
CMP_551	1	3	4
CMP_552	1	3	4
CMP_553	1	3	4
CMP_554	1	3	4
CMP_555	1	3	4
CMP_556	1	3	4
CMP_557	1	3	4
CMP_558	1	3	4
CMP_559	1	3	4
CMP_560	1	3	4
CMP_561	1	3	4
CMP_562	1	3	4
CMP_563	1	3	4
CMP_564	1	3	4
CMP_565	1	3	4
CMP_566	1	3	4
CMP_567	1	3	4
CMP_568	1	3	4
CMP_569	1	3	4
CMP_570	1	3	4
CMP_571	1	3	4
CMP_572	1	3	4
CMP_573	1	3	4
CMP_574	1	3	4
CMP_575	1	3	4
CMP_576	1	3	4
CMP_577	1	3	4
CMP_578	1	3	4
CMP_579	1	3	4
CMP_580	1	3	4
CMP_581	1	3	4
CMP_582	1	3	4
CMP_583	1	3	4
CMP_584	1	3	4
CMP_585	1	3	4
CMP_586	1	3	4
CMP_587	1	3	4
CMP_588	1	3	4
CMP_589	1	3	4
CMP_590	1	3	4
CMP_591	1	3	4
CMP_592	1	3	4
CMP_593	1	3	4
CMP_594	1	3	4
CMP_595	1	3	4
CMP_596	1	3	4
CMP_597	1	3	4
CMP_598	1	3	4
CMP_599	1	3	4
CMP_600	1	3	4
Ery_601	2	1	3
Ery_602	2	1	3
Ery_603	2	1	3
Ery_604	2	1	3
Ery_605	2	1	3
Ery_606	2	1	3
Ery_607	2	1	3
Ery_608	2	1	3
Ery_609	2	1	3
Ery_610	2	1	3
Ery_611	2	1	3
Ery_612	2	1	3
Ery_613	2	1	3
Ery_614	2	1	3
Ery_615	2	1	3
Ery_616	2	1	3
Ery_617	2	1	3
Ery_618	2	1	3
Ery_619	2	1	3
Ery_620	2	1	3
Ery_621	2	1	3
Ery_622	2	1	3
Ery_623	2	1	3
Ery_624	2	1	3
Ery_625	2	1	3
Ery_626	2	1	3
Ery_627	2	1	3
Ery_628	2	1	3
Ery_629	2	1	3
Ery_630	2	1	3
Ery_631	2	1	3
Ery_632	2	1	3
Ery_633	2	1	3
Ery_634	2	1	3
Ery_635	2	1	3
Ery_636	2	1	3
Ery_637	2	1	3
Ery_638	2	1	3
Ery_639	2	1	3
Ery_640	2	1	3
Ery_641	2	1	3
Ery_642	2	1	3
Ery_643	2	1	3
Ery_644	2	1	3
Ery_645	2	1	3
Ery_646	2	1	3
Ery_647	2	1	3
Ery_648	2	1	3
Ery_649	2	1	3
Ery_650	2	1	3
Ery_651	2	1	3
Ery_652	2	1	3
Ery_653	2	1	3
Ery_654	2	1	3
Ery_655	2	1	3
Ery_656	2	1	3
Ery_657	2	1	3
Ery_658	2	1	3
Ery_659	2	1	3
Ery_660	2	1	3
Ery_661	2	1	3
Ery_662	2	1	3
Ery_663	2	1	3
Ery_664	2	1	3
Ery_665	2	1	3
Ery_666	2	1	3
Ery_667	2	1	3
Ery_668	2	1	3
Ery_669	2	1	3
Ery_670	2	1	3
Ery_671	2	1	3
Ery_672	2	1	3
Ery_673	2	1	3
Ery_674	2	1	3
Ery_675	2	1	3
Ery_676	2	1	3
Ery_677	2	1	3
Ery_678	2	1	3
Ery_679	2	1	3
Ery_680	2	1	3
Ery_681	2	1	3
Ery_682	2	1	3
Ery_683	2	1	3
Ery_684	2	1	3
Ery_685	2	1	3
Ery_686	2	1	3
Ery_687	2	1	3
Ery_688	2	1	3
Ery_689	2	1	3
Ery_690	2	1	3
Ery_691	2	1	3
Ery_692	2	1	3
Ery_693	2	1	3
Ery_694	2	1	3
Ery_695	2	1	3
Ery_696	2	1	3
Ery_697	2	1	3
Ery_698	2	1	3
Ery_699	2	1	3
Ery_700	2	1	3
Ery_701	2	1	3
Ery_702	2	1	3
Ery_703	2	1	3
Ery_704	2	1	3
Ery_705	2	1	3
Ery_706	2	1	3
Ery_707	2	1	3
Ery_708	2	1	3
Ery_709	2	1	3
Ery_710	2	1	3
Ery_711	2	1	3
Ery_712	2	1	3
Ery_713	2	1	3
Ery_714	2	1	3
Ery_715	2	1	3
Ery_716	2	1	3
Ery_717	2	1	3
Ery_718	2	1	3
Ery_719	2	1	3
Ery_720	2	1	3
Ery_721	2	1	3
Ery_722	2	1	3
Ery_723	2	1	3
Ery_724	2	1	3
Ery_725	2	1	3
Ery_726	2	1	3
Ery_727	2	1	3
Ery_728	2	1	3
Ery_729	2	1	3
Ery_730	2	1	3
Ery_731	2	1	3
Ery_732	2	1	3
Ery_733	2	1	3
Ery_734	2	1	3
Ery_735	2	1	3
Ery_736	2	1	3
Ery_737	2	1	3
Ery_738	2	1	3
Ery_739	2	1	3
Ery_740	2	1	3
Ery_741	2	1	3
Ery_742	2	1	3
Ery_743	2	1	3
Ery_744	2	1	3
Ery_745	2	1	3
Ery_746	2	1	3
Ery_747	2	1	3
Ery_748	2	1	3
Ery_749	2	1	3
Ery_750	2	1	3
Ery_751	2	1	3
Ery_752	2	1	3
Ery_753	2	1	3
Ery_754	2	1	3
Ery_755	2	1	3
Ery_756	2	1	3
Ery_757	2	1	3
Ery_758	2	1	3
Ery_759	2	1	3
Ery_760	2	1	3
Ery_761	2	1	3
Ery_762	2	1	3
Ery_763	2	1	3
Ery_764	2	1	3
Ery_765	2	1	3
Ery_766	2	1	3
Ery_767	2	1	3
Ery_768	2	1	3
Ery_769	2	1	3
Ery_770	2	1	3
Ery_771	2	1	3
Ery_772	2	1	3
Ery_773	2	1	3
Ery_774	2	1	3
Ery_775	2	1	3
Ery_776	2	1	3
Ery_777	2	1	3
Ery_778	2	1	3
Ery_779	2	1	3
Ery_780	2	1	3
Ery_781	2	1	3
Ery_782	2	1	3
Ery_783	2	1	3
Ery_784	2	1	3
Ery_785	2	1	3
Ery_786	2	1	3
Ery_787	2	1	3
Ery_788	2	1	3
Ery_789	2	1	3
Ery_790	2	1	3
Ery_791	2	1	3
Ery_792	2	1	3
Ery_793	2	1	3
Ery_794	2	1	3
Ery_795	2	1	3
Ery_796	2	1	3
Ery_797	2	1	3
Ery_798	2	1	3
Ery_799	2	1	3
Ery_800	2	1	3
HSC_801	3	2	2
HSC_802	3	2	2
HSC_803	3	2	2
HSC_804	3	2	2
HSC_805	3	2	2
HSC_806	3	2	2
HSC_807	3	2	2
HSC_808	3	2	2
HSC_809	3	2	2
HSC_810	3	2	2
HSC_811	3	2	2
HSC_812	3	2	2
HSC_813	3	2	2
HSC_814	3	2	2
HSC_815	3	2	2
HSC_816	3	2	2
HSC_817	3	2	2
HSC_818	3	2	2
HSC_819	3	2	2
HSC_820	3	2	2
HSC_821	3	2	2
HSC_822	3	2	2
HSC_823	3	2	2
HSC_824	3	2	2
HSC_825	3	2	2
HSC_826	3	2	2
HSC_827	3	2	2
HSC_828	3	2	2
HSC_829	3	2	2
HSC_830	3	2	2
HSC_831	3	2	2
HSC_832	3	2	2
HSC_833	3	2	2
HSC_834	3	2	2
HSC_835	3	2	2
HSC_836	3	2	2
HSC_837	3	2	2
HSC_838	3	2	2
HSC_839	3	2	2
HSC_840	3	2	2
HSC_841	3	2	2
HSC_842	3	2	2
HSC_843	3	2	2
HSC_844	3	2	2
HSC_845	3	2	2
HSC_846	3	2	2
HSC_847	3	2	2
HSC_848	3	2	2
HSC_849	3	2	2
HSC_850	3	2	2
HSC_851	3	2	2
HSC_852	3	2	2
HSC_853	3	2	2
HSC_854	3	2	2
HSC_855	3	2	2
HSC_856	3	2	2
HSC_857	3	2	2
HSC_858	3	2	2
HSC_859	3	2	2
HSC_860	3	2	2
HSC_861	3	2	2
HSC_862	3	2	2
HSC_863	3	2	2
HSC_864	3	2	2
HSC_865	3	2	2
HSC_866	3	2	2
HSC_867	3	2	2
HSC_868	3	2	2
HSC_869	3	2	2
HSC_870	3	2	2
HSC_871	3	2	2
HSC_872	3	2	2
HSC_873	3	2	2
HSC_874	3	2	2
HSC_875	3	2	2
HSC_876	3	2	2
HSC_877	3	2	2
HSC_878	3	2	2
HSC_879	3	2	2
HSC_880	3	2	2
HSC_881	3	2	2
HSC_882	3	2	2
HSC_883	3	2	2
HSC_884	3	2	2
HSC_885	3	2	2
HSC_886	3	2	2
HSC_887	3	2	2
HSC_888	3	2	2
HSC_889	3	2	2
HSC_890	3	2	2
HSC_891	3	2	2
HSC_892	3	2	2
HSC_893	3	2	2
HSC_894	3	2	2
HSC_895	3	2	2
HSC_896	3	2	2
HSC_897	3	2	2
HSC_898	3	2	2
HSC_899	3	2	2
HSC_900	3	2	2
HSC_901	3	2	2
HSC_902	3	2	2
HSC_903	3	2	2
HSC_904	3	2	2
HSC_905	3	2	2
HSC_906	3	2	2
HSC_907	3	2	2
HSC_908	3	2	2
HSC_909	3	2	2
HSC_910	3	2	2
HSC_911	3	2	2
HSC_912	3	2	2
HSC_913	3	2	2
HSC_914	3	2	2
HSC_915	3	2	2
HSC_916	3	2	2
HSC_917	3	2	2
HSC_918	3	2	2
HSC_919	3	2	2
HSC_920	3	2	2
HSC_921	3	2	2
HSC_922	3	2	2
HSC_923	3	2	2
HSC_924	3	2	2
HSC_925	3	2	2
HSC_926	3	2	2
HSC_927	3	2	2
HSC_928	3	2	2
HSC_929	3	2	2
HSC_930	3	2	2
HSC_931	3	2	2
HSC_932	3	2	2
HSC_933	3	2	2
HSC_934	3	2	2
HSC_935	3	2	2
HSC_936	3	2	2
HSC_937	3	2	2
HSC_938	3	2	2
HSC_939	3	2	2
HSC_940	3	2	2
HSC_941	3	2	2
HSC_942	3	2	2
HSC_943	3	2	2
HSC_944	3	2	2
HSC_945	3	2	2
HSC_946	3	2	2
HSC_947	3	2	2
HSC_948	3	2	2
HSC_949	3	2	2
HSC_950	3	2	2
HSC_951	3	2	2
HSC_952	3	2	2
HSC_953	3	2	2
HSC_954	3	2	2
HSC_955	3	2	2
HSC_956	3	2	2
HSC_957	3	2	2
HSC_958	3	2	2
HSC_959	3	2	2
HSC_960	3	2	2
HSC_961	3	2	2
HSC_962	3	2	2
HSC_963	3	2	2
HSC_964	3	2	2
HSC_965	3	2	2
HSC_966	3	2	2
HSC_967	3	2	2
HSC_968	3	2	2
HSC_969	3	2	2
HSC_970	3	2	2
HSC_971	3	2	2
