,ARI_Louvain,ARI_kmeans,ARI_HC,AMI_Louvain,AMI_kmeans,AMI_HC,Homogeneity_Louvain,Homogeneity_kmeans,Homogeneity_HC
BROCKMAN,0.9920318515387804,0.9167986166939557,0.990083680665711,0.9888705576283469,0.9190455858720566,0.9874717963375114,0.9889322557083913,0.9193441950147881,0.9875439899374622
Control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cusanovich2018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cisTopic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chromVAR_kmers,0.8527814018431986,0.9710049582297158,0.8475062146113049,0.8983488139522239,0.9702104759454434,0.87252585724029,0.8917834442282795,0.9703747146430491,0.8724011367105817
chromVAR_motifs,0.7320985104689718,0.5793611054211776,0.52302384657586,0.802428019725889,0.7074334132702832,0.6568616498819125,0.7976705206147123,0.7082207291626995,0.6552557808781746
chromVAR_kmers_pca,0.9634674194900988,0.9582733120732736,0.9053375510600669,0.9629772543770851,0.9622814625794271,0.9185678223229031,0.9630584420501282,0.9622827958707997,0.9180974035001217
chromVAR_motifs_pca,0.7507390638358927,0.5781388901227388,0.6834220174837828,0.8081680336926074,0.7076367734964858,0.7586030468668606,0.807284277722804,0.708121363783379,0.7552183405758377
GeneScoring,0.3674575742952123,0.4546911117544399,0.464148935282892,0.4642308843138059,0.594565207583322,0.5759673506448024,0.4080673545634141,0.5679825545028208,0.552297869080282
GeneScoring_pca,0.4334629206518448,0.576625408515877,0.495171955397059,0.5893478486195667,0.6995614951722834,0.6352453394049574,0.5659535142228475,0.6754739558455581,0.6068069348370826
Cicero,0.37238559671345733,0.6850559765225643,0.5737331742259264,0.46584080828595714,0.797581027275125,0.7135902073482213,0.42424224739438576,0.7483037466256923,0.6913751214723487
Cicero_pca,0.8406806372494241,0.6901372573185964,0.6703883963477614,0.8668953779702758,0.8025472386176634,0.7908266127958338,0.8671714329757154,0.7826211773930584,0.7708015098523804
SnapATAC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Scasat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scABC,0.9216933776732412,0.6618902881619064,0.9358086085223936,0.9295360674414448,0.8007879440316766,0.9368455534962936,0.929175359971511,0.7355815170504926,0.9371321188878107
SCRAT,0.7902141675997617,0.6996318498349599,0.7764058943246028,0.8485546904572225,0.7825859005036372,0.8329298244950101,0.8486414966599604,0.7837400522519858,0.8336143949723962
SCRAT_pca,0.783444463477937,0.6898393774773836,0.6634738552631392,0.8435390963743796,0.7765845141657248,0.7983591941722973,0.841783822193101,0.7777710972835932,0.77714410509023
