	louvain	kmeans	hc
CMP_1	8	11	2
CMP_2	8	11	2
CMP_3	8	11	2
CMP_4	8	11	2
CMP_5	8	11	2
CMP_6	8	11	2
CMP_7	8	11	2
CMP_8	8	11	2
CMP_9	8	11	2
CMP_10	8	11	2
CMP_11	8	11	2
CMP_12	8	11	2
CMP_13	8	11	2
CMP_14	8	11	2
CMP_15	8	11	2
CMP_16	11	2	10
CMP_17	8	2	2
CMP_18	8	2	2
CMP_19	8	11	2
CMP_20	8	11	2
CMP_21	8	11	2
CMP_22	8	11	2
CMP_23	8	11	2
CMP_24	8	11	2
CMP_25	8	11	2
CMP_26	8	11	2
CMP_27	4	4	2
CMP_28	8	11	2
CMP_29	8	2	2
CMP_30	8	11	2
CMP_31	8	11	2
CMP_32	8	11	2
CMP_33	8	11	2
CMP_34	8	11	2
CMP_35	8	11	2
CMP_36	8	4	2
CMP_37	8	2	2
CMP_38	8	11	2
CMP_39	8	11	2
CMP_40	8	11	2
CMP_41	0	2	10
CMP_42	8	11	2
CMP_43	8	11	2
CMP_44	8	11	2
CMP_45	8	11	2
CMP_46	8	11	2
CMP_47	8	11	2
CMP_48	8	11	2
CMP_49	8	11	2
CMP_50	8	11	2
CMP_51	8	11	2
CMP_52	8	11	2
CMP_53	8	11	2
CMP_54	8	11	2
CMP_55	8	11	2
CMP_56	8	11	2
CMP_57	8	11	2
CMP_58	8	11	2
CMP_59	8	11	2
CMP_60	8	11	2
CMP_61	8	11	2
CMP_62	8	11	2
CMP_63	8	11	2
CMP_64	8	11	2
CMP_65	8	11	2
CMP_66	8	11	2
CMP_67	4	4	11
CMP_68	8	11	2
CMP_69	8	11	2
CMP_70	8	11	2
CMP_71	8	11	2
CMP_72	8	11	2
CMP_73	4	4	6
CMP_74	8	11	2
CMP_75	8	11	2
CMP_76	8	11	2
CMP_77	8	11	2
CMP_78	8	11	2
CMP_79	8	11	2
CMP_80	8	4	11
CMP_81	8	11	2
CMP_82	8	11	2
CMP_83	8	4	2
CMP_84	8	11	2
CMP_85	8	11	2
CMP_86	8	11	2
CMP_87	4	4	6
CMP_88	8	11	2
CMP_89	8	11	2
CMP_90	8	11	2
CMP_91	8	11	2
CMP_92	8	11	2
CMP_93	8	11	2
CMP_94	8	11	2
CMP_95	8	11	2
CMP_96	8	11	2
CMP_97	4	4	11
CMP_98	8	11	2
CMP_99	8	11	2
CMP_100	8	11	2
HSC_101	0	5	3
HSC_102	0	5	3
HSC_103	11	2	10
HSC_104	0	5	3
HSC_105	0	5	3
HSC_106	0	5	3
HSC_107	0	2	10
HSC_108	0	2	10
HSC_109	0	5	3
HSC_110	0	5	3
HSC_111	0	2	10
HSC_112	11	2	10
HSC_113	0	2	10
HSC_114	0	5	3
HSC_115	0	5	3
HSC_116	0	5	3
HSC_117	0	5	3
HSC_118	0	5	3
HSC_119	0	5	3
HSC_120	0	2	10
HSC_121	0	5	3
HSC_122	11	2	10
HSC_123	0	5	3
HSC_124	0	2	10
HSC_125	0	2	10
HSC_126	0	5	3
HSC_127	11	2	10
