	louvain	kmeans	hc
CMP_1	3	3	10
CMP_2	3	3	10
CMP_3	3	3	10
CMP_4	3	3	10
CMP_5	3	3	10
CMP_6	3	3	10
CMP_7	3	3	10
CMP_8	3	3	10
CMP_9	3	3	10
CMP_10	3	3	10
CMP_11	3	3	10
CMP_12	3	3	10
CMP_13	3	3	10
CMP_14	3	3	10
CMP_15	3	3	10
CMP_16	3	3	10
CMP_17	3	3	10
CMP_18	3	3	10
CMP_19	3	3	10
CMP_20	3	3	10
CMP_21	3	3	10
CMP_22	3	3	10
CMP_23	3	3	10
CMP_24	3	3	10
CMP_25	3	3	10
CMP_26	3	3	10
CMP_27	3	3	10
CMP_28	3	3	10
CMP_29	3	3	10
CMP_30	3	3	10
CMP_31	3	3	10
CMP_32	3	3	10
CMP_33	3	3	10
CMP_34	3	3	10
CMP_35	3	3	10
CMP_36	3	3	10
CMP_37	3	3	10
CMP_38	3	3	10
CMP_39	3	3	10
CMP_40	3	3	10
CMP_41	3	3	10
CMP_42	3	3	10
CMP_43	3	3	10
CMP_44	3	3	10
CMP_45	3	3	10
CMP_46	3	3	10
CMP_47	3	3	10
CMP_48	3	3	10
CMP_49	3	3	10
CMP_50	3	3	10
CMP_51	3	3	10
CMP_52	3	3	10
CMP_53	3	3	10
CMP_54	3	3	10
CMP_55	3	3	10
CMP_56	3	3	10
CMP_57	3	3	10
CMP_58	3	3	10
CMP_59	3	3	10
CMP_60	3	3	10
CMP_61	3	3	10
CMP_62	3	3	10
CMP_63	3	3	10
CMP_64	3	3	10
CMP_65	3	3	10
CMP_66	3	3	10
CMP_67	3	3	10
CMP_68	3	3	10
CMP_69	3	3	10
CMP_70	3	3	10
CMP_71	3	3	10
CMP_72	3	3	10
CMP_73	3	3	10
CMP_74	3	3	10
CMP_75	3	3	10
CMP_76	3	3	10
CMP_77	3	3	10
CMP_78	3	3	10
CMP_79	3	3	10
CMP_80	3	3	10
CMP_81	3	3	10
CMP_82	3	3	10
CMP_83	3	3	10
CMP_84	3	3	10
CMP_85	3	3	10
CMP_86	3	3	10
CMP_87	3	3	10
CMP_88	3	3	10
