	louvain	kmeans	hc
CMP_1	4	3	6
CMP_2	4	3	6
CMP_3	4	3	6
CMP_4	4	3	6
CMP_5	4	3	6
CMP_6	4	3	6
CMP_7	4	3	6
CMP_8	4	3	6
CMP_9	4	3	6
CMP_10	4	3	10
CMP_11	4	3	6
CMP_12	4	3	6
CMP_13	4	3	6
CMP_14	4	3	6
CMP_15	4	3	6
CMP_16	4	3	6
CMP_17	4	3	6
CMP_18	4	3	6
CMP_19	4	3	6
CMP_20	4	3	6
CMP_21	4	3	6
CMP_22	4	3	6
CMP_23	4	3	6
CMP_24	4	3	3
CMP_25	4	3	6
CMP_26	4	3	6
CMP_27	4	3	3
CMP_28	4	3	6
CMP_29	4	3	3
CMP_30	4	3	6
CMP_31	4	3	11
CMP_32	4	3	6
CMP_33	4	3	6
CMP_34	4	3	6
CMP_35	4	3	6
CMP_36	4	3	6
CMP_37	4	3	6
CMP_38	0	3	3
CMP_39	4	3	6
CMP_40	4	3	3
CMP_41	4	3	6
CMP_42	4	3	6
CMP_43	4	3	6
CMP_44	4	3	6
CMP_45	4	3	6
CMP_46	4	3	6
CMP_47	4	3	3
CMP_48	4	3	6
CMP_49	4	3	6
CMP_50	4	3	0
CMP_51	4	3	6
CMP_52	4	3	6
CMP_53	4	3	6
CMP_54	4	3	6
CMP_55	4	3	6
CMP_56	4	3	6
CMP_57	4	3	6
CMP_58	4	3	6
CMP_59	4	3	6
CMP_60	4	3	6
CMP_61	4	3	6
CMP_62	5	7	0
CMP_63	4	3	6
CMP_64	4	3	6
CMP_65	4	3	6
CMP_66	4	3	6
CMP_67	4	3	6
CMP_68	4	3	6
CMP_69	4	3	6
CMP_70	4	3	6
CMP_71	4	3	3
CMP_72	4	3	6
CMP_73	4	1	6
CMP_74	4	3	6
CMP_75	4	3	3
CMP_76	4	3	6
CMP_77	4	3	6
CMP_78	4	3	6
CMP_79	4	3	6
CMP_80	4	3	6
CMP_81	4	3	6
CMP_82	4	3	6
CMP_83	4	3	6
CMP_84	4	3	6
CMP_85	4	3	3
CMP_86	4	3	3
CMP_87	4	3	6
CMP_88	4	3	6
CMP_89	4	3	6
CMP_90	4	3	0
CMP_91	4	3	6
CMP_92	4	3	6
CMP_93	4	3	6
CMP_94	4	3	6
CMP_95	4	3	6
CMP_96	4	3	6
CMP_97	4	3	6
CMP_98	4	3	6
CMP_99	4	3	6
CMP_100	4	3	6
HSC_101	0	8	3
HSC_102	0	5	3
HSC_103	0	8	3
HSC_104	0	8	3
HSC_105	0	8	3
HSC_106	0	8	3
HSC_107	0	5	3
HSC_108	0	8	3
HSC_109	0	8	3
HSC_110	0	8	11
HSC_111	0	5	3
HSC_112	0	8	11
HSC_113	0	8	11
HSC_114	0	5	3
HSC_115	0	8	3
HSC_116	0	8	3
HSC_117	0	5	3
HSC_118	0	5	3
HSC_119	0	5	3
HSC_120	0	8	3
HSC_121	0	5	3
HSC_122	0	8	11
HSC_123	0	8	3
HSC_124	0	8	3
HSC_125	0	8	3
HSC_126	0	8	3
HSC_127	0	8	3
HSC_128	0	5	3
HSC_129	0	5	3
HSC_130	0	8	3
HSC_131	0	5	3
HSC_132	0	8	3
HSC_133	0	5	3
HSC_134	0	8	3
HSC_135	0	5	3
HSC_136	0	8	11
HSC_137	0	5	3
HSC_138	0	5	3
HSC_139	0	5	3
HSC_140	0	5	3
HSC_141	0	8	3
HSC_142	0	8	11
HSC_143	0	5	3
HSC_144	0	8	3
HSC_145	0	5	3
HSC_146	0	8	3
