	louvain	kmeans	hc
CD4_1	3	1	5
CD4_2	3	1	0
CD4_3	4	3	0
CD4_4	3	1	0
CD4_5	4	3	0
CD4_6	4	1	0
CD4_7	4	3	0
CD4_8	3	1	5
CD4_9	4	3	0
CD4_10	4	3	0
CD4_11	3	1	0
CD4_12	4	3	0
CD4_13	4	1	0
CD4_14	3	1	5
CD4_15	3	1	0
CD4_16	4	3	0
CD4_17	4	3	0
CD4_18	3	1	5
CD4_19	4	1	0
CD4_20	4	1	0
CD4_21	4	3	0
CD4_22	4	3	0
CD4_23	3	1	5
CD4_24	4	3	0
CD4_25	4	3	0
CD4_26	4	3	0
CD4_27	3	1	0
CD4_28	4	3	0
CD4_29	4	3	0
CD4_30	4	3	0
CD4_31	4	3	0
CD4_32	3	1	0
CD4_33	4	1	0
CD4_34	4	3	0
CD4_35	3	1	5
CD4_36	3	1	0
CD4_37	3	1	5
CD4_38	3	1	0
CD4_39	3	3	0
CD4_40	4	3	0
CD4_41	4	3	0
CD4_42	3	1	5
CD4_43	4	3	0
CD4_44	4	3	0
CD4_45	4	3	0
CD4_46	3	1	0
CD4_47	1	1	5
CD4_48	1	5	5
CD4_49	4	3	0
CD4_50	4	3	0
CD4_51	3	1	0
CD4_52	3	3	0
CD4_53	4	1	0
CD4_54	3	1	0
CD4_55	4	3	0
CD4_56	4	3	0
CD4_57	4	3	0
CD4_58	3	1	0
CD4_59	4	3	0
CD4_60	4	3	0
CD4_61	3	1	5
CD4_62	1	5	5
CD4_63	4	3	0
CD4_64	3	1	0
CD4_65	3	3	0
CD4_66	4	3	0
CD4_67	3	3	5
CD4_68	4	1	5
CD4_69	3	3	0
CD4_70	4	3	0
CD4_71	3	1	0
CD4_72	4	3	0
CD4_73	4	3	0
CD4_74	3	1	5
CD4_75	4	3	0
CD4_76	4	3	0
CD4_77	4	3	0
CD4_78	3	1	5
CD4_79	3	1	5
CD4_80	4	3	0
CD4_81	4	3	0
CD4_82	4	3	0
CD4_83	4	3	0
CD4_84	4	3	0
CD4_85	4	3	0
CD4_86	3	1	5
CD4_87	4	3	0
CD4_88	4	3	0
CD4_89	3	1	0
CD4_90	3	1	5
CD4_91	4	3	0
CD4_92	3	1	0
CD4_93	4	3	0
CD4_94	1	1	5
CD4_95	3	3	0
CD4_96	3	1	5
CD4_97	4	3	0
CD4_98	1	5	5
CD4_99	3	1	0
CD4_100	3	1	0
CD4_101	4	3	0
CD4_102	4	3	0
CD4_103	1	1	5
CD4_104	4	1	0
CD4_105	4	3	0
CD4_106	4	3	0
CD4_107	3	1	5
CD4_108	4	3	0
CD4_109	4	3	0
CD4_110	4	3	0
CD4_111	4	3	0
CD4_112	4	1	0
CD4_113	1	1	5
CD4_114	3	1	5
CD4_115	1	5	5
CD4_116	4	3	0
CD4_117	4	3	0
CD4_118	4	3	0
CD4_119	3	3	0
CD4_120	4	3	0
CD4_121	4	3	0
CD4_122	3	1	0
CD4_123	3	1	0
CD4_124	3	1	0
CD4_125	3	1	5
CD4_126	4	1	0
CD4_127	3	1	0
CD4_128	4	3	0
CD4_129	4	3	0
CD4_130	4	3	0
CD4_131	4	3	0
CD4_132	3	1	0
CD4_133	4	3	0
CD4_134	1	5	1
CD4_135	3	1	5
CD4_136	4	3	0
CD4_137	4	3	0
CD4_138	4	3	0
CD4_139	4	3	0
CD4_140	4	3	0
CD4_141	3	1	0
CD4_142	4	3	0
CD4_143	3	3	0
CD4_144	1	1	5
CD4_145	3	1	5
CD4_146	4	3	0
CD4_147	4	3	0
CD4_148	3	1	5
CD4_149	4	3	0
CD4_150	4	3	0
CD4_151	3	1	0
CD4_152	3	3	0
CD4_153	3	3	0
CD4_154	4	3	0
CD4_155	4	3	0
CD4_156	4	3	0
CD4_157	4	3	0
CD4_158	3	1	0
CD4_159	4	3	0
CD4_160	3	1	0
CD4_161	3	3	0
CD4_162	3	1	5
CD4_163	3	3	0
CD4_164	1	1	5
CD4_165	3	1	5
CD4_166	4	3	0
CD4_167	4	3	0
CD4_168	4	3	0
CD4_169	4	3	0
CD4_170	4	3	0
CD4_171	4	3	0
CD4_172	3	1	5
CD4_173	4	3	0
CD4_174	4	3	0
CD4_175	3	1	0
CD4_176	4	3	0
CD4_177	4	3	0
CD4_178	4	3	0
CD4_179	3	1	0
CD4_180	4	3	0
CD4_181	3	1	5
CD4_182	4	3	0
CD4_183	3	3	0
CD4_184	4	3	0
CD4_185	4	3	0
CD4_186	4	3	0
CD4_187	4	3	0
CD4_188	4	3	0
CD4_189	1	5	5
CD4_190	3	1	5
CD4_191	4	3	0
CD4_192	1	1	5
CD4_193	4	3	0
CD4_194	4	3	0
CD4_195	1	1	5
CD4_196	4	3	0
CD4_197	3	1	0
CD4_198	4	3	0
CD4_199	4	3	0
CD4_200	4	3	0
CD8_201	4	3	0
CD8_202	3	1	5
CD8_203	3	1	0
CD8_204	3	1	0
CD8_205	3	1	0
CD8_206	1	5	5
CD8_207	3	1	0
CD8_208	3	1	0
CD8_209	1	5	5
CD8_210	3	1	5
CD8_211	3	1	0
CD8_212	4	1	0
CD8_213	3	1	5
CD8_214	1	5	1
CD8_215	1	1	5
CD8_216	3	3	0
CD8_217	3	1	5
CD8_218	3	1	0
CD8_219	4	1	0
CD8_220	3	1	5
CD8_221	3	1	5
CD8_222	3	1	0
CD8_223	3	1	5
CD8_224	4	3	0
CD8_225	1	5	1
CD8_226	3	1	0
CD8_227	3	1	0
CD8_228	1	5	5
CD8_229	3	1	5
CD8_230	3	1	0
CD8_231	1	5	5
CD8_232	3	1	0
CD8_233	3	1	0
CD8_234	3	1	0
CD8_235	3	1	0
CD8_236	4	3	0
CD8_237	3	1	0
CD8_238	4	3	0
CD8_239	3	1	5
CD8_240	3	1	0
CD8_241	3	1	0
CD8_242	3	1	0
CD8_243	3	1	5
CD8_244	4	3	0
CD8_245	3	1	0
CD8_246	3	1	5
CD8_247	3	1	0
CD8_248	1	1	5
CD8_249	1	5	1
CD8_250	4	1	0
CD8_251	4	3	0
CD8_252	3	1	0
CD8_253	1	1	5
CD8_254	4	3	0
CD8_255	1	5	5
CD8_256	3	1	5
CD8_257	3	1	5
CD8_258	3	1	0
CD8_259	3	1	0
CD8_260	3	1	0
CD8_261	1	5	5
CD8_262	3	1	0
CD8_263	1	5	5
CD8_264	4	3	0
CD8_265	3	1	5
CD8_266	4	1	0
CD8_267	1	5	5
CD8_268	3	1	0
CD8_269	3	1	0
CD8_270	3	1	0
CD8_271	3	1	5
CD8_272	3	1	0
CD8_273	3	1	5
CD8_274	4	3	0
CD8_275	3	1	0
CD8_276	3	1	5
CD8_277	1	5	5
CD8_278	1	5	5
CD8_279	3	1	0
CD8_280	3	1	5
CD8_281	3	1	0
CD8_282	4	3	0
CD8_283	3	1	5
CD8_284	1	5	1
CD8_285	4	3	0
CD8_286	4	3	0
CD8_287	3	1	0
CD8_288	4	3	0
CD8_289	3	1	5
CD8_290	3	1	0
CD8_291	1	5	1
CD8_292	3	1	0
CD8_293	3	1	0
CD8_294	3	1	0
CD8_295	1	1	5
CD8_296	3	1	0
CD8_297	1	5	5
CD8_298	4	3	0
CD8_299	3	1	0
CD8_300	3	1	0
CD8_301	1	1	5
CD8_302	3	1	5
CD8_303	4	3	0
CD8_304	4	3	0
CD8_305	3	1	1
CD8_306	3	1	0
CD8_307	3	1	0
CD8_308	1	5	5
CD8_309	4	3	0
CD8_310	3	1	0
CD8_311	1	5	5
CD8_312	3	1	0
CD8_313	1	5	1
CD8_314	4	3	0
CD8_315	3	1	0
CD8_316	1	5	5
CD8_317	3	1	5
CD8_318	1	1	5
CD8_319	4	3	0
CD8_320	3	3	0
CD8_321	3	1	0
CD8_322	4	3	0
CD8_323	4	3	0
CD8_324	4	3	0
CD8_325	1	5	1
CD8_326	3	1	0
CD8_327	4	3	0
CD8_328	1	1	1
CD8_329	3	1	0
CD8_330	1	1	1
CD8_331	3	1	0
CD8_332	3	1	0
CD8_333	4	3	0
CD8_334	4	3	0
CD8_335	3	1	0
CD8_336	3	1	0
CD8_337	3	1	0
CD8_338	3	1	0
CD8_339	3	1	0
CD8_340	3	1	0
CD8_341	1	5	5
CD8_342	3	1	0
CD8_343	4	1	0
CD8_344	3	1	0
CD8_345	4	1	0
CD8_346	3	1	0
CD8_347	1	1	1
CD8_348	3	1	0
CD8_349	3	1	0
CD8_350	3	1	0
CD8_351	1	5	1
CD8_352	4	3	0
CD8_353	4	3	0
CD8_354	3	1	0
CD8_355	3	1	5
CD8_356	3	1	1
CD8_357	3	1	0
CD8_358	1	5	5
CD8_359	3	1	0
CD8_360	1	5	1
CD8_361	3	1	5
CD8_362	3	1	5
CD8_363	1	5	1
CD8_364	4	3	0
CD8_365	3	1	0
CD8_366	3	1	1
CD8_367	1	5	1
CD8_368	3	1	0
CD8_369	3	1	0
CD8_370	1	1	0
CD8_371	3	1	0
CD8_372	1	1	1
CD8_373	3	1	0
CD8_374	4	3	0
CD8_375	3	1	0
CD8_376	4	3	0
CD8_377	1	5	1
CD8_378	3	1	5
CD8_379	1	5	5
CD8_380	1	1	0
CD8_381	4	3	0
CD8_382	1	5	5
CD8_383	4	3	0
CD8_384	3	1	0
CD8_385	3	1	0
CD8_386	3	1	5
CD8_387	4	3	0
CD8_388	3	1	0
CD8_389	1	1	1
CD8_390	3	1	0
CD8_391	1	5	1
CD8_392	4	3	0
CD8_393	3	1	0
CD8_394	4	1	0
CD8_395	3	1	0
CD8_396	1	1	5
CD8_397	4	3	0
CD8_398	3	1	0
CD8_399	3	1	5
CD8_400	1	5	1
CMP_401	0	0	4
CMP_402	5	0	3
CMP_403	0	0	4
CMP_404	0	0	4
CMP_405	5	4	3
CMP_406	0	0	4
CMP_407	0	0	4
CMP_408	0	0	4
CMP_409	0	0	4
CMP_410	0	0	4
CMP_411	0	0	4
CMP_412	5	4	3
CMP_413	0	0	4
CMP_414	0	0	4
CMP_415	5	4	3
CMP_416	0	0	4
CMP_417	0	0	3
CMP_418	0	0	3
CMP_419	0	0	4
CMP_420	5	4	3
CMP_421	5	4	3
CMP_422	0	0	4
CMP_423	0	0	4
CMP_424	0	0	4
CMP_425	0	0	4
CMP_426	0	0	3
CMP_427	0	0	4
CMP_428	5	0	3
CMP_429	0	0	4
CMP_430	0	0	4
CMP_431	0	0	4
CMP_432	0	4	4
CMP_433	5	0	4
CMP_434	5	4	3
CMP_435	0	0	4
CMP_436	0	0	4
CMP_437	5	4	3
CMP_438	5	4	3
CMP_439	5	4	3
CMP_440	5	4	3
CMP_441	0	0	4
CMP_442	0	0	4
CMP_443	0	0	4
CMP_444	5	4	3
CMP_445	5	4	3
CMP_446	0	0	4
CMP_447	0	0	4
CMP_448	0	0	4
CMP_449	5	4	4
CMP_450	0	0	4
CMP_451	0	0	4
CMP_452	0	0	3
CMP_453	0	0	4
CMP_454	5	4	3
CMP_455	0	0	4
CMP_456	0	4	3
CMP_457	5	4	3
CMP_458	5	4	3
CMP_459	0	0	4
CMP_460	0	0	4
CMP_461	5	4	3
CMP_462	5	0	4
CMP_463	5	4	3
CMP_464	0	0	4
CMP_465	0	0	4
CMP_466	0	0	4
CMP_467	0	0	4
CMP_468	0	0	4
CMP_469	0	0	4
CMP_470	0	0	4
CMP_471	0	0	4
CMP_472	0	0	4
CMP_473	5	4	3
CMP_474	0	0	4
CMP_475	0	0	4
CMP_476	0	0	4
CMP_477	5	4	3
CMP_478	5	4	3
CMP_479	0	0	3
CMP_480	0	0	4
CMP_481	0	0	4
CMP_482	5	4	3
CMP_483	0	0	3
CMP_484	5	4	3
CMP_485	5	4	3
CMP_486	0	0	4
CMP_487	0	0	4
CMP_488	5	4	3
CMP_489	0	0	4
CMP_490	5	4	3
CMP_491	5	4	3
CMP_492	0	0	4
CMP_493	5	4	3
CMP_494	5	4	3
CMP_495	0	0	4
CMP_496	0	0	3
CMP_497	5	4	3
CMP_498	5	4	3
CMP_499	0	0	4
CMP_500	0	0	4
CMP_501	5	4	3
CMP_502	0	0	4
CMP_503	5	4	3
CMP_504	5	4	3
CMP_505	5	4	3
CMP_506	0	0	4
CMP_507	0	0	4
CMP_508	0	0	4
CMP_509	5	4	3
CMP_510	5	4	3
CMP_511	0	0	4
CMP_512	5	4	3
CMP_513	5	4	3
CMP_514	0	0	4
CMP_515	0	0	4
CMP_516	5	0	3
CMP_517	0	0	4
CMP_518	0	0	4
CMP_519	0	0	4
CMP_520	0	0	4
CMP_521	0	0	4
CMP_522	0	0	4
CMP_523	5	4	3
CMP_524	0	0	4
CMP_525	0	0	4
CMP_526	0	0	4
CMP_527	0	0	4
CMP_528	0	0	4
CMP_529	5	4	3
CMP_530	0	0	4
CMP_531	0	0	4
CMP_532	5	4	3
CMP_533	5	4	3
CMP_534	5	0	4
CMP_535	5	4	3
CMP_536	5	4	3
CMP_537	5	4	3
CMP_538	5	4	3
CMP_539	0	0	4
CMP_540	0	0	4
CMP_541	0	0	4
CMP_542	0	0	4
CMP_543	5	4	3
CMP_544	5	4	3
CMP_545	0	0	4
CMP_546	5	4	3
CMP_547	0	0	4
CMP_548	0	0	4
CMP_549	5	4	3
CMP_550	0	0	4
CMP_551	0	0	3
CMP_552	0	0	4
CMP_553	0	0	4
CMP_554	5	0	4
CMP_555	5	4	3
CMP_556	5	4	3
CMP_557	0	0	4
CMP_558	0	0	4
CMP_559	0	0	4
CMP_560	0	0	4
CMP_561	0	0	4
CMP_562	0	0	3
CMP_563	5	4	3
CMP_564	0	0	4
CMP_565	0	0	4
CMP_566	0	0	4
CMP_567	0	0	4
CMP_568	5	4	3
CMP_569	0	0	4
CMP_570	0	0	4
CMP_571	5	4	3
CMP_572	5	4	3
CMP_573	0	0	4
CMP_574	0	0	4
CMP_575	0	0	4
CMP_576	5	4	3
CMP_577	0	0	4
CMP_578	0	0	4
CMP_579	5	4	3
CMP_580	5	4	3
CMP_581	5	4	3
CMP_582	0	0	4
CMP_583	5	4	3
CMP_584	0	0	4
CMP_585	0	0	4
CMP_586	0	0	4
CMP_587	5	4	3
CMP_588	0	0	4
CMP_589	0	0	4
CMP_590	0	0	4
CMP_591	0	0	4
CMP_592	0	0	4
CMP_593	0	0	3
CMP_594	0	0	4
CMP_595	5	4	3
CMP_596	0	0	4
CMP_597	5	4	3
CMP_598	5	4	3
CMP_599	0	0	4
CMP_600	0	0	4
Ery_601	2	2	2
Ery_602	2	2	2
Ery_603	2	2	2
Ery_604	2	2	2
Ery_605	2	2	2
Ery_606	2	2	2
Ery_607	2	2	2
Ery_608	2	2	2
Ery_609	2	2	2
Ery_610	2	2	2
Ery_611	2	2	2
Ery_612	2	2	2
Ery_613	2	2	2
Ery_614	2	2	2
Ery_615	2	2	2
Ery_616	2	2	2
Ery_617	2	2	2
Ery_618	2	2	2
Ery_619	2	2	2
Ery_620	2	2	2
Ery_621	2	2	2
Ery_622	2	2	2
Ery_623	2	2	2
Ery_624	2	2	2
Ery_625	2	2	2
Ery_626	2	2	2
Ery_627	2	2	2
Ery_628	2	2	2
Ery_629	2	2	2
Ery_630	2	2	2
Ery_631	2	2	2
Ery_632	2	2	2
Ery_633	2	2	2
Ery_634	2	2	2
Ery_635	2	2	2
Ery_636	2	2	2
Ery_637	2	2	2
Ery_638	2	2	2
Ery_639	2	2	2
Ery_640	2	2	2
Ery_641	2	2	2
Ery_642	2	2	2
Ery_643	2	2	2
Ery_644	2	2	2
Ery_645	2	2	2
Ery_646	2	2	2
Ery_647	2	2	2
Ery_648	2	2	2
Ery_649	2	2	2
Ery_650	2	2	2
Ery_651	2	2	2
Ery_652	2	2	2
Ery_653	2	2	2
Ery_654	2	2	2
Ery_655	2	2	2
Ery_656	2	2	2
Ery_657	2	2	2
Ery_658	2	2	2
Ery_659	2	2	2
Ery_660	2	2	2
Ery_661	2	2	2
Ery_662	2	2	2
Ery_663	2	2	2
Ery_664	2	2	2
Ery_665	2	2	2
Ery_666	2	2	2
Ery_667	2	2	2
Ery_668	2	2	2
Ery_669	2	2	2
Ery_670	2	2	2
Ery_671	2	2	2
Ery_672	2	2	2
Ery_673	2	2	2
Ery_674	2	2	2
Ery_675	2	2	2
Ery_676	2	2	2
Ery_677	2	2	2
Ery_678	2	2	2
Ery_679	2	2	2
Ery_680	2	2	2
Ery_681	2	2	2
Ery_682	2	2	2
Ery_683	2	2	2
Ery_684	2	2	2
Ery_685	2	2	2
Ery_686	2	2	2
Ery_687	2	2	2
Ery_688	2	2	2
Ery_689	2	2	2
Ery_690	2	2	2
Ery_691	2	2	2
Ery_692	2	2	2
Ery_693	2	2	2
Ery_694	2	2	2
Ery_695	2	2	2
Ery_696	2	2	2
Ery_697	2	2	2
Ery_698	2	2	2
Ery_699	2	2	2
Ery_700	2	2	2
Ery_701	2	2	2
Ery_702	2	2	2
Ery_703	2	2	2
Ery_704	2	2	2
Ery_705	2	2	2
Ery_706	2	2	2
Ery_707	2	2	2
Ery_708	2	2	2
Ery_709	2	2	2
Ery_710	2	2	2
Ery_711	2	2	2
Ery_712	2	2	2
Ery_713	2	2	2
Ery_714	2	2	2
Ery_715	2	2	2
Ery_716	2	2	2
Ery_717	2	2	2
Ery_718	2	2	2
Ery_719	2	2	2
Ery_720	2	2	2
Ery_721	2	2	2
Ery_722	2	2	2
Ery_723	2	2	2
Ery_724	2	2	2
Ery_725	2	2	2
Ery_726	2	2	2
Ery_727	2	2	2
Ery_728	2	2	2
Ery_729	2	2	2
Ery_730	2	2	2
Ery_731	2	2	2
Ery_732	2	2	2
Ery_733	2	2	2
Ery_734	2	2	2
Ery_735	2	2	2
Ery_736	2	2	2
Ery_737	2	2	2
Ery_738	2	2	2
Ery_739	2	2	2
Ery_740	2	2	2
Ery_741	2	2	2
Ery_742	2	2	2
Ery_743	2	2	2
Ery_744	2	2	2
Ery_745	2	2	2
Ery_746	2	2	2
Ery_747	2	2	2
Ery_748	2	2	2
