	louvain	kmeans	hc
CD4_1	0	5	5
CD4_2	0	5	5
CD4_3	3	5	5
CD4_4	0	5	5
CD4_5	0	5	5
CD4_6	0	5	5
CD4_7	3	5	5
CD4_8	0	5	5
CD4_9	1	5	5
CD4_10	4	5	5
CD4_11	3	4	5
CD4_12	0	5	5
CD4_13	0	5	5
CD4_14	2	5	5
CD4_15	1	5	5
CD4_16	0	5	5
CD4_17	1	5	2
CD4_18	4	5	5
CD4_19	0	5	5
CD4_20	0	5	5
CD4_21	0	5	5
CD4_22	3	5	5
CD4_23	0	5	5
CD4_24	1	5	5
CD4_25	0	5	5
CD4_26	2	5	5
CD4_27	2	5	5
CD4_28	4	5	5
CD4_29	3	5	5
CD4_30	2	5	5
CD4_31	4	5	5
CD4_32	0	5	0
CD4_33	0	5	5
CD4_34	0	5	5
CD4_35	4	5	5
CD4_36	0	5	5
CD4_37	4	5	5
CD4_38	4	4	5
CD4_39	0	5	5
CD4_40	0	5	5
CD4_41	0	5	5
CD4_42	0	5	5
CD4_43	0	5	5
CD4_44	3	5	5
CD4_45	0	5	5
CD4_46	0	5	5
CD4_47	2	5	5
CD4_48	0	5	5
CD4_49	0	4	5
CD4_50	0	5	5
CD4_51	5	5	5
CD4_52	1	5	5
CD4_53	2	5	5
CD4_54	4	5	5
CD4_55	0	4	5
CD4_56	0	5	5
CD4_57	2	5	5
CD4_58	1	5	5
CD4_59	3	5	5
CD4_60	0	5	5
CD4_61	0	5	5
CD4_62	4	5	5
CD4_63	0	5	5
CD4_64	0	5	5
CD4_65	0	5	5
CD4_66	4	5	5
CD4_67	0	5	5
CD4_68	0	5	5
CD4_69	0	5	5
CD4_70	0	4	5
CD4_71	5	5	5
CD4_72	0	5	5
CD4_73	0	5	5
CD4_74	1	5	5
CD4_75	2	5	5
CD4_76	0	5	5
CD4_77	4	5	5
CD4_78	5	5	5
CD4_79	4	5	5
CD4_80	2	5	5
CD4_81	1	5	5
CD4_82	0	5	5
CD4_83	0	4	5
CD4_84	2	5	5
CD4_85	2	5	5
CD4_86	0	5	5
CD4_87	0	4	5
CD4_88	0	5	5
CD4_89	3	5	5
CD4_90	4	5	5
CD4_91	1	5	5
CD4_92	0	5	5
CD4_93	4	5	5
CD4_94	4	5	5
CD4_95	3	5	5
CD4_96	1	5	5
CD4_97	2	5	5
CD4_98	0	5	5
CD4_99	1	5	5
CD4_100	0	5	5
CD4_101	0	5	5
CD4_102	0	5	5
CD4_103	0	5	5
CD4_104	0	5	5
CD4_105	0	5	5
CD4_106	0	5	5
CD4_107	0	5	5
CD4_108	0	5	5
CD4_109	4	5	5
CD4_110	1	5	5
CD4_111	0	5	5
CD4_112	2	5	5
CD4_113	0	5	5
CD4_114	2	5	5
CD4_115	2	5	5
CD4_116	0	5	5
CD4_117	0	5	5
CD4_118	0	5	5
CD4_119	0	5	5
CD4_120	0	5	5
CD4_121	1	5	5
CD4_122	0	4	5
CD4_123	0	5	5
CD4_124	0	5	5
CD4_125	0	5	5
CD4_126	0	5	5
CD4_127	0	5	5
CD4_128	0	5	5
CD4_129	0	5	5
CD4_130	3	5	5
CD4_131	4	5	5
CD4_132	0	5	5
CD4_133	1	5	5
CD4_134	2	5	5
CD4_135	0	5	5
CD4_136	0	5	5
CD4_137	5	5	5
CD4_138	4	5	5
CD4_139	2	5	5
CD4_140	0	5	5
CD4_141	1	5	5
CD4_142	0	5	5
CD4_143	0	4	5
CD4_144	3	5	5
CD4_145	0	5	5
CD4_146	4	5	5
CD4_147	1	5	5
CD4_148	0	5	5
CD4_149	4	5	5
CD4_150	0	5	5
CD4_151	0	5	5
CD4_152	5	5	5
CD4_153	1	5	5
CD4_154	1	5	5
CD4_155	0	5	5
CD4_156	2	5	5
CD4_157	1	5	5
CD4_158	1	5	5
CD4_159	1	5	5
CD4_160	3	5	5
CD4_161	0	5	5
CD4_162	1	1	5
CD4_163	0	5	5
CD4_164	0	5	5
CD4_165	0	5	5
CD4_166	4	5	5
CD4_167	0	5	5
CD4_168	4	5	5
CD4_169	0	5	5
CD4_170	0	5	5
CD4_171	4	5	5
CD4_172	0	5	5
CD4_173	4	5	5
CD4_174	2	5	5
CD4_175	2	5	5
CD4_176	2	5	5
CD4_177	0	5	5
CD4_178	4	5	5
CD4_179	4	5	5
CD4_180	5	5	5
CD4_181	0	5	5
CD4_182	0	5	2
CD4_183	2	4	5
CD4_184	0	5	5
CD4_185	4	5	5
CD4_186	0	5	5
CD4_187	1	5	5
CD4_188	1	5	5
CD4_189	0	4	5
CD4_190	2	5	5
CD4_191	4	5	5
CD4_192	2	5	5
CD4_193	0	5	5
CD4_194	0	5	5
CD4_195	0	5	5
CD4_196	2	5	5
CD4_197	2	5	5
CD4_198	4	5	5
CD4_199	0	5	5
CD4_200	0	5	5
CD8_201	0	4	5
CD8_202	0	5	5
CD8_203	0	5	5
CD8_204	4	5	5
CD8_205	3	5	5
CD8_206	4	5	5
CD8_207	0	5	5
CD8_208	1	5	5
CD8_209	3	5	5
CD8_210	4	5	5
CD8_211	1	5	5
CD8_212	1	5	5
CD8_213	0	5	5
CD8_214	0	5	5
CD8_215	0	5	5
CD8_216	0	5	5
CD8_217	0	5	5
CD8_218	0	5	5
CD8_219	2	5	5
CD8_220	2	5	5
CD8_221	4	5	5
CD8_222	0	5	5
CD8_223	0	5	5
CD8_224	0	5	5
CD8_225	1	5	5
CD8_226	3	5	5
CD8_227	0	5	5
CD8_228	0	5	5
CD8_229	0	5	5
CD8_230	0	5	5
CD8_231	0	5	5
CD8_232	5	5	5
CD8_233	0	5	5
CD8_234	0	5	5
CD8_235	1	5	5
CD8_236	0	5	5
CD8_237	4	5	5
CD8_238	0	5	5
CD8_239	0	5	5
CD8_240	4	5	5
CD8_241	5	4	5
CD8_242	0	5	5
CD8_243	2	5	5
CD8_244	0	5	5
CD8_245	2	5	5
CD8_246	0	5	5
CD8_247	0	5	5
CD8_248	0	5	5
CD8_249	0	5	5
CD8_250	2	5	5
CD8_251	0	5	5
CD8_252	5	5	5
CD8_253	1	5	5
CD8_254	5	5	5
CD8_255	2	5	5
CD8_256	4	5	5
CD8_257	0	5	5
CD8_258	0	5	5
CD8_259	0	5	5
CD8_260	4	5	5
CD8_261	0	5	5
CD8_262	1	5	5
CD8_263	0	5	5
CD8_264	0	5	5
CD8_265	0	5	5
CD8_266	0	5	5
CD8_267	0	5	5
CD8_268	5	5	5
CD8_269	0	5	5
CD8_270	5	5	5
CD8_271	2	5	5
CD8_272	0	5	5
CD8_273	0	5	5
CD8_274	0	5	5
CD8_275	1	5	5
CD8_276	0	5	5
CD8_277	0	5	5
CD8_278	4	5	5
CD8_279	5	5	5
CD8_280	0	5	5
CD8_281	1	5	5
CD8_282	0	5	5
CD8_283	0	5	5
CD8_284	1	5	5
CD8_285	1	5	5
CD8_286	0	5	5
CD8_287	4	4	5
CD8_288	1	1	5
CD8_289	3	5	5
CD8_290	4	5	5
CD8_291	5	5	5
CD8_292	2	5	5
CD8_293	0	5	5
CD8_294	0	5	5
CD8_295	0	5	5
CD8_296	0	5	5
CD8_297	2	5	5
CD8_298	2	4	5
CD8_299	1	5	5
CD8_300	2	1	5
CD8_301	0	5	5
CD8_302	3	5	5
CD8_303	0	5	5
CD8_304	0	5	5
CD8_305	0	5	5
CD8_306	2	5	5
CD8_307	1	5	5
CD8_308	0	5	5
CD8_309	0	5	5
CD8_310	0	5	5
CD8_311	4	5	5
CD8_312	0	5	5
CD8_313	2	5	5
CD8_314	0	5	5
CD8_315	0	5	5
CD8_316	4	5	5
CD8_317	0	5	5
CD8_318	0	5	5
CD8_319	4	5	5
CD8_320	1	5	5
CD8_321	2	5	5
CD8_322	5	5	5
CD8_323	0	5	5
CD8_324	1	5	0
CD8_325	0	5	5
CD8_326	0	5	5
CD8_327	0	4	5
CD8_328	5	5	5
CD8_329	0	5	5
CD8_330	1	5	5
CD8_331	0	5	5
CD8_332	0	5	5
CD8_333	2	5	5
CD8_334	1	5	5
CD8_335	1	5	5
CD8_336	0	5	5
CD8_337	0	5	5
CD8_338	2	5	5
CD8_339	2	5	5
CD8_340	0	5	5
CD8_341	0	5	5
CD8_342	0	4	5
CD8_343	5	5	5
CD8_344	0	5	5
CD8_345	5	5	5
CD8_346	2	5	5
CD8_347	1	5	5
CD8_348	0	4	5
CD8_349	0	5	5
CD8_350	1	5	5
CD8_351	0	5	5
CD8_352	0	5	5
CD8_353	0	5	5
CD8_354	0	5	5
CD8_355	0	5	5
CD8_356	4	5	5
CD8_357	2	5	5
CD8_358	0	5	5
CD8_359	0	5	5
CD8_360	5	5	5
CD8_361	0	4	5
CD8_362	0	5	5
CD8_363	0	5	5
CD8_364	1	5	5
CD8_365	2	5	5
CD8_366	3	5	5
CD8_367	3	5	5
CD8_368	2	5	5
CD8_369	3	5	5
CD8_370	2	5	5
CD8_371	1	5	5
CD8_372	0	5	5
CD8_373	2	5	5
CD8_374	0	5	5
CD8_375	0	5	5
CD8_376	2	5	5
CD8_377	0	5	5
CD8_378	1	5	5
CD8_379	0	4	5
CD8_380	0	5	5
CD8_381	0	5	5
CD8_382	0	5	5
CD8_383	1	5	5
CD8_384	3	5	5
CD8_385	5	4	5
CD8_386	4	5	5
CD8_387	0	5	5
CD8_388	1	5	5
CD8_389	0	5	5
CD8_390	2	4	5
CD8_391	0	5	5
CD8_392	0	5	0
CD8_393	1	5	5
CD8_394	0	5	5
CD8_395	4	5	5
CD8_396	5	5	5
CD8_397	4	5	5
CD8_398	0	5	5
CD8_399	3	4	5
CD8_400	2	5	5
CMP_401	1	3	0
CMP_402	2	3	0
CMP_403	1	3	0
CMP_404	2	3	0
CMP_405	1	3	0
CMP_406	3	3	4
CMP_407	3	3	0
CMP_408	2	3	0
CMP_409	1	3	0
CMP_410	5	3	0
CMP_411	4	3	1
CMP_412	3	3	0
CMP_413	2	3	0
CMP_414	1	3	0
CMP_415	3	3	0
CMP_416	3	3	0
CMP_417	2	3	0
CMP_418	1	3	0
CMP_419	1	3	1
CMP_420	3	3	0
CMP_421	1	3	0
CMP_422	2	3	0
CMP_423	0	3	0
CMP_424	3	3	1
CMP_425	3	3	0
CMP_426	1	3	0
CMP_427	1	3	0
CMP_428	1	3	0
CMP_429	1	3	0
CMP_430	1	3	1
CMP_431	1	3	0
CMP_432	1	3	0
CMP_433	3	3	2
CMP_434	1	3	0
CMP_435	1	3	1
CMP_436	5	3	0
CMP_437	2	3	2
CMP_438	1	3	0
CMP_439	1	3	0
CMP_440	1	3	0
CMP_441	2	3	0
CMP_442	1	3	0
CMP_443	1	3	0
CMP_444	3	3	0
CMP_445	0	3	0
CMP_446	5	3	0
CMP_447	5	3	0
CMP_448	4	3	0
CMP_449	1	3	1
CMP_450	0	3	0
CMP_451	1	3	0
CMP_452	1	3	1
CMP_453	1	3	0
CMP_454	2	3	0
CMP_455	5	3	0
CMP_456	1	3	2
CMP_457	2	3	0
CMP_458	1	3	5
CMP_459	3	3	0
CMP_460	2	3	1
CMP_461	1	3	0
CMP_462	2	3	0
CMP_463	1	4	0
CMP_464	3	3	0
CMP_465	4	3	0
CMP_466	1	3	0
CMP_467	1	3	0
CMP_468	4	3	1
CMP_469	1	3	0
CMP_470	5	3	0
CMP_471	3	3	1
CMP_472	1	3	0
CMP_473	2	3	2
CMP_474	1	3	0
CMP_475	5	3	0
CMP_476	5	3	0
CMP_477	1	3	0
CMP_478	4	3	0
CMP_479	2	3	0
CMP_480	1	3	0
CMP_481	3	3	0
CMP_482	0	3	2
CMP_483	3	3	2
CMP_484	1	3	0
CMP_485	2	3	0
CMP_486	1	3	2
CMP_487	1	3	0
CMP_488	1	3	0
CMP_489	2	3	0
CMP_490	2	3	0
CMP_491	2	3	5
CMP_492	4	3	0
CMP_493	1	3	0
CMP_494	1	3	0
CMP_495	2	3	0
CMP_496	0	3	0
CMP_497	3	3	4
CMP_498	1	3	0
CMP_499	3	3	4
CMP_500	2	3	0
CMP_501	1	3	0
CMP_502	2	3	0
CMP_503	2	3	0
CMP_504	1	3	0
CMP_505	2	3	0
CMP_506	2	3	0
CMP_507	4	3	0
CMP_508	4	3	1
CMP_509	2	3	0
CMP_510	5	3	0
CMP_511	1	3	0
CMP_512	4	3	0
CMP_513	1	3	2
CMP_514	1	3	0
CMP_515	1	3	0
CMP_516	2	3	0
CMP_517	0	3	0
CMP_518	0	3	0
CMP_519	0	3	0
CMP_520	1	3	2
CMP_521	0	3	0
CMP_522	0	3	0
CMP_523	1	3	0
CMP_524	1	3	0
CMP_525	2	3	1
CMP_526	2	3	0
CMP_527	4	3	1
CMP_528	3	3	0
CMP_529	1	3	0
CMP_530	1	3	0
CMP_531	1	3	0
CMP_532	1	3	0
CMP_533	1	3	0
CMP_534	1	3	0
CMP_535	5	3	0
CMP_536	1	3	0
CMP_537	2	3	0
CMP_538	1	3	1
CMP_539	3	3	0
CMP_540	5	3	0
CMP_541	3	4	4
CMP_542	3	3	0
CMP_543	2	3	2
CMP_544	1	3	0
CMP_545	1	3	0
CMP_546	3	3	0
CMP_547	1	3	0
CMP_548	2	3	0
CMP_549	1	3	5
CMP_550	1	3	0
CMP_551	2	3	4
CMP_552	1	3	0
CMP_553	0	3	4
CMP_554	1	3	0
CMP_555	2	3	0
CMP_556	1	3	0
CMP_557	1	3	0
CMP_558	1	3	0
CMP_559	2	3	0
CMP_560	1	3	0
CMP_561	5	3	0
CMP_562	1	3	0
CMP_563	3	3	0
CMP_564	5	3	0
CMP_565	5	3	1
CMP_566	1	3	0
CMP_567	1	3	0
CMP_568	1	3	4
CMP_569	1	3	0
CMP_570	1	3	0
CMP_571	3	3	0
CMP_572	3	3	0
CMP_573	3	3	2
CMP_574	2	3	0
CMP_575	2	3	0
CMP_576	1	3	0
CMP_577	4	3	0
CMP_578	1	3	1
CMP_579	0	3	0
CMP_580	0	3	0
CMP_581	1	3	4
CMP_582	3	3	0
CMP_583	2	3	0
CMP_584	0	3	0
CMP_585	2	3	1
CMP_586	2	3	0
CMP_587	0	3	0
CMP_588	2	3	0
CMP_589	1	3	0
CMP_590	5	3	0
CMP_591	2	3	0
CMP_592	4	3	0
CMP_593	1	3	0
CMP_594	1	3	0
CMP_595	1	4	0
CMP_596	2	3	2
CMP_597	1	3	4
CMP_598	1	3	0
CMP_599	1	3	0
CMP_600	3	3	0
Ery_601	1	2	3
Ery_602	1	2	3
Ery_603	1	2	3
Ery_604	1	2	3
Ery_605	1	2	3
Ery_606	1	2	3
Ery_607	3	2	3
Ery_608	1	2	3
Ery_609	4	2	3
Ery_610	2	2	3
Ery_611	2	2	3
Ery_612	1	2	3
Ery_613	3	2	3
Ery_614	5	2	3
Ery_615	1	2	3
Ery_616	1	2	3
Ery_617	2	2	3
Ery_618	3	2	3
Ery_619	1	2	3
Ery_620	1	2	3
Ery_621	3	2	3
Ery_622	4	2	3
Ery_623	3	2	3
Ery_624	1	2	3
Ery_625	1	2	3
Ery_626	1	2	3
Ery_627	1	2	3
Ery_628	1	2	3
Ery_629	4	2	3
Ery_630	3	2	3
Ery_631	5	2	3
Ery_632	2	2	3
Ery_633	3	2	3
Ery_634	1	2	3
Ery_635	1	2	3
Ery_636	3	2	3
Ery_637	1	2	3
Ery_638	1	2	3
Ery_639	1	2	3
Ery_640	1	2	3
Ery_641	1	2	3
Ery_642	1	2	3
Ery_643	1	2	3
Ery_644	1	2	3
Ery_645	3	2	3
Ery_646	1	2	3
Ery_647	1	2	3
Ery_648	1	2	3
Ery_649	4	2	3
Ery_650	2	2	3
Ery_651	2	2	3
Ery_652	1	2	3
Ery_653	3	2	3
Ery_654	4	2	3
Ery_655	1	2	3
Ery_656	1	2	3
Ery_657	2	2	3
Ery_658	5	2	3
Ery_659	3	2	3
Ery_660	5	2	3
Ery_661	1	2	3
Ery_662	1	2	3
Ery_663	1	2	3
Ery_664	1	2	3
Ery_665	0	2	3
Ery_666	2	2	3
Ery_667	5	2	3
Ery_668	0	2	3
Ery_669	5	2	3
Ery_670	3	2	3
Ery_671	1	2	3
Ery_672	1	2	3
Ery_673	1	2	3
Ery_674	2	2	3
Ery_675	2	2	3
Ery_676	3	2	3
Ery_677	1	2	3
Ery_678	1	2	3
Ery_679	2	2	3
Ery_680	1	2	3
Ery_681	2	2	3
Ery_682	4	2	3
Ery_683	5	2	3
Ery_684	1	2	3
Ery_685	1	2	3
Ery_686	1	2	3
Ery_687	4	2	3
Ery_688	1	2	3
Ery_689	1	2	3
Ery_690	4	2	3
Ery_691	2	2	3
Ery_692	2	2	3
Ery_693	1	2	3
Ery_694	5	2	3
Ery_695	2	2	3
Ery_696	1	2	3
Ery_697	5	2	3
Ery_698	1	2	3
Ery_699	1	2	3
Ery_700	1	2	3
Ery_701	0	2	3
Ery_702	1	2	3
Ery_703	3	2	3
Ery_704	1	2	3
Ery_705	1	2	3
Ery_706	2	2	3
Ery_707	4	2	3
Ery_708	2	2	3
Ery_709	1	2	3
Ery_710	1	2	3
Ery_711	5	2	3
Ery_712	2	2	3
Ery_713	1	2	3
Ery_714	2	2	3
Ery_715	3	2	3
Ery_716	1	2	3
Ery_717	1	2	3
Ery_718	3	2	3
Ery_719	1	2	3
Ery_720	2	2	3
Ery_721	0	2	3
Ery_722	1	2	3
Ery_723	1	2	3
Ery_724	3	2	3
Ery_725	1	2	3
Ery_726	3	2	3
Ery_727	1	2	3
Ery_728	4	2	3
Ery_729	1	2	3
Ery_730	2	2	3
Ery_731	1	2	3
Ery_732	2	2	3
Ery_733	1	2	3
Ery_734	2	2	3
Ery_735	5	2	3
Ery_736	1	2	3
Ery_737	2	2	3
Ery_738	3	2	3
Ery_739	0	2	5
Ery_740	3	2	3
Ery_741	1	2	3
Ery_742	1	2	3
Ery_743	2	2	3
Ery_744	1	2	3
Ery_745	3	2	3
Ery_746	2	2	3
Ery_747	3	2	3
Ery_748	2	2	3
Ery_749	1	2	3
Ery_750	2	2	3
Ery_751	5	2	3
Ery_752	3	2	3
Ery_753	1	2	3
Ery_754	2	2	3
Ery_755	1	2	3
Ery_756	1	2	3
Ery_757	1	2	3
Ery_758	4	2	3
Ery_759	1	2	3
Ery_760	3	2	3
Ery_761	5	2	5
Ery_762	2	2	3
Ery_763	4	2	3
Ery_764	1	2	3
Ery_765	1	2	3
Ery_766	1	2	3
Ery_767	1	2	3
Ery_768	1	2	3
Ery_769	3	2	3
Ery_770	1	2	3
Ery_771	1	2	3
Ery_772	0	2	3
Ery_773	1	2	3
Ery_774	1	2	3
Ery_775	2	2	3
Ery_776	1	2	3
Ery_777	1	2	3
Ery_778	2	2	3
Ery_779	2	2	3
Ery_780	2	2	3
Ery_781	3	2	3
Ery_782	4	2	3
Ery_783	3	2	3
Ery_784	2	2	3
Ery_785	2	2	3
Ery_786	3	2	3
Ery_787	5	2	3
Ery_788	1	2	3
Ery_789	1	2	3
Ery_790	1	2	3
Ery_791	5	2	3
Ery_792	3	2	3
Ery_793	2	2	3
Ery_794	1	2	3
Ery_795	1	2	3
Ery_796	2	2	3
Ery_797	2	2	3
Ery_798	1	2	3
Ery_799	1	2	3
Ery_800	2	2	3
HSC_801	1	3	0
HSC_802	0	3	2
HSC_803	0	3	0
HSC_804	5	3	1
HSC_805	1	3	0
HSC_806	1	3	0
HSC_807	0	3	0
HSC_808	3	3	0
HSC_809	5	3	2
HSC_810	1	3	2
HSC_811	1	3	1
HSC_812	2	3	0
HSC_813	2	3	2
HSC_814	2	3	0
HSC_815	2	3	0
HSC_816	1	3	0
HSC_817	3	3	0
HSC_818	0	3	0
HSC_819	2	3	2
HSC_820	2	3	0
HSC_821	2	3	0
HSC_822	5	3	0
HSC_823	3	3	2
HSC_824	2	3	0
HSC_825	1	3	5
HSC_826	1	3	0
HSC_827	1	3	0
HSC_828	4	3	4
HSC_829	4	3	0
HSC_830	1	3	0
HSC_831	2	3	0
HSC_832	2	3	0
HSC_833	4	3	0
HSC_834	2	3	0
HSC_835	1	3	1
HSC_836	2	3	1
HSC_837	1	3	0
HSC_838	2	3	0
HSC_839	1	3	0
HSC_840	2	3	0
HSC_841	3	3	1
HSC_842	4	3	2
HSC_843	1	3	0
HSC_844	2	3	0
HSC_845	3	3	0
HSC_846	1	3	0
HSC_847	0	3	2
HSC_848	1	3	0
HSC_849	5	3	2
HSC_850	1	3	2
HSC_851	4	0	0
HSC_852	4	3	2
HSC_853	3	3	0
HSC_854	1	3	0
HSC_855	1	3	1
HSC_856	3	3	0
HSC_857	1	3	0
HSC_858	1	3	0
HSC_859	3	3	0
HSC_860	1	3	0
HSC_861	1	3	0
HSC_862	2	3	0
HSC_863	2	3	0
HSC_864	1	3	0
HSC_865	2	3	0
HSC_866	5	3	0
HSC_867	5	3	2
HSC_868	4	3	2
HSC_869	2	3	0
HSC_870	1	3	0
HSC_871	5	3	1
HSC_872	2	3	0
HSC_873	1	3	0
HSC_874	3	3	2
HSC_875	1	3	2
HSC_876	3	3	0
HSC_877	1	3	4
HSC_878	1	3	0
HSC_879	1	3	0
HSC_880	3	3	0
HSC_881	4	3	0
HSC_882	3	3	4
HSC_883	3	3	0
HSC_884	2	3	0
HSC_885	2	3	0
HSC_886	1	3	0
HSC_887	1	3	0
HSC_888	2	3	0
HSC_889	3	3	0
HSC_890	1	3	0
HSC_891	3	3	1
HSC_892	1	3	0
HSC_893	1	3	0
HSC_894	1	3	1
HSC_895	0	3	0
HSC_896	3	3	0
HSC_897	1	4	0
HSC_898	5	3	2
HSC_899	1	3	0
HSC_900	1	3	0
HSC_901	1	3	0
HSC_902	1	3	0
HSC_903	4	3	0
HSC_904	5	3	0
HSC_905	2	3	1
HSC_906	1	3	0
HSC_907	2	3	0
HSC_908	2	3	1
HSC_909	2	3	0
HSC_910	2	3	0
HSC_911	1	3	0
HSC_912	0	3	0
HSC_913	0	3	0
HSC_914	1	3	0
HSC_915	4	3	0
HSC_916	2	3	0
HSC_917	5	3	0
HSC_918	2	3	0
HSC_919	2	3	1
HSC_920	2	3	0
HSC_921	3	3	0
HSC_922	1	3	0
HSC_923	2	3	1
HSC_924	5	3	2
HSC_925	1	3	5
HSC_926	1	3	0
HSC_927	1	3	0
HSC_928	1	3	0
HSC_929	4	3	0
HSC_930	1	3	0
HSC_931	4	3	2
HSC_932	2	3	5
HSC_933	1	3	0
HSC_934	2	3	1
HSC_935	5	3	0
HSC_936	5	3	0
HSC_937	1	3	0
HSC_938	0	3	5
HSC_939	2	3	0
HSC_940	2	3	0
HSC_941	4	3	0
HSC_942	2	3	0
HSC_943	1	3	0
HSC_944	1	3	0
HSC_945	5	3	0
HSC_946	2	3	5
HSC_947	2	3	0
HSC_948	2	3	1
HSC_949	1	3	0
HSC_950	4	3	0
HSC_951	1	3	0
HSC_952	0	4	0
HSC_953	3	3	0
HSC_954	3	3	0
HSC_955	3	3	4
HSC_956	2	3	0
HSC_957	0	3	2
HSC_958	0	3	0
HSC_959	5	3	0
HSC_960	4	3	0
HSC_961	1	3	0
HSC_962	2	3	0
HSC_963	3	3	2
HSC_964	3	3	0
HSC_965	2	3	1
HSC_966	1	3	0
HSC_967	1	3	0
HSC_968	5	3	0
HSC_969	3	3	2
HSC_970	1	3	0
HSC_971	1	3	0
