	louvain	kmeans	hc
CD4_1	5	1	2
CD4_2	0	5	0
CD4_3	5	1	0
CD4_4	5	1	2
CD4_5	5	5	2
CD4_6	0	5	0
CD4_7	5	1	2
CD4_8	0	5	2
CD4_9	5	5	2
CD4_10	0	5	0
CD4_11	0	5	0
CD4_12	5	1	2
CD4_13	5	5	0
CD4_14	0	1	0
CD4_15	5	1	0
CD4_16	0	5	0
CD4_17	0	5	0
CD4_18	0	1	0
CD4_19	5	1	2
CD4_20	5	1	0
CD4_21	0	5	0
CD4_22	0	1	0
CD4_23	5	1	2
CD4_24	0	5	0
CD4_25	5	5	2
CD4_26	5	5	2
CD4_27	0	1	0
CD4_28	5	1	2
CD4_29	0	5	0
CD4_30	0	1	0
CD4_31	0	1	0
CD4_32	0	1	0
CD4_33	0	1	0
CD4_34	0	5	0
CD4_35	5	5	0
CD4_36	0	1	2
CD4_37	0	5	0
CD4_38	0	5	0
CD4_39	5	1	2
CD4_40	0	5	0
CD4_41	0	5	0
CD4_42	5	1	2
CD4_43	0	1	0
CD4_44	0	5	0
CD4_45	0	1	0
CD4_46	0	1	0
CD4_47	0	1	0
CD4_48	0	1	2
CD4_49	5	1	0
CD4_50	0	5	0
CD4_51	5	5	2
CD4_52	0	5	0
CD4_53	5	1	2
CD4_54	0	1	0
CD4_55	0	1	0
CD4_56	0	1	2
CD4_57	0	5	0
CD4_58	5	5	0
CD4_59	0	5	0
CD4_60	0	5	0
CD4_61	5	1	2
CD4_62	0	1	0
CD4_63	5	1	0
CD4_64	0	5	0
CD4_65	0	1	2
CD4_66	0	5	0
CD4_67	5	1	0
CD4_68	0	5	2
CD4_69	5	5	0
CD4_70	0	1	2
CD4_71	5	1	0
CD4_72	0	1	0
CD4_73	0	5	0
CD4_74	5	1	2
CD4_75	0	5	0
CD4_76	5	5	0
CD4_77	0	1	0
CD4_78	5	1	0
CD4_79	0	1	2
CD4_80	5	5	2
CD4_81	5	1	0
CD4_82	5	1	2
CD4_83	5	1	0
CD4_84	0	1	2
CD4_85	0	5	0
CD4_86	0	1	0
CD4_87	0	1	0
CD4_88	0	1	0
CD4_89	5	5	0
CD4_90	0	1	0
CD4_91	0	1	0
CD4_92	0	5	0
CD4_93	0	5	0
CD4_94	0	1	0
CD4_95	0	1	0
CD4_96	0	5	0
CD4_97	0	1	2
CD4_98	5	5	0
CD4_99	0	5	0
CD4_100	5	1	0
CD4_101	5	1	2
CD4_102	0	5	0
CD4_103	5	5	0
CD4_104	0	1	2
CD4_105	0	1	0
CD4_106	5	5	0
CD4_107	5	5	2
CD4_108	5	5	2
CD4_109	0	1	0
CD4_110	0	1	0
CD4_111	0	5	0
CD4_112	5	5	0
CD4_113	0	1	0
CD4_114	0	1	0
CD4_115	0	1	2
CD4_116	0	5	0
CD4_117	0	1	0
CD4_118	0	5	0
CD4_119	0	5	0
CD4_120	5	5	2
CD4_121	0	5	0
CD4_122	0	1	2
CD4_123	5	1	0
CD4_124	5	5	0
CD4_125	5	5	2
CD4_126	0	1	2
CD4_127	0	5	0
CD4_128	0	5	0
CD4_129	5	5	2
CD4_130	0	1	2
CD4_131	0	1	0
CD4_132	0	1	0
CD4_133	0	5	0
CD4_134	0	5	0
CD4_135	5	5	2
CD4_136	0	1	0
CD4_137	5	5	0
CD4_138	5	1	2
CD4_139	5	5	0
CD4_140	5	1	0
CD4_141	5	1	0
CD4_142	0	5	2
CD4_143	5	1	0
CD4_144	0	5	0
CD4_145	0	1	0
CD4_146	0	5	0
CD4_147	0	5	0
CD4_148	5	5	2
CD4_149	0	1	0
CD4_150	5	1	0
CD4_151	5	5	0
CD4_152	0	5	0
CD4_153	0	5	0
CD4_154	5	5	2
CD4_155	5	5	0
CD4_156	5	1	0
CD4_157	0	5	2
CD4_158	0	1	2
CD4_159	5	1	0
CD4_160	0	1	0
CD4_161	5	5	0
CD4_162	0	5	0
CD4_163	5	1	0
CD4_164	5	5	0
CD4_165	0	5	0
CD4_166	5	5	0
CD4_167	5	1	0
CD4_168	0	1	2
CD4_169	5	5	2
CD4_170	0	5	0
CD4_171	0	1	0
CD4_172	5	1	0
CD4_173	5	5	0
CD4_174	0	5	0
CD4_175	0	5	2
CD4_176	5	1	2
CD4_177	5	5	0
CD4_178	0	5	0
CD4_179	0	5	0
CD4_180	5	5	2
CD4_181	5	5	2
CD4_182	0	5	0
CD4_183	0	1	2
CD4_184	0	5	0
CD4_185	0	1	0
CD4_186	0	5	0
CD4_187	0	5	0
CD4_188	0	5	0
CD4_189	5	5	2
CD4_190	0	1	0
CD4_191	5	5	0
CD4_192	5	5	0
CD4_193	0	5	0
CD4_194	0	5	0
CD4_195	5	5	0
CD4_196	0	1	0
CD4_197	0	5	0
CD4_198	5	1	0
CD4_199	5	1	0
CD4_200	0	1	2
CD8_201	0	1	2
CD8_202	5	5	2
CD8_203	0	5	0
CD8_204	0	3	2
CD8_205	5	1	0
CD8_206	5	1	2
CD8_207	0	1	2
CD8_208	5	1	2
CD8_209	5	1	2
CD8_210	0	1	2
CD8_211	0	1	0
CD8_212	5	1	2
CD8_213	0	5	2
CD8_214	0	1	2
CD8_215	5	1	2
CD8_216	0	1	2
CD8_217	5	5	0
CD8_218	5	5	0
CD8_219	5	5	0
CD8_220	0	5	2
CD8_221	0	1	2
CD8_222	0	5	0
CD8_223	0	5	0
CD8_224	0	1	2
CD8_225	5	1	2
CD8_226	0	5	0
CD8_227	0	1	0
CD8_228	5	5	0
CD8_229	0	1	0
CD8_230	0	1	2
CD8_231	0	1	0
CD8_232	5	1	2
CD8_233	5	1	2
CD8_234	0	5	0
CD8_235	0	5	0
CD8_236	5	5	0
CD8_237	0	3	2
CD8_238	5	5	0
CD8_239	5	5	0
CD8_240	0	1	0
CD8_241	0	1	2
CD8_242	5	1	2
CD8_243	0	1	0
CD8_244	0	1	2
CD8_245	5	5	2
CD8_246	5	1	2
CD8_247	5	1	1
CD8_248	0	1	2
CD8_249	0	1	2
CD8_250	0	1	2
CD8_251	0	1	2
CD8_252	0	1	2
CD8_253	0	1	2
CD8_254	5	5	0
CD8_255	5	5	0
CD8_256	5	1	0
CD8_257	0	5	2
CD8_258	0	3	2
CD8_259	5	1	2
CD8_260	5	5	0
CD8_261	5	1	2
CD8_262	0	5	0
CD8_263	5	5	0
CD8_264	5	5	0
CD8_265	5	1	0
CD8_266	0	1	2
CD8_267	0	5	2
CD8_268	0	5	0
CD8_269	5	5	2
CD8_270	0	1	2
CD8_271	0	5	2
CD8_272	5	1	0
CD8_273	0	1	2
CD8_274	5	1	0
CD8_275	5	1	0
CD8_276	0	5	0
CD8_277	5	1	2
CD8_278	0	1	2
CD8_279	5	1	2
CD8_280	0	5	2
CD8_281	0	1	2
CD8_282	0	5	0
CD8_283	0	1	2
CD8_284	0	1	2
CD8_285	5	5	2
CD8_286	5	1	2
CD8_287	0	5	0
CD8_288	5	5	0
CD8_289	5	5	1
CD8_290	5	5	0
CD8_291	0	1	2
CD8_292	0	1	2
CD8_293	5	1	2
CD8_294	0	5	0
CD8_295	0	1	2
CD8_296	0	1	2
CD8_297	0	1	2
CD8_298	0	1	2
CD8_299	0	1	0
CD8_300	0	5	0
CD8_301	5	1	2
CD8_302	0	1	2
CD8_303	0	5	0
CD8_304	5	5	2
CD8_305	5	1	0
CD8_306	0	1	2
CD8_307	5	1	2
CD8_308	0	1	2
CD8_309	0	5	0
CD8_310	0	5	2
CD8_311	5	1	2
CD8_312	0	5	0
CD8_313	5	5	2
CD8_314	0	5	0
CD8_315	5	5	0
CD8_316	0	1	2
CD8_317	5	1	2
CD8_318	0	1	2
CD8_319	0	5	0
CD8_320	5	5	2
CD8_321	5	1	2
CD8_322	5	1	2
CD8_323	5	1	2
CD8_324	5	1	2
CD8_325	5	5	2
CD8_326	5	5	0
CD8_327	0	5	0
CD8_328	5	1	0
CD8_329	5	5	0
CD8_330	5	1	2
CD8_331	5	5	2
CD8_332	0	5	0
CD8_333	0	5	2
CD8_334	0	5	1
CD8_335	5	1	2
CD8_336	0	1	1
CD8_337	5	1	2
CD8_338	5	5	0
CD8_339	0	1	2
CD8_340	5	1	2
CD8_341	5	5	0
CD8_342	0	5	0
CD8_343	5	5	0
CD8_344	0	1	2
CD8_345	5	1	2
CD8_346	0	5	0
CD8_347	0	1	2
CD8_348	5	5	2
CD8_349	5	1	2
CD8_350	0	5	0
CD8_351	5	5	0
CD8_352	0	5	2
CD8_353	0	1	2
CD8_354	5	1	2
CD8_355	0	5	0
CD8_356	5	1	0
CD8_357	0	1	2
CD8_358	0	1	0
CD8_359	5	5	0
CD8_360	0	1	0
CD8_361	0	5	2
CD8_362	0	1	2
CD8_363	5	1	2
CD8_364	5	5	2
CD8_365	0	1	2
CD8_366	0	5	2
CD8_367	0	5	2
CD8_368	0	5	2
CD8_369	5	1	2
CD8_370	0	5	2
CD8_371	0	1	2
CD8_372	5	1	0
CD8_373	0	1	2
CD8_374	0	5	0
CD8_375	0	5	2
CD8_376	0	1	0
CD8_377	0	5	1
CD8_378	0	1	2
CD8_379	0	5	2
CD8_380	0	5	0
CD8_381	5	1	2
CD8_382	0	1	2
CD8_383	5	5	0
CD8_384	0	3	0
CD8_385	0	5	2
CD8_386	5	1	2
CD8_387	0	5	0
CD8_388	0	1	2
CD8_389	5	5	0
CD8_390	5	1	2
CD8_391	0	5	0
CD8_392	5	5	0
CD8_393	5	1	0
CD8_394	2	1	1
CD8_395	0	5	0
CD8_396	5	1	2
CD8_397	5	1	2
CD8_398	0	1	2
