	louvain	kmeans	hc
CD4_1	1	0	2
CD4_2	1	0	2
CD4_3	1	0	2
CD4_4	1	0	2
CD4_5	1	0	2
CD4_6	1	0	2
CD4_7	1	0	2
CD4_8	1	0	2
CD4_9	1	0	2
CD4_10	1	0	2
CD4_11	1	0	2
CD4_12	1	0	2
CD4_13	1	0	2
CD4_14	1	0	2
CD4_15	1	0	2
CD4_16	1	0	2
CD4_17	1	0	2
CD4_18	1	0	2
CD4_19	1	0	2
CD4_20	1	0	2
CD4_21	1	0	2
CD4_22	1	0	2
CD4_23	1	0	2
CD4_24	1	0	2
CD4_25	1	0	2
CD4_26	1	0	2
CD4_27	1	0	2
CD4_28	1	0	2
CD4_29	1	0	2
CD4_30	1	0	2
CD4_31	1	0	2
CD4_32	1	0	2
CD4_33	1	0	2
CD4_34	1	0	2
CD4_35	1	0	2
CD4_36	1	0	2
CD4_37	1	0	2
CD4_38	1	0	2
CD4_39	1	0	2
CD4_40	1	0	2
CD4_41	1	0	2
CD4_42	1	0	2
CD4_43	1	0	2
CD4_44	1	0	2
CD4_45	1	0	2
CD4_46	1	0	2
CD4_47	1	0	2
CD4_48	1	0	2
CD4_49	1	0	2
CD4_50	1	0	2
CD4_51	1	0	2
CD4_52	1	0	2
CD4_53	1	0	2
CD4_54	1	0	2
CD4_55	1	0	2
CD4_56	1	0	2
CD4_57	1	0	2
CD4_58	1	0	2
CD4_59	1	0	2
CD4_60	1	0	2
CD4_61	1	0	2
CD4_62	1	0	2
CD4_63	1	0	2
CD4_64	1	0	2
CD4_65	1	0	2
CD4_66	1	0	2
CD4_67	1	0	2
CD4_68	1	0	2
CD4_69	1	0	2
CD4_70	1	0	2
CD4_71	1	0	2
CD4_72	1	0	2
CD4_73	1	0	2
CD4_74	1	0	2
CD4_75	1	0	2
CD4_76	1	0	2
CD4_77	1	0	2
CD4_78	1	0	2
CD4_79	1	0	2
CD4_80	1	0	2
CD4_81	1	0	2
CD4_82	1	0	2
CD4_83	1	0	2
CD4_84	1	0	2
CD4_85	1	0	2
CD4_86	1	0	2
CD4_87	1	0	2
CD4_88	1	0	2
CD4_89	1	0	2
CD4_90	1	0	2
CD4_91	1	0	2
CD4_92	1	0	5
CD4_93	1	0	2
CD4_94	1	0	2
CD4_95	1	0	2
CD4_96	1	0	2
CD4_97	1	0	2
CD4_98	1	0	2
CD4_99	1	0	2
CD4_100	1	0	2
CD4_101	1	0	2
CD4_102	1	0	2
CD4_103	1	0	2
CD4_104	1	0	2
CD4_105	1	0	2
CD4_106	1	0	2
CD4_107	1	0	2
CD4_108	1	0	2
CD4_109	1	0	2
CD4_110	1	0	2
CD4_111	1	0	2
CD4_112	1	0	2
CD4_113	1	0	2
CD4_114	1	0	2
CD4_115	1	0	2
CD4_116	1	0	2
CD4_117	1	0	2
CD4_118	1	0	2
CD4_119	1	0	2
CD4_120	1	0	2
CD4_121	1	0	2
CD4_122	1	0	2
CD4_123	1	0	2
CD4_124	1	0	2
CD4_125	1	0	2
CD4_126	1	0	2
CD4_127	1	0	2
CD4_128	1	0	2
CD4_129	1	0	2
CD4_130	1	0	2
CD4_131	1	0	2
CD4_132	1	0	2
CD4_133	1	0	2
CD4_134	1	0	2
CD4_135	1	0	2
CD4_136	1	0	2
CD4_137	1	0	2
CD4_138	1	0	2
CD4_139	1	0	2
CD4_140	1	0	2
CD4_141	1	0	2
CD4_142	1	0	2
CD4_143	1	0	2
CD4_144	1	0	2
CD4_145	1	0	2
CD4_146	1	0	2
CD4_147	1	0	2
CD4_148	1	0	2
CD4_149	1	0	2
CD4_150	1	0	2
CD4_151	1	0	2
CD4_152	1	0	2
CD4_153	1	0	2
CD4_154	1	0	2
CD4_155	1	0	2
CD4_156	1	0	2
CD4_157	1	0	2
CD4_158	1	0	2
CD4_159	1	0	2
CD4_160	1	0	2
CD4_161	1	0	2
CD4_162	1	0	2
CD4_163	1	0	2
CD4_164	1	0	5
CD4_165	1	0	2
CD4_166	1	0	2
CD4_167	1	0	2
CD4_168	1	0	2
CD4_169	1	0	2
CD4_170	1	0	2
CD4_171	1	0	2
CD4_172	1	0	2
CD4_173	1	0	2
CD4_174	1	0	2
CD4_175	1	0	2
CD4_176	1	0	2
CD4_177	1	0	2
CD4_178	1	0	2
CD4_179	1	0	2
CD4_180	1	0	2
CD4_181	1	0	2
CD4_182	1	0	2
