	louvain	kmeans	hc
CD4_1	1	5	4
CD4_2	3	5	1
CD4_3	4	5	1
CD4_4	1	5	4
CD4_5	5	4	2
CD4_6	5	4	2
CD4_7	3	5	1
CD4_8	1	5	4
CD4_9	0	1	1
CD4_10	3	2	1
CD4_11	1	1	1
CD4_12	0	1	1
CD4_13	0	1	1
CD4_14	2	1	1
CD4_15	0	1	1
CD4_16	1	5	1
CD4_17	3	5	0
CD4_18	3	5	1
CD4_19	3	1	1
CD4_20	0	1	1
CD4_21	3	5	1
CD4_22	2	5	1
CD4_23	0	1	0
CD4_24	1	1	1
CD4_25	1	5	1
CD4_26	2	1	1
CD4_27	2	1	0
CD4_28	0	1	0
CD4_29	1	2	5
CD4_30	4	1	1
CD4_31	1	5	4
CD4_32	5	4	2
CD4_33	5	4	2
CD4_34	0	2	1
CD4_35	3	5	1
CD4_36	0	1	1
CD4_37	1	1	5
CD4_38	3	5	1
CD4_39	0	1	1
CD4_40	0	1	1
CD4_41	3	5	1
CD4_42	0	5	3
CD4_43	0	1	1
CD4_44	5	5	1
CD4_45	4	5	1
CD4_46	4	1	1
CD4_47	5	4	2
CD4_48	2	1	1
CD4_49	2	5	1
CD4_50	0	1	1
CD4_51	0	1	1
CD4_52	4	5	1
CD4_53	3	2	1
CD4_54	4	5	1
CD4_55	3	1	1
CD4_56	2	5	1
CD4_57	5	4	2
CD4_58	3	1	1
CD4_59	2	5	1
CD4_60	3	5	1
CD4_61	0	1	0
CD4_62	0	5	1
CD4_63	2	5	1
CD4_64	3	5	0
CD4_65	4	1	1
CD4_66	2	2	0
CD4_67	4	1	1
CD4_68	2	5	1
CD4_69	0	1	0
CD4_70	3	2	1
CD4_71	2	5	1
CD4_72	3	5	1
CD4_73	0	5	1
CD4_74	1	5	4
CD4_75	1	1	1
CD4_76	4	1	1
CD4_77	1	1	4
CD4_78	0	2	1
CD4_79	2	1	1
CD4_80	4	5	4
CD4_81	0	1	0
CD4_82	0	1	1
CD4_83	2	2	0
CD4_84	3	1	1
CD4_85	3	5	1
CD4_86	3	5	1
CD4_87	4	5	1
CD4_88	2	1	1
CD4_89	0	1	1
CD4_90	1	5	4
CD4_91	2	5	1
CD4_92	3	1	0
CD4_93	4	5	1
CD4_94	0	5	1
CD4_95	1	1	1
CD4_96	3	1	1
CD4_97	0	1	1
CD4_98	1	1	5
CD4_99	3	5	1
CD4_100	3	5	0
CD4_101	0	5	1
CD4_102	3	5	1
CD4_103	1	1	1
CD4_104	0	1	0
CD4_105	2	5	0
CD4_106	3	5	1
CD4_107	1	5	4
CD4_108	3	5	1
CD4_109	2	5	1
CD4_110	0	5	1
CD4_111	3	5	0
CD4_112	3	5	1
CD4_113	2	1	1
CD4_114	3	1	1
CD4_115	0	2	1
CD4_116	1	5	1
CD4_117	0	1	1
CD4_118	2	5	1
CD4_119	1	5	1
CD4_120	1	5	0
CD4_121	2	1	1
CD4_122	4	5	4
CD4_123	0	1	0
CD4_124	1	5	1
CD4_125	5	4	1
CD4_126	4	1	1
CD4_127	3	5	1
CD4_128	0	5	0
CD4_129	0	5	0
CD4_130	0	1	1
CD4_131	4	1	0
CD4_132	5	4	2
CD4_133	0	1	1
CD4_134	0	5	1
CD4_135	0	1	1
CD4_136	0	1	0
CD4_137	0	2	1
CD4_138	3	5	1
CD4_139	3	5	1
CD4_140	3	1	1
CD4_141	1	2	1
CD4_142	0	5	0
CD4_143	0	1	1
CD4_144	3	5	1
CD4_145	5	4	2
CD4_146	0	1	0
CD4_147	3	5	1
CD4_148	3	1	5
CD4_149	1	5	4
CD4_150	1	5	1
CD4_151	3	5	1
CD4_152	3	5	1
CD4_153	0	5	1
CD4_154	2	1	1
CD4_155	1	5	1
CD4_156	0	5	1
CD4_157	0	5	1
CD4_158	1	1	1
CD4_159	3	1	1
CD4_160	2	2	0
CD4_161	0	5	1
CD4_162	2	1	1
CD4_163	3	1	1
CD4_164	5	4	2
CD4_165	1	1	1
CD4_166	2	5	1
CD4_167	0	1	1
CD4_168	3	5	1
CD4_169	2	5	1
CD4_170	1	1	4
CD4_171	5	1	1
CD4_172	0	5	1
CD4_173	3	5	1
CD4_174	1	5	1
CD4_175	1	2	5
CD4_176	1	5	5
CD4_177	3	1	1
CD4_178	1	1	1
CD4_179	0	1	1
CD4_180	5	4	2
CD4_181	3	1	1
CD4_182	2	1	1
CD4_183	4	1	1
CD4_184	2	1	1
CD4_185	4	1	1
CD4_186	5	1	1
CD4_187	4	1	0
CD4_188	1	1	1
CD4_189	3	1	1
CD4_190	0	5	1
CD4_191	1	5	0
CD4_192	5	4	1
CD4_193	4	1	1
CD4_194	4	1	1
CD4_195	0	1	1
CD4_196	1	1	4
CD4_197	3	1	0
CD4_198	5	4	2
CD4_199	0	1	1
CD4_200	1	1	1
CD8_201	0	1	1
CD8_202	4	5	1
CD8_203	2	1	0
CD8_204	5	5	1
CD8_205	0	1	1
CD8_206	1	1	1
CD8_207	2	2	0
CD8_208	0	5	1
CD8_209	0	1	1
CD8_210	2	1	1
CD8_211	0	5	1
CD8_212	1	5	1
CD8_213	0	1	1
CD8_214	3	1	1
CD8_215	0	5	1
CD8_216	0	1	1
CD8_217	0	5	1
CD8_218	3	5	1
CD8_219	0	1	1
CD8_220	2	5	1
CD8_221	4	5	1
CD8_222	0	1	1
CD8_223	3	5	4
CD8_224	0	5	4
CD8_225	4	1	0
CD8_226	0	1	0
CD8_227	1	2	0
CD8_228	3	1	1
CD8_229	1	5	4
CD8_230	2	5	1
CD8_231	2	5	1
CD8_232	2	5	1
CD8_233	0	1	1
CD8_234	0	5	1
CD8_235	4	5	1
CD8_236	0	1	1
CD8_237	4	1	1
CD8_238	4	5	0
CD8_239	2	5	1
CD8_240	3	5	1
CD8_241	0	1	0
CD8_242	1	1	1
CD8_243	2	5	1
CD8_244	5	4	2
CD8_245	3	1	1
CD8_246	0	5	1
CD8_247	2	1	0
CD8_248	5	4	2
CD8_249	2	2	0
