	louvain	kmeans	hc
CD4_1	1	4	2
CD4_2	0	3	0
CD4_3	1	4	2
CD4_4	1	4	2
CD4_5	5	5	5
CD4_6	5	5	5
CD4_7	1	3	2
CD4_8	4	1	4
CD4_9	0	3	0
CD4_10	0	3	0
CD4_11	1	4	2
CD4_12	0	3	0
CD4_13	1	4	2
CD4_14	0	3	0
CD4_15	1	4	2
CD4_16	0	3	0
CD4_17	0	3	2
CD4_18	1	4	2
CD4_19	0	3	0
CD4_20	0	3	0
CD4_21	1	4	2
CD4_22	0	4	0
CD4_23	1	4	2
CD4_24	0	3	0
CD4_25	4	1	4
CD4_26	2	3	3
CD4_27	0	3	0
CD4_28	0	3	0
CD4_29	4	1	4
CD4_30	0	3	0
CD4_31	1	4	2
CD4_32	5	5	5
CD4_33	5	5	5
CD4_34	0	3	0
CD4_35	1	4	0
CD4_36	0	3	0
CD4_37	4	1	4
CD4_38	1	4	2
CD4_39	0	3	0
CD4_40	0	3	0
CD4_41	0	3	0
CD4_42	1	4	0
CD4_43	1	4	2
CD4_44	0	3	5
CD4_45	0	3	0
CD4_46	0	3	0
CD4_47	5	5	5
CD4_48	0	3	0
CD4_49	0	3	0
CD4_50	0	3	0
CD4_51	0	3	0
CD4_52	1	4	2
CD4_53	0	3	0
CD4_54	1	4	2
CD4_55	0	3	0
CD4_56	0	3	0
CD4_57	5	5	5
CD4_58	0	1	4
CD4_59	1	3	2
CD4_60	1	4	2
CD4_61	0	1	0
CD4_62	1	4	0
CD4_63	0	3	0
CD4_64	1	4	2
CD4_65	0	3	0
CD4_66	2	2	3
CD4_67	0	3	0
CD4_68	0	3	0
CD4_69	0	3	0
CD4_70	1	4	2
CD4_71	1	4	0
CD4_72	1	4	2
CD4_73	1	4	2
CD4_74	1	4	2
CD4_75	0	3	0
CD4_76	4	3	4
CD4_77	4	1	4
CD4_78	0	3	0
CD4_79	0	3	0
CD4_80	1	4	2
CD4_81	0	3	0
CD4_82	0	3	0
CD4_83	0	3	0
CD4_84	4	1	4
CD4_85	0	3	0
CD4_86	0	3	0
CD4_87	0	3	0
CD4_88	0	3	0
CD4_89	2	3	0
CD4_90	1	4	2
CD4_91	0	3	0
CD4_92	0	3	0
CD4_93	1	4	2
CD4_94	1	4	2
CD4_95	0	3	0
CD4_96	0	3	0
CD4_97	0	2	0
CD4_98	4	1	4
CD4_99	1	4	2
CD4_100	1	4	2
CD4_101	1	3	2
CD4_102	0	3	0
CD4_103	4	1	4
CD4_104	0	1	0
CD4_105	1	4	2
CD4_106	0	3	0
CD4_107	4	4	4
CD4_108	0	3	0
CD4_109	0	3	0
CD4_110	0	3	0
CD4_111	1	4	2
CD4_112	0	3	0
CD4_113	0	3	0
CD4_114	0	3	0
CD4_115	2	2	3
