	louvain	kmeans	hc
CD4_1	2	0	2
CD4_2	2	4	2
CD4_3	1	3	3
CD4_4	1	3	3
CD4_5	2	0	5
CD4_6	2	0	3
CD4_7	1	3	3
CD4_8	2	0	5
CD4_9	1	3	3
CD4_10	1	3	3
CD4_11	2	0	2
CD4_12	1	3	3
CD4_13	1	3	3
CD4_14	1	3	3
CD4_15	2	0	5
CD4_16	1	3	3
CD4_17	1	3	3
CD4_18	1	0	3
CD4_19	1	0	2
CD4_20	1	3	3
CD4_21	1	3	3
CD4_22	1	3	3
CD4_23	2	0	2
CD4_24	1	3	3
CD4_25	1	3	3
CD4_26	1	3	3
CD4_27	2	0	5
CD4_28	1	3	3
CD4_29	1	0	3
CD4_30	1	3	3
CD4_31	1	3	3
CD4_32	2	0	5
CD4_33	1	3	3
CD4_34	1	3	3
CD4_35	2	0	5
CD4_36	2	0	5
CD4_37	2	0	5
CD4_38	2	0	2
CD4_39	2	0	5
CD4_40	1	3	3
CD4_41	1	3	3
CD4_42	2	0	5
CD4_43	2	0	5
CD4_44	1	3	3
CD4_45	1	3	3
CD4_46	1	3	3
CD4_47	2	4	2
CD4_48	2	0	5
CD4_49	1	3	3
CD4_50	1	3	3
CD4_51	2	0	5
CD4_52	1	3	3
CD4_53	1	3	3
CD4_54	2	0	5
CD4_55	1	3	3
CD4_56	1	3	3
CD4_57	1	3	3
CD4_58	1	3	3
CD4_59	1	3	3
CD4_60	1	3	3
CD4_61	1	0	3
CD4_62	5	4	2
CD4_63	1	3	3
CD4_64	1	0	3
CD4_65	2	0	5
CD4_66	1	3	3
CD4_67	2	0	5
CD4_68	1	3	3
CD4_69	2	0	5
CD4_70	1	3	3
CD4_71	2	0	5
CD4_72	1	3	3
CD4_73	1	3	3
CD4_74	2	0	2
CD4_75	1	0	3
CD4_76	1	3	3
CD4_77	1	3	3
CD4_78	1	3	3
CD4_79	2	0	2
CD4_80	1	3	3
CD4_81	1	3	3
CD4_82	1	3	3
CD4_83	1	3	3
CD4_84	1	0	3
CD4_85	1	3	3
CD4_86	1	0	2
CD4_87	1	3	3
CD4_88	1	3	3
CD4_89	1	3	3
CD4_90	2	0	2
CD4_91	1	3	3
CD4_92	2	0	5
CD4_93	1	3	3
CD4_94	2	4	2
CD4_95	1	0	3
CD4_96	2	0	5
CD4_97	1	3	3
CD4_98	2	0	2
CD4_99	1	3	3
CD4_100	1	0	3
CD4_101	1	3	3
CD4_102	1	3	3
CD4_103	2	0	2
CD4_104	2	0	5
CD4_105	1	3	5
CD4_106	1	3	3
CD4_107	2	0	5
CD4_108	1	0	3
CD4_109	1	3	3
CD4_110	1	3	3
CD4_111	1	3	3
CD4_112	1	0	2
CD4_113	2	0	2
CD4_114	2	0	3
CD4_115	2	4	2
CD4_116	1	3	3
CD4_117	1	3	3
CD4_118	1	0	3
CD4_119	1	0	5
CD4_120	1	3	3
CD4_121	1	0	3
CD4_122	1	0	5
CD4_123	2	0	5
CD4_124	2	0	5
CD4_125	2	0	2
CD4_126	2	0	5
CD4_127	2	0	5
CD4_128	1	0	5
CD4_129	2	0	3
CD4_130	1	3	3
CD4_131	1	3	3
CD4_132	1	3	3
CD4_133	1	3	3
CD4_134	2	0	5
CD4_135	2	0	5
CD4_136	1	0	5
CD4_137	1	3	3
CD4_138	1	3	3
CD4_139	1	3	3
CD4_140	1	3	3
CD4_141	2	0	5
CD4_142	1	3	3
CD4_143	1	0	5
CD4_144	2	0	5
CD4_145	1	3	3
CD4_146	1	3	3
CD4_147	1	3	3
CD4_148	5	4	2
CD4_149	2	0	2
CD4_150	1	0	5
CD4_151	1	0	3
CD4_152	2	0	5
CD4_153	2	0	2
CD4_154	1	0	3
CD4_155	1	3	3
CD4_156	1	3	3
CD4_157	1	3	3
CD4_158	1	3	3
CD4_159	1	3	5
CD4_160	2	0	5
CD4_161	2	0	5
CD4_162	5	4	2
CD4_163	2	0	5
CD4_164	2	0	2
CD4_165	2	0	5
CD4_166	1	3	3
CD4_167	1	3	3
CD4_168	1	3	3
CD4_169	1	3	3
CD4_170	2	0	5
CD4_171	1	3	3
CD4_172	2	0	5
CD4_173	1	3	3
CD4_174	1	3	3
CD4_175	1	3	3
CD4_176	1	3	3
CD4_177	1	3	3
CD4_178	1	3	3
CD4_179	1	3	3
CD4_180	1	0	3
CD4_181	2	4	2
CD4_182	1	3	3
CD4_183	2	0	5
CD4_184	1	3	3
CD4_185	1	3	3
CD4_186	1	3	3
CD4_187	1	3	3
CD4_188	1	3	3
CD4_189	2	0	2
CD4_190	2	0	5
CD4_191	1	3	3
CD4_192	2	4	2
CD4_193	1	3	3
CD4_194	1	3	3
CD4_195	2	0	2
CD4_196	1	3	3
CD4_197	2	0	2
CD4_198	1	3	3
CD4_199	1	3	3
CD4_200	1	3	3
CD8_201	1	3	3
CD8_202	2	0	2
CD8_203	1	0	3
CD8_204	1	3	3
CD8_205	1	3	3
CD8_206	2	4	2
CD8_207	1	3	3
CD8_208	1	0	5
CD8_209	2	0	2
CD8_210	1	0	3
CD8_211	1	3	2
CD8_212	1	3	3
CD8_213	1	3	3
CD8_214	5	4	2
CD8_215	2	0	5
CD8_216	1	0	3
CD8_217	1	0	5
CD8_218	1	3	2
CD8_219	1	3	3
CD8_220	2	0	5
CD8_221	1	0	3
CD8_222	1	0	2
CD8_223	2	0	2
CD8_224	1	3	3
CD8_225	1	3	3
CD8_226	1	0	3
CD8_227	2	0	2
CD8_228	2	0	5
CD8_229	2	0	2
CD8_230	1	3	3
CD8_231	2	0	5
CD8_232	2	0	2
CD8_233	1	3	3
CD8_234	1	3	3
CD8_235	1	3	3
CD8_236	1	3	3
CD8_237	2	0	2
CD8_238	1	3	3
CD8_239	2	0	3
CD8_240	1	3	3
CD8_241	2	0	5
CD8_242	1	0	2
CD8_243	2	0	5
CD8_244	1	3	3
CD8_245	1	3	2
CD8_246	2	0	2
CD8_247	2	0	5
CD8_248	2	0	2
CD8_249	2	0	2
CD8_250	1	3	3
CD8_251	1	3	3
CD8_252	1	0	3
CD8_253	1	0	3
CD8_254	1	3	3
CD8_255	2	0	3
CD8_256	2	0	5
CD8_257	1	0	3
CD8_258	1	3	3
CD8_259	2	0	5
CD8_260	1	3	3
CD8_261	2	4	2
CD8_262	1	3	2
CD8_263	2	4	2
CD8_264	1	3	3
CD8_265	1	3	3
CD8_266	1	3	3
CD8_267	2	0	5
CD8_268	2	0	5
CD8_269	2	0	2
CD8_270	1	3	3
CD8_271	1	3	3
CD8_272	1	3	3
CD8_273	2	0	5
CD8_274	1	3	3
CD8_275	2	0	2
CD8_276	2	0	5
CD8_277	2	4	2
CD8_278	5	4	2
CD8_279	1	3	3
CD8_280	2	0	5
CD8_281	1	3	3
CD8_282	1	3	3
CD8_283	2	0	5
CD8_284	2	0	2
CD8_285	1	3	3
CD8_286	1	3	3
CD8_287	1	0	5
CD8_288	1	3	3
CD8_289	2	0	5
CD8_290	1	0	2
CD8_291	2	0	2
CD8_292	1	3	3
CD8_293	2	0	2
CD8_294	2	0	2
CD8_295	2	0	2
CD8_296	1	3	3
CD8_297	2	0	2
CD8_298	1	3	5
CD8_299	1	3	3
CD8_300	1	3	3
CD8_301	2	4	2
CD8_302	2	0	5
CD8_303	1	3	3
CD8_304	1	3	3
CD8_305	2	4	2
CD8_306	2	0	3
CD8_307	2	0	5
CD8_308	2	4	2
CD8_309	1	0	5
CD8_310	1	0	3
CD8_311	5	4	2
CD8_312	1	0	3
CD8_313	2	0	2
CD8_314	1	3	3
CD8_315	2	0	2
CD8_316	2	3	2
CD8_317	2	4	2
CD8_318	2	0	2
CD8_319	1	3	3
CD8_320	2	0	5
CD8_321	2	0	3
CD8_322	1	3	3
CD8_323	1	3	3
CD8_324	1	3	3
CD8_325	2	4	5
CD8_326	2	0	5
CD8_327	1	3	3
CD8_328	1	3	3
CD8_329	1	3	3
CD8_330	2	0	5
CD8_331	2	0	5
CD8_332	1	3	3
