	louvain	kmeans	hc
CD4_1	4	2	4
CD4_2	1	1	4
CD4_3	4	4	2
CD4_4	4	1	2
CD4_5	3	4	2
CD4_6	4	2	4
CD4_7	3	4	2
CD4_8	4	1	2
CD4_9	4	2	2
CD4_10	3	2	4
CD4_11	4	2	4
CD4_12	4	1	2
CD4_13	4	2	2
CD4_14	5	4	2
CD4_15	3	2	2
CD4_16	4	4	2
CD4_17	3	1	4
CD4_18	4	4	2
CD4_19	3	2	4
CD4_20	3	2	2
CD4_21	4	4	2
CD4_22	4	1	4
CD4_23	1	1	2
CD4_24	4	4	2
CD4_25	4	4	2
CD4_26	3	4	2
CD4_27	3	2	4
CD4_28	3	2	2
CD4_29	3	4	2
CD4_30	3	2	2
CD4_31	4	4	2
CD4_32	3	4	2
CD4_33	4	2	2
CD4_34	4	1	2
CD4_35	4	2	2
CD4_36	4	1	4
CD4_37	1	1	2
CD4_38	4	4	2
CD4_39	4	2	2
CD4_40	5	4	2
CD4_41	5	4	2
CD4_42	4	2	2
CD4_43	4	1	4
CD4_44	3	2	2
CD4_45	4	1	4
CD4_46	1	4	2
CD4_47	1	4	2
CD4_48	3	4	5
CD4_49	3	1	2
CD4_50	4	2	4
CD4_51	4	2	2
CD4_52	5	4	2
CD4_53	3	2	2
CD4_54	4	1	4
CD4_55	4	1	2
CD4_56	4	1	4
CD4_57	3	2	2
CD4_58	5	4	2
CD4_59	4	1	4
CD4_60	4	1	5
CD4_61	4	2	2
CD4_62	4	2	2
CD4_63	3	1	2
CD4_64	4	2	2
CD4_65	1	1	4
CD4_66	4	2	4
CD4_67	1	2	4
CD4_68	4	1	4
CD4_69	4	2	2
CD4_70	5	4	2
CD4_71	4	1	4
CD4_72	1	1	2
CD4_73	5	2	2
CD4_74	3	2	4
CD4_75	3	4	1
CD4_76	4	2	2
CD4_77	4	2	4
CD4_78	3	2	2
CD4_79	3	2	2
CD4_80	3	1	4
CD4_81	3	2	2
CD4_82	1	2	2
CD4_83	3	4	2
CD4_84	1	1	5
CD4_85	3	2	2
CD4_86	4	2	4
CD4_87	1	2	4
CD4_88	1	2	4
CD4_89	3	4	2
CD4_90	1	4	2
CD4_91	5	4	2
CD4_92	4	4	2
CD4_93	4	2	2
CD4_94	5	4	2
CD4_95	3	4	2
CD4_96	3	2	4
CD4_97	1	1	2
CD4_98	4	4	2
CD4_99	3	4	2
CD4_100	3	1	2
CD4_101	3	4	2
CD4_102	3	2	2
CD4_103	4	1	2
CD4_104	4	1	4
CD4_105	1	2	4
CD4_106	5	4	2
CD4_107	3	2	2
CD4_108	3	1	4
CD4_109	5	4	2
CD4_110	3	2	2
CD4_111	5	4	2
CD4_112	5	4	2
CD4_113	4	1	2
CD4_114	4	2	2
CD4_115	4	1	4
CD4_116	4	1	2
CD4_117	3	4	2
CD4_118	4	1	2
CD4_119	4	1	4
CD4_120	3	2	2
CD4_121	4	1	2
CD4_122	5	4	2
CD4_123	4	4	2
CD4_124	3	4	2
CD4_125	3	2	4
CD4_126	3	2	5
CD4_127	5	4	2
CD4_128	4	4	2
CD4_129	4	2	2
CD4_130	4	1	4
CD4_131	4	2	4
CD4_132	4	1	2
CD4_133	3	4	2
CD4_134	1	1	4
CD4_135	5	4	2
CD4_136	3	4	2
CD4_137	3	4	2
CD4_138	1	1	2
CD4_139	3	2	4
CD4_140	4	2	4
CD4_141	4	2	2
CD4_142	3	2	4
CD4_143	3	4	2
CD4_144	3	2	2
CD4_145	4	1	2
CD4_146	4	2	4
CD4_147	4	2	4
CD4_148	3	4	2
CD4_149	1	2	4
CD4_150	4	1	4
CD4_151	1	4	2
CD4_152	1	4	4
CD4_153	5	4	2
CD4_154	5	4	2
CD4_155	4	4	2
CD4_156	3	1	5
CD4_157	4	2	5
CD4_158	4	4	2
CD4_159	1	2	4
CD4_160	4	1	4
CD4_161	5	1	2
