	louvain	kmeans	hc
CD4_1	5	3	0
CD4_2	3	1	0
CD4_3	5	3	0
CD4_4	0	4	1
CD4_5	3	1	0
CD4_6	3	1	0
CD4_7	3	1	0
CD4_8	5	3	0
CD4_9	0	4	1
CD4_10	3	4	1
CD4_11	0	4	1
CD4_12	5	3	0
CD4_13	3	3	0
CD4_14	5	3	0
CD4_15	0	4	0
CD4_16	3	4	0
CD4_17	0	4	1
CD4_18	5	3	0
CD4_19	5	3	0
CD4_20	3	1	0
CD4_21	3	3	0
CD4_22	0	4	0
CD4_23	3	3	0
CD4_24	0	4	1
CD4_25	0	1	1
CD4_26	5	3	0
CD4_27	5	3	0
CD4_28	5	3	0
CD4_29	0	4	1
CD4_30	5	3	0
CD4_31	0	4	1
CD4_32	3	3	0
CD4_33	5	3	0
CD4_34	3	3	0
CD4_35	5	3	0
CD4_36	5	3	1
CD4_37	0	4	1
CD4_38	5	3	0
CD4_39	5	3	0
CD4_40	5	3	0
CD4_41	3	3	0
CD4_42	0	4	1
CD4_43	0	4	1
CD4_44	3	1	0
CD4_45	0	4	1
CD4_46	5	3	0
CD4_47	5	3	0
CD4_48	0	4	1
CD4_49	0	4	1
CD4_50	0	4	1
CD4_51	0	4	1
CD4_52	5	3	0
CD4_53	0	4	1
CD4_54	5	3	0
CD4_55	5	3	0
CD4_56	3	3	1
CD4_57	3	1	1
CD4_58	3	3	0
CD4_59	0	4	1
CD4_60	0	4	1
CD4_61	0	4	0
CD4_62	3	1	0
CD4_63	3	4	1
CD4_64	5	3	0
CD4_65	0	1	1
CD4_66	3	3	1
CD4_67	5	3	0
CD4_68	3	3	1
CD4_69	0	1	0
CD4_70	0	4	1
CD4_71	5	3	0
CD4_72	3	4	0
CD4_73	5	3	0
CD4_74	5	3	0
CD4_75	3	3	0
CD4_76	3	3	0
CD4_77	3	4	1
CD4_78	5	3	0
CD4_79	5	3	1
CD4_80	0	4	1
CD4_81	5	3	0
CD4_82	5	3	0
CD4_83	3	3	0
CD4_84	0	4	1
CD4_85	5	3	0
CD4_86	5	3	0
CD4_87	3	1	0
CD4_88	5	3	0
CD4_89	3	3	0
CD4_90	3	1	0
CD4_91	0	4	1
CD4_92	3	4	1
CD4_93	0	4	1
CD4_94	5	3	0
CD4_95	5	3	0
CD4_96	3	1	0
CD4_97	3	1	1
CD4_98	3	1	0
CD4_99	0	4	1
CD4_100	0	4	1
CD4_101	5	3	0
CD4_102	5	3	0
CD4_103	0	4	1
CD4_104	0	4	1
CD4_105	5	3	0
CD4_106	0	4	1
CD4_107	3	1	2
CD4_108	3	1	0
CD4_109	5	3	1
CD4_110	5	1	0
CD4_111	5	3	0
CD4_112	5	3	0
CD4_113	3	3	1
CD4_114	3	3	0
CD4_115	3	1	0
CD4_116	0	4	1
CD4_117	0	4	1
CD4_118	5	3	0
CD4_119	3	1	0
CD4_120	0	4	1
CD4_121	0	4	1
CD4_122	0	4	1
CD4_123	3	3	0
CD4_124	5	3	0
CD4_125	5	3	0
CD4_126	3	3	1
CD4_127	3	1	1
CD4_128	0	4	1
CD4_129	0	4	1
CD4_130	0	4	1
CD4_131	0	3	1
CD4_132	3	3	0
CD4_133	0	4	1
CD4_134	0	1	1
CD4_135	3	3	0
CD4_136	0	4	1
CD4_137	3	4	1
CD4_138	5	3	0
CD4_139	5	3	0
CD4_140	0	4	1
CD4_141	3	3	1
CD4_142	5	3	0
CD4_143	0	4	1
CD4_144	5	3	2
CD4_145	3	3	1
CD4_146	3	3	0
CD4_147	0	1	1
CD4_148	5	1	1
CD4_149	5	3	1
CD4_150	3	1	1
CD4_151	5	3	0
CD4_152	5	3	0
CD4_153	5	3	0
CD4_154	0	4	1
CD4_155	5	3	0
CD4_156	5	1	0
CD4_157	3	3	0
CD4_158	5	3	0
CD4_159	3	1	0
CD4_160	5	3	0
CD4_161	3	1	1
CD4_162	5	3	0
CD4_163	3	3	1
CD4_164	5	3	0
CD4_165	5	3	0
CD4_166	3	3	2
CD4_167	5	3	0
CD4_168	5	3	0
CD4_169	3	1	0
CD4_170	5	3	0
CD4_171	0	4	1
CD4_172	0	1	1
CD4_173	3	1	0
CD4_174	0	4	1
CD4_175	5	3	0
CD4_176	0	4	1
CD4_177	5	3	0
CD4_178	0	3	0
CD4_179	5	3	0
CD4_180	5	3	0
CD4_181	5	3	0
CD4_182	5	3	0
CD4_183	5	4	0
CD4_184	0	4	1
CD4_185	5	3	1
CD4_186	3	4	1
CD4_187	5	1	0
CD4_188	0	4	1
CD4_189	5	3	0
CD4_190	5	3	0
CD4_191	0	4	1
CD4_192	5	3	0
CD4_193	3	3	0
CD4_194	5	3	0
CD4_195	0	4	1
CD4_196	3	1	1
CD4_197	3	1	0
CD4_198	0	4	1
CD4_199	3	3	0
CD4_200	0	4	1
CD8_201	0	4	1
CD8_202	5	3	0
CD8_203	5	3	0
CD8_204	0	4	1
CD8_205	5	3	0
CD8_206	5	3	0
CD8_207	5	3	0
CD8_208	0	4	1
CD8_209	0	4	1
CD8_210	0	1	1
CD8_211	0	4	1
CD8_212	0	4	1
CD8_213	5	3	0
CD8_214	5	3	0
CD8_215	0	4	0
CD8_216	5	3	0
CD8_217	3	3	0
CD8_218	5	3	0
CD8_219	5	1	0
CD8_220	3	1	0
CD8_221	0	4	1
CD8_222	3	1	0
CD8_223	3	3	0
CD8_224	3	1	1
CD8_225	5	3	0
CD8_226	0	4	1
CD8_227	5	3	0
CD8_228	5	3	0
CD8_229	3	3	0
CD8_230	5	3	0
CD8_231	0	4	1
CD8_232	5	1	0
CD8_233	0	4	1
CD8_234	3	1	0
CD8_235	3	3	0
CD8_236	5	3	0
CD8_237	3	1	0
CD8_238	0	4	1
CD8_239	0	4	1
CD8_240	0	4	1
CD8_241	0	4	1
CD8_242	3	3	0
CD8_243	0	4	1
CD8_244	0	4	1
CD8_245	3	1	0
CD8_246	0	4	1
CD8_247	0	1	1
CD8_248	5	3	0
CD8_249	0	4	1
CD8_250	3	3	0
CD8_251	0	4	0
CD8_252	0	4	1
CD8_253	5	3	0
CD8_254	3	1	0
CD8_255	0	4	1
CD8_256	0	1	1
CD8_257	0	4	1
CD8_258	3	1	0
CD8_259	0	4	1
CD8_260	3	1	0
CD8_261	3	3	0
CD8_262	5	3	0
CD8_263	3	1	0
CD8_264	0	1	0
CD8_265	0	4	1
CD8_266	0	1	1
CD8_267	3	1	0
CD8_268	3	1	1
CD8_269	3	3	0
CD8_270	0	4	1
CD8_271	5	3	1
CD8_272	5	3	0
CD8_273	0	4	1
CD8_274	0	1	1
CD8_275	3	1	0
CD8_276	3	1	1
CD8_277	0	4	0
CD8_278	0	4	1
CD8_279	0	4	0
CD8_280	0	4	0
CD8_281	5	3	0
CD8_282	3	1	0
CD8_283	0	4	1
CD8_284	0	1	1
CD8_285	3	1	0
CD8_286	0	4	1
CD8_287	0	4	1
CD8_288	5	3	0
CD8_289	0	4	1
CD8_290	5	1	0
CD8_291	5	3	0
CD8_292	0	4	1
CD8_293	0	1	1
CD8_294	0	4	1
CD8_295	3	1	0
CD8_296	0	4	1
CD8_297	5	1	1
CD8_298	0	4	1
CD8_299	5	3	0
CD8_300	3	3	0
CD8_301	5	3	0
CD8_302	0	4	1
CD8_303	0	4	0
CD8_304	3	1	0
CD8_305	3	1	0
CD8_306	5	3	0
CD8_307	3	3	0
CD8_308	3	1	0
CD8_309	0	4	1
CD8_310	0	4	0
CD8_311	3	3	0
CD8_312	5	3	0
CD8_313	3	1	0
CD8_314	0	4	0
CD8_315	5	3	0
CD8_316	5	3	0
CD8_317	3	1	0
CD8_318	0	4	0
CD8_319	0	3	0
CD8_320	0	4	1
CD8_321	0	4	1
CD8_322	5	3	0
CD8_323	5	3	0
CD8_324	3	1	0
CD8_325	5	3	0
CD8_326	0	4	1
CD8_327	5	3	0
CD8_328	0	1	1
CD8_329	3	1	1
CD8_330	3	4	1
CD8_331	0	4	1
CD8_332	0	1	1
CD8_333	0	4	1
CD8_334	0	4	1
CD8_335	5	3	0
CD8_336	0	4	1
CD8_337	0	4	1
CD8_338	3	1	0
CD8_339	3	1	1
CD8_340	0	4	1
CD8_341	0	4	1
CD8_342	0	4	1
CD8_343	5	1	0
CD8_344	5	3	0
CD8_345	0	4	1
CD8_346	3	3	0
CD8_347	0	1	1
CD8_348	3	3	0
CD8_349	0	4	1
CD8_350	3	3	0
CD8_351	0	4	1
CD8_352	3	3	0
CD8_353	5	3	0
CD8_354	3	3	0
CD8_355	0	4	1
CD8_356	3	4	1
CD8_357	5	3	0
CD8_358	3	3	0
CD8_359	3	1	0
CD8_360	3	3	0
CD8_361	3	4	1
CD8_362	3	1	0
CD8_363	3	1	0
CD8_364	5	3	0
CD8_365	0	1	0
CD8_366	3	1	0
CD8_367	3	1	0
CD8_368	5	3	0
CD8_369	5	3	0
CD8_370	5	3	0
CD8_371	0	1	1
CD8_372	0	1	1
CD8_373	5	3	0
CD8_374	0	4	1
CD8_375	0	4	1
CD8_376	3	1	1
CD8_377	0	4	1
CD8_378	5	3	0
CD8_379	5	3	0
CD8_380	5	3	0
CD8_381	0	1	1
CD8_382	5	3	0
CD8_383	5	3	0
CD8_384	3	3	0
CD8_385	0	1	1
CD8_386	3	1	1
CD8_387	3	1	0
CD8_388	5	3	0
CD8_389	3	1	0
CD8_390	5	3	0
CD8_391	3	1	1
CD8_392	0	4	1
CD8_393	5	4	1
CD8_394	5	3	0
CD8_395	3	3	0
CD8_396	3	1	0
CD8_397	5	3	0
CD8_398	3	1	1
CD8_399	3	1	0
CD8_400	5	3	0
CMP_401	1	0	2
CMP_402	4	5	4
CMP_403	4	5	4
CMP_404	1	0	2
CMP_405	4	5	4
CMP_406	1	0	2
CMP_407	4	5	3
CMP_408	4	5	4
CMP_409	1	0	2
CMP_410	1	0	2
CMP_411	1	0	2
CMP_412	1	0	2
CMP_413	1	0	2
CMP_414	4	5	4
CMP_415	4	5	4
CMP_416	1	0	2
CMP_417	1	5	4
CMP_418	4	5	4
CMP_419	4	5	4
CMP_420	4	5	4
CMP_421	1	0	2
CMP_422	4	5	4
CMP_423	1	0	2
CMP_424	4	5	4
CMP_425	4	5	4
CMP_426	1	0	2
CMP_427	4	5	4
CMP_428	1	0	2
CMP_429	1	0	2
CMP_430	1	5	2
CMP_431	4	5	2
CMP_432	1	0	2
CMP_433	4	5	4
CMP_434	4	5	4
CMP_435	4	5	4
CMP_436	1	5	4
CMP_437	4	5	4
CMP_438	1	0	2
CMP_439	4	5	4
CMP_440	1	0	2
CMP_441	4	5	4
CMP_442	4	5	4
CMP_443	4	5	4
CMP_444	1	5	4
CMP_445	1	0	2
CMP_446	1	0	2
CMP_447	1	5	4
CMP_448	1	0	2
CMP_449	1	0	2
CMP_450	1	0	2
CMP_451	1	0	2
CMP_452	1	0	2
CMP_453	4	5	4
CMP_454	1	0	2
CMP_455	1	0	2
CMP_456	1	0	4
CMP_457	4	5	4
CMP_458	4	5	4
CMP_459	4	5	2
CMP_460	4	5	4
CMP_461	1	0	2
CMP_462	4	5	4
CMP_463	1	5	2
CMP_464	1	0	2
CMP_465	4	5	4
CMP_466	1	0	2
CMP_467	4	5	4
CMP_468	4	5	3
CMP_469	2	5	4
CMP_470	1	0	2
CMP_471	1	0	2
CMP_472	1	0	2
CMP_473	1	0	4
CMP_474	4	5	4
CMP_475	1	0	4
CMP_476	4	5	4
CMP_477	4	5	4
CMP_478	4	5	2
CMP_479	4	5	4
CMP_480	4	5	4
CMP_481	4	5	4
CMP_482	4	5	4
CMP_483	1	0	2
CMP_484	4	5	3
CMP_485	4	5	2
CMP_486	4	5	4
CMP_487	1	0	2
CMP_488	4	5	4
CMP_489	1	0	2
CMP_490	4	5	4
CMP_491	1	0	2
CMP_492	1	0	2
CMP_493	1	0	2
CMP_494	4	5	4
CMP_495	1	0	4
CMP_496	4	5	2
CMP_497	4	0	2
CMP_498	4	5	1
CMP_499	1	5	4
CMP_500	1	0	4
CMP_501	4	5	3
CMP_502	1	0	2
CMP_503	4	5	4
CMP_504	1	0	2
CMP_505	4	5	4
CMP_506	4	5	3
CMP_507	4	5	4
CMP_508	4	5	4
CMP_509	1	0	2
CMP_510	1	0	2
CMP_511	4	5	4
CMP_512	4	5	4
CMP_513	1	0	4
CMP_514	4	5	4
CMP_515	1	0	4
CMP_516	4	5	4
CMP_517	1	0	2
CMP_518	1	5	4
CMP_519	4	5	4
CMP_520	4	5	4
CMP_521	1	0	2
CMP_522	1	0	2
CMP_523	4	5	4
CMP_524	4	5	2
CMP_525	4	5	3
CMP_526	1	0	2
CMP_527	1	0	2
CMP_528	1	0	2
CMP_529	1	0	2
CMP_530	4	5	4
CMP_531	2	5	3
CMP_532	1	0	2
CMP_533	1	0	2
CMP_534	1	0	2
CMP_535	1	0	2
CMP_536	4	5	4
CMP_537	1	0	2
CMP_538	4	5	4
CMP_539	4	5	4
CMP_540	4	0	2
CMP_541	1	0	0
CMP_542	4	5	4
CMP_543	1	5	2
CMP_544	1	5	4
CMP_545	4	5	4
CMP_546	1	0	4
CMP_547	4	5	4
CMP_548	4	5	4
CMP_549	1	0	0
CMP_550	1	0	2
CMP_551	4	5	4
CMP_552	4	5	4
CMP_553	1	5	2
CMP_554	1	5	2
CMP_555	4	0	2
CMP_556	1	0	2
CMP_557	2	0	5
CMP_558	4	5	4
CMP_559	1	0	2
CMP_560	1	0	2
CMP_561	1	0	2
CMP_562	4	5	4
CMP_563	1	0	2
CMP_564	4	5	1
CMP_565	1	0	4
CMP_566	4	5	2
CMP_567	1	0	2
CMP_568	4	5	4
CMP_569	4	5	2
CMP_570	4	0	2
CMP_571	1	0	2
CMP_572	4	5	4
CMP_573	1	0	2
CMP_574	1	0	2
CMP_575	4	5	4
CMP_576	4	5	4
