	louvain	kmeans	hc
CD4_1	5	1	5
CD4_2	1	1	2
CD4_3	0	1	5
CD4_4	5	4	5
CD4_5	0	1	2
CD4_6	0	1	2
CD4_7	5	1	5
CD4_8	0	1	2
CD4_9	5	4	5
CD4_10	1	4	5
CD4_11	5	4	3
CD4_12	0	1	5
CD4_13	0	1	5
CD4_14	0	1	5
CD4_15	5	4	5
CD4_16	1	4	5
CD4_17	5	4	5
CD4_18	0	1	5
CD4_19	0	1	5
CD4_20	1	4	2
CD4_21	0	1	5
CD4_22	5	4	5
CD4_23	0	1	5
CD4_24	1	4	3
CD4_25	5	4	3
CD4_26	0	1	5
CD4_27	0	1	5
CD4_28	0	1	2
CD4_29	5	4	5
CD4_30	0	1	5
CD4_31	5	4	5
CD4_32	0	1	5
CD4_33	0	1	5
CD4_34	0	1	2
CD4_35	0	1	2
CD4_36	5	1	5
CD4_37	1	4	3
CD4_38	0	1	5
CD4_39	0	1	5
CD4_40	0	1	2
CD4_41	0	1	2
CD4_42	5	4	3
CD4_43	5	4	3
CD4_44	1	1	2
CD4_45	1	4	2
CD4_46	0	1	5
CD4_47	0	1	5
CD4_48	5	4	3
CD4_49	5	4	3
CD4_50	5	4	3
CD4_51	1	4	2
CD4_52	0	1	5
CD4_53	5	4	3
CD4_54	0	1	2
CD4_55	1	1	3
CD4_56	1	1	5
CD4_57	1	4	2
CD4_58	0	1	5
CD4_59	5	4	5
CD4_60	5	4	3
CD4_61	5	4	5
CD4_62	1	1	2
CD4_63	1	4	3
CD4_64	0	1	5
CD4_65	0	1	5
CD4_66	1	1	5
CD4_67	0	1	5
CD4_68	1	1	2
CD4_69	1	1	2
CD4_70	5	4	3
CD4_71	0	1	5
CD4_72	0	4	5
CD4_73	0	1	5
CD4_74	0	1	5
CD4_75	0	1	5
CD4_76	0	1	5
CD4_77	1	4	2
CD4_78	0	1	5
CD4_79	1	1	5
CD4_80	1	4	5
CD4_81	0	1	2
CD4_82	0	1	5
CD4_83	0	1	2
CD4_84	1	4	3
CD4_85	0	1	5
CD4_86	0	1	2
CD4_87	1	1	2
CD4_88	0	1	2
CD4_89	0	1	2
CD4_90	1	1	2
CD4_91	5	4	2
CD4_92	1	4	3
CD4_93	5	4	3
CD4_94	0	0	2
CD4_95	0	1	2
CD4_96	1	1	2
CD4_97	1	4	3
CD4_98	1	0	2
CD4_99	5	4	5
CD4_100	5	4	3
CD4_101	0	1	5
CD4_102	5	1	2
CD4_103	1	4	5
CD4_104	1	4	5
CD4_105	5	1	2
CD4_106	5	4	3
CD4_107	0	1	2
CD4_108	1	1	2
CD4_109	5	1	5
CD4_110	1	1	5
CD4_111	5	1	5
CD4_112	0	1	5
CD4_113	1	1	5
CD4_114	5	1	5
CD4_115	1	1	2
CD4_116	5	4	3
CD4_117	5	4	5
CD4_118	0	1	5
CD4_119	0	1	2
CD4_120	5	4	5
CD4_121	5	4	3
CD4_122	5	4	5
CD4_123	0	1	2
CD4_124	0	1	2
CD4_125	0	1	5
CD4_126	0	1	5
CD4_127	1	1	2
CD4_128	5	4	3
CD4_129	5	4	3
CD4_130	1	4	3
CD4_131	1	1	5
CD4_132	0	1	5
CD4_133	5	4	3
CD4_134	5	1	5
CD4_135	0	1	5
CD4_136	5	4	5
CD4_137	5	4	5
CD4_138	0	1	5
CD4_139	0	1	2
CD4_140	5	4	3
CD4_141	1	1	5
CD4_142	0	1	5
CD4_143	1	4	3
CD4_144	0	1	2
CD4_145	1	1	5
CD4_146	0	1	5
CD4_147	1	4	2
CD4_148	5	4	5
CD4_149	0	1	5
CD4_150	1	1	2
CD4_151	5	1	5
CD4_152	0	1	2
CD4_153	0	1	5
CD4_154	5	4	3
CD4_155	1	1	5
CD4_156	0	1	2
CD4_157	0	1	2
CD4_158	0	1	5
CD4_159	0	1	2
CD4_160	5	1	5
CD4_161	1	1	2
CD4_162	0	1	2
CD4_163	1	1	5
CD4_164	0	1	2
CD4_165	0	1	5
CD4_166	0	1	5
CD4_167	0	1	5
CD4_168	0	1	2
CD4_169	5	1	2
CD4_170	5	1	5
CD4_171	5	4	5
CD4_172	1	4	3
